,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,625675471.23,495017319.69,198236195.52,929510393.29,695895896.47,486370149.86,159735127.22,1169025312.06,835361540.38,528688681.07,253602465.87,1246163973.67,711606858.63,403438875.21,163023585.48,854214179.36,592343902.70,358604958.07,191577138.19,851260284.14,574722343.50,316343675.74,132375741.70,754793156.96,492267795.64,331710511.91,155840194.01,712731615.07,495121586.20,308919614.73,134945953.26,669599233.12,459853531.94,291360879.47,144917915.50,635906056.33,402329410.74,252295687.66,119025509.81,703802425.43,447273528.20,272716200.50,114192484.35,480930437.23,312736088.17,192890512.89,74351560.35,547985697.29,382820691.03,202919619.62,83602503.10,336779294.95,177651907.98,102163834.53,28214919.11,237674251.86,130330114.56,82961416.83,31688754.96,227320741.96,121598720.00,62248262.60,20487811.06,177970774.03,0.0
3,收到的税费返还,22313841.21,23845986.31,15555226.82,27689693.60,21764978.20,14143482.98,2932164.36,31081407.25,22821986.33,14955214.19,5409924.53,28936477.86,17831220.69,9618570.70,3400228.51,9165732.37,7288556.60,5389416.57,3241578.66,4299905.02,2150462.71,1176983.44,185345.26,2180800.16,106742.29,13702.58,12846.77,5037692.64,2722773.15,1701798.77,929045.60,4966511.69,2624936.93,181727.98,0,367541.77,367541.77,367131.23,294472.47,5015430.93,2085315.96,2085315.96,629786.10,1036161.31,882994.16,882994.16,220266.99,548068.53,548068.53,424948.00,424948.00,83308.80,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,36041676.79,8528435.71,5477796.39,41262924.89,19222075.29,18981905.24,5012937.23,26925588.68,16086182.12,12275208.64,4740897.72,37920061.36,17675837.01,7704264.41,5590762.04,44557171.35,19984499.00,14576918.59,5520431.04,32673060.77,18844385.41,19786685.49,13426417.85,16777616.81,5542166.68,5115917.21,4160981.06,24556431.46,16864280.46,16054702.48,8353789.15,17077213.61,13261658.94,11961387.81,444997.16,7487852.76,5158889.48,2304625.36,928713.51,23748063.11,5752121.87,4218165.82,1318433.99,10100239.07,3296644.87,1468671.55,852528.29,2553372.24,1829000.76,2410427.71,218224.40,6511616.58,3523193.82,1798837.82,1097372.09,4157533.06,4007949.57,3450879.49,896935.46,1680542.90,57901065.00,26262545.10,83651.71,34038473.82,0.0
5,经营活动现金流入小计,684030989.23,527391741.71,219269218.73,998463011.78,736882949.96,519495538.08,167680228.81,1227032307.99,874269708.83,555919103.90,263753288.12,1313020512.89,747113916.33,420761710.32,172014576.03,907937083.08,619616958.30,378571293.23,200339147.89,888233249.93,595717191.62,337307344.67,145987504.81,773751573.93,497916704.61,336840131.70,160014021.84,742325739.17,514708639.81,326676115.98,144228788.01,691642958.42,475740127.81,303503995.26,145362912.66,643761450.86,407855841.99,254967444.25,120248695.79,732565919.47,455110966.03,279019682.28,116140704.44,492066837.61,316915727.20,195242178.60,75424355.63,551087138.06,385197760.32,205754995.33,84245675.50,343374220.33,181175101.80,103962672.35,29312291.20,241831784.92,134338064.13,86412296.32,32585690.42,229001284.86,179499785.00,88510807.70,20571462.77,212009247.85,0.0
6,购买商品、接受劳务支付的现金,317057288.87,266214716.34,158193698.18,654857559.59,543461756.90,407857410.48,124910120.92,888214813.03,661073814.68,470742508.35,179583805.58,695258792.92,417101618.47,236415264.45,130020555.72,540700320.53,372139457.33,246822684.93,150501548.91,515441944.69,374603059.93,283890852.34,134929402.04,465571563.25,382877440.02,241788510.24,110403716.67,429035995.21,347104316.38,228156399.23,120354424.56,476281405.73,354264797.35,240401316.76,88178889.64,467028975.60,335366487.53,207898152.06,96632001.28,379676751.91,283351514.23,148947303.31,45152434.40,380672626.87,343494896.57,206773887.40,110701259.95,464736087.54,342606837.21,204312949.67,91616791.05,312346361.93,236988005.63,128222407.46,50111972.64,155050482.82,115944496.50,82016783.70,53726086.90,152846929.80,100894165.21,65862504.66,19951915.11,86445073.54,0.0
7,支付给职工以及为职工支付的现金,180852738.50,116922688.46,69993682.86,248927880.81,184204252.68,123514355.38,72904113.25,251438982.59,216622028.15,128724576.70,69853466.12,228353611.26,179162279.76,113495098.70,57989431.29,207550732.89,172363971.02,104530988.90,47300778.58,183366002.88,152187150.00,94078470.55,45122902.24,166247271.01,124997637.39,82784187.50,39365847.59,178713489.92,131297519.16,89001490.87,41418297.24,164232275.69,126391790.23,78338862.88,35606458.01,111712292.14,85702225.10,51601081.72,27133615.80,85885243.19,63699948.22,39313185.42,20955180.66,73774023.08,51682702.40,32632288.41,14962615.31,65259484.37,46224313.87,30836282.14,14831545.01,45705723.43,32299425.71,18590361.56,8318759.46,29980344.45,20913651.21,13813345.49,5196272.44,26643371.90,17299482.42,11576569.62,4034328.85,17705804.90,0.0
8,支付的各项税费,23606162.94,17085963.57,10415817.38,44085452.79,37199239.30,29659515.90,20739940.85,55607913.87,41413956.31,29049829.99,21553037.13,54405808.25,36321159.56,20318890.37,8072656.97,35918749.79,22527097.30,16503074.80,13475752.58,38329242.52,20864526.93,14041564.31,12903701.07,39541685.05,29455957.26,21365050.94,9905309.18,29969541.43,19572013.11,14004422.48,5625960.20,47463577.46,39772695.04,32323102.46,26928728.01,59013517.04,37235508.19,27590374.21,17375152.60,42099029.81,25136332.41,14811568.87,11732866.37,10627644.59,10683554.15,8387291.26,6241935.53,16695963.05,13305655.41,10685295.56,7358143.79,15935250.94,11013729.57,6277217.04,4270880.68,22925960.32,20844397.68,12413210.80,8083401.31,16778895.97,13580905.97,12120738.08,7789263.31,23445146.82,0.0
9,支付的其他与经营活动有关的现金,97301256.99,52979218.55,29472025.65,114436553.49,88584168.56,60799253.63,24699653.08,105584051.13,87288632.58,53265943.49,22124995.60,112844282.07,80910850.12,44186842.51,17147622.29,110376965.46,65981709.83,44684035.07,21203669.36,108294507.23,55114116.20,42384501.38,32926588.10,99474533.77,60503947.50,42086644.29,24803882.92,103579514.25,51183823.20,54891804.27,28851329.92,111965752.23,83026726.03,40618708.28,33102242.06,75151141.05,59207668.37,39753360.46,20917793.88,84032151.18,50687014.32,36270038.74,14608754.73,55077664.93,30889778.44,20756030.92,11381093.50,48997748.66,50712975.65,20234360.18,8473477.25,36825247.33,19706459.58,10657433.77,9677506.61,27861452.03,20952392.06,10960099.69,9472503.69,36877776.83,71845913.12,67874275.37,12657510.32,35514091.04,0.0
