,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,11780365128.65,8567375798.87,5641201839.37,2280562225.99,9741969864.93,6767931629.02,4014115644.74,2047999451.56,8307242897.86,5076275794.10,3350034244.32,1546554065.13,7321889803.09,1841071377.93,1234463513.99,625919214.80,2906602836.62,1970118417.50,1322800659.96,678693253.85,3009104512.21,2029928546.04,1343976146.91,631610071.55,2557823933.87,1827637799.03,1090203132.52,550049413.76,2332599844.57,1443442845.36,889330304.82,396447914.84,1779329124.19,1098711698.37,730084154.06,356207139.40,1551271164.59,1002128928.25,659492033.53,302988386.44,1064000202.86,880618093.03,590544380.27,185339362.38,559238828.24,488881398.01,314397560.94,139166297.76,600474866.93,445409101.49,309941303.22,142509571.85,555512235.23,418699932.91,249131603.90,143582589.69,535378096.79,418960315.90,259896260.36,123641070.97,364320836.29,221804895.75,154519380.59,438584456.12,244869708.38,0.0
3,收到的税费返还,186343560.14,107764172.29,95242854.40,56902228.96,111133798.96,88190008.48,32717178.82,15779541.28,22562735.82,15997007.68,11002903.20,4868519.25,33673620.59,4998206.02,3304070.88,2002437.79,7307381.98,4995587.06,3086780.36,1658749.13,931119.56,6270819.13,6057669.08,265391.43,4368982.79,4936773.01,4766241.38,676853.74,4348550.92,4057443.27,3239123.00,905908.24,4196518.53,3677995.02,1241475.85,677843.28,5439606.42,5536063.73,2230856.55,705441.11,8295118.12,7234549.65,3289987.13,182250.00,4583655.69,2140016.89,2003743.68,1995382.48,5400412.37,500000.00,500000.00,500000.00,828120.66,984343.52,836343.52,829395.66,3687500.00,4151500.00,344500.00,1477563.15,2392000.00,67503.40,0,2521000.00,3478000.00,0.0
4,收到的其他与经营活动有关的现金,407410753.00,274425529.17,180015151.56,73568350.13,294760825.09,209426192.60,117550248.57,70917099.19,349890027.68,198706826.29,116281606.47,123784337.10,257626223.12,149239680.73,87057018.77,12237857.80,46427429.82,89841701.16,84756975.19,11144172.33,88630388.38,176136303.14,140573713.46,9065016.66,113976925.58,38998590.10,38687835.26,30413985.73,82402858.64,122177771.94,91576472.56,1968912.84,29696880.15,32924685.40,12666872.24,8170787.82,30564609.48,30618917.38,20082647.53,5776783.49,22835831.46,28728855.72,18113379.54,12006105.37,6941881.89,15085062.08,9111713.74,683372.94,20268152.14,3942012.04,9463275.47,7057170.36,9208767.08,5666526.83,8497874.67,3533801.44,12987239.85,13698795.59,13601154.93,3273244.85,2454101.41,22902439.51,24643514.16,1974189.76,6554348.97,0.0
5,经营活动现金流入小计,12374119441.79,8949565500.33,5916459845.33,2411032805.08,10147864488.98,7065547830.10,4164383072.13,2134696092.03,8679695661.36,5290979628.07,3477318753.99,1675206921.48,7613189646.80,1995309264.68,1324824603.64,640159510.39,2960337648.42,2064955705.72,1410644415.51,691496175.31,3098666020.15,2212335668.31,1490607529.45,640940479.64,2676169842.24,1871573162.14,1133657209.16,581140253.23,2419351254.13,1569678060.57,984145900.38,399322735.92,1813222522.87,1135314378.79,743992502.15,365055770.50,1587275380.49,1038283909.36,681805537.61,309470611.04,1095131152.44,916581498.40,611947746.94,197527717.75,570764365.82,506106476.98,325513018.36,141845053.18,626143431.44,449851113.53,319904578.69,150066742.21,565549122.97,425350803.26,258465822.09,147945786.79,552052836.64,436810611.49,273841915.29,128391878.97,369166937.70,244774838.66,179162894.75,443079645.88,254902057.35,0.0
6,购买商品、接受劳务支付的现金,4124093595.29,3324066704.73,2107247090.63,1171424545.36,2937121378.39,2177738668.97,1257368968.35,600322396.00,2698669920.46,2054249491.21,1513601798.64,558988024.34,3644860498.77,552096949.96,324444661.28,200603829.25,1426792432.54,830624646.29,595939187.88,392296803.25,1629704624.82,1124576160.53,700126873.74,376412600.51,1448226544.11,1080236963.55,711462426.12,281328901.19,1376437451.54,946552854.59,570451092.37,275254671.80,1182650038.65,678330548.10,468434675.70,208637592.95,1079733159.32,720042128.72,456189070.33,205961579.92,680879966.02,571411193.53,382910703.42,116868975.95,240657839.55,296854637.05,208648528.93,99011481.13,356957685.44,293736773.28,218497167.42,113883741.14,325525628.39,243013362.78,141466516.85,89705920.43,340871658.47,233766568.61,129040905.25,65174441.85,216071659.33,100208228.35,82031460.88,294030738.42,142213358.85,0.0
7,支付给职工以及为职工支付的现金,1363268297.54,1039214140.69,710500044.39,406685353.41,1323536377.70,989732041.26,683429682.65,388054041.37,1273820645.37,976005339.88,670955546.74,376634105.47,1208066611.80,352316459.35,241491746.68,122049744.54,402428788.58,301127572.17,200127540.26,109152099.38,397978628.80,244935002.39,161968729.52,84130974.55,310214337.93,210527646.49,114422077.46,63892350.45,196590865.36,139826204.94,86261157.42,45709110.13,151764075.86,111833358.24,75044907.17,41214690.21,133169114.33,87063489.41,53898804.25,31013286.43,97847160.74,67547053.23,41824979.27,20330898.45,77987717.00,50694377.34,33785446.91,17340665.52,61629758.02,46023593.76,27136927.86,14730648.72,47866282.46,34168284.19,23627531.72,11370286.94,52136103.93,40741599.15,28369827.19,14691288.79,40798115.22,25939565.23,16820328.54,37756872.35,22618258.30,0.0
8,支付的各项税费,1071601222.56,877783612.76,702443526.58,352941613.51,1144079806.83,945595879.13,702394493.64,394577916.02,893512741.56,711000345.38,518882150.76,261106380.54,814936316.39,307581829.00,218060316.06,112653772.31,286502784.15,238037831.12,156663678.96,82943486.26,243768397.04,187248167.24,117716515.29,74801568.54,218756794.03,183677789.88,108820064.89,60362304.91,167018410.61,122551345.94,74313834.44,30200485.77,92428875.28,75592250.16,46591383.50,25226228.69,81997131.26,65637048.67,46200524.39,22402888.77,65832382.30,50094014.56,33134651.31,15511285.22,63115992.09,52222178.28,35476590.82,17715294.46,52307837.46,39454190.43,24910964.56,11379326.82,43211523.38,33589307.49,20820893.94,15149890.76,45361083.87,39387544.40,24499368.66,6747559.61,37219954.24,27141049.29,16110915.53,29438133.22,26612209.58,0.0
