,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,16891590139.66,10998225582.41,5356051727.06,23784070243.30,15524422596.39,10282118923.20,4712490318.43,11903029508.70,8486169180.71,6043377824.23,3260777710.29,13305526075.48,9240900475.41,6064935874.03,2771259381.57,8991572350.83,6147273563.07,3992031000.63,1558539770.16,7118307167.42,5206963248.88,3363871957.46,783710826.42,3602700116.55,2390537936.55,1409269438.69,470773037.25,3029275477.79,1852179168.82,1033744811.73,533984121.54,2385739834.40,1611408596.13,1257390810.91,574791484.62,1737389754.49,1117014115.28,818314909.95,329580775.63,1227285752.88,842644077.80,501843814.45,178562441.88,1012699482.34,651304318.26,399973795.89,187333539.27,1044155147.84,823254427.36,486993141.51,175830523.86,578359009.02,353917545.22,222344145.80,70250435.34,469459036.76,284433985.91,196332432.57,87395678.62,363501171.31,242965176.54,160407827.33,74004195.57,487018978.84,278937786.26,202429321.80,104143021.40,483964316.91,269678010.20,570331043.00,0.0
3,收到的税费返还,40977962.76,11772083.97,2239918.56,28756372.75,7009028.68,6275792.23,2491856.41,6211844.76,5267284.17,4521982.43,567082.19,4506695.71,1876460.52,1837500.58,0,2176944.44,103427.30,103427.30,134904.44,3596882.70,7792466.74,6477444.56,334916.03,1100000.00,1528808.88,1130165.84,830165.84,1107628.49,309472.66,0,0,1792479.69,103677.03,103677.03,0,2991781.37,246100.00,246100.00,246100.00,0,0,0,0,0,941500.00,0,0,767830.62,767830.62,0,0,1558463.19,1050000.00,0,0,1220516.39,0,0,0,0,0,0,0,0,0,0,0,0,30896.00,0,0.0
4,收到的其他与经营活动有关的现金,558789152.60,445889390.80,300907639.65,704327578.35,441821570.03,304985016.58,397654704.78,652379445.64,233005237.11,194738375.59,140019452.63,940736424.40,468179353.01,350659571.08,243117211.39,478730152.03,163321594.53,132848003.15,103360431.51,445016079.27,226907372.26,182663110.42,22647487.17,277354629.11,72569454.66,59383128.50,25093276.96,173323346.25,105653308.48,41539379.46,14367282.70,99409776.90,131262821.10,98235281.67,104799594.54,197072610.61,196887316.58,155471179.03,117864559.29,33027187.48,91577325.73,11812885.49,6521797.92,9002903.17,42552068.99,16889189.36,4069011.74,37219475.04,32453982.12,12326480.31,9047403.81,18352390.11,37071274.64,6080488.91,2388366.65,52390307.56,44585069.98,40287825.69,1096227.53,3365776.40,4106636.52,1414978.69,665407.77,6083974.42,2895978.51,2082894.56,134640.30,1135283.58,0,132480.00,0.0
5,经营活动现金流入小计,17491357255.02,11455887057.18,5659199285.27,24517154194.40,15973253195.10,10593379732.01,5112636879.62,12561620799.10,8724441701.99,6242638182.25,3401364245.11,14250769195.59,9710956288.94,6417432945.69,3014376592.96,9472479447.30,6310698584.90,4124982431.08,1662035106.11,7566920129.39,5441663087.88,3553012512.44,806693229.62,3881154745.66,2464636200.09,1469782733.03,496696480.05,3203706452.53,1958141949.96,1075284191.19,548351404.24,2486942090.99,1742775094.26,1355729769.61,679591079.16,1937454146.47,1314147531.86,974032188.98,447691434.92,1260312940.36,934221403.53,513656699.94,185084239.80,1021702385.51,694797887.25,416862985.25,191402551.01,1082142453.50,856476240.10,499319621.82,184877927.67,598269862.32,392038819.86,228424634.71,72638801.99,523069860.71,329019055.89,236620258.26,88491906.15,366866947.71,247071813.06,161822806.02,74669603.34,493102953.26,281833764.77,204512216.36,104277661.70,485099600.49,269708906.20,570463523.00,0.0
6,购买商品、接受劳务支付的现金,14918874370.15,13679477445.66,5473088709.24,12654730600.20,8360619632.19,4728881692.88,3249798380.40,8027082225.31,5484465037.20,3636800207.40,1563222172.20,9790319952.51,9511301910.15,4995869433.12,1974696430.16,6789955905.59,5518215973.49,4085637687.73,2365514688.98,6213978724.56,4026588190.15,2505969138.38,646513397.23,3623559139.30,2802183068.04,1492240834.93,248605396.06,1853978347.32,1064339653.52,645509529.63,301677165.34,1908637328.38,1295306156.39,882902104.88,257514568.40,1092493133.06,728305225.43,442912693.17,207875245.19,929566808.72,1276388564.58,747918253.98,244872308.16,1135179998.15,955680681.19,412140878.23,238885103.94,1173411871.39,589606817.28,392991897.54,151094652.52,383854738.44,279360025.90,166594065.78,89324008.69,353763627.47,258733647.43,177018041.28,104354570.29,330103814.29,220707031.44,168324337.33,128038861.19,327776918.10,222107302.73,143992019.59,83831538.04,374418021.26,155593506.30,468286476.72,0.0
7,支付给职工以及为职工支付的现金,1232585903.63,1073628836.09,509773829.29,977055585.02,725068361.14,509645663.61,321310284.30,684646559.64,541758139.36,356534008.14,166471933.72,515158522.36,397112207.06,257029610.48,137429762.06,471530119.19,360116608.63,243380790.69,147883195.87,297000635.20,194272245.58,124568435.54,50003110.08,188196078.01,138490343.71,93237285.70,56054958.83,156438132.97,113571721.98,76439847.30,37766463.08,115893143.76,82806914.44,43815080.75,12182560.85,78747740.71,49704006.25,32332694.45,14262488.78,45529233.39,32034934.93,21396178.60,11945197.13,44303523.73,29600563.53,19937313.18,9675220.13,31126531.06,19785345.51,12470481.66,5937604.16,22793117.08,13691700.01,9055448.94,4941410.52,17226972.98,12340873.66,7664204.29,3429064.48,18027135.09,13708923.40,9288123.18,4865597.64,20336217.15,14486304.24,9998894.89,5806339.79,20271627.42,9309581.83,20171793.44,0.0
8,支付的各项税费,2320829091.06,2045016463.83,691517212.03,1940375183.89,1714209877.37,988214434.18,523449719.96,1379575049.03,1200826164.69,976865512.74,345198390.56,1295504629.22,1026760822.20,755401542.88,289187071.33,939705193.90,743082325.43,552915921.52,282661698.53,858200176.80,637469760.26,423364558.79,71321328.55,502635537.09,338949825.17,209622015.73,85882556.22,181065081.87,143584755.39,110971622.88,48939730.28,207998379.07,169994041.79,128164015.99,34264298.51,104187707.12,97001438.49,75809595.25,18739962.93,93271689.14,78622018.47,59463039.99,18524374.57,74211565.53,70950717.53,38839133.65,15786766.42,57589210.94,44198586.89,30663603.70,13807242.33,28382737.17,20764947.84,12136765.36,4500574.27,24525911.69,16290885.19,11368033.72,6509258.42,18873588.36,16131745.09,13593777.41,5953896.71,25928336.70,16217862.39,15083036.29,5769006.43,30667211.70,23984768.98,33999228.34,0.0
9,支付的其他与经营活动有关的现金,920713930.70,984153018.77,393905435.69,2115809382.45,1540079113.04,1206924694.89,296730899.86,729220162.34,764560322.46,753466399.23,1056747504.64,1372467578.41,723389290.82,824100016.02,185876097.30,1113675756.24,907583842.84,611284077.72,233218326.27,778932891.57,474929943.58,412143071.89,140624684.01,709621386.77,93884592.00,174651609.76,76347138.22,240084214.90,165193710.02,100517168.57,54688846.18,171252054.18,147289955.77,116610769.70,132905385.40,151176590.35,138922919.76,66091890.48,50226747.63,137221548.24,102524436.17,49248417.38,31539602.26,81604571.77,52589117.47,55859678.73,19241047.46,163724098.54,84625970.89,42852609.11,31877466.43,55416733.46,48455938.51,35520634.16,27452116.57,72552990.63,58166063.80,26278801.94,13444271.41,31072186.33,26409907.83,15790804.16,10086260.83,39009039.07,32305636.11,19643451.94,11489886.52,34759778.30,18552458.06,39687785.85,0.0
10,经营活动现金流出小计,19393003295.54,17782275764.35,7068285186.25,17687970751.56,12339976983.74,7433666485.56,4391289284.52,10820523996.32,7991609663.71,5723666127.51,3131640001.12,12973450682.50,11658564230.23,6832400602.50,2587189360.85,9314866974.92,7528998750.39,5493218477.66,3029277909.65,8148112428.13,5333260139.57,3466045204.60,908462519.87,5024012141.17,3373507828.92,1969751746.12,466890049.33,2431565777.06,1486689840.91,933438168.38,443072204.88,2403780905.39,1695397068.39,1171491971.32,436866813.16,1426605171.24,1013933589.93,617146873.35,291104444.53,1205589279.49,1489569954.15,878025889.95,306881482.12,1335299659.18,1108821079.72,526777003.79,283588137.95,1425851711.93,738216720.57,478978592.01,202716965.44,490447326.15,362272612.26,223306914.24,126218110.05,468069502.77,345531470.08,222329081.23,127737164.60,398076724.07,276957607.76,206997042.08,148944616.37,413050511.02,285117105.47,188717402.71,106896770.78,460116638.68,207440315.17,562145284.35,0.0
11,经营活动产生的现金流量净额,-1901646040.52,-6326388707.17,-1409085900.98,6829183442.84,3633276211.36,3159713246.45,721347595.10,1741096802.78,732832038.28,518972054.74,269724243.99,1277318513.09,-1947607941.29,-414967656.81,427187232.11,157612472.38,-1218300165.49,-1368236046.58,-1367242803.54,-581192298.74,108402948.31,86967307.84,-101769290.25,-1142857395.51,-908871628.83,-499969013.09,29806430.72,772140675.47,471452109.05,141846022.81,105279199.36,83161185.60,47378025.87,184237798.29,242724266.00,510848975.23,300213941.93,356885315.63,156586990.39,54723660.87,-555348550.62,-364369190.01,-121797242.32,-313597273.67,-414023192.47,-109914018.54,-92185586.94,-343709258.43,118259519.53,20341029.81,-17839037.77,107822536.17,29766207.60,5117720.47,-53579308.06,55000357.94,-16512414.19,14291177.03,-39245258.45,-31209776.36,-29885794.70,-45174236.06,-74275013.03,80052442.24,-3283340.70,15794813.65,-2619109.08,24982961.81,62268591.03,8318238.65,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
