,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030630,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,2262847443.57,1228199809.01,369548000.56,3695814142.44,1981905431.50,1126647143.62,356155500.10,3203436041.33,1721199617.69,984052391.65,314953676.25,2641235620.22,1364431061.28,775464348.77,263110488.49,2594112180.29,1379611364.45,811508987.56,196958544.96,1764708778.77,751854874.51,409568062.36,130720536.76,1395800463.41,646773783.77,379297557.89,117742221.68,1192638353.04,533672077.18,302673806.43,110938722.53,1019523880.49,472664652.46,250274533.96,90311163.69,979631430.10,460778018.10,259152216.99,109425396.19,798176730.37,373869361.64,211524407.79,88372936.73,743074479.57,351575952.01,204470426.49,86957466.23,679436401.11,340575299.22,166765045.05,43244428.67,401821108.24,214551246.42,127103969.87,46857221.65,319121999.14,159717734.91,96341275.89,45947425.07,284505238.66,164037708.12,85585411.93,33473056.13,235031377.95,76597811.54,223321982.55,0.0
3,收到的税费返还,157083079.72,112096362.71,69556990.08,183501885.37,180767210.50,116481527.39,84834463.47,146927866.01,116621303.77,76195568.49,38915733.17,177258633.82,114921863.14,73769000.80,49109301.29,143495070.26,102961626.54,66076681.66,47987206.43,85117187.62,62659984.49,40097570.78,28645384.48,68310058.13,47123029.51,28566357.16,14385951.87,78167833.74,45049064.64,29344514.52,19610119.31,52767427.00,10593526.79,10396526.79,10136156.74,49436433.43,25334243.91,18103290.71,10673180.79,34161000.27,21449887.80,13152700.41,9250020.49,29714739.46,19928124.19,13798754.37,8184551.96,22026122.32,8833664.06,4775299.08,1677599.66,15249877.98,10280327.43,7038273.54,4730080.34,9769691.41,7582308.77,3674450.07,3344781.06,10099229.93,6197289.40,4158494.67,2158364.37,12559564.57,5437630.63,18258503.73,0.0
4,收到的其他与经营活动有关的现金,122052843.51,82507854.36,16742707.31,151632786.52,137374804.02,102193842.25,16334134.41,138937637.56,106502287.88,68880249.89,16880103.06,50393052.12,73650811.75,31590527.12,13155533.48,293452171.53,306550429.12,304090046.17,280862882.72,192683153.19,52093794.58,44393250.47,10594485.59,51601155.13,33601250.11,18490317.10,11884383.99,36721959.02,28881900.56,20820509.15,25930928.86,42604738.62,38141508.18,32639114.75,27189794.69,163380747.98,128420093.61,79696875.62,3981597.29,33117395.29,34642652.36,9094796.84,3593969.24,28780380.08,38573664.09,16983285.81,4172411.34,38223957.34,38779393.86,33134134.83,8242760.89,12332056.08,26212991.79,20883134.03,5165530.67,24149519.23,6863920.25,5831763.06,24691.83,10228276.75,1242483.60,648537.54,2055783.54,10852718.65,792130.52,19468353.89,0.0
5,经营活动现金流入小计,2541983366.80,1422804026.08,455847697.95,4030948814.33,2300047446.02,1345322513.26,457324097.98,3489301544.90,1944323209.34,1129128210.03,370749512.48,2868887306.16,1553003736.17,880823876.69,325375323.26,3031059422.08,1789123420.11,1181675715.39,525808634.11,2042509119.58,866608653.58,494058883.61,169960406.83,1515711676.67,727498063.39,426354232.15,144012557.54,1307528145.80,607603042.38,352838830.10,156479770.70,1114896046.11,521399687.43,293310175.50,127637115.12,1192448611.51,614532355.62,356952383.32,124080174.27,865455125.93,429961901.80,233771905.04,101216926.46,801569599.11,410077740.29,235252466.67,99314429.53,739686480.77,388188357.14,204674478.96,53164789.22,429403042.30,251044565.64,155025377.44,56752832.66,353041209.78,174163963.93,105847489.02,49316897.96,304832745.34,171477481.12,90392444.14,37687204.04,258443661.17,82827572.69,261048840.17,0.0
6,购买商品、接受劳务支付的现金,51551873.24,25236518.01,10126334.72,77897387.05,38119195.92,30110843.16,9205388.01,128827360.25,31096178.89,29880999.29,9804507.99,112294394.16,66223521.26,44392896.76,13506879.73,172029514.49,72777291.00,85180953.92,25016679.98,70795035.27,126501448.33,82662459.48,21848340.85,203746502.63,159080616.97,91187403.26,20165560.10,181005627.50,124934866.89,94089115.41,52923766.93,191910273.12,141748446.04,70998051.28,35531918.42,348083121.57,296591714.16,177183300.01,72611203.82,318388007.00,219247915.01,122344117.89,62684824.55,287416590.55,190396567.50,128138873.21,64527046.96,310874196.83,199288228.72,119246686.74,43010738.09,195311315.92,123502682.89,86505590.26,37407292.98,148372788.86,99102598.87,71372558.72,35434525.76,163239195.98,137547315.65,77571465.56,42084195.49,110718884.80,42777495.04,103150834.35,0.0
7,支付给职工以及为职工支付的现金,1558687733.27,1145231949.44,708485835.60,1864725762.10,1426516310.71,1040140991.41,633601620.42,1489738675.60,1122701800.73,812883220.00,471757057.57,1272384275.13,968237021.07,699990565.77,418566652.54,896072339.06,670202022.33,462745890.57,243452462.39,647105772.06,479028597.05,333895884.89,178612113.64,464947509.56,340513782.00,240510352.98,135260160.76,399449966.08,280498049.82,193373588.42,109787652.04,324147933.68,213780244.47,143677327.22,85297728.77,242407028.70,177193686.18,113339195.55,65187597.99,194179682.17,126969822.63,90723768.90,53255857.94,169724138.13,109736203.48,76589591.15,44577423.81,100780773.25,63965377.51,42756392.47,20709568.56,67436565.60,51020657.80,33081227.20,20291032.66,55768732.02,38408285.01,24498678.85,12277931.72,54530117.65,41429554.11,24929937.91,10429181.39,38939061.51,14163955.01,33293238.02,0.0
8,支付的各项税费,345142786.53,249402970.03,175148503.05,332652544.33,297247836.61,218982638.88,107345064.78,334432160.74,246813327.57,149349299.76,91083203.80,344987209.07,233573788.60,162677325.50,64203962.21,309754675.90,221506053.80,139743125.21,61902334.02,210832683.88,134076877.89,94076779.50,41136786.16,165692908.97,111636330.81,88372064.36,37084906.48,153559322.53,100974199.83,67371206.55,37591537.17,137570390.31,93984761.22,65569359.62,33237698.74,105017619.60,76027205.75,51905733.59,25368910.99,80521607.91,55644426.34,34818064.38,23989681.83,65753613.46,48579323.56,36663587.89,18727755.09,57049854.69,37275149.69,22176940.31,14942922.56,28002183.42,19434066.86,13998128.89,8841154.81,17041979.92,14073270.91,10187035.07,8389489.52,18298273.03,12234234.35,8890468.56,10089650.01,19768882.38,13636709.48,30997643.98,0.0
