,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,146294871904.26,92899626585.50,68904605480.03,38188083438.90,186592919451.09,107686969266.61,72753313445.13,36033289342.79,157674239104.66,102153114041.82,66233129310.73,32038379260.59,144647098746.43,93232828975.43,62994502387.39,25891077035.94,100122403804.80,64978453711.78,39517029068.49,19107748247.12,89804736329.14,54256045942.45,34785905312.43,15946152682.08,80075723713.51,47251120907.94,30495927601.43,13833139326.48,63731574664.95,40968891877.91,27063684562.87,12696968029.36,61195427306.95,37071554602.20,24058292152.06,11616228133.33,51101283282.48,31433650802.83,21050562386.02,10123247618.60,27129876762.08,14141710835.89,6828146091.79,1196230733.26,5993846199.47,3965095313.79,2727520026.56,1442494038.75,5651344641.13,3685648552.93,2501660504.44,1307355004.27,4642486577.25,3348043665.27,2169326433.26,1036748423.18,4130712870.18,2963327524.96,1933128602.44,920384852.47,3802341963.93,2805429173.97,1847977528.94,920740178.67,3243275301.78,2362603024.26,1529348182.81,829827856.38,3022626380.79,1412809471.30,2565516355.85,1213151356.43,2301601349.50,948812628.17,1754987736.03,1005072271.71,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19239051.56,99786530.01,71610285.90,16927713.91,38370590.31,13875537.49,1533767.77,86207048.42,89580561.55,21310378.70,212507.49,24839173.42,18525213.83,18525213.83,9692834.23,29863257.38,21332109.96,14899830.70,4726405.05,38307932.48,29801683.78,20696637.93,9053163.72,25130682.15,22790276.44,15868162.52,5942209.74,56354897.01,36728574.98,22794385.91,10614715.85,48682635.87,31348566.31,19483047.31,4910377.04,27148684.47,11844722.88,2973275.03,9137251.02,15627631.92,3826374.10,6984729.37,5105819.68,0.0
4,收到的其他与经营活动有关的现金,1721709366.56,1463278995.44,1037833890.43,396753545.86,1085477542.84,1386222818.99,643767899.97,306957785.45,924235090.21,940054914.90,537788723.74,203578851.35,517238919.31,852868019.97,556483421.28,222818019.03,863649613.95,1273406668.81,487322489.22,220820289.46,365866222.16,689139701.85,392094752.99,122935683.57,282766941.87,692332205.91,530228324.85,148865420.89,286944056.78,838210765.81,526593066.38,130639952.79,326064536.95,743073108.89,540643456.46,174870953.60,135871482.33,625977180.06,414600292.93,242102785.94,243207671.96,592625441.54,284773176.08,85347257.80,1060106846.84,438374331.75,419956540.76,171840482.95,835957502.67,659218136.71,482394350.91,205076159.35,625269705.45,363678559.51,251750045.49,159919697.19,364774082.45,352845091.83,225747981.94,251222952.99,283338921.60,318020564.42,266025421.38,113718911.47,179058591.82,367850880.26,269748729.78,171107858.07,198484471.33,301274376.33,195539515.84,127533225.77,346890640.73,223005726.20,407398164.05,328133152.36,0.0
5,经营活动现金流入小计,148016581270.82,94362905580.94,69942439370.46,38584836984.76,187678396993.93,109073192085.60,73397081345.10,36340247128.24,158598474194.87,103093168956.72,66770918034.47,32241958111.94,145164337665.74,94085696995.40,63550985808.67,26113895054.97,100986053418.75,66251860380.59,40004351557.71,19328568536.58,90170602551.30,54945185644.30,35178000065.42,16069088365.65,80358490655.38,47943453113.85,31026155926.28,13982004747.37,64018518721.73,41807102643.72,27590277629.25,12827607982.15,61521491843.90,37833866762.65,24698722138.53,11862709372.83,51254082478.72,32097998573.20,21479038216.44,10366884172.31,27459291482.46,14823916838.98,7134229646.57,1281790498.55,7078792219.73,4421994859.37,3166001781.15,1624027355.93,6517165401.18,4366198799.60,2998954686.05,1517157568.67,5306064215.18,3741523908.56,2441773116.68,1205721284.09,4520617634.78,3338962893.23,2174744746.90,1177550015.20,4142035782.54,3160178313.37,2136797336.23,1045073805.99,3471016529.47,2761802470.83,1818579959.90,1005846091.49,3248259536.59,1725928570.51,2764029146.72,1349821833.22,2664119622.15,1175644728.47,2169370629.45,1338311243.75,0.0
6,购买商品、接受劳务支付的现金,107132543141.56,67071312524.98,53165563858.25,30610340272.62,149463818913.67,83813906830.88,56487271047.24,28870959390.12,122187757370.06,78359259767.78,50714426852.28,24466205767.50,109059023442.80,69980174211.48,46438844993.02,20295078279.88,80572616754.93,51031230543.86,28843002267.07,14556114822.30,72987724029.74,42243158869.85,26510322739.50,13084101903.71,64595936275.71,35368876070.73,22533173631.55,10640992796.51,51377361749.19,31696216580.94,20788927652.63,9932029453.07,49500310890.63,28830319652.75,18658089176.85,8973007481.59,40590043362.10,24360705629.46,16066203990.20,8059013265.42,19930784674.75,9940834460.43,5193578480.21,869575549.47,3175317004.63,1389958758.82,1109090000.41,720020017.84,2536850214.07,1351528192.46,896939978.65,647533788.87,1641155538.62,1121497691.47,638893364.59,310647015.40,1220119626.19,1013161315.01,618876077.03,303428870.85,1222958535.36,925784979.85,561151010.60,282776881.65,1091446423.65,855834853.11,522259062.84,316074040.38,1002616600.28,514031093.75,843670952.21,447738493.23,883305687.22,296305623.23,549675589.52,319507074.84,0.0
7,支付给职工以及为职工支付的现金,15907986770.33,10479780672.57,6943982714.92,4109037560.78,16599349729.62,10596360736.95,7099413514.11,4132761466.71,15150421648.46,10122803700.97,6922219122.21,3904773850.94,13118374971.01,8444960103.05,5439958350.46,2073037469.84,6997663595.98,4448368857.41,2526789110.53,1495287096.46,4802115483.00,3311359994.33,2217459437.79,1258828919.92,4238040422.30,3194495988.12,2074064698.94,1138191943.58,3821492813.97,2629381935.70,1742577701.83,952580300.79,3148763092.05,2205955330.75,1427963800.03,749782061.59,2298980649.51,1633373019.61,1056523871.47,557118786.28,1661644463.22,902298174.94,520479877.43,167986195.35,2194813898.02,1615119172.25,1081877665.81,586342128.96,1904739987.96,1436822582.19,957034385.29,509332750.10,1687273010.89,1281920380.54,853056088.29,443397085.35,1490722579.84,1085891895.72,718367708.21,398212045.28,1287436440.14,977758366.09,683386547.39,353393242.63,1182995145.14,936957516.91,610200543.46,339405634.25,1115475103.43,492377147.56,877039871.88,360768315.47,722233006.98,348356531.45,564816351.81,302400785.57,0.0
8,支付的各项税费,5099382704.68,4325243987.65,3037755496.66,1659054130.62,5577754866.38,4681744516.48,3660127500.08,1923465194.86,6531035397.21,4235914025.06,3364729960.79,1757711769.95,5879653500.28,3803524937.35,3076633153.00,1441699671.13,4542651156.05,3417426892.23,2439124786.34,1230705536.47,3496101818.43,2713718527.90,1998018663.77,972192039.29,2662427725.20,2325897037.86,1651134385.73,752729800.98,2133661885.92,2069919689.89,1431815798.26,691800200.64,1931420153.65,1775378541.85,1347203980.61,638064512.67,1959283322.35,1822264296.41,1255626458.70,595211536.25,983053969.17,855529443.68,449864450.37,62401778.86,271177296.60,233911707.28,173830638.27,88511646.76,292933554.74,217952107.73,145111219.94,57305661.19,257737070.36,181192902.55,135677683.68,58366367.41,214495627.50,176588546.25,117114694.00,59311528.51,224970545.49,171867028.94,119049050.60,57745560.69,175314614.68,133212757.34,99487209.60,44234374.28,159090690.89,80547240.17,129404759.97,65438567.41,109792386.73,56734925.24,84800584.87,73577017.85,0.0
