,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,处置交易性金融资产净增加额,0,0,0,0,0,0,0,0,0,0,0,0,28197672745.36,27695456098.38,28996633129.91,19357919734.62,-23331090561.75,-642129686.83,1880355816.81,3898316250.64,3478790772.52,7312813855.84,-484380551.21,4073367512.53,-8017807557.33,4823790677.41,4594170771.02,1693799259.86,0,0,0,1449194931.01,0,0,0,312477402.39,0,2173232534.70,958120948.27,4936463368.65,0,632370044.41,1188432301.96,1662888690.52,0,-6629275843.62,-1200151431.94,1964446296.24,423886545.94,858598289.98,580134546.62,0.0
3,处置可供出售金融资产净增加额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,收取利息、手续费及佣金的现金,25293223635.45,23924962578.99,12330760645.90,6030784244.87,25133619216.89,21413156256.04,12644510625.75,6640145627.86,25136593410.35,20395255755.35,12867395289.45,6835164636.81,21967126130.20,21434989210.75,11657673174.49,7135631341.77,38413548689.48,29994440037.28,19617919675.44,6907734076.30,16625868602.18,10479944507.32,6417487650.71,3138792955.53,10158068789.70,7223455021.04,4661349649.33,2139790541.26,7820768114.78,5944827036.96,4145986094.59,2050678857.62,9003400210.60,6820053617.94,4787357971.73,2408680820.93,9944592946.20,6802683195.62,4613628345.23,2250456125.86,9961077642.56,7081798159.07,4190262685.89,1851424522.84,6879428588.97,5275394884.89,3963425153.06,2101823321.94,9361176799.19,6974572064.94,4343427482.91,0.0
5,拆入资金净增加额,5821878206.44,0,0,0,3555976774.01,5163167471.07,10477773618.97,5846298382.21,3021537853.08,0,0,0,1024176694.59,151700718.66,1688503335.05,-1217830630.15,-9699073770.77,-10983707698.28,-3790000000.00,-6000000000.00,11150000000.00,6650000000.00,3000000000.00,3100000000.00,-1030000000.00,890000000.00,3190000000.00,550000000.00,2150000000.00,3000000000.00,1500000000.00,2500000000.00,0,400000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,回购业务资金净增加额,37439568162.00,42346109581.13,25908347120.54,14883483477.96,39969459902.09,27685638913.00,5206993809.07,6410644164.53,0,0,5957963612.36,0,0,-66779406523.26,-57167467831.69,-17303664789.05,6434154041.99,23476065472.52,30316247844.59,16831350235.43,-6319346888.39,-8667475761.44,2205252516.54,-4379266933.95,3588134688.22,0,1095716917.67,1457776018.14,4928898819.92,5171189835.61,4003621627.32,4567413957.22,11038634000.00,11715981032.76,0,9167419303.32,0,0,0,0,5211500000.00,1106500000.00,2526200000.00,4875900000.00,771632079.51,921631699.51,888581955.78,861631729.51,-161632079.51,-1300011125.02,399998000.00,0.0
7,收到的其他与经营活动有关的现金,15357700111.45,8686441692.61,5912219471.01,10936195949.62,14131067760.58,8240344626.24,7202487240.29,5795426142.88,9269334626.97,10093475608.26,5947554046.68,5320309918.31,15445664611.37,7965734883.91,5943917680.66,10330365343.55,5385103080.77,7494652481.84,2291642912.05,3971986567.29,1335066908.32,2614250488.74,2023854170.64,719502381.71,1772008128.59,4029445101.76,5352288778.89,2489780171.33,825654360.52,1567544006.33,1085842522.10,1219946407.65,1494628807.09,790152087.37,505770086.68,73262537.02,970896505.35,264535312.65,128027727.95,2127463261.49,29472583550.09,21981227417.14,2699126792.33,5058963730.00,2724083485.16,3267902795.25,4337450821.18,361582288.64,35180368100.02,28920001718.69,28201663857.29,0.0
8,经营活动现金流入小计,99472517813.98,87887239818.33,62627551887.08,56735144335.85,95145299948.66,72640619829.00,38171891221.39,25837503388.02,38954508224.98,34302036631.80,31061967084.05,14059816271.31,79683449490.81,7939398600.69,2770282392.43,25226232814.46,65462135054.57,100528141739.17,154164141621.99,47920894154.66,66607655510.34,34691233645.40,17704482163.87,7728612829.01,9943148047.17,16966690800.21,18893526116.91,8331145990.59,15725321295.22,15683560878.90,10735450244.01,11787234153.50,21536663017.69,19726186738.07,5293128058.41,11961840063.66,10915489451.55,9240451042.97,5699777021.45,9314382756.00,44645161192.65,30801895620.62,10604021780.18,13449176943.36,10375144153.64,2835653536.03,7989306498.08,5289483636.33,44803799365.64,35453160948.59,33525223886.82,0.0
