,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,34175556685.00,23908180794.00,15921556332.00,9057652313.00,33366550836.00,20375095706.00,14509449786.00,7446505045.00,31876179830.00,24043671246.00,15969651788.00,6895197943.00,34225553547.00,27675187729.00,16819469745.00,7216003047.00,32477156197.00,20820722694.00,10285463969.00,4656353855.00,29339788068.00,17802511614.00,11245958024.00,4612948193.00,30385006903.00,17776760260.00,11810770185.00,3545960774.00,23898879002.00,18813707644.00,11737141110.00,4977348274.00,23889409357.00,16673977428.00,11869156001.00,4803058178.00,20642113366.00,15512614840.00,10379948818.00,2243331521.00,18711436550.00,8334682925.00,5158158397.00,2052516562.00,14814788425.00,10401878076.00,7103486619.00,2209893052.00,10846926916.00,6722934626.00,4349170795.00,1376263657.02,9182521422.00,5551994833.34,3833542634.00,5891169684.00,2535888199.00,1132200361.18,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8004550.00,7704550.00,7343283.42,7121931.00,0,0,17031597.00,6703116.00,23507482.82,0.0
4,收到的其他与经营活动有关的现金,436925356.00,352929300.00,236940642.00,206595402.00,222109745.00,23536401.00,16939583.00,5525250.00,111222656.00,31113817.00,23142250.00,6784199.00,80818690.00,120796121.00,23210187.00,12079690.00,77175851.00,16246105.00,20170768.00,18160851.00,266598193.00,17976757.00,16932353.00,7913928.00,39822721.00,36603854.00,29341438.00,12749869.00,32099782.00,57837549.00,51055950.00,74970756.00,13748647.00,107351494.00,18631689.00,15707379.00,14911668.00,102271078.00,78958252.00,41175623.00,20769498.00,87555220.00,38571196.00,31403916.00,13569709.00,258687440.00,78748789.00,14951557.00,1292141.00,55863621.00,39310266.00,125130161.94,13458039.00,142493237.28,54894542.00,298206.00,866465.00,2470444.09,0.0
5,经营活动现金流入小计,35120752234.00,24266785213.00,16184043412.00,9521819086.00,33588660581.00,20398632107.00,14526389369.00,7452030295.00,32395006268.00,25199816890.00,16068394416.00,6999649914.00,35457637111.00,28145636419.00,17410302920.00,7640151102.00,32669185004.00,21554862132.00,11279382675.00,4674514706.00,29695670459.00,17892052922.00,11353607740.00,4719502509.00,31046173378.00,17813364114.00,11840111623.00,3558710643.00,25278694994.00,18871545193.00,11788197060.00,5052319030.00,23903158004.00,16781328922.00,11887787690.00,4818765557.00,20657025034.00,15614885918.00,10458907070.00,2284507144.00,18732206048.00,8422238145.00,5196729593.00,2083920478.00,14828358134.00,10660565516.00,7182235408.00,2224844609.00,10848219057.00,6786802797.00,4396185611.00,1508737102.38,9203101392.00,5694488070.61,3888437176.00,5908499487.00,2543457780.00,1158178288.09,0.0
6,购买商品、接受劳务支付的现金,27062258645.00,17996079665.00,11649125934.00,6339867729.00,27792234439.00,16068748870.00,11635840101.00,6045983218.00,28755823975.00,23050370610.00,14180251745.00,6289183186.00,29032648278.00,26356829515.00,16152960385.00,7964750064.00,27110297618.00,20054334999.00,10318593967.00,3821485821.00,24100990011.00,15787683400.00,9887519377.00,4293845644.00,26260360199.00,14225557486.00,9207932969.00,2957445988.00,20761247545.00,16974366685.00,10592016443.00,4895013802.00,22880533207.00,15629525110.00,11135737259.00,5454262477.00,17244931032.00,13159323962.00,8552564114.00,1853905407.00,16717791684.00,7267100865.00,4730841309.00,1388623404.00,12570993455.00,8061498856.00,5426660069.00,1627710598.00,6499997597.00,3196639809.00,1893695297.00,506229353.41,7146070965.00,4486448953.18,2518247668.00,4464520033.00,1936246929.00,688692827.83,0.0
7,支付给职工以及为职工支付的现金,893223819.00,586087699.00,408286572.00,205370165.00,763632649.00,461673409.00,316764849.00,155946717.00,604596847.00,377054249.00,260672034.00,130992842.00,648610997.00,389488842.00,260516717.00,140864558.00,735309695.00,398587372.00,234702204.00,115789876.00,675611704.00,329794533.00,195260332.00,94148489.00,681646250.00,372924242.00,272080705.00,131453099.00,527661375.00,428886277.00,276771168.00,145648668.00,572901355.00,295450753.00,194536713.00,86713087.00,440386005.00,271810306.00,185621306.00,78327360.00,399749109.00,277608746.00,195385871.00,95448860.00,491069254.00,360694588.00,268025409.00,174090883.00,449682279.00,306519899.00,149771186.00,86603974.15,233004458.00,170336367.75,116667239.00,234024343.00,78634445.00,58167081.08,0.0
8,支付的各项税费,1368814647.00,1030186825.00,695140991.00,361740309.00,1424647635.00,1219046317.00,833014266.00,360174405.00,907993145.00,792946958.00,539033594.00,237706776.00,598210566.00,461788091.00,247216965.00,95661215.00,516533017.00,467915425.00,307095689.00,121507993.00,501776559.00,457770717.00,253485071.00,93883372.00,822777383.00,741121701.00,547061229.00,185058737.00,929134963.00,865761452.00,672441846.00,362061501.00,998795498.00,915870170.00,624489669.00,241888204.00,821893024.00,623403487.00,418920866.00,191802258.00,763477759.00,611524265.00,445807918.00,150556553.00,1094434758.00,888147350.00,664378302.00,364900155.00,968053256.00,854924986.00,465943440.00,258600841.74,478978663.00,443633774.15,180661839.00,245461934.00,139969869.00,51324944.18,0.0
