,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20141231,20131231,20121231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1332394145.02,819643895.08,375388321.97,267636663.52,204575647.45,159683514.51,109969351.12,104400973.91,580629778.25,398779545.47,118943156.80,328828982.94,2664181561.34,2418731186.23,1284042666.48,504402559.26,1807197039.95,1171524618.87,681710660.42,719570392.69,0.0
3,收到的税费返还,34322468.52,34322468.52,34322468.52,0,1128575.03,0,491323.47,167538.45,35546177.94,35545079.79,34614019.44,27273393.92,205869125.92,106768162.00,59220372.96,35042682.09,151419862.49,95381451.30,34058616.94,45055339.37,0.0
4,收到的其他与经营活动有关的现金,18827308.59,15314032.93,11980079.13,5210045.58,19024811.65,21547353.45,15673785.91,13378860.03,82110462.41,106069432.58,103832546.86,104080126.14,19643380.60,20376629.91,17506663.99,-23717.99,35025197.08,3086399.10,3919495.00,4909248.97,0.0
5,经营活动现金流入小计,1385543922.13,869280396.53,421690869.62,272846709.10,224729034.13,181230867.96,126134460.50,117947372.39,698286418.60,540394057.84,257389723.10,460182503.00,2889694067.86,2545875978.14,1360769703.43,539421523.36,1993642099.52,1269992469.27,719688772.36,769534981.03,0.0
6,购买商品、接受劳务支付的现金,987780657.92,640600287.34,372795628.98,148482426.93,410905489.91,240943378.64,138419227.63,116114674.70,598705717.14,361013785.25,250733573.39,263640486.73,1676533853.55,1654459062.04,1015341242.15,404853696.97,1462867971.62,794945468.49,371287318.64,560056371.19,0.0
7,支付给职工以及为职工支付的现金,164846394.83,114382182.81,73645657.90,42028029.57,110171576.33,81900954.15,57433296.66,34212110.91,133129152.69,106983977.40,84217767.46,54392389.71,186568193.92,144951571.72,105693740.98,61705385.81,160073954.18,112745513.79,73549504.16,56662190.03,0.0
8,支付的各项税费,12573520.10,9316682.90,8474928.92,1513674.61,34018779.98,29960122.82,29584731.65,6160585.67,71188685.51,65495472.50,61811961.03,17774109.06,52798415.06,46009428.75,10356314.51,784159.94,46772385.28,34256844.52,23808974.87,24157645.34,0.0
9,支付的其他与经营活动有关的现金,265067358.02,30585587.49,19465862.67,5711485.49,36877583.46,24867615.40,15188521.34,7111831.62,51461815.38,30131357.26,21388121.57,12527645.38,197529769.12,168751410.43,50916878.44,29574723.67,108723547.84,48106529.90,41164528.29,49619553.35,0.0
10,经营活动现金流出小计,1430267930.87,794884740.54,474382078.47,197735616.60,591973429.68,377672071.01,240625777.28,163599202.90,854485370.72,563624592.41,418151423.45,348334630.88,2113430231.65,2014171472.94,1182308176.08,496917966.39,1778437858.92,990054356.70,509810325.96,690495759.91,0.0
11,经营活动产生的现金流量净额,-44724008.74,74395655.99,-52691208.85,75111092.50,-367244395.55,-196441203.05,-114491316.78,-45651830.51,-156198952.12,-23230534.57,-160761700.35,111847872.12,776263836.21,531704505.20,178461527.35,42503556.97,215204240.60,279938112.57,209878446.40,79039221.12,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,
