,code,name,mbrg,nprg,nav,targ,epsg,seg
0,000536,华映科技,3125.2217,440391.44200000004,6843.9163,2655.3761,,5315.724
1,000893,东凌国际,233.3999,58605.8373,3.0636,189.7528,43900.0,3.0636
2,000776,广发证券,-100.0,34268.2282,6786.4776,23716.9276,2100.0,6430.9382
3,600546,山煤国际,1353.8021,9339.5423,582.2149,1136.0626,2064.3836,373.9703
4,601975,招商南油,37.3661,5780.7963,3.0646,24.3068,7100.0,2.0469
5,000825,太钢不锈,34.5932,4611.1116,7.8982,7.4541,2800.0,7.0543
6,600728,佳都科技,200.5069,4574.3624,,132.3928,2797.8125,-287.7554
7,600891,*ST秋林,18.2753,3369.9568,106.5508,-0.6777,3150.0,110.3832
8,000156,华数传媒,17.792,3163.7874,,-24.573,3700.0,-22.7182
9,600868,梅雁吉祥,22.1894,2556.3415,0.6801,-23.7897,5400.0,7.5445
10,600629,华建集团,62.1571,2521.9043,15.4032,6.2624,1000.0,25.691
11,000973,佛塑科技,-5.9411,2272.5462,12.5616,3.9703,-836.0,11.9188
12,000584,哈工智能,92.3294,2263.0063,7.9442,22.401999999999997,844.3946,6.7552
13,600160,巨化股份,47.9515,2253.3336,20.9226,14.7902,2003.3333,16.9567
14,600694,大商股份,15.3295,2150.9267,0.8525,4.1975,-1050.0,0.1903
15,600584,长电科技,60.9668,2124.4541,6.1669,1.5129,15026.6667,6.4248
16,000998,隆平高科,39.1408,2047.4817,4.9884,15.8485,36.3636,1.6466
17,000760,*ST斯太,-6.0788,2042.6977,33.3019,-9.3695,,-3.1748
18,002057,中钢天源,51.7705,1973.4955,4.462,23.6209,961.9469,3.9827
19,600647,同达创业,200.6431,1868.3485,150.8165,-32.347,1327.4809,154.4
20,002110,三钢闽光,15.797,1798.1881,3.6937,7.2693,1750.0,3.6937
21,600841,上柴股份,47.9495,1666.8397,3.1987,19.4358,79.3103,5.3899
22,002067,景兴纸业,33.3253,1599.6461,5.5692,8.9614,375.0,5.093999999999999
23,600423,ST柳化,47.0805,1555.1377,2.4851,5.9759,1300.0,5.1588
24,002035,华帝股份,24.2592,1238.1925,29.9926,10.8151,1115.0,27.6539
25,000656,金科股份,-24.1202,1227.3028,7.3683,8.1269,1160.0,7.3683
