,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,002175,*ST东网,89.68,66.3,24.4555,153.1149,0.2031,230.9201,0.3063
1,002458,益生股份,60.43,60.72,65.3717,2176.0391,3.7710000000000004,3583.5341,6.2101
2,300552,万集科技,52.97,26.0,45.8538,871.5468,7.9276,3351.2077,30.4828
3,002607,中公教育,52.58,19.66,58.451,1804.5487,0.2925,9176.13,1.4878
4,600768,宁波富邦,49.66,21.57,2.5227,111.6047,0.8344,517.2981,3.8677
5,600132,重庆啤酒,46.3,18.34,41.6882,656.9273,1.3573,3581.9237,7.4011
6,000911,*ST南糖,44.92,0.87,5.9074,31.8912,0.0984,3662.9498,11.3025
7,000672,上峰水泥,42.93,31.45,48.7956,2331.4763,2.8655,7412.0626,9.1099
8,002299,圣农发展,38.76,28.11,34.5495,4092.6112,3.3018,14558.4368,11.7455
9,002182,云海金属,34.06,16.33,16.0283,910.3704,1.4083,5572.0583,8.6198
10,688228,开普云,33.45,26.26,59.0639,78.2843,1.5547,298.0677,5.9199
11,000895,双汇发展,32.97,9.01,18.7912,5437.6126,1.6381,60309.7318,18.1695
12,601155,新城控股,32.92,14.74,32.6449,12654.0281,5.6072,85847.0414,38.0405
13,600678,四川金顶,32.37,13.31,32.5287,39.3021,0.1126,295.1223,0.8456
14,603288,海天味业,32.28,27.04,45.4423,5353.185,1.9823,19796.8898,7.3311
15,300822,贝仕达克,31.1,19.59,35.3833,144.4208,1.8052,736.9912,9.2123
16,002746,仙坛股份,30.36,28.32,29.9375,1000.6653,2.158,3533.3871,7.6201
17,002677,浙江美大,30.27,27.3,53.5253,460.0129,0.7120000000000001,1684.4757,2.6073
18,002555,三七互娱,30.08,15.98,86.5726,2114.7701,1.0011,13227.136,6.2621
19,600119,*ST长投,29.93,7.56,18.3085,60.4691,0.1967,799.6677,2.6013
20,603360,百傲化学,29.68,35.18,60.9178,306.8014,1.6434,871.8961,4.6706
21,600732,爱旭股份,28.18,9.64,18.0615,585.2428,0.3198,6069.2372,3.3167
22,300628,亿联网络,28.1,49.62,66.0004,1235.2946,2.0606,2489.3467,4.1526
23,688208,道通科技,28.06,27.34,62.3589,326.9776,,1195.7996,
24,600346,恒力石化,27.59,9.94,20.7542,10025.1791,1.4242,100782.3711,14.3175
25,688189,南新制药,27.5,9.01,88.6128,91.4743,,1014.2230000000001,
26,300577,开润股份,27.09,8.38,27.775,226.0042,1.0395,2694.8186,12.3948
27,000789,万年青,27.02,12.01,31.545,1369.0001,1.7168,11390.4307,14.2849
28,600556,ST慧球,26.84,13.07,27.4422,258.5969,0.1538,1977.3083,1.1766
29,300529,健帆生物,26.64,39.86,86.2137,570.8227,1.3634,1431.8194,3.4199
30,600566,济川药业,26.58,23.38,84.0024,1622.9739,1.9915,6939.9938,8.5161
31,002714,牧原股份,26.46,30.23,35.9531,6114.3637,2.7503,20221.3325,9.3535
32,603444,吉比特,26.34,37.28,90.5401,809.1901,11.2571,2170.3719,30.1934
33,300821,东岳硅材,26.25,20.24,27.6918,553.4253,0.6149,2733.151,3.0368
34,300598,诚迈科技,26.22,25.66,26.2811,169.4124,2.1176,660.1367,8.2517
35,600507,方大特钢,26.15,11.11,24.6819,1711.1906,,15388.9991,
36,000011,深物业A,25.97,20.64,63.8128,817.8058,1.3722,3961.6699,6.6473
37,603111,康尼机电,25.61,19.13,34.6047,650.3608,0.6547,3398.222,3.4212
38,002190,*ST集成,25.59,38.36,13.7228,642.4531,1.7909,1674.7086,4.6684
39,002977,天箭科技,25.54,34.71,52.7401,96.0765,1.7924,276.7665,5.1635
40,002372,伟星新材,25.29,21.08,46.4343,983.2493,0.625,4664.0609,2.9648
41,603899,晨光文具,25.23,9.51,26.1308,1060.0836,1.1522,11141.1014,12.1098
42,300760,迈瑞医疗,25.17,28.27,65.2388,4680.6468,3.8501,16555.9913,13.6185
43,002127,南极电商,24.82,30.87,38.5003,1206.1369,0.4913,3906.8482,1.5914
44,688051,佳华科技,24.68,23.08,48.2953,118.8515,2.0491,514.7816,8.8755
45,002916,深南电路,24.65,11.71,26.5325,1232.7755,3.6326,10524.1969,31.0118
46,600877,*ST电能,24.63,22.88,46.736000000000004,79.7393,,348.4752,
47,600585,海螺水泥,24.45,21.39,33.2867,33592.7552,6.3389999999999995,157030.3281,29.6322
48,603290,斯达半导,24.17,17.35,30.6132,135.2785,1.1273,779.4397,6.4953
49,600309,万华化学,23.91,14.88,27.9983,10129.9851,3.2263,68050.6687,21.6739
50,603353,和顺石油,23.7,8.33,19.1869,161.7367,1.6173,1940.1467,19.4014
51,300016,北陆药业,23.6,41.8,68.8977,342.4383,0.6922,819.1194,1.6558
52,603737,三棵树,23.54,6.8,38.834,406.1437,2.1791,5972.2634,32.0433
53,688222,成都先导,23.49,45.52,81.5486,120.2661,0.33399999999999996,264.1969,0.7338
54,002463,沪电股份,23.48,16.91,29.5258,1205.9805,0.6992,7128.5446,4.1331
55,300357,我武生物,23.46,46.65,96.4257,298.2966,0.5697,639.3529,1.2211
56,002925,盈趣科技,23.44,25.24,39.8333,973.1688,2.1242,3854.4425,8.4134
57,000848,承德露露,23.29,20.61,52.6155,464.8685,0.475,2255.3941,2.3048
58,603949,雪龙集团,23.29,27.34,52.8702,99.8836,0.8887,365.3066,3.2503
59,002803,吉宏股份,23.19,10.84,43.4176,326.257,1.4657,3009.2527,13.519
60,002980,华盛昌,23.15,19.53,43.9102,90.9607,0.9096,465.5456,4.6554
61,300595,欧普康视,23.06,47.43,78.4091,306.8893,0.7584,646.9037,1.5987
62,300003,乐普医疗,23.05,22.13,72.2252,1725.3062,0.9683,7795.5294,4.3754
63,600234,ST山水,22.98,7.41,29.6637,16.89,0.0834,227.9029,1.1257
64,002690,美亚光电,22.84,36.28,55.4515,544.5578,0.8055,1500.7783,2.22
65,000049,德赛电池,22.84,2.72,8.3611,502.1798,2.4236,18442.6876,89.01
66,000717,韶钢松山,22.79,6.25,12.124,1823.5357,0.7536,29143.1838,12.045
67,688398,赛特新材,22.68,18.53,43.1526,74.3257,1.2387,400.9258,6.682
68,300033,同花顺,22.49,51.52,89.6203,897.6754,1.6697,1742.0939,3.2405
69,688085,三友医疗,22.34,27.6,91.2631,97.8184,,354.3193,
70,688178,万德斯,22.32,16.09,33.2091,124.5277,1.9534,773.7684,12.1378
