,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,6160187234.55,3673609967.92,1817927582.52,7077867725.11,5277497855.45,3137195188.09,1598766945.81,6392025592.60,4803864030.83,2814462384.39,1450762164.94,302777259.54,220275776.47,137586851.29,68860637.78,305819618.85,225494723.37,145974373.48,73033140.16,301805439.20,216558174.63,126034375.76,63489572.40,316675883.80,231272947.11,151236425.00,76061992.52,328785820.67,240808211.28,157005079.21,78142892.94,310468400.14,222191759.05,145486923.88,71671742.38,267919015.51,186109354.32,121419290.35,59911188.95,220827957.33,151514185.05,104638249.48,54888028.00,267747370.04,192208389.99,140243444.50,64148835.19,319146060.64,212021415.75,159812672.25,58938881.19,306891250.06,198587650.57,147371232.19,57480233.84,294603887.79,190720093.75,143012914.80,51826620.89,254043220.59,158541881.16,114258790.20,35841864.49,147871123.04,67823440.01,52589904.62,14796661.86,207801911.72,141840083.06,103871662.81,44814389.97,226391818.87,124130280.95,224342557.45,106709986.14,206262491.07,95205411.65,245184712.67,121547238.92,260275582.70,126139587.96,195284289.58,97119373.88,256500498.98,130432959.00,229750486.40,111737369.00,204115562.48,0.0
2,营业收入,6160187234.55,3673609967.92,1817927582.52,7077867725.11,5277497855.45,3137195188.09,1598766945.81,6392025592.60,4803864030.83,2814462384.39,1450762164.94,302777259.54,220275776.47,137586851.29,68860637.78,305819618.85,225494723.37,145974373.48,73033140.16,301805439.20,216558174.63,126034375.76,63489572.40,316675883.80,231272947.11,151236425.00,76061992.52,328785820.67,240808211.28,157005079.21,78142892.94,310468400.14,222191759.05,145486923.88,71671742.38,267919015.51,186109354.32,121419290.35,59911188.95,220827957.33,151514185.05,104638249.48,54888028.00,267747370.04,192208389.99,140243444.50,64148835.19,319146060.64,212021415.75,159812672.25,58938881.19,306891250.06,198587650.57,147371232.19,57480233.84,294603887.79,189748683.31,142472153.68,51826620.89,254043220.59,158541881.16,114258790.20,35841864.49,147871123.04,67823440.01,52589904.62,14796661.86,207801911.72,141840083.06,103871662.81,44814389.97,226391818.87,124130280.95,224342557.45,106709986.14,206262491.07,95205411.65,245184712.67,121547238.92,260275582.70,126139587.96,195284289.58,97119373.88,256500498.98,130432959.00,229750486.40,111737369.00,204115562.48,0.0
3,二、营业总成本,5933721916.00,3538757577.55,1756803316.49,6860261064.46,5093161526.90,3032588529.74,1545519515.30,6193139786.05,4637418604.04,2720066439.78,1406902596.20,276917767.02,194007368.75,119905898.11,60477215.39,269155215.83,195945422.65,124452551.33,63559935.02,262937118.06,192810680.46,115782716.84,58289157.41,277719547.24,203296636.96,132327983.96,65717534.53,291012740.56,210979539.05,136943116.70,66997849.82,280824572.09,203432702.23,133108903.20,65527243.08,258073573.73,185744870.20,121655027.98,60968851.56,287158386.18,190347978.43,130106676.62,69749430.61,286094952.51,207473033.31,138479187.69,71053049.49,288977886.06,206688635.84,139325928.74,68221393.83,274981095.54,191453178.68,129300927.37,64872385.92,258183434.40,188404294.15,130317966.49,59015256.50,218618482.82,153744447.74,103741904.70,47538637.27,180202701.95,114450525.42,77409895.82,35045894.75,197804693.02,137477368.37,96823351.74,43693158.06,295199880.31,111151153.38,203483834.91,92634163.31,180950498.02,79705208.45,190808472.01,92564235.03,186688027.53,0,160773357.11,0,186176214.58,0,162596097.18,0,153581849.57,0.0
4,营业成本,5310070542.54,3161430521.85,1563111034.74,5988994421.58,4439061861.66,2640180937.58,1343547085.84,5333598225.68,3987994342.48,2316265574.69,1179445465.71,136963984.30,95022779.20,56625128.69,26914498.92,131689262.94,95757180.24,57928822.48,28886570.61,130917048.69,94847104.15,57170877.46,28240484.43,144773973.37,107498478.37,67542493.23,34083976.08,154719467.30,110925399.54,69796705.12,33599100.58,142422048.40,98397482.34,60580329.72,30125282.42,115533525.94,80419936.03,49444541.18,25538987.95,117348235.93,80423570.94,53864706.72,29755920.40,103944037.53,74085180.26,49943967.13,26216916.08,100750453.20,21625979.26,14958718.83,8918219.93,28265886.41,19563421.56,13211694.08,7920681.82,24996950.53,18333060.26,12431685.25,7484131.07,23335320.87,16329848.24,9936327.24,5726976.02,9296048.83,4664440.43,2821306.98,1685880.92,16179274.89,12943694.44,8767025.32,5303229.80,22736430.49,12847257.75,28457872.51,13561212.28,25119123.00,11305010.22,23789481.05,10880214.72,21525846.32,0,21669026.49,0,27466695.61,0,27229967.88,0,28972937.51,0.0
5,营业税金及附加,25263754.15,16403527.90,7956882.34,37045775.08,27406628.04,16263807.95,8577005.25,39356659.35,26697480.66,17392478.93,7944443.62,11474564.32,5632588.30,5180350.59,3611132.08,15645767.59,11392469.32,7207864.13,3741631.25,15319003.32,10903693.91,6395731.12,3308647.24,16333962.51,11889304.99,7864727.62,4043524.04,17728871.70,13254218.55,8748056.65,4444002.14,17019305.61,12165317.70,8072730.44,3985630.28,14671976.19,10323983.27,6854222.35,3381687.43,12301534.05,8450071.63,5917422.75,3111148.84,14444357.59,10647243.96,7861107.08,3621401.51,17768069.74,11901541.50,8967943.95,3380725.29,17100835.73,11230249.34,8271100.04,3334634.95,16438418.90,10439270.61,7761304.89,2934428.90,13838117.61,8617633.73,6245565.45,1958820.54,7117465.96,2769546.19,2672659.11,903769.16,11621204.58,8001383.75,5968790.25,2413020.30,12277337.53,6721249.43,12296184.40,5877278.21,10962551.77,5274436.10,14402139.71,7107535.02,15170944.74,0,11756478.54,0,14172911.62,0,12503570.00,0,10346895.34,0.0
6,销售费用,387349850.85,230618673.07,116643807.13,498262904.69,354229683.75,214398850.45,108042870.13,490365546.67,360218211.65,226204219.14,128023575.48,51224603.38,41650289.67,25958811.81,13677499.78,54525077.18,39604086.28,26192196.49,13250678.52,52337785.53,38912707.06,25599931.94,13152405.01,57152438.28,41294012.84,27910771.12,13757629.44,58309651.46,42713827.01,28470494.77,14240635.32,62957863.81,48375374.91,33057120.33,16573343.27,68432216.79,50315913.04,33580280.32,16792957.06,73690759.78,52797455.77,35756020.99,18005625.52,45728123.13,31372377.60,23636126.71,12006963.54,45547308.48,76450502.16,52100227.99,24468585.87,101557815.62,70667272.37,48284338.75,24447248.40,96499957.69,71538684.89,48466513.80,19783914.37,85056403.43,65694264.64,45145263.77,19655644.13,83532262.69,51150762.53,35374637.79,15624166.60,85817134.64,64656678.18,46750505.07,19174247.86,106705586.48,54476343.01,97078956.61,43336106.48,87154028.33,37313554.15,94833624.62,45663924.35,95396972.85,0,92937103.71,0,100295030.06,0,95140494.38,0,82225553.92,0.0
7,管理费用,207489113.50,125332135.81,64994354.46,310599648.25,249246859.90,150479518.92,79564467.55,303245798.73,239440560.73,148104176.78,83872385.59,72637702.04,48154007.74,29970040.28,15234426.20,62605852.05,45816639.10,30957093.90,16656734.81,60661078.87,45822394.11,27385969.46,14025993.18,60275266.04,43423534.78,29114028.55,14203252.00,60389833.01,44403763.86,30108409.83,14618463.87,56249445.43,43340501.85,30555438.56,14564091.75,55297155.49,42771360.77,30194014.64,14375311.44,67714280.04,45969674.55,32715345.83,17925671.82,112378062.50,87354500.00,54364370.80,27944559.19,116474355.82,91949478.93,60016538.06,29868471.32,123609535.81,85958498.36,56728982.72,27696097.10,113743269.14,83402584.01,57923699.49,27841071.22,91987574.87,62372229.01,41846352.48,19966108.45,78426873.66,55669069.49,36406531.50,16679850.19,83362768.22,51457185.92,34950277.44,16838961.94,153279386.54,36563707.39,64828494.33,29394593.05,56011569.03,24887840.45,69426281.47,33752840.61,63330346.53,0,55589425.48,0,55008081.39,0,54094438.99,0,58423346.52,0.0
8,财务费用,-3003807.72,285658.07,1167077.54,22921486.81,20380171.27,12093459.90,5741101.38,24036844.13,23460847.71,12595204.26,7602839.72,4478716.17,3495752.59,2163233.79,1039658.41,4549276.94,3373810.97,2165337.59,1024319.83,3767619.75,2426213.19,-779265.21,-438372.45,-891558.21,-803263.96,-98606.50,-370847.03,-27739.69,-176375.77,-176470.71,95647.91,1290968.67,1185191.42,874450.14,278895.36,3091965.48,1771006.13,1439298.53,879907.68,4170127.58,2707607.20,1853581.99,949011.23,7660701.88,4017107.80,2676992.28,1263209.17,8049175.99,4762798.53,3285880.18,1585391.42,4447021.97,4033737.05,2804811.78,1473723.65,6504838.14,4690694.38,3734763.06,971710.94,4401066.04,730472.12,568395.76,231088.13,1830050.81,196706.78,134760.44,152227.88,824310.69,418426.08,386753.66,-36301.84,201139.27,542595.80,837334.33,464973.29,1703225.89,924367.53,-11643054.84,-4840279.67,-8736082.91,0,-21178677.11,0,-10766504.10,0,-26372374.07,0,-26386883.72,0.0
