,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2668651159.20,1681556499.85,846981086.18,3606442563.49,2442758850.18,1521438636.77,633731084.42,3452079793.87,2296666377.70,1475084399.22,665325879.22,3022738431.85,2128982902.86,1329963821.01,566499197.02,2869026695.44,2054639926.93,828303209.68,367311625.74,1690688428.33,1087889090.12,694916406.84,312783620.78,1527790288.41,1154337117.77,851209253.42,349971178.96,1522861788.88,1184174386.20,780855937.77,366299306.27,1702512356.09,1293277734.18,755607410.95,334855140.03,1202127586.67,882584698.81,581739733.64,274381094.94,1009025724.18,775269520.68,530274286.78,234684408.51,1180237898.51,895240132.04,641093931.91,245573331.63,1029471633.72,767300784.06,519420011.67,221706852.57,930229323.83,691235338.54,450071413.53,199290825.79,915783319.02,650263344.71,436974755.35,194654240.71,837635837.84,633933801.19,401937920.43,181366792.48,714273243.98,511864023.52,307228338.00,119260864.99,536083626.89,390626192.62,238330420.38,98667184.68,457603779.99,213932794.31,293044472.16,155256242.76,254863470.94,123205959.84,201777012.53,108544234.70,199938715.16,167576019.16,237731868.67,0.0
2,营业收入,2668651159.20,1681556499.85,846981086.18,3606442563.49,2442758850.18,1521438636.77,633731084.42,3452079793.87,2296666377.70,1475084399.22,665325879.22,3022738431.85,2128982902.86,1329963821.01,566499197.02,2869026695.44,2054639926.93,828303209.68,367311625.74,1690688428.33,1087889090.12,694916406.84,312783620.78,1527790288.41,1154337117.77,851209253.42,349971178.96,1522861788.88,1184174386.20,780855937.77,366299306.27,1702512356.09,1293277734.18,755607410.95,334855140.03,1202127586.67,882584698.81,581739733.64,274381094.94,1009025724.18,775269520.68,530274286.78,234684408.51,1180237898.51,895240132.04,641093931.91,245573331.63,1029471633.72,767300784.06,519420011.67,221706852.57,925137896.30,687505300.10,447495974.66,198203512.99,908885029.44,644564372.78,432940578.36,192565840.64,830095489.63,628396437.49,398335399.35,179659513.20,708071053.00,507058950.88,304037385.45,117837865.20,529740451.88,384872789.66,234481008.89,97122676.27,450364131.74,210614246.39,289617784.04,152518389.95,250853997.20,121291509.40,195794175.11,106006573.04,194565800.90,161923415.24,237610736.90,0.0
3,二、营业总成本,2493997522.15,1580759027.72,811469067.26,3360419853.97,2270080410.38,1442314246.47,665624831.57,3266427019.50,2192308435.85,1398718194.00,637876971.30,2837038492.50,1985796757.38,1262985609.35,556756266.85,2772676591.65,1994466964.99,827887258.21,369623435.06,1605613919.14,1030303981.03,657572425.70,302791634.47,1458518867.08,1116434216.35,830947940.18,346169965.22,1502046131.17,1137616847.58,751420406.11,348693385.56,1613052960.34,1212299299.42,711902406.57,316838043.27,1161504564.65,851698113.73,569197517.54,268726878.83,1006126796.55,767172703.42,529080304.03,240831196.03,1205968968.28,904960840.81,643974341.63,257061946.88,1057424917.98,792922567.12,522593519.13,223697784.68,908832776.72,662838871.89,429332626.59,192263962.16,873898212.89,618350991.78,418161623.62,189515854.47,803609337.84,606614903.58,386098564.53,175512372.33,687474262.77,488976792.18,293648522.06,115706619.68,505774614.89,367685314.74,225189452.88,94731880.32,423327432.08,193617307.49,269250377.41,140529115.18,227066677.00,108411646.78,172390876.35,92949179.24,175225011.45,137957054.37,206583524.55,0.0
4,营业成本,1871906757.08,1181010787.60,611644380.05,2551592627.13,1738556415.46,1099975412.07,472586204.57,2476577050.08,1633221572.36,1042201441.47,472416237.41,2115982159.73,1475608206.36,942542052.75,404897852.00,2049247047.76,1483914401.02,630766934.01,278113867.00,1227171962.43,794038435.73,512109881.88,235505517.79,1079850653.62,837299873.29,625564577.02,256863569.96,1148703526.24,904741428.65,600096586.79,279025970.66,1285006842.49,976833142.40,567033689.23,253327937.46,891787759.82,650460188.53,428403278.47,203636902.65,744555513.40,581286630.08,403535558.16,177548786.78,957789408.17,725323238.40,521476641.09,195964258.50,848399278.25,635170969.17,416058763.17,172825906.05,728630501.00,545139571.62,343082321.97,148740009.39,706858801.24,501457011.71,343664720.33,150840907.76,660388122.16,504070543.73,318443218.45,142147786.61,563846819.16,403072302.63,240483538.24,93550920.13,409838327.01,300763139.13,182597232.66,75921525.99,343498042.17,157753173.47,213291685.38,118101155.49,179488685.91,83025900.41,125906053.74,71003246.32,129329069.13,106526015.88,170996213.94,0.0
5,营业税金及附加,27764770.96,20795305.48,15594941.96,31094633.94,22608503.18,14856749.80,6859314.38,30681032.60,21055683.26,13466421.91,6879488.19,27830421.03,14364734.33,9361364.79,4116736.70,29911330.49,21423787.91,13176352.42,3946169.62,18811940.33,10150849.42,6179754.46,2016918.98,19618041.16,13544313.65,10545287.88,4542846.27,19293103.66,15561757.58,10369577.43,4772635.09,13255479.62,9540351.70,4797204.70,2023228.04,8316636.51,7109187.87,4547251.02,1880887.34,8724489.91,7658135.33,5726798.87,2657819.05,8556326.55,6382869.05,4891811.07,1880920.69,6264806.82,4558463.40,2973626.08,1239732.39,6814036.00,4912489.17,3128706.60,1293896.97,7128142.44,5329713.91,3379446.17,1018526.41,4231649.69,2625730.67,1677790.03,562418.30,3096398.21,2214878.41,1533302.13,699170.20,2049408.87,1659260.15,1412539.51,617907.67,2643768.11,945700.26,907380.90,509288.35,1738037.42,1001282.01,1373384.75,667763.24,1349270.60,739492.07,1144062.76,0.0
6,销售费用,327437339.50,203060794.12,93018020.02,452607085.97,300393459.33,185940389.10,87185114.11,378991366.15,275273019.31,175175500.63,85014985.49,384100878.46,263140348.44,156841958.16,75261020.95,347612745.07,249410653.26,82125046.97,35806675.98,172859761.11,117301179.57,73120981.74,35721243.94,189225379.00,138219532.72,101743690.90,50639676.94,148678553.15,109488269.36,74039210.05,32718448.75,149018722.68,108068767.51,64128887.82,29650328.76,122078959.28,81632902.52,53885656.67,28195768.92,101141946.28,71625466.48,50573826.96,25553720.69,90480055.36,67591810.34,46009053.65,25704850.48,83819864.35,63489152.36,43465545.10,22290915.37,68935433.16,49672553.75,36695885.69,17956201.87,67077538.67,45595842.06,28278935.38,14730972.00,55612980.78,40987386.81,26201472.99,12731275.02,50437498.69,35026388.49,20827044.79,7640981.13,35075376.22,25374120.48,13995217.69,7155064.44,28515426.59,13686659.74,24054281.36,8824551.32,17754793.23,8319788.70,12821032.48,6596092.82,14696488.73,0,0,0.0
7,管理费用,161962203.03,101913994.33,52163329.24,207195518.39,144039250.01,127289418.80,65098228.91,258413335.97,174875106.75,112324535.09,56718737.81,245896891.70,177750328.09,115774234.54,55682587.08,267310204.95,193372633.56,87119917.97,40983455.70,155467417.11,89157181.55,52968393.85,23817426.17,138520086.53,107776967.84,77611017.05,26961005.91,150004869.77,83740171.97,50545532.72,23267918.59,121725139.54,92440080.73,59473951.29,24821733.39,96503359.37,76569304.85,52025397.47,27050630.11,106339052.87,78065136.77,51226284.24,26133178.41,103529821.47,68916825.23,46516603.95,23140558.45,82920387.34,63682811.71,43186652.91,18292934.38,85141765.97,49545641.91,38029320.19,20266160.49,76114465.03,54016122.51,35261118.92,19325141.47,69328046.59,48891541.57,32581380.81,16504644.48,59914199.34,40177353.46,24502413.12,10460469.42,50484125.25,31573097.05,21034182.25,8323669.29,42864949.87,18845491.88,27245391.11,10972496.50,21502172.72,12448797.85,23620323.32,10499160.54,23275459.38,19289586.66,26936674.69,0.0
8,财务费用,28664686.51,24537861.72,19029111.72,-7010168.37,-14381430.59,5625172.19,35974689.98,73787664.04,58864839.17,34657433.45,13626099.44,-1185879.25,15949889.08,18737868.19,13007220.07,29593661.96,21164435.42,1080708.61,2229076.18,9648445.75,4693443.19,3290159.00,2135523.66,9354280.50,5818760.27,3252332.04,2027387.69,13982317.27,10802940.98,6918017.71,5222294.18,16270427.39,10937794.82,7368989.41,3947888.02,17542409.66,13250564.83,8895365.74,4246287.57,19508518.71,15871216.64,11308950.84,5361576.06,33785481.39,23908228.34,15633567.86,7191834.60,25635238.35,19184959.78,12521017.77,6030850.38,19311040.59,13568615.44,8396392.14,4007693.44,16719265.51,11952301.59,7577402.82,3600306.83,14048538.62,10039700.80,7194702.25,3566247.92,10179347.37,8485869.19,6302223.78,3355078.80,8327377.54,8315697.93,6150280.77,2713712.93,5805245.34,2386282.14,3778966.24,2216937.75,6095600.97,3615877.81,8670082.06,4182916.32,6574723.61,11401959.76,7506573.16,0.0
9,研发费用,76261765.07,49440284.47,24533100.72,95353624.78,64232172.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,-4513816.45,29586532.13,14632040.78,8627104.51,-2078720.38,47976570.66,29018215.00,20892861.45,3221422.96,64414020.83,38983251.08,19728130.92,3790850.05,49001601.42,25181053.82,13618298.23,8544190.58,21654392.41,14962891.57,9903254.77,3595003.93,21950426.27,13774768.58,12231035.29,5135478.45,21383761.08,13282279.04,9451481.41,3686118.29,27776348.62,14479162.26,9099684.12,3066927.60,25275440.01,22675965.13,21440568.17,3716402.24,25857275.38,12666118.12,6708884.96,3576115.04,11827875.34,12837869.45,9446664.01,3179524.16,10385342.87,6836210.70,4387914.10,3017446.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27327.58,-95314.23,487386.75,0,0,0,0,0,0,0.0
