,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,8620823767.08,5831107028.08,2781115361.52,10835990677.51,8265188428.73,5590333729.82,2577547334.62,9581243801.58,7189648369.00,4280435805.81,1861941236.59,6769206736.26,5148849941.25,3418091340.50,1508213816.39,6160817657.55,4797483592.95,2898689331.92,1267348615.98,5823907652.16,4552963933.96,3157857022.65,1659688288.72,5274170938.03,3903299808.19,2696151872.56,1158819403.31,3826346179.77,2922517201.79,2116004708.52,871371729.58,4186894183.44,3200002157.88,2124294351.58,897501473.61,3113068106.07,2208031643.98,1425080523.69,601852736.68,2040387287.10,1486027356.61,940020383.34,367472016.62,2443970300.77,628846353.56,490874431.37,262471788.19,807421523.61,655886172.07,489905721.22,222338030.20,596187256.86,470585136.88,350075637.37,164853024.92,494833429.89,389315629.10,301889431.49,135882609.28,364901199.98,287539565.25,210039443.09,213224962.26,136302174.76,0.0
2,营业收入,8620823767.08,5831107028.08,2781115361.52,10835990677.51,8265188428.73,5590333729.82,2577547334.62,9581243801.58,7189648369.00,4280435805.81,1861941236.59,6769206736.26,5148849941.25,3418091340.50,1508213816.39,6160817657.55,4797483592.95,2898689331.92,1267348615.98,5823907652.16,4552963933.96,3157857022.65,1659688288.72,5274170938.03,3903299808.19,2696151872.56,1158819403.31,3826346179.77,2922517201.79,2116004708.52,871371729.58,4186894183.44,3200002157.88,2124294351.58,897501473.61,3113068106.07,2208031643.98,1425080523.69,601852736.68,2040387287.10,1486027356.61,940020383.34,367472016.62,2443970300.77,628846353.56,490874431.37,262471788.19,807421523.61,655886172.07,489905721.22,222338030.20,595361268.04,470542386.77,349998870.07,164823258.20,493710342.69,388615938.91,301660130.24,135871694.66,364129027.76,286713080.85,209754962.43,213139378.83,133520315.90,0.0
3,二、营业总成本,7380681618.78,5050671056.89,2542167852.80,9378464267.69,7066548595.65,4818960604.27,2309889516.43,8204404643.14,6065068503.15,3683445476.42,1668353790.61,5881793884.84,4394734335.40,2951763778.77,1354817123.92,5467979829.97,4225289424.74,2587498068.24,1143326784.21,5244183661.83,4097216106.10,2833782910.45,1519707799.87,4912010727.40,3579651570.98,2454666666.80,1059268619.88,3517581453.89,2611449772.85,1871960718.85,769393580.89,3664101511.32,2751617384.05,1828159578.07,756519707.74,2676924026.37,1862152738.01,1183104797.18,500356088.49,1734121911.58,1291688637.34,827641112.55,330261526.50,2138313451.24,549418456.67,427074969.69,237557060.22,728551620.52,593909613.31,445789297.61,205573607.51,528864028.16,417358685.64,310838046.79,146746492.97,434452773.07,340189021.61,259519574.43,118718880.34,313712792.59,244168642.96,179842923.96,179393601.92,112375559.63,0.0
4,营业成本,6142887214.09,4179915713.98,2079211489.74,7738408935.23,5955615616.54,4045309345.39,1868595640.49,6588658359.95,4973873893.06,3055766005.98,1371758109.62,4754055702.45,3631894739.07,2449841944.56,1088344099.76,4404477656.40,3444002559.01,2108547671.78,913953276.31,4208104256.26,3366245380.60,2342385918.87,1295477496.23,3960125096.55,2950792514.26,2017660595.10,853366774.29,2887012943.02,2193195285.70,1608377003.52,671611200.28,3200270159.11,2436539592.07,1627177866.18,688836568.55,2329380318.61,1621769150.27,1034493939.70,436985146.17,1478321620.46,1128590298.65,717228123.06,284649688.75,1900721937.37,499851694.26,386764755.14,211138101.28,657274790.52,542529210.85,405115647.14,188959107.09,475372580.35,373259272.05,279296494.79,133321488.22,378880230.50,296151265.93,226865752.14,101221660.33,259143470.38,202112388.16,148451128.71,139968521.45,88173664.32,0.0
5,营业税金及附加,60978523.83,41858591.20,17451094.04,85752459.82,57938349.24,41321679.25,17378811.33,81043755.48,54240850.54,34182189.86,20285413.79,79290845.02,27861501.24,19632024.99,11107117.02,38237591.78,29191256.35,17332997.63,8858868.71,26348729.56,20339204.61,15020944.98,5099332.95,21006297.42,13642639.69,7935714.60,2272274.27,15985409.77,13015330.95,8537665.06,3280815.50,18954242.97,15058511.80,9399413.62,3076320.62,7117898.49,5278022.64,2682664.63,1058864.84,6524026.06,5350036.85,3430247.17,1381636.01,6139688.52,2835551.52,1349797.47,512860.42,3405731.84,2811803.09,1538050.63,367466.94,2108510.03,1600402.42,1741845.51,952144.55,2662482.79,2012778.58,1653545.88,879309.45,388204.15,388204.15,181626.33,165242.13,249195.38,0.0
6,销售费用,369649780.95,263730876.93,111943746.22,532074413.74,391213617.32,252190370.42,112620900.08,489319921.43,317593824.10,186968057.32,82986844.38,357341646.14,238632840.67,154996796.02,72791387.04,321102699.34,230629159.11,125046396.21,55840602.85,263070875.50,176983735.17,116516021.88,49089403.23,223064670.27,124150737.07,80807002.47,32293865.81,140047580.62,89671976.47,54147958.57,18427868.32,121034907.45,83093578.16,50837354.69,20455451.18,95883552.30,82947440.61,38849805.62,16100820.56,74663882.12,62419021.51,39979925.41,14764249.89,85715489.55,20461617.47,14598620.14,8353931.08,23328896.66,17744394.27,14545634.13,4289133.16,20966217.63,17606147.94,12326784.46,3204284.03,20264422.68,15437738.87,9700167.39,4774955.40,17432436.96,12166369.75,8942121.54,14345740.58,6480938.41,0.0
7,管理费用,448354072.90,304294733.96,154631361.73,582490890.81,390480234.10,451646605.56,212372713.71,872020125.73,609081906.22,342416918.33,173302854.22,709401578.10,523299184.02,342727220.00,165111216.33,668734299.44,494886117.40,280072563.06,133146337.14,606737171.69,420195024.62,282043779.82,138814910.83,584124112.46,412817956.19,273711158.70,136712619.78,412527961.60,278874533.65,166119938.75,59584517.31,304874742.42,197370615.54,120744148.26,37324010.15,223165416.23,134823751.11,86974099.26,35845241.56,154837466.87,85285286.23,57422011.06,26733839.15,110649157.66,30946180.30,21183940.38,13505350.22,36317709.39,25745748.67,16739096.23,7633976.07,27777225.37,22854637.22,17177379.21,9093620.16,29486034.45,23329625.93,19224572.68,10979951.35,32504793.35,26097170.69,19727994.59,22183255.15,13489868.72,0.0
8,财务费用,-30643805.80,12364734.89,48788671.42,-52212224.07,-66600437.50,-4383355.43,79212567.69,124800047.72,96024124.42,44306888.49,13613567.76,-92318601.08,-53060030.91,-42169909.68,7808608.13,22066592.66,19223019.41,40449324.66,24298479.16,118491233.44,103136766.11,55167088.07,20565434.57,112781905.83,74224990.24,57052943.27,28033182.16,37397438.23,23705018.51,18747969.40,9831407.87,20826176.20,15278562.60,8035665.95,3284219.77,18233227.00,14076680.82,10623715.91,6405688.82,11102425.10,9821794.95,9756478.77,2432580.07,43459695.87,-4737889.93,-646232.56,-260161.03,8173179.71,6930490.26,5018018.68,1189058.91,2639494.78,2038226.01,295542.82,174956.01,3159602.65,3257612.30,2075536.34,863003.81,4243887.75,3404510.21,2540052.79,2730842.61,3981892.80,0.0
