,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,447325978.01,2865379106.77,2132749904.23,1461162596.08,714056145.36,2760999108.27,1855227570.39,1221426229.94,597217693.19,2733763966.96,1909457273.13,1247849895.02,581439568.25,1932911678.91,1352898863.99,918906536.64,321913766.38,2516329712.06,1852738533.46,1426192401.83,521022222.67,2949608272.50,1969549106.75,1280556691.15,469188701.31,2519801262.92,1727686750.55,1190469990.21,445365840.19,1618601853.27,1114151575.59,876465226.94,376648528.67,2214784024.71,1385193507.64,903614668.93,299298494.12,1499963981.22,870496996.86,581730348.26,166842919.97,1128230739.75,764785507.83,461951455.37,178115966.01,912494937.03,630739802.70,434689232.62,149599903.67,502464415.37,349317750.98,232500123.39,98231193.34,340698294.09,239874797.92,159304223.48,73316394.02,260038891.11,179748988.36,225504827.50,140075727.92,0.0
2,营业收入,447325978.01,2865379106.77,2132749904.23,1461162596.08,714056145.36,2760999108.27,1855227570.39,1221426229.94,597217693.19,2733763966.96,1909457273.13,1247849895.02,581439568.25,1932911678.91,1352898863.99,918906536.64,321913766.38,2516329712.06,1852738533.46,1426192401.83,521022222.67,2949608272.50,1969549106.75,1280556691.15,469188701.31,2519801262.92,1727686750.55,1190469990.21,445365840.19,1618601853.27,1114151575.59,876465226.94,376648528.67,2214784024.71,1385193507.64,903614668.93,299298494.12,1499963981.22,870496996.86,581730348.26,166842919.97,1128230739.75,764785507.83,461951455.37,178115966.01,912494937.03,630739802.70,434689232.62,149599903.67,502464415.37,349317750.98,232500123.39,98231193.34,335534883.47,236408722.99,156654327.15,73316394.02,253122964.07,174765180.90,223081751.79,140538095.93,0.0
3,二、营业总成本,504452478.70,2837299713.96,2123246288.27,1454418033.05,712349960.88,3271416316.44,1862128333.77,1215997575.30,601472338.67,2871566602.85,1973064778.29,1305681462.39,632664811.81,2861159947.19,1607870899.72,1102695989.23,435513580.35,2474301509.44,1808518656.87,1376047677.82,545275864.34,2885123264.91,1936238216.11,1217802405.39,450925029.01,2562241899.56,1725953525.49,1149995004.43,422344857.85,1601647110.61,1146740181.49,839930646.08,355608404.71,1692152824.04,1086869507.48,697945526.79,237727159.10,1139581350.02,651388757.28,440099406.91,125309361.25,866273552.50,603409299.75,351244651.74,135755758.42,728627414.83,484738217.12,323498079.42,114422646.39,380805520.70,260619290.92,175814346.27,69792550.99,250560497.78,177612611.12,118601828.52,54255360.47,193489617.79,135884749.62,164541488.79,92616965.24,0.0
4,营业成本,379167875.49,2178514423.11,1680770514.36,1154346941.51,571756146.78,2162529086.84,1424531696.17,935572212.94,462210675.05,2078714952.23,1493820179.92,980063966.76,471105200.80,1602783155.00,1043626306.63,728794796.70,255400720.30,1723692985.80,1260589930.32,981376399.28,342565762.92,2061955804.96,1408825838.10,898163422.16,320304706.87,1914021467.99,1274192451.22,865805144.55,289957272.83,1037343007.49,748706050.05,578128784.30,237403791.54,1343407878.33,885470054.18,577877727.46,188252462.59,876781296.11,501416040.33,359141069.51,100072542.52,676394934.61,492169820.62,298317020.42,114333312.50,553869448.98,384280865.11,265239904.00,94694498.12,271528541.07,190938167.12,126737484.68,51216319.59,190020510.66,132319326.35,87899862.83,39344659.63,155251791.62,107043904.71,129108087.12,68056626.36,0.0
5,营业税金及附加,4001424.15,32369483.12,22205279.40,15385662.70,8082346.88,34397079.83,24224912.46,17034057.48,7010782.57,32696290.57,19395845.66,12788345.20,6010736.43,25142098.67,7453214.79,5729103.94,3084053.53,18004237.38,11293330.63,6092401.30,1678834.29,16721017.44,13373999.51,9248017.08,2443851.40,26654000.86,15738978.87,10264110.30,4558081.13,18731195.03,12582473.35,8278241.47,4548475.10,17656034.58,10129861.69,6292530.79,2196019.33,11810372.16,6269970.74,3697549.54,1116451.56,9496538.82,5665076.66,3119972.93,786862.45,6001960.29,4670059.68,2590653.25,621918.96,4684974.25,3659547.46,2467055.53,1215522.33,2507940.40,1877676.74,1341666.25,593676.96,2206868.51,1466025.85,1543703.90,1734704.45,0.0
6,销售费用,22403836.00,105163087.37,74106900.61,48746760.02,23030998.30,96099748.47,64908641.78,43272084.93,21540012.09,122796725.50,75560285.08,50563490.78,25468508.65,135829518.47,86269642.50,58767515.25,25999256.84,110084948.62,78583314.15,50513635.91,25544946.19,95501210.23,65594476.66,37716420.19,17913578.19,126824214.33,95346922.69,40217241.87,18801584.89,80852871.70,48821469.84,31371814.15,14755316.31,52688227.12,31727070.51,18461667.00,9591070.22,32738613.66,19776105.82,12259963.57,4951960.60,18109785.38,9568172.58,6038527.83,2661565.81,14456583.27,9892664.35,7009235.30,3055296.83,8962297.83,5737026.44,3661873.92,1733752.76,6614657.13,4361157.97,3161352.36,1652515.39,4257183.76,1685204.00,3045335.52,2888655.19,0.0
7,管理费用,61815517.58,274312131.02,200898339.03,133676883.17,58722488.18,288032424.35,213618268.12,219207746.48,115792126.89,478382752.30,341596042.51,223349136.43,108366610.73,544878297.63,392466977.84,244517668.86,120997138.33,487705553.15,357324487.02,264691178.97,140058468.75,544222101.62,363063100.90,228339377.50,106639375.83,398264939.14,252905188.42,160046436.64,76842279.03,345472108.71,234465378.16,154779924.67,76170085.74,235802033.38,148958284.95,100810568.94,49534315.92,195053063.69,125091017.15,72600275.49,34978130.51,149862884.64,92878061.02,55015244.48,19129211.10,113605843.79,67485495.17,41243135.88,18623634.47,75535760.81,45075827.01,29460906.08,12547320.89,40950057.15,31519540.91,20655714.15,9807576.40,28260822.99,20852088.78,27410365.97,18500948.33,0.0
8,财务费用,9642341.77,91693875.36,54525022.61,35559741.78,24905415.84,69514468.18,39500932.26,22513238.51,2299519.84,56225068.97,22504635.45,20028374.58,11645777.11,83152956.39,55302809.11,37315494.43,18851490.88,97820584.21,72345287.42,51707295.54,25519323.01,94608013.61,68213601.79,42861872.47,11967683.25,59886818.90,46374525.96,30816496.01,18747610.05,63947042.52,47559279.45,31822174.16,14293297.66,44674895.05,26008072.66,14291409.33,2248672.61,4830735.93,1467838.54,1015435.91,-1325051.38,4082280.93,4431896.23,4026038.19,3339942.78,7947860.60,5832839.97,2299649.09,-675214.85,71587.74,3095643.86,2835237.23,1700254.29,10467332.44,7534909.15,5543232.93,2391329.49,3512950.91,4837526.28,3433996.28,1436030.91,0.0
9,研发费用,27421483.71,155246713.98,90740232.26,66702043.87,32718003.11,156597740.46,114543422.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
