,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1520374951.43,911125514.36,423822541.43,1885325487.13,1415631207.79,944429495.97,462230482.56,1854591461.11,1343402165.57,835298231.22,331181393.19,1187334429.10,853909402.39,533002707.53,228350379.31,811945945.86,592619344.83,384746559.72,174835087.27,922113192.60,691835235.68,437604251.86,185216245.04,819064402.56,625573063.33,412383409.47,183603053.08,808899673.62,599290283.97,404144060.45,182732449.60,835505922.02,674042013.43,444399624.12,209831185.86,818615094.65,626357155.65,394900089.52,182227856.68,555063110.29,386331574.83,225618604.25,92051462.34,524265399.28,398156748.94,242240065.71,106616433.86,474097680.49,347083195.38,228936766.47,103202481.63,435408506.86,321480872.33,204059152.42,97097252.00,377708719.10,272154947.08,374502073.89,328831935.19,0.0
2,营业收入,1520374951.43,911125514.36,423822541.43,1885325487.13,1415631207.79,944429495.97,462230482.56,1854591461.11,1343402165.57,835298231.22,331181393.19,1187334429.10,853909402.39,533002707.53,228350379.31,811945945.86,592619344.83,384746559.72,174835087.27,922113192.60,691835235.68,437604251.86,185216245.04,819064402.56,625573063.33,412383409.47,183603053.08,808899673.62,599290283.97,404144060.45,182732449.60,835505922.02,674042013.43,444399624.12,209831185.86,818615094.65,626357155.65,394900089.52,182227856.68,555063110.29,386331574.83,225618604.25,92051462.34,524265399.28,398156748.94,242240065.71,106616433.86,474097680.49,347083195.38,228936766.47,103202481.63,435408041.28,321480872.33,204058686.84,97097252.00,377707638.43,272153866.41,374502073.89,328830995.02,0.0
3,二、营业总成本,1379346925.28,834950055.72,394570628.34,1712625535.74,1279098350.61,865569177.69,435352760.80,1691768636.13,1222946995.18,761128272.36,301975709.50,1056672082.53,770874345.07,486103985.05,213372023.32,795878476.39,579340980.01,378551416.24,170665465.05,879408525.86,659718879.11,423281159.82,183280911.29,790258561.31,594739044.73,394574994.91,181430993.26,825267457.48,607235603.55,408610720.18,187545215.52,805454763.93,635288403.66,415031556.40,195384314.85,744070851.08,566494045.95,352670066.52,161294807.48,521573331.05,363632417.85,217398131.33,89610718.29,498101713.77,377664409.29,234798384.21,105365411.39,449799539.24,325632922.36,212100888.34,97197708.02,402058870.43,293919696.08,184718181.14,85183181.99,345576293.01,252560340.71,342787612.29,279647381.35,0.0
4,营业成本,1249575362.08,752200631.67,348593665.79,1542387549.97,1159263378.77,778617501.92,381406957.43,1502446165.05,1088109968.77,676346541.13,270890535.47,955789621.69,690716580.75,432939344.72,185852449.73,695604415.63,513209558.80,329747810.08,148380819.19,774098985.57,583083364.43,370774277.90,161005787.87,689102976.42,523174439.49,347921729.87,160730134.33,714603181.71,534480587.39,359907193.66,163909091.82,707429505.21,569162916.91,371552107.04,175424591.36,671879287.64,515865952.97,322387016.41,148528684.51,460650170.60,322861652.37,189384240.56,78221468.40,460865605.69,354459193.90,219506256.45,97299362.15,406101243.79,294663376.07,191759166.79,87679075.50,357854907.60,264265135.76,163926426.46,75202520.20,307633605.73,224490358.80,304537175.39,253357198.55,0.0
5,营业税金及附加,7732487.14,4532111.06,2754670.39,11145308.26,8042578.16,5719026.85,3079684.56,11077592.87,7428069.52,4400056.68,2293444.93,7593434.39,3842902.54,2587020.28,2238578.29,4913248.11,4888354.12,3496822.99,1029792.63,4619973.64,4076989.24,3076989.24,1276900.60,4908044.45,4177612.01,3161372.01,1661372.01,3812650.57,3509880.54,2823080.20,565324.06,469626.10,19749.09,19702.94,19702.94,440.08,440.08,440.08,440.08,366910.57,230194.99,221302.55,26842.46,45012.76,0,0,0,181527.96,178707.69,25103.39,25103.39,0,0,0,0,0,0,5238.36,0,0.0
6,销售费用,34931048.44,20343515.14,10326579.79,40232459.62,29103413.42,19490195.50,9872359.27,37047983.28,27713330.71,16267446.20,7111828.62,25897109.47,18717173.52,12265115.47,5855752.83,21204857.00,15844214.07,10554788.87,4724041.54,19008737.21,14370930.46,9287388.81,3706757.08,13788315.74,9991539.18,6509630.14,3140439.60,14118520.98,10694257.69,6937142.78,3131127.72,15014647.34,11279300.94,7149980.79,3473051.75,10957884.62,7193063.16,4363233.43,2206051.05,7582783.56,4939628.80,3156663.66,1601722.18,8181668.59,6255191.44,4120139.42,1899174.97,6451833.56,4768731.93,3051276.62,1235707.49,4579213.17,3232142.82,2017147.32,897354.51,3472385.55,2523887.78,2860188.31,2578414.26,0.0
7,管理费用,35235800.56,20185418.22,8807634.91,38555456.65,30024786.30,56654186.83,25899162.66,103525349.64,72382722.32,44399158.59,20667358.82,78855884.13,59183946.08,37753678.99,18916862.22,86282579.56,65353355.46,42354581.09,21312571.12,88786367.20,65636588.82,44734370.79,21598066.41,84114799.47,63213962.22,40110670.84,19753711.80,97390833.61,68861466.58,44069031.53,23467320.90,88386153.10,59218297.03,40417539.71,17633718.75,57802374.88,40044094.57,23228331.26,10511269.80,42473467.70,30471327.37,19782924.19,9106596.17,34902634.18,25201358.08,17151966.19,8686862.07,36745858.68,25175239.64,16539708.89,8378945.35,37889822.99,24039698.44,18142104.48,8522214.75,31972975.63,23498649.80,34627076.10,23318092.65,0.0
8,财务费用,-5829435.09,-419742.75,5411844.30,-13305195.89,-14166756.70,-1870550.18,15094596.88,22792212.10,15570826.23,7917288.85,1012541.66,-19334832.78,-7388552.39,-5243468.98,508380.25,-19408270.82,-20637225.44,-8290794.41,-4781759.43,-15177513.31,-11627642.55,-8736808.78,-4306450.84,-12632431.71,-7776092.61,-5091164.00,-3777764.93,-14476211.78,-11575537.81,-8070287.26,-3527648.98,-5325736.99,-2468306.01,-2184393.42,-1166749.95,-259047.37,1301488.03,602084.30,48362.04,3533285.64,3449745.88,3173131.93,654089.08,-7534154.53,-8504347.88,-6232991.60,-2519987.80,95388.65,318219.03,196984.65,-121123.71,1734926.67,1281352.71,632502.88,561092.53,2497326.10,2047444.33,757934.13,393675.89,0.0
