,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3906848236.41,2647173155.23,1634394455.13,824328152.30,3352859972.47,2044970010.99,1234063490.39,504472138.35,985786831.11,401600736.72,251793894.24,70071790.51,520981501.43,302925201.28,159019166.81,42578002.99,389229106.20,262920662.65,193938187.26,87472623.46,1573342334.87,1455116200.04,1089690103.82,503009948.43,4134808021.59,3099501384.02,2045865949.36,819518998.28,3410597324.87,2328785415.03,1414431385.25,662523320.30,3203870613.20,2328386525.19,1341264022.17,577386524.70,1742028565.66,1233966549.54,804189466.40,357118553.33,1279685656.32,932669668.16,581251681.37,258546800.02,1402803214.73,1082286346.31,696620030.07,318295988.45,1319997692.01,996247214.69,636222506.13,267784302.76,1115702926.12,787694364.36,518228469.31,240226293.26,1029505896.68,762344852.45,0.0
2,营业收入,3906848236.41,2647173155.23,1634394455.13,824328152.30,3352859972.47,2044970010.99,1234063490.39,504472138.35,985786831.11,401600736.72,251793894.24,70071790.51,520981501.43,302925201.28,159019166.81,42578002.99,389229106.20,262920662.65,193938187.26,87472623.46,1573342334.87,1455116200.04,1089690103.82,503009948.43,4134808021.59,3099501384.02,2045865949.36,819518998.28,3410597324.87,2328785415.03,1414431385.25,662523320.30,3203870613.20,2328386525.19,1341264022.17,577386524.70,1742028565.66,1233966549.54,804189466.40,357118553.33,1279685656.32,932669668.16,581251681.37,258546800.02,1402803214.73,1082286346.31,696620030.07,318295988.45,1319997692.01,996247214.69,636222506.13,267784302.76,1115702926.12,787694364.36,518228469.31,240226293.26,1029691281.06,761891517.37,0.0
3,二、营业总成本,2654892453.54,2031288818.45,1243398294.00,694892036.76,2439274770.68,1581478457.34,930532537.98,415052888.39,395606162.87,139567988.08,100837819.19,44311401.57,179396812.68,146057033.78,65611470.21,29986011.42,192384632.57,263771065.43,193389543.54,85882612.94,1811321998.01,1682476857.84,1270067912.04,602621081.31,4675733608.30,3312527755.77,2181675845.11,868720019.19,3608486365.03,2461777091.94,1497274973.88,659968012.08,3135754463.18,2241703773.02,1290928505.40,536599665.72,1527521502.99,1096596462.97,734663497.67,330351608.48,1205054734.75,884452268.84,545333824.35,241356165.19,1369901133.32,1037075546.93,666760505.10,310730506.08,1237249662.75,942380647.32,603106047.44,257361850.41,1053687925.45,752334788.49,494112961.76,233502653.29,972191932.82,748753484.32,0.0
4,营业成本,2402698452.04,1874615617.19,1148284658.52,647216937.00,2197141887.86,1427979283.41,845083840.41,369033309.72,295195216.95,63378709.39,49831667.93,18931724.49,66548976.80,33296508.24,26671997.92,14462658.97,107189226.85,234066373.35,171432478.54,78247027.02,1502043438.25,1395625495.68,1051669424.68,486678704.79,4102707978.92,3054067849.51,2023530377.83,800152048.26,3270604408.74,2198316183.99,1329494049.21,594602156.28,2869437646.07,2063080724.21,1195875707.53,501099451.85,1395298822.65,999592441.20,675149850.85,308290022.47,1108146860.52,814402117.70,507050296.41,229945497.92,1258834489.78,967153557.30,620375748.74,286411199.70,1169476955.97,885689254.54,566710351.65,239187578.73,983516597.28,694732773.49,456400125.08,213166216.58,924329871.37,690995195.66,0.0
5,营业税金及附加,10270570.83,5282413.97,2870700.94,1209490.03,9557490.68,6269650.20,3922319.47,1575199.56,5612898.56,2028248.61,1520797.70,633708.37,4409429.73,2214594.91,1136715.62,166898.29,2182286.82,344049.04,300308.17,109810.26,1101351.12,740780.34,473732.17,249154.24,1287406.76,554066.96,438459.23,180381.66,1288267.64,898061.84,94025.83,17959.26,2939517.59,1998689.84,1037684.26,875074.51,2726587.01,1649497.65,1200408.06,586292.32,1906211.06,1129627.62,675114.37,269970.97,2294371.10,1561931.86,941847.00,388571.68,1863891.00,1571725.73,875597.32,330552.90,1922164.62,1442350.29,929267.29,331755.87,1025183.32,401704.36,0.0
6,销售费用,118640571.55,59434200.39,32831048.75,15568477.68,111353414.51,56676909.02,19283860.17,11152485.56,31001608.92,18793261.35,13205317.90,7812821.52,22028651.73,15923942.16,10517862.32,5511458.64,31588471.38,2403229.85,1684623.63,997113.64,42187905.80,41016556.65,31813076.65,16115007.71,109177740.26,80593561.42,53022280.70,23198762.64,96012336.68,65698340.54,43833507.47,22876241.40,77387798.76,55449527.16,32824393.00,12987313.61,39458357.46,29541145.68,19801759.32,9450487.14,35578144.08,27316861.54,18166677.82,9311708.89,34694333.88,26090856.67,16764605.00,5957658.11,29587136.96,21871651.02,14426956.00,6563355.65,24777756.44,16962434.56,11038339.61,5520111.33,23695608.63,13354776.36,0.0
7,管理费用,80441335.12,65118944.24,42197329.05,23064838.55,56800814.91,41208679.33,42721510.27,20713612.36,59983102.29,46075449.59,30960065.28,17615816.96,45394541.65,36055047.30,20154787.93,9793027.31,34552285.44,29270508.47,19669590.47,6504609.46,141032951.13,129904693.40,87612058.19,41933856.13,145809970.37,78785359.69,53231052.95,26180655.00,174145082.87,133029071.32,83571860.96,37491864.53,140080348.14,87992023.26,50761835.20,20663329.81,64504001.48,44032502.92,24886910.69,8586822.43,42958659.19,30777764.43,19475230.18,7332022.86,34587243.98,27665373.66,17971587.61,5750147.84,19238261.94,20843094.49,13856478.50,7563116.12,33014293.18,25850468.96,15402362.19,8263544.05,29323655.29,27470108.87,0.0
8,财务费用,-463079.95,-815926.80,-1178723.54,-878753.46,5207249.27,-3426548.15,-2790340.58,469569.29,-8697915.45,-7937066.10,-6409055.32,-2704306.31,-10259132.61,-7480474.45,-6238660.23,-1203995.99,-953644.76,-1504005.89,393165.84,445191.40,90046900.49,85536154.63,72592362.09,43101114.74,78135217.01,64121357.35,27553887.96,9154969.40,45618751.44,52681551.69,28927269.08,4421668.99,41168108.94,32164889.52,8783263.67,58916.15,24997087.40,21060990.79,12533385.42,3338037.60,12961300.16,12329871.91,1619688.77,-4805167.89,35723229.08,13892096.56,10233812.46,11779923.71,15864453.93,11547263.24,6379005.67,3717247.01,11874842.92,13793940.52,10790046.92,6221025.46,-6182385.79,16531699.07,0.0
