,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,172435657.47,153697377.89,87722842.00,43748713.90,232727100.09,187362372.22,131610043.99,64571125.58,569806370.64,439452968.04,291286978.55,133835175.08,394408901.95,265055953.98,139605902.40,54739375.38,193605183.07,141937909.02,95434332.23,45188490.07,227626151.21,171362156.79,120557422.33,67875061.57,281250383.69,211342437.35,135202868.11,64302008.47,225147866.31,179777618.94,122369400.90,62123720.52,238420640.39,175610448.44,119369041.77,60812880.84,225860751.21,169955036.40,112479313.98,57927804.37,164287174.42,112777000.40,70519730.26,36682446.28,145056857.96,101146182.84,64867383.87,27345520.44,107133367.36,75839205.71,52979343.04,24810541.38,113806737.96,87983106.28,63311869.02,93901076.36,75648919.38,0.0
2,营业收入,172435657.47,153697377.89,87722842.00,43748713.90,232727100.09,187362372.22,131610043.99,64571125.58,569806370.64,439452968.04,291286978.55,133835175.08,394408901.95,265055953.98,139605902.40,54739375.38,193605183.07,141937909.02,95434332.23,45188490.07,227626151.21,171362156.79,120557422.33,67875061.57,281250383.69,211342437.35,135202868.11,64302008.47,225147866.31,179777618.94,122369400.90,62123720.52,238420640.39,175610448.44,119369041.77,60812880.84,225860751.21,169955036.40,112479313.98,57927804.37,164287174.42,112777000.40,70519730.26,36682446.28,145056857.96,101146182.84,64867383.87,27345520.44,107133367.36,74894767.11,52979343.04,24810541.38,113806737.96,87698866.80,63311869.02,93901076.36,75648919.38,0.0
3,二、营业总成本,195557603.57,165503639.08,94221952.75,46438409.53,215582832.54,164315028.61,111314863.60,55374237.83,446521400.15,322399274.21,215851849.81,102076794.72,316947688.32,222957853.37,122867223.93,56987342.78,246129809.67,173329407.35,120644733.33,51035742.03,224658460.63,151353466.84,102203274.40,56241284.07,219127203.67,163864903.04,106804389.04,52697707.10,186349340.52,152285827.55,105330529.88,54762671.00,229147268.64,167966732.61,113304908.57,57948637.00,177638228.66,140008506.29,91845614.33,48743360.26,131880063.50,86275222.89,51595614.16,27837669.64,106953081.49,74586059.91,44974820.03,19481515.31,71918774.12,52759459.94,36372739.72,18803424.27,80528690.97,58717022.91,43489274.93,63088729.38,47543058.42,0.0
4,营业成本,94115977.02,89150832.74,40591423.91,22982937.33,101617973.60,82629874.59,55384058.30,32220511.26,300759411.28,233766098.66,158483997.93,73077628.09,207405503.14,137648923.36,66630824.29,23443509.59,112161594.60,83126333.79,58748694.96,24632606.61,128642449.43,93948271.93,66622499.71,36024718.77,149744494.10,112568254.16,74719037.30,36432989.51,124840982.62,106773767.07,73491562.09,36879338.65,136805304.62,98709907.65,66990920.88,33563028.10,120386133.31,97634973.64,62999541.57,33195017.66,83670521.20,51243429.88,29483494.67,15714315.43,68941025.54,46763101.22,26708260.14,11287113.94,43026634.74,28535545.30,19782582.17,10605775.36,45845621.70,33742362.36,25722176.34,34796334.80,19942592.66,0.0
5,营业税金及附加,11734508.06,8596389.31,5690948.62,2565071.48,10550100.58,7892414.07,5026692.67,152425.84,13110270.87,2490043.11,1520548.88,467846.59,6566446.00,1525830.66,861887.50,448948.61,954428.35,614563.82,373012.39,178374.72,1981480.15,1650040.53,1444117.90,915185.70,8682260.65,7436367.62,4708517.01,1999410.80,4849132.02,3541421.23,2641535.17,1624381.01,6672690.78,4745005.02,3231139.32,1649899.94,6735983.01,4632703.33,3412092.72,1987601.15,5493455.79,3788371.23,2340622.94,1212661.29,4794022.64,3348581.81,2148555.96,917024.40,3490999.19,2408870.45,1670616.03,817011.84,3722706.44,2872873.96,2097610.14,3110890.50,2488181.49,0.0
6,销售费用,25570593.45,19880471.28,13892107.68,6412508.79,26264284.78,19901487.46,14069723.26,6491115.71,36214124.12,27353784.22,18114139.74,9512336.43,40566071.33,28861159.81,18833433.10,12499588.16,49830317.14,32471425.35,19922240.58,9953599.96,38506772.63,26488982.45,16810634.99,8402616.77,27891777.02,19077652.36,12399803.75,6114827.49,18327969.83,13697876.49,9402866.02,5195868.08,19007616.11,14399607.45,9633883.03,5129014.97,18980628.14,14412288.75,9833575.83,4592912.42,16560793.92,11847332.73,7695817.36,3577321.00,17309342.76,13294922.53,9033378.27,4687615.83,10863207.69,8350316.91,5568830.29,2816867.46,12750161.27,9654344.36,6323354.29,9496378.79,11881431.31,0.0
7,管理费用,28440712.02,20822631.71,14304848.64,5245402.30,33071896.93,27491348.16,37624252.44,17551699.21,90314224.23,59331330.10,38103586.13,19277557.40,62087076.15,53734447.08,37741352.03,21266922.15,72988016.24,55637249.75,40776624.17,17114484.78,60514160.01,35722622.26,22164471.05,11662275.12,37795295.75,27648462.26,17422341.16,8470182.81,40433865.08,29868794.89,20465463.35,11681040.03,67882249.31,51660371.54,34460101.16,17909320.27,33410251.50,24461736.07,16513009.01,9201074.41,28117516.04,20991512.28,12827701.04,7559721.25,20739407.07,15178350.25,8506848.02,3435620.66,17106402.62,14057252.16,9650634.14,4745387.35,18148981.16,12690183.19,9668986.26,15389509.32,13142259.96,0.0
8,财务费用,-1229042.37,55284.26,-304289.90,42283.10,-1580912.17,-1840687.09,-1539360.87,-1041514.19,-1154113.22,-923074.35,-751515.34,-258495.29,-2392964.03,-1705635.54,-1403995.34,-669670.43,951216.70,-328200.26,-992370.71,-843324.04,-6886200.63,-6749484.60,-5131483.52,-763512.29,-4086165.13,-2979820.12,-2559296.94,-318804.61,-3102556.90,-2591870.58,-1666735.20,-617956.77,-2985620.25,-1736251.80,-1199228.57,-302626.28,-2338870.48,-1129945.50,-912604.80,-233245.38,-2140289.43,-1595423.23,-752021.85,-226349.33,-4936763.43,-3998895.90,-1422222.36,-845859.52,-2472662.74,-591524.88,-299922.91,-181617.74,-525844.18,-242740.96,-322852.10,-282044.30,-63451.58,0.0
9,研发费用,36924855.39,26998029.78,20046913.80,9200816.29,37198889.19,27491093.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,-10609.76,8460599.63,749497.80,749497.80,0,7277482.87,381092.47,381092.47,-78.50,2715555.73,2893128.00,203722.35,-1955.30,9244236.64,1808034.90,1816531.94,0,1899799.04,293034.27,293034.27,0,-900458.72,113986.76,113986.76,-898.90,999947.87,995838.45,995838.45,0,1765028.07,188092.75,188092.75,0,464103.18,-3250.00,0,0,178065.98,0,0,0,106046.91,0,0,0,-95807.38,0,0,0,587064.58,0,0,577660.27,152044.58,0.0
11,公允价值变动收益,16821831.84,19567629.26,16600880.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
