,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1390964598.25,4635934687.64,3556321106.51,2501622602.43,1201178381.27,4183391623.06,3180437493.84,2223161880.84,1041548136.65,3541562711.05,2692510701.28,1861321766.49,901864622.79,2632594737.35,1999488019.07,1428468159.49,726936435.07,2103737270.24,1633495468.72,1091738808.50,535671982.19,1681802302.75,1364758503.86,935857141.92,463646380.41,1424323330.77,1131276599.03,746528449.75,361984171.48,1312211877.04,1003735027.32,675845890.40,325952538.98,1170516108.51,885005463.48,609346808.65,310202211.56,883900977.16,655384978.42,434722140.56,206307762.14,537881597.66,409806703.08,270744983.37,123308447.51,401372962.73,305252619.66,198642271.23,87086880.57,289481810.95,212181364.95,134140938.04,63553381.59,231990259.52,212530828.25,0.0
2,营业收入,1390964598.25,4635934687.64,3556321106.51,2501622602.43,1201178381.27,4183391623.06,3180437493.84,2223161880.84,1041548136.65,3541562711.05,2692510701.28,1861321766.49,901864622.79,2632594737.35,1999488019.07,1428468159.49,726936435.07,2103737270.24,1633495468.72,1091738808.50,535671982.19,1681802302.75,1364758503.86,935857141.92,463646380.41,1424323330.77,1131276599.03,746528449.75,361984171.48,1312211877.04,1003735027.32,675845890.40,325952538.98,1170516108.51,885005463.48,609346808.65,310202211.56,883900977.16,655384978.42,434722140.56,206307762.14,537881597.66,409806703.08,270744983.37,123308447.51,401372962.73,305252619.66,198642271.23,87086880.57,289481810.95,212181364.95,134140938.04,63553381.59,231990259.52,212530828.25,0.0
3,二、营业总成本,957960086.14,3844486145.13,2753894188.74,1890673722.28,930356933.58,3476623168.93,2482375438.94,1694094346.99,798202600.62,2945990259.98,2111562283.81,1431578400.87,698569895.40,2114817485.55,1543131025.26,1081829844.21,565215395.63,1730622602.13,1291072872.33,832662928.08,417763027.99,1397422270.80,1095344047.06,736399497.42,367272537.18,1171536636.69,909698007.73,581710225.10,284437627.23,1052970042.23,801626936.33,530002660.62,254560865.74,952809428.68,725554735.93,478687728.05,245618884.81,713652575.99,533890513.88,347595536.09,165375122.66,426346151.11,323866142.96,216966547.28,98798576.61,326471187.60,246931673.78,159751959.43,71635703.25,239671508.12,172479036.40,112313626.62,54090781.51,190259201.49,174738869.37,0.0
4,营业成本,652046249.64,2679183411.82,2065410895.32,1459194613.91,707373025.66,2517348341.04,1902985501.67,1328659915.44,608158181.55,2136873562.97,1576471536.55,1083204075.63,527291171.55,1613995310.31,1198371141.06,845090883.76,429529856.46,1266017134.54,972090871.61,640167530.09,311222816.17,1009410830.63,805423058.57,552077338.87,276870555.61,887451735.99,673479081.41,439971264.79,222003427.76,822929272.80,608105596.11,412967188.85,204648059.34,754853844.66,573025070.77,382450205.07,202427038.54,572382834.59,407109596.01,267526368.90,128674848.51,332652072.46,253958858.71,167725277.82,81134284.89,283472819.31,215563625.66,138028195.53,60534812.70,202034149.35,144989808.38,93380074.84,44696631.03,163860356.33,153755129.96,0.0
5,营业税金及附加,7719922.93,44300847.31,28606568.18,19807462.07,11318261.64,40175629.03,32469828.38,24580727.12,12748285.22,34930598.22,26604481.97,20933260.66,10193950.80,31741990.10,17505883.48,12868396.42,7873862.85,19389455.47,15925286.64,12344006.37,6014500.89,13041256.35,11841317.14,8612227.50,5024010.24,9769605.13,8436481.74,6088507.13,3926139.50,9931743.92,7808345.39,5520643.62,3234994.65,8337370.03,6358186.13,4474689.43,2595599.62,4497374.45,4101473.00,3076816.24,1525215.27,4110395.90,3289275.21,2157756.70,1029581.85,2338609.03,1537465.25,1292840.42,652512.57,1900004.18,1348091.42,858141.38,518025.59,1467696.54,546615.52,0.0
6,销售费用,158403923.17,630088803.40,379575915.20,234604247.21,110659280.22,536803832.72,313296897.02,193057650.71,88611991.19,399769320.77,255295932.55,167812437.04,74194201.18,202790855.99,122183546.50,76349720.06,32160098.31,169310174.12,108240530.56,58831218.65,25674235.48,148437660.34,108785271.44,63273863.54,29176251.66,123974566.90,92662050.96,50756423.58,19713393.04,96220039.63,70762632.26,39300682.15,16124390.08,83520751.14,49437756.93,31929909.78,11577839.98,53676727.54,36153510.58,22062243.51,8438584.85,34100087.97,24419131.32,16793340.04,5234101.67,17295399.91,11569868.59,6713478.50,3691010.91,10653279.79,8101833.87,5921500.39,2460005.22,7418695.00,7717622.51,0.0
7,管理费用,84114400.45,266177048.31,188340707.32,124588732.89,62378087.95,246964976.59,177877928.17,138100681.80,64820504.02,346023124.78,219758043.74,124101624.77,64864447.96,274864662.41,188288622.68,130253967.42,72679005.82,268843182.82,174419682.42,102129904.80,63736524.89,215942301.38,152074207.73,97325995.05,45367269.15,145484648.64,130529736.27,83209590.00,36980792.60,123585831.89,108491439.00,65600564.08,26204528.90,106935474.25,87952461.30,56498064.25,25744595.68,76208627.59,79092867.62,48099521.57,22229451.83,51564228.35,37779174.27,27217646.61,9326155.32,22704287.00,14998363.55,10567583.83,4372702.19,18347691.29,13140288.98,8804878.74,4213559.04,14204840.19,9965461.27,0.0
8,财务费用,-11007023.00,-10331546.34,-17521600.54,-4587002.83,5062151.23,-30416716.04,-33469925.28,-15834557.75,11501161.22,11835022.50,1416136.68,-1477647.59,-1648021.40,-17796672.30,-6596408.64,-2107803.43,3122139.09,2847613.73,-438385.97,-2233897.16,-1081901.95,-2857972.67,-2038860.05,-1660513.92,-611774.62,-1427672.41,-5987410.65,-6079499.59,-5868988.41,-6367363.39,-3898220.66,-3398708.78,-234392.72,-2634388.68,-1516036.70,-1898090.75,-244637.74,2766072.31,1896621.60,1199288.55,502619.43,608705.27,-76259.40,-692301.04,-182839.22,231853.17,2011622.74,1990037.69,1290864.37,5423434.16,3958908.49,2600524.89,1197671.10,2896817.24,1425486.93,0.0
9,研发费用,66682612.95,235067580.63,109481703.26,57065669.03,21639681.62,152120542.51,66150644.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
