,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1521389256.61,789066944.87,509757169.44,270907992.38,1588048662.12,897747000.53,582495313.20,223492661.52,1712208976.17,899717312.00,575438090.00,263158817.28,1269874504.37,602838863.12,372351842.76,170735297.45,1388992143.27,761182633.12,486238471.95,192932953.67,1387636618.07,780530024.97,483570224.23,157002381.66,1340409714.62,700921398.24,436434505.49,168932845.67,1387240444.19,863114964.11,528478969.04,177903563.71,1385123076.53,791867616.82,546223750.37,202376956.38,1541067097.06,719535956.15,424731342.18,106769169.44,1315833553.76,647663653.14,402646412.56,164025320.32,1085066494.17,674332666.03,439505731.66,111257792.05,790557791.21,592950348.03,283123735.30,60700159.11,639304752.28,634865978.14,0.0
2,营业收入,1521389256.61,789066944.87,509757169.44,270907992.38,1588048662.12,897747000.53,582495313.20,223492661.52,1712208976.17,899717312.00,575438090.00,263158817.28,1269874504.37,602838863.12,372351842.76,170735297.45,1383104948.48,761182633.12,486238471.95,192932953.67,1387636618.07,780530024.97,483570224.23,157002381.66,1340409714.62,700921398.24,436434505.49,168932845.67,1387240444.19,863114964.11,528478969.04,177903563.71,1385123076.53,791867616.82,546223750.37,202376956.38,1541067097.06,719535956.15,424731342.18,106769169.44,1315833553.76,647663653.14,402646412.56,164025320.32,1085066494.17,674332666.03,439505731.66,111257792.05,790557791.21,592950348.03,283123735.30,60700159.11,639304752.28,634865978.14,0.0
3,二、营业总成本,1418143463.96,751160765.69,488498956.32,266189412.65,1506546570.07,852777727.77,559526903.45,219667021.05,1660608655.63,877231540.19,567876548.39,262709296.67,1268594047.41,604871434.81,373591172.19,170386716.48,1364640843.47,769167710.92,482767786.86,190457214.41,1402022537.35,788792677.13,488768235.19,157901975.21,1357857641.72,706896361.50,439510191.06,170524881.87,1359194506.30,795994984.74,497273388.03,180961564.47,1350671049.90,734402477.52,513579027.29,200724785.45,1446387498.18,655881446.48,391541481.55,107216357.26,1237779345.65,590447728.08,374889906.42,162330738.61,1025715269.10,621367141.29,404079402.48,111041821.61,752721066.20,557913151.66,270296532.01,59830926.22,592472578.03,598729634.66,0.0
4,营业成本,1259430703.40,676441923.32,437309842.32,241212902.71,1333399731.56,747989263.59,487528684.08,181815606.59,1462790952.57,773763924.55,500894205.21,230767426.36,1030217116.21,483940136.47,297476673.44,136581242.66,1094708153.21,626411559.68,396807504.38,157575552.81,1162694666.23,635739036.00,392113994.16,118014508.12,1114984987.27,578986270.24,358892495.76,134836348.78,1176156153.13,676699306.06,417308594.41,135989606.66,1187527819.40,632630990.56,450638176.22,174022350.55,1341974163.80,595453674.88,352297708.14,83067961.40,1126452607.87,517683691.23,335193797.09,140209149.84,929208093.24,551554303.94,355254776.25,86734547.57,672306349.05,512781958.63,243292172.24,47278763.81,540939227.35,561797680.05,0.0
5,营业税金及附加,10599651.65,6292230.26,4080312.80,2013255.42,14141298.49,8714929.01,3918099.95,2121417.04,14473745.09,10108515.03,5593037.65,3656722.37,10790003.70,1572656.18,1186994.95,575316.81,5509268.58,2882005.82,1379092.87,644362.29,5092734.90,1896267.17,1217711.71,488306.20,11019325.35,7886026.84,6747780.03,1512111.45,19700912.36,8482240.65,5324734.55,3126458.88,13393185.26,5485537.83,3179602.85,1143085.52,8680588.37,4219291.94,2554819.81,389600.84,6575497.04,2525153.80,1175109.63,334353.03,5481559.85,2334181.68,1620545.65,403207.79,4231772.32,2405298.39,1063162.18,256436.36,2141559.62,143254.35,0.0
6,销售费用,35070579.53,14689439.94,11059182.78,3964628.40,28692268.47,13840069.34,9154417.79,4548154.72,16111423.92,10273670.14,7189014.23,4108664.97,15725555.93,9068632.11,5983397.67,2943523.94,12785614.50,7286767.64,5073815.87,2525335.18,12938512.88,8529501.18,5631043.77,2977722.51,11843238.57,8258211.60,4998694.31,2341307.06,9580586.38,6264755.15,3303479.86,1317174.40,8303393.71,6601752.66,4301985.69,1780396.90,7404357.14,5021180.93,2797915.29,818078.84,6093792.94,4381761.25,2923384.55,1331996.67,6495239.86,5194559.24,2571117.54,1049219.76,4343162.41,3450604.01,2008073.91,1279692.06,2727014.17,2799781.08,0.0
7,管理费用,86277457.03,53130643.16,36483683.88,17339875.85,103992560.08,68149917.11,62029899.00,31455056.16,155522825.38,91969820.13,61480090.06,30117604.87,168781893.98,112546322.05,70353325.23,30886419.67,219519515.77,133074626.91,79816406.05,30778418.94,194359658.35,142292507.15,89920969.96,37138729.59,204199050.42,105321980.01,65730319.35,30440008.43,147913408.33,102560633.41,69047780.86,40365230.64,131937919.26,83314973.94,51184482.02,21974768.42,86826483.71,49207477.65,32376258.72,22385828.66,94710869.28,63251480.15,35325896.54,20729519.82,78409673.93,56372181.29,41301454.32,20847025.13,66787280.51,35909686.15,21354754.08,10638733.81,46668308.59,33956704.00,0.0
8,财务费用,-12287669.03,-10579249.56,-7025255.48,-2194126.15,-11991363.14,-9010246.42,-6105326.26,-1283666.94,-12874984.79,-8832965.47,-7180686.15,-4561879.09,-7666507.62,-4035035.75,-2853990.66,-1463283.53,-5526239.35,-3011979.90,-1204640.42,-1073816.92,-1124045.26,-2584201.70,-2702141.20,-768159.36,2434815.08,762607.67,-747633.91,55665.45,4089014.40,2385365.50,1802642.71,1355566.02,8956529.89,5065424.47,2922682.29,1436826.93,2040703.47,38368.95,119610.04,643030.79,692441.94,-124392.54,-291006.73,-231584.17,3221532.32,2822180.90,2746129.62,1861439.84,3273808.26,1663674.16,1478056.80,377300.18,-68669.34,-195708.34,0.0
