,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1751526417.51,1116236471.21,416430846.97,2363371941.02,1530696151.34,1004277791.72,321094127.88,2183355173.37,1422597202.14,621823088.74,278602684.83,1279188344.05,937539870.30,607268359.44,252161538.89,1504869617.59,1172149997.01,851045905.10,371173345.05,2036032841.76,1495318370.70,943159591.75,408677547.88,2012662292.63,1412917535.11,681736803.65,265991822.89,1547784033.54,1146424727.18,786104661.54,304581375.33,1910665141.17,1402579127.92,871967545.99,407316784.02,1343548630.96,948212580.92,572760755.56,192534055.96,569259484.91,405043059.83,247610127.63,95085816.32,543994360.89,398516394.58,266620587.45,87767923.26,569091199.93,393177817.85,249258088.59,88610419.78,539218220.29,503666651.91,0.0
2,营业收入,1751526417.51,1116236471.21,416430846.97,2363371941.02,1530696151.34,1004277791.72,321094127.88,2183355173.37,1422597202.14,621823088.74,278602684.83,1279188344.05,937539870.30,607268359.44,252161538.89,1504869617.59,1172149997.01,851045905.10,371173345.05,2036032841.76,1495318370.70,943159591.75,408677547.88,2012662292.63,1412917535.11,681736803.65,265991822.89,1547784033.54,1146424727.18,786104661.54,304581375.33,1910665141.17,1402579127.92,871967545.99,407258404.23,1343548630.96,933447939.99,572760755.56,192386514.62,569259484.91,395833365.05,247610127.63,95085816.32,543994360.89,398516394.58,263941777.83,85537328.62,567457112.59,393177817.85,248407700.89,87781941.05,536126069.24,501413340.20,0.0
3,二、营业总成本,1638880114.45,1035704811.97,411814560.91,2260785116.04,1462906466.45,944675191.24,331828462.85,2078619511.56,1353015224.40,591905737.90,268683862.26,1188335354.23,861265749.05,564894562.61,243553282.90,1456254180.81,1135014655.43,830013483.63,367704847.35,1984522733.05,1457918362.70,919510270.73,399234107.36,1976335155.91,1387682122.94,674325764.89,265019863.90,1530157378.32,1135172995.22,780492502.48,304427614.96,1871764382.03,1368203789.61,840120470.26,394292167.78,1319301021.15,934724833.74,569706929.69,192376153.04,552688651.36,392512452.68,243097758.81,94366325.87,512458114.95,374793321.21,246110953.97,79566127.82,512123108.75,361140119.75,223042518.67,78869796.81,477745975.60,459336214.41,0.0
4,营业成本,1308300243.64,832778823.84,320108620.91,1794107906.80,1175117132.01,767803888.43,261971025.18,1667337740.42,1067066289.22,483310288.68,217157475.55,938819036.52,690017266.33,452008606.34,194752347.17,1231137359.34,988841275.81,733757213.67,324862699.99,1739865742.54,1286269137.67,802101705.84,351268640.06,1735461184.81,1220723543.38,622827134.08,245553677.53,1409560371.96,1051484314.26,725216350.26,285070195.72,1733061940.58,1265365541.28,766066044.78,364023767.91,1203198231.88,860329851.56,524493404.48,174556936.24,469053936.05,327418013.61,195788612.15,78556048.63,439212205.59,317434833.12,206515912.14,64813218.99,425570072.89,305391265.16,187327550.51,63379190.28,396070361.76,382677443.42,0.0
5,营业税金及附加,9058630.77,6112275.53,4021084.26,17477146.97,12268613.42,7854088.37,3162204.14,20293103.54,14603684.03,5649029.42,2623313.89,14537601.04,8136815.66,4903971.84,1775005.74,8393022.07,6703915.48,4098541.67,1249191.45,7051542.98,5732521.37,3333556.89,966811.82,5892241.96,4445389.41,1600537.27,342858.42,4252870.89,3110883.02,2091497.70,1237148.92,5066113.21,3658466.44,1978722.36,1123232.41,3571908.37,2047687.23,629505.90,211512.33,2829374.00,2009303.92,1100041.53,211202.59,2397840.31,1396375.34,645455.98,14746.42,2095494.48,1662776.29,825601.48,226958.29,2947906.28,1760744.13,0.0
6,销售费用,85686031.66,56458497.02,27254121.58,111020074.08,78411855.92,48568429.16,20312344.49,116157127.02,84195962.44,42796726.92,20589738.55,98977739.07,72466858.82,47836463.78,22789139.76,99159223.66,67775256.52,44848332.96,19295485.12,117630510.63,84437514.91,57536424.83,25003317.11,112071213.89,78756767.55,27184449.28,10736762.98,65175530.03,41678766.48,28079635.93,10138602.93,64289549.66,49267305.24,35980031.56,15343410.37,57061326.26,37209157.54,23069434.37,10144645.14,41991032.40,30396064.99,19682605.35,8014403.41,30760037.07,22026128.03,13866773.21,4868061.11,33033260.55,23803083.10,14945583.43,5330762.14,32021977.19,28393611.35,0.0
7,管理费用,184174128.77,107547423.29,48341111.42,210247784.70,125621757.03,107668746.16,47610478.53,258980533.82,170049248.60,53223417.43,28136507.28,131475695.54,83120748.66,52078811.44,24465128.37,115593055.62,73828515.61,47350680.32,23035348.77,113698388.48,75367585.69,50680041.47,21153660.60,111906142.94,76394570.03,19492845.49,7158276.37,48683123.95,37619538.23,23829218.32,7611157.39,64394922.92,45890891.54,33394262.46,14009690.59,53561046.82,35549233.98,21911368.56,7855909.82,42005462.40,34790872.48,27573281.66,8513258.74,34535513.78,26542766.53,19005676.27,7085459.04,48672631.44,28347980.61,18884640.86,10174997.03,44494038.90,46786374.01,0.0
8,财务费用,-4896880.49,-1666702.09,593222.08,-8479379.08,-5213818.02,-4478530.50,46791.33,-1168482.19,1021906.95,1164411.18,176826.99,-7715832.73,-2760603.44,-2217953.81,-228338.14,-3976411.13,-3133778.85,-1040755.85,-737877.98,1762262.45,1796655.73,1393877.43,841677.77,9596933.83,6884439.60,2743385.80,1228288.60,2443022.89,747682.31,710629.35,370510.00,3854191.48,2284724.91,968209.30,-207933.50,-1166216.59,-413812.22,-399499.27,-392850.49,-3365483.68,-2290927.32,-1235906.88,-928587.50,5316795.37,6950268.99,5549571.56,2784642.26,2559596.07,1625065.86,1067733.74,307686.10,1929153.07,-5599.70,0.0
