,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,893140261.62,4860195894.87,3395212696.43,2187369460.85,1144180489.26,4812808573.97,3451681484.44,2196906569.27,1171508749.60,4661850865.51,3182670009.32,1981435890.62,1057767260.42,3152216442.15,2155264290.48,1343083310.65,762846279.96,2915633891.98,2046094586.02,1249976092.85,705394935.16,2761400573.51,1879993912.91,1112279848.48,657308577.96,2524209416.40,1722646961.76,1078073329.79,615351177.56,2724953861.21,1847721787.66,1036490112.66,614320304.90,2382434788.48,1633896787.10,1003246147.98,583149853.35,1818814620.14,1145669244.42,661829336.30,359335837.15,1145306750.33,723914564.50,407570538.01,255192022.33,902684684.88,632875455.57,755362629.52,552487592.56,0.0
2,营业收入,893140261.62,4860195894.87,3395212696.43,2187369460.85,1144180489.26,4812808573.97,3451681484.44,2196906569.27,1171508749.60,4661850865.51,3182670009.32,1981435890.62,1057767260.42,3152216442.15,2155264290.48,1343083310.65,762846279.96,2915633891.98,2046094586.02,1249976092.85,705394935.16,2761400573.51,1879993912.91,1112279848.48,657308577.96,2524209416.40,1722646961.76,1078073329.79,615351177.56,2724953861.21,1847721787.66,1036490112.66,614320304.90,2382434788.48,1633896787.10,1003246147.98,583149853.35,1818814620.14,1145669244.42,661829336.30,359335837.15,1145306750.33,723914564.50,407570538.01,255192022.33,902684684.88,632875455.57,755362629.52,552487592.56,0.0
3,二、营业总成本,810540031.78,4167578848.13,2978007511.92,1920191087.69,980771216.41,4318388926.38,3106371144.11,1963973396.55,997048149.07,4181386288.57,2799608669.51,1789336137.82,911402697.06,2791712009.06,1854682015.33,1163557128.80,636570049.79,2488616586.69,1719045407.58,1062740166.39,568192756.96,2346455870.06,1587924079.75,942626881.45,547233509.11,2156528642.82,1470434085.37,929886964.09,511816187.38,2306286341.06,1573973711.73,889728695.99,485542688.95,1965192184.61,1329042954.96,838484454.05,474310231.93,1546409573.44,940717942.79,557799897.57,290090371.98,955820089.32,595602934.60,345266332.23,214973907.06,765105963.61,526456283.89,643875980.46,500041093.90,0.0
4,营业成本,508147408.84,2728631445.89,1920429381.71,1220281169.30,642136371.69,2622922929.11,1953613952.27,1200957199.22,666621300.82,2635590846.21,1773993047.99,1090223199.48,586351416.39,1624554797.76,1105706598.52,676890906.01,382181848.41,1488077938.76,1070685858.40,646044667.88,368353515.80,1522590313.74,1049502064.09,614113615.22,364584481.94,1414058164.54,987390552.35,613641321.99,354907772.18,1574584274.82,1075633938.99,583133528.05,327439565.81,1377436916.35,987289834.53,593673817.30,349417553.03,1131280282.60,712739208.16,401643789.75,217129319.08,697436260.83,441509914.73,245422172.28,160507029.73,568121133.83,392963008.34,492404923.29,410889235.10,0.0
5,营业税金及附加,5668388.26,33160377.11,23866606.58,13518400.18,9955459.37,36298512.12,29093419.89,19260305.05,13849213.38,32932432.36,24728521.48,14894526.47,9865506.82,32879503.96,20342783.28,13315984.83,7704992.58,30934802.02,20220350.57,12017562.20,7554547.18,27435568.34,17807929.55,11308254.77,5527106.53,23672166.36,12926448.15,9723886.59,5275688.63,22326739.90,13533150.76,7258365.52,5066982.69,19437504.95,12671718.36,7795564.73,5459671.65,3629038.82,1551522.00,1301715.54,769782.76,4176943.63,2354174.79,1255018.11,1133909.16,2255947.33,1536038.19,1488397.64,355681.75,0.0
6,销售费用,215586633.95,1020517139.25,717288240.39,480253669.03,226321912.25,1074103241.67,755046524.92,502691033.02,226395056.80,1007425379.27,642493739.67,417544038.85,189585387.76,786045478.57,518638726.98,333015243.96,166825730.50,702088845.52,462448442.45,299124416.26,151757162.58,602729979.85,405825925.36,244311835.51,144974860.57,555013206.99,365059735.89,236966282.15,117960513.40,566653559.67,392084110.53,240286794.72,122620158.46,441418204.78,252776641.70,190131843.62,100718712.59,342283901.15,186370356.00,123963819.85,59543448.26,201046926.90,114316617.67,73363262.76,37534225.12,136129878.31,92577271.85,105794634.05,63423441.58,0.0
7,管理费用,79677025.75,324338738.52,268129435.64,175755498.69,87181720.09,379134770.36,304103117.34,188159567.47,90367590.79,412185796.77,305179569.81,217049153.30,126733545.47,306957023.29,200845799.02,135839900.40,80503404.65,250439497.83,167560243.09,109574535.88,44760306.32,199260636.24,126303234.49,83119643.41,43236491.38,172813849.14,114401332.89,78974700.06,42789633.46,155585073.68,107818106.62,70303997.91,36267100.84,145851485.24,95195047.70,52930645.89,22465149.68,76624889.43,49568897.00,31523521.99,14004284.33,54529063.93,36218004.36,24891093.99,13710230.73,50602456.74,36383370.46,39988361.55,26062197.60,0.0
8,财务费用,-17198552.92,-39066819.85,-26886162.29,-13075503.51,-5085008.56,663587.69,-2359221.61,1307558.08,260047.72,27676321.76,23895992.73,22668170.60,-1043511.73,-7276604.91,-1871592.45,-2154259.86,-731727.52,-14226230.67,-10314957.32,-7357660.00,-4232774.92,-21581599.20,-17942236.75,-12917148.29,-7911472.39,-20355093.65,-16614304.87,-11733376.04,-5998847.03,-20637011.89,-16272157.35,-12430552.39,-4426213.44,-25337302.25,-17411511.80,-7335849.62,-5493875.69,-19012808.81,-12888786.66,-3392337.25,-2462071.08,-1020272.30,-806903.54,-193051.15,-3513.59,1374912.33,869291.80,2451980.81,1449589.11,0.0
