,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,4140009172.17,2756522876.61,1314713985.97,5376126917.42,4001545078.52,2491400923.81,1108626017.82,3494406305.56,2471297104.98,1503060970.26,632382705.75,2205317623.78,1570064610.23,1050261007.53,561406090.81,2923080553.09,2138170399.96,1384550809.61,689730813.33,3776571873.46,2937842929.60,2016430711.26,984829109.79,3988017887.86,2926316060.58,1868632501.82,884023863.63,3434911613.16,2616532214.37,1675398510.71,874563432.19,3719114009.29,2681016310.35,1630764952.49,689340716.53,2878606149.88,2034147254.71,1217983646.41,489047349.72,2168279425.79,1571707084.29,3374559513.29,1649201443.56,0.0
2,营业收入,4140009172.17,2756522876.61,1314713985.97,5376126917.42,4001545078.52,2491400923.81,1108626017.82,3494406305.56,2471297104.98,1503060970.26,632382705.75,2205317623.78,1570064610.23,1050261007.53,561406090.81,2923080553.09,2138170399.96,1384550809.61,689730813.33,3776571873.46,2937842929.60,2016430711.26,984829109.79,3988017887.86,2926316060.58,1868632501.82,884023863.63,3434911613.16,2616532214.37,1675398510.71,874563432.19,3719114009.29,2681016310.35,1630764952.49,689340716.53,2878606149.88,2034147254.71,1217983646.41,489047349.72,2168279425.79,1571707084.29,3374559513.29,1649201443.56,0.0
3,二、营业总成本,3476420630.86,2315493211.95,1144861274.63,4743577016.82,3532005832.44,2235502141.48,1041693854.04,3340859530.19,2374613636.24,1443744284.00,610451608.48,2157696818.52,1540289465.28,1012342209.93,541499079.12,2751989750.69,1993466699.74,1299368586.44,644626865.54,3481463270.62,2714050483.93,1868816582.42,914195014.12,3735913688.93,2723703073.26,1753363020.60,822739243.58,3181763921.14,2429450440.67,1559383364.36,817865202.42,3391921853.01,2452833097.15,1503592682.08,633637786.19,2620857184.25,1845197982.15,1105479025.46,445592683.12,1909497733.30,1376501657.47,3013865762.17,1427799110.06,0.0
4,营业成本,3076762246.09,2045102917.55,1000799922.01,4194955867.44,3142377260.68,1992302873.50,903996717.73,2957515934.16,2113314396.77,1284563473.38,550245125.69,1895570317.10,1354923023.26,889757411.62,476651791.37,2453310431.39,1792317383.16,1161586911.99,565184363.03,3113931379.90,2430624798.39,1670843985.80,810610797.55,3301824724.77,2427011255.86,1550640758.16,718879475.45,2855696186.87,2198988175.52,1410032843.37,739100026.28,3131908826.76,2270249803.07,1385778040.39,582857629.37,2381998002.72,1688369221.57,1006032870.37,409778398.30,1712845975.83,1262330942.23,2768912532.01,1296201105.86,0.0
5,营业税金及附加,18726759.02,13565708.13,8688147.83,25488058.17,18213430.60,11210533.60,4156412.36,15434258.78,10941951.20,5636296.89,2128671.55,16866188.70,5495043.37,4523833.64,2802333.76,18690431.12,13776513.95,10108129.04,6480075.03,19573593.07,13039344.56,9131319.29,4788404.76,13115475.96,4996445.14,3027247.78,1908254.10,11887820.48,6865173.05,5243510.55,3059495.09,12557974.56,5601193.22,3443718.85,1852536.58,5228283.58,1567516.56,897303.98,35998.36,10896625.25,10171552.98,4142635.98,6089547.01,0.0
6,销售费用,120660593.93,79216896.16,31017319.78,144932491.58,106552007.44,61158538.78,22163309.05,110974466.48,74087382.81,43354912.39,13458294.14,86460254.68,60344228.56,39464415.28,19504604.24,97692695.58,70484239.46,45532028.57,20960691.82,122444280.34,96292940.80,65688255.93,36791554.71,138745644.72,97967215.59,68847250.22,31663920.49,107405717.29,80275559.32,53403634.09,26401680.72,87602360.07,58594416.27,38385350.15,18767620.32,74617056.33,50161551.68,26839934.56,13708479.18,50198449.47,30403762.97,57630080.44,43093771.11,0.0
7,管理费用,139434689.92,90707082.63,41607993.25,214212609.01,147125156.93,176655918.16,81353184.45,244775058.84,163763218.45,103218857.10,47007875.70,173577957.43,125806331.76,83982976.86,43654608.11,202051544.89,142752132.98,95485081.72,51202348.20,242143088.86,180520627.93,122297897.38,61553864.31,257491556.34,178360433.45,117130057.18,58722336.65,235248748.90,161866728.86,104609653.66,53999323.35,194732592.11,129520920.33,80528569.51,37416171.62,153176278.18,94785432.01,66535236.69,19982765.27,133615049.71,81610497.08,126092795.81,80757385.96,0.0
8,财务费用,-14557477.85,-3537897.39,7180708.02,-34933588.22,-31451474.94,-18297812.48,25300270.42,7379721.92,-685673.94,-3720901.09,-3646130.18,-11183407.78,-3940600.89,-2488847.52,-11305.68,-24572598.87,-28085199.64,-12164388.26,-6614306.81,-22027912.74,-17993708.47,-9869682.87,-3958467.56,-5939151.73,782387.88,1452570.66,2200356.31,-28923328.06,-24679345.55,-17725019.80,-12138769.36,-34821734.40,-13507455.02,-4513651.16,-4683319.72,7230638.40,7271275.19,3824069.41,2087042.01,1260653.59,-1143903.43,12330562.28,4809753.80,0.0
9,研发费用,135393819.75,90438504.87,39598870.76,178764035.42,130139366.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
