,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20101231,20100930,20091231,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1280086750.64,823475302.53,382146415.26,2202287833.99,1645511448.27,1184955873.64,608602799.70,2060599656.75,1319833683.47,746955816.15,325146245.69,786990823.79,416789462.77,254659698.10,112700371.41,391328211.45,277623823.11,184497126.47,83465225.69,389697552.61,289895941.67,190142014.41,84262692.13,379671825.84,289952555.67,198374709.81,89607624.08,527294787.81,407127964.67,303291404.14,159022599.59,1088430175.41,856845366.18,415819381.52,362043760.54,279655570.97,255427313.55,224741420.26,271504670.53,0.0
2,营业收入,1280086750.64,823475302.53,382146415.26,2202287833.99,1645511448.27,1184955873.64,608602799.70,2060599656.75,1319833683.47,746955816.15,325146245.69,786990823.79,416789462.77,254659698.10,112700371.41,391328211.45,277623823.11,184497126.47,83465225.69,389697552.61,289895941.67,190142014.41,84262692.13,379671825.84,289952555.67,198374709.81,89607624.08,527294787.81,407127964.67,303291404.14,159022599.59,1088430175.41,856845366.18,415819381.52,362043760.54,279655570.97,255427313.55,224741420.26,271504670.53,0.0
3,二、营业总成本,1297999948.53,824851542.57,378288234.71,2160365901.04,1608578261.28,1158548977.19,586622858.44,2001193399.96,1244300718.63,697592392.09,308688331.49,767024584.78,413487832.51,251142218.99,110581779.41,510590478.57,303192065.12,198674777.32,90710421.71,444819677.64,308814168.92,189377150.48,84063328.80,378456150.59,287527492.08,197692990.07,85887029.75,481676417.64,348498661.15,256110428.65,136448809.92,871403552.28,667493724.95,323263835.20,323456801.46,249672693.24,225257606.41,204924364.07,250802343.00,0.0
4,营业成本,1098870570.16,700403199.71,320808908.56,1857350034.91,1404452537.03,1010989940.13,519651166.30,1688979185.69,1065456019.68,601323504.90,269322943.61,678866939.55,375990413.58,230070295.05,100533520.23,380386040.08,262638420.49,172188292.37,78914192.47,362608534.06,261032652.44,164923799.85,73487187.94,336873996.98,267709150.51,179938920.14,79358131.63,419600060.85,313206493.53,230385880.07,125026056.68,792801191.52,616037035.65,298404480.86,290984151.04,225552318.41,194978655.79,185371087.40,235559474.81,0.0
5,营业税金及附加,3796580.54,2723175.91,1205650.60,7428172.63,4516338.68,2063124.54,1037402.04,9509062.53,5492618.58,2335546.81,1066093.16,3891559.77,1594885.37,449615.28,202520.33,1747347.57,1291712.78,790579.12,354792.67,2197279.38,1498392.66,813250.40,362610.58,1804792.63,1276050.51,868882.63,439141.71,2762589.72,1927705.84,1416325.82,737602.82,5267903.05,4225854.21,1534664.35,1307637.95,881003.12,934634.47,822949.52,1268127.40,0.0
6,销售费用,29042381.08,21809771.83,11191385.84,38878175.65,25061895.75,16222523.52,7792857.79,54474115.26,36577263.84,18061994.99,6894360.20,20349415.17,8751955.32,4996513.96,1614483.64,14529578.14,10091966.95,6658167.54,2570421.47,13114960.78,9493401.71,5995241.58,2501530.36,8955626.82,6153119.44,3208201.57,1416941.43,7361849.53,5243574.34,3339699.91,1140406.41,11802727.95,9330807.70,4494613.24,7927282.88,5260145.96,4623316.36,3446845.46,4357647.59,0.0
7,管理费用,59208330.21,34735053.62,17807427.17,68826274.37,116308094.52,81177953.88,38259798.46,181276391.98,104084588.86,59769334.22,26454323.81,56933839.95,27606492.12,16473681.25,6434119.92,44837617.71,29859644.68,20688048.00,10133453.98,42786672.83,30058888.68,20220728.86,10251808.59,37784170.57,29500106.78,20881549.90,9800716.71,33582851.07,25556878.37,18022643.76,8747158.99,49395470.35,35316595.23,17733043.86,21269488.84,15690327.15,18186429.00,13051918.44,8303576.90,0.0
8,财务费用,41106891.76,27008811.21,11775200.07,60603901.00,41284543.82,23720333.15,10113137.23,13962889.19,9017885.79,3790052.77,1730852.74,168068.55,209175.40,-482522.71,-1074382.08,-4330083.88,-3419778.35,-2006234.65,-925481.89,-5137090.04,-4293882.26,-3186021.53,-1554332.24,-7590548.20,-5518030.23,-4159710.21,-1877027.77,789361.10,4625998.17,3168912.88,797585.02,4433517.36,3193824.97,1707425.70,2030380.85,1490165.92,1975892.71,2653704.38,1318877.77,0.0
9,研发费用,65975194.78,38171530.29,16584670.88,94294152.96,68437297.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,-1085008.41,32985189.52,16954851.48,24375101.97,9768496.62,52991755.31,23672341.88,12311958.40,3219757.97,6814761.79,-665089.28,-365363.84,2871517.37,73419978.95,2730098.57,355924.94,-336956.99,29249320.63,11024715.69,610151.32,-985476.43,628111.79,-11592904.93,-3044853.96,-3250873.96,17579705.37,-2061989.10,-223033.79,0,7702742.05,-610392.81,-610392.81,-62140.10,798732.68,4558678.08,-422141.13,-5361.47,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-2159986.81,-2025741.69,-653805.25,239294.85,1628443.67,1925554.14,532595.15,72877842.92,68215757.08,11210442.94,6322181.64,11607143.00,7237904.27,4612775.00,69436.16,22751543.41,2168811.22,1763684.42,1173250.86,701530.60,153540.65,153540.65,153540.65,0,0,0,0,228224.17,0,0,0,434629.17,160000.00,160000.00,325000.00,325000.00,0,0,480647.66,0.0
13,其中:对联营企业和合营企业的投资收益,-2159986.81,-2025741.69,-653805.25,-610234.85,778513.97,1425554.14,32595.15,72489732.79,68492092.40,10835442.94,0,11357143.00,6987904.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,24481305.81,30162612.49,24425662.97,66920132.23,53037088.84,39058130.28,30585926.58,146353530.67,146084307.55,60573867.00,22780095.84,31573382.01,10539534.53,8130254.11,2188028.16,-96510723.71,-23399430.79,-12413966.43,-6071945.16,-54420594.43,-18764686.60,918404.58,352903.98,1215675.25,2425063.59,681719.74,3720594.33,45846594.34,58629303.52,47180975.49,22573789.67,217461252.30,189511641.23,92715546.32,38911959.08,30307877.73,30169707.14,19817056.19,21182975.19,0.0
16,加:营业外收入,790347.21,307934.20,10700.05,92705.49,99153.34,73491.04,25114.97,235086.72,5075001.68,3346184.44,696851.22,8290189.26,15173.30,1765.34,1291.18,1053430.10,682466.59,608805.26,40419.62,1463250.08,221974.09,200475.78,263655.06,4230922.85,4986559.79,3589855.37,495693.49,4457729.20,6512159.20,6509149.60,4631546.24,2644088.65,1194121.42,633304.59,2386120.44,836120.44,1024288.72,820000.00,550000.00,0.0
17,减：营业外支出,1002028.21,901563.34,878916.25,7118098.21,577104.52,430190.00,419250.00,10333723.97,336317.07,135867.07,15867.07,4649516.53,3258302.26,3258299.93,50800.00,1942896.58,375662.72,220710.13,124380.17,3131021.76,1351.39,1351.39,600.00,464556.72,453956.72,445649.33,444649.33,1051025.06,368423.00,2000.00,0,80417.38,80417.38,2814.00,177443.25,170502.25,62941.43,117458.10,277977.91,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,15692.31,15692.31,0,162329.74,129760.94,129760.94,0,1482402.11,0,0,0,825536.44,0,0,0,435849.33,0,0,0,8377.70,0,0,0,25903.38,0,0,18880.00,0,6488.82,0,0,0.0
19,四、利润总额,24269624.81,29568983.35,23557446.77,59894739.51,52559137.66,38701431.32,30191791.55,136254893.42,150822992.16,63784184.37,23461079.99,35214054.74,7296405.57,4873719.52,2138519.34,-97400190.19,-23092626.92,-12025871.30,-6155905.71,-56088366.11,-18544063.90,1117528.97,615959.04,4982041.38,6957666.66,3825925.78,3771638.49,49253298.48,64773039.72,53688125.09,27205335.91,220024923.57,190625345.27,93346036.91,41120636.27,30973495.92,31131054.43,20519598.09,21454997.28,0.0
