,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,166275608.92,106834944.33,51094913.86,312346840.23,161682899.84,97950229.59,41489370.04,294901492.22,145663385.18,96565197.33,38653271.21,283626915.60,145842878.00,83492206.05,34985857.73,252095375.80,125634656.27,72679797.72,22622195.51,233595816.94,121626967.32,62838504.50,227625032.79,219433002.99,223603991.33,0.0
2,营业收入,166275608.92,106834944.33,51094913.86,312346840.23,161682899.84,97950229.59,41489370.04,294901492.22,145663385.18,96565197.33,38653271.21,283626915.60,145842878.00,83492206.05,34985857.73,252095375.80,125634656.27,72679797.72,22622195.51,233595816.94,121626967.32,62838504.50,227625032.79,219433002.99,223603991.33,0.0
3,二、营业总成本,130625177.58,88865263.08,37048322.57,244083794.28,127003652.22,79473799.18,31587411.20,231141495.92,112666511.20,77774731.26,25641673.93,222229354.47,113524352.75,70422611.13,25653433.64,202678904.51,103678168.01,68061377.27,21868872.38,179592005.78,96886041.61,52303852.61,184440692.05,173421985.68,169145063.35,0.0
4,营业成本,91796018.98,63325538.13,28622382.18,185165470.95,91827104.59,53519619.06,22788275.54,173442440.67,78058092.81,52021970.30,19081802.12,160042977.52,74767576.86,45909199.21,17448342.78,144869974.78,69604434.81,43272716.82,11483196.19,123956266.73,57740417.01,28850116.88,125597868.60,120825874.28,129856460.50,0.0
5,营业税金及附加,1225806.28,1056990.14,216806.21,2620513.04,1634671.11,1307321.22,183982.16,4755200.14,2373030.38,2090669.89,1003565.98,2970500.58,1272304.52,627643.43,262572.38,1918505.69,909880.99,503593.34,303252.51,2444760.87,1588419.52,543670.57,3366354.58,3019085.40,2562313.40,0.0
6,销售费用,8855302.39,5630939.24,2798878.88,13078855.36,7513966.27,4852553.64,2335910.65,12221169.96,6573272.61,4279973.43,1844327.18,12453680.85,6349036.46,4345578.48,2543587.56,12248436.32,6345559.73,4318768.64,2002088.17,12335269.91,7575281.12,4394194.30,9105679.37,9703284.66,10364966.84,0.0
7,管理费用,9925603.24,6510713.05,3153528.92,16217844.46,10219417.30,19457312.76,10456717.33,42427221.66,26109221.57,17224093.61,8069798.76,40905181.12,25493160.00,17006001.32,8294519.64,40879929.78,25006722.91,16725619.69,7759412.29,36048750.71,25534569.10,15067784.77,35380440.20,32447827.82,33672362.69,0.0
8,财务费用,-324316.79,-288348.11,-232575.32,-774230.25,-846470.49,-492651.80,-220602.91,-370727.87,-694395.71,-482423.76,-144470.09,-363867.33,-206446.52,-152269.73,-111594.41,-417418.06,-339061.45,-200271.04,-99251.16,-261206.87,-98845.88,-82305.85,1230665.22,2725183.19,22077.59,0.0
