,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3222956019.79,2347775483.06,1517227193.60,722405473.48,2685304946.41,1954704536.97,1246435241.08,518926852.93,1969983729.53,1356438787.09,843197259.09,363141938.65,1488780884.51,1046969230.01,669018417.11,281534641.72,1065169032.05,747649991.10,514422589.72,208203480.40,934846080.30,658956758.99,452229710.21,183651019.84,779426579.57,606154698.29,521308317.21,0.0
2,营业收入,3222956019.79,2347775483.06,1517227193.60,722405473.48,2685304946.41,1954704536.97,1246435241.08,518926852.93,1969983729.53,1356438787.09,843197259.09,363141938.65,1488780884.51,1046969230.01,669018417.11,281534641.72,1065169032.05,747649991.10,514422589.72,208203480.40,934846080.30,658956758.99,452229710.21,183651019.84,779426579.57,606154698.29,521308317.21,0.0
3,二、营业总成本,2501319557.19,1749286610.68,1131070280.06,560896176.68,2099524141.51,1487250539.05,931208634.50,385948649.79,1479535573.20,982562586.95,608415343.37,261524168.70,1119623843.37,765775370.20,484751819.81,214314915.79,773721995.34,521469881.64,352677617.72,148924596.60,644648153.53,436710467.50,299757821.45,126265674.12,528737608.57,405117294.09,366892129.98,0.0
4,营业成本,1552946414.01,1108988041.06,711985354.96,347935619.09,1294281313.88,932999035.68,598117086.69,244156101.14,911022439.42,635466959.28,399965297.52,167419724.62,683406456.62,475470370.08,305643072.48,137577866.04,458398514.91,313332642.77,224562808.92,90874276.34,380918154.23,263112637.29,187473926.70,73666127.57,340130873.98,266404570.48,247032285.01,0.0
5,营业税金及附加,26651263.16,15912740.50,11193832.62,4306404.35,24765469.44,16003823.06,10628003.61,3722879.14,17326700.88,9330314.37,6107564.43,2353932.04,11331003.86,7081248.92,4217344.61,1619804.87,9365820.80,6315745.65,4292830.47,1565116.13,9999965.67,6790547.35,4997692.86,1591305.47,8947157.57,7114289.89,6149392.71,0.0
6,销售费用,565048758.81,396973867.51,265186314.33,125558644.37,453338953.73,317930330.57,192558319.94,84128628.39,332055936.69,205159215.79,125415001.95,60176384.41,253246296.08,175648296.03,108164217.24,48478148.22,172591347.27,111668677.15,67001699.10,31442127.34,138959509.88,92123369.66,56063887.00,26207442.49,96567009.11,68038598.48,59188356.29,0.0
7,管理费用,151428022.02,103636873.81,66195881.72,33676283.06,136143888.29,92369311.93,95553459.32,44723987.17,185305896.01,100337787.30,62052744.32,28791396.65,144092869.19,87415026.40,54608512.45,23718019.45,109671461.30,70574055.78,40161017.53,19197121.26,94878326.35,60479154.76,37783224.51,18186622.18,74109798.59,55950721.05,51168641.32,0.0
8,财务费用,65108603.81,47613703.68,30867227.28,15286597.24,48746429.63,33814215.12,19891369.43,6911914.93,13240443.62,6413276.63,3018668.19,1927230.26,7934747.39,7981641.74,3695109.54,760049.50,8013314.46,10092652.63,6729411.19,3970739.15,8954186.30,7030360.52,5165754.64,2971816.11,2109144.13,7032333.01,3858971.89,0.0
9,研发费用,140136495.38,76161384.12,45641669.15,21952445.22,108794976.60,71833308.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,12180183.35,33453109.94,22300514.52,14460395.51,2305139.02,20584156.58,25855033.58,11856066.96,855500.72,19612470.23,12178787.03,8423563.49,2161027.71,15681536.60,9486107.66,9929850.51,1875216.38,10938011.10,7174397.92,8273335.74,3642360.30,6873625.19,576781.18,-505517.24,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-58657.65,0,0,0,2804542.52,2402907.72,2402907.72,1738615.90,3652339.98,3368988.93,2461928.95,1359070.84,33887948.62,30771612.21,26761471.36,21897713.26,10873406.40,6211699.34,3036717.67,860536.26,2803560.16,2844131.21,1513807.30,-43248.35,1188309.73,781923.88,-1680637.39,0.0
13,其中:对联营企业和合营企业的投资收益,-58657.65,0,0,0,0,0,0,0,0,0,0,0,-412351.64,16919366.17,16919366.17,16772695.43,1882906.38,3137170.57,2555682.05,507062.31,2343056.09,2556892.85,1402459.29,-94158.02,619054.80,-172825.73,-1651318.57,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,695838181.01,574470510.98,367985295.77,161595780.64,598247162.28,475490637.75,317581330.45,134767073.13,507997933.56,377245189.07,237243844.67,102976840.79,403044989.76,311965472.02,211028068.66,89117439.19,302320443.11,232391808.80,164781689.67,60139420.06,293001486.93,225090422.70,153985696.06,57342097.37,251877280.73,201819328.08,152735549.84,0.0
16,加:营业外收入,230984.70,170568.69,170797.35,6812.07,449201.43,393700.12,115164.94,44265.41,291162.89,12646966.12,8212744.81,2700081.60,10037808.10,5642422.86,3643846.96,1406284.93,3044403.89,1536626.96,786066.97,19056.85,1346505.11,721324.55,572616.47,28726.06,547065.45,3891898.91,1234214.17,0.0
17,减：营业外支出,2898395.51,1861052.69,509665.10,229458.35,2015977.50,538700.91,196609.93,47981.23,6652247.37,2714475.35,972340.34,637117.53,12399332.02,6322555.57,1597852.34,940802.62,2968171.20,2046742.21,578852.15,367527.58,10437296.06,5659756.51,3044242.68,498085.33,9982706.53,6445925.65,206265.97,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,2016256.26,297999.78,30470.02,1077333.38,1278188.57,428048.10,338902.62,658355.58,334021.34,279620.19,152403.62,4402079.04,2982939.89,2624145.55,332494.19,1252522.18,495973.10,202309.17,0.0
