,报表日期,20190930,20190630,20181231,20180930,20171231,20170630,20161231,20160630,20151231,20141231,20131231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,94302426.25,70042692.61,134243324.18,46892150.02,125656005.82,42011800.00,68632600.00,32201700.00,45859000.00,25266800.00,13766400.00,0.0
2,营业收入,94302426.25,70042692.61,134243324.18,46892150.02,125656005.82,42011800.00,68632600.00,32201700.00,45859000.00,25266800.00,13766400.00,0.0
3,二、营业总成本,56416593.01,41419447.15,73957398.77,37290794.86,73393549.66,28610400.00,42989800.00,19009800.00,29918000.00,19643900.00,14375500.00,0.0
4,营业成本,20903803.78,17400154.35,36153143.99,10070146.59,44672339.75,12333700.00,21872900.00,9722500.00,14223700.00,9027200.00,2637200.00,0.0
5,营业税金及附加,1458698.29,977975.78,1835388.63,957955.37,2377267.28,984900.00,946600.00,227500.00,224700.00,415000.00,397800.00,0.0
6,销售费用,832594.69,531404.01,821740.84,524716.09,559255.85,219900.00,350500.00,143500.00,250000.00,108800.00,114500.00,0.0
7,管理费用,9402931.03,6232431.12,11446931.79,7137212.15,10163464.60,11216300.00,15438400.00,6297800.00,14688000.00,9443400.00,10137100.00,0.0
8,财务费用,973300.75,649400.86,1324943.36,1058052.22,1640930.32,769300.00,1658100.00,911200.00,185700.00,-6100.00,80100.00,0.0
9,研发费用,22845264.47,15628081.03,22375250.16,17542712.44,13980291.86,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,0,3086400.00,2723300.00,1707200.00,345900.00,655600.00,1008800.00,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,0,0,0,0,176209.01,128700.00,712300.00,150100.00,91200.00,68600.00,27600.00,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,27225052.11,21209058.40,72002066.12,16978175.01,54962032.02,13530100.00,26355200.00,13342000.00,16032200.00,5691400.00,-581400.00,0.0
16,加:营业外收入,0,0,1026300.00,1026300.00,804000.00,304000.00,485300.00,184100.00,3237400.00,2663200.00,2415900.00,0.0
17,减：营业外支出,0,0,1341.40,47.80,15366.18,2500.00,146300.00,117700.00,99700.00,4300.00,0,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,500.00,0,0,0,0,0,0.0
19,四、利润总额,27225052.11,21209058.40,73027024.72,18004427.21,55750665.84,13831600.00,26694300.00,13408400.00,19169900.00,8350300.00,1834500.00,0.0
20,减：所得税费用,4116161.77,3199282.06,8544113.66,2844901.25,7375967.11,2084600.00,3686700.00,2109700.00,2930300.00,1261400.00,280400.00,0.0
21,五、净利润,23108890.34,18009776.34,64482911.06,15159525.96,48374698.73,11746900.00,23007500.00,11298600.00,16239600.00,7088900.00,1554100.00,0.0
22,归属于母公司所有者的净利润,23108890.34,18009776.34,64482911.06,15159525.96,48374698.73,11746900.00,23007500.00,11298600.00,16239600.00,7088900.00,1554100.00,0.0
23,少数股东损益,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,
25,基本每股收益(元/股),0.450000,0.350000,1.260000,0.300000,0.950000,0.230000,0.460000,0.230000,0.390000,0.170000,0.040000,0.0
26,稀释每股收益(元/股),0.450000,0.350000,1.260000,0.300000,0.950000,0.230000,0.460000,0.230000,0.390000,0.170000,0.040000,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,23108890.34,18009776.34,64482911.06,15159525.96,48374698.73,11746900.00,23007500.00,11298600.00,16239600.00,7088900.00,1554100.00,0.0
29,归属于母公司所有者的综合收益总额,0,0,0,0,0,11746900.00,23007500.00,11298600.00,16239600.00,7088900.00,1554100.00,0.0
30,归属于少数股东的综合收益总额,0,0,0,0,0,0,0,0,0,0,0,0.0
