,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2201133810.88,571651025.21,430130331.17,297814596.25,815133091.69,596770125.76,382740326.00,166655181.91,755990822.26,456787260.51,330569878.69,147439964.24,1644153622.09,1019102376.82,657973225.81,247598647.02,1123764262.98,371613574.79,169320843.07,79298722.15,803219388.38,391547323.05,139869717.13,76532229.94,604881162.44,408715802.92,164284001.77,48427329.95,330603131.50,72841962.72,38565210.67,16830816.87,400567828.46,165409561.74,34014558.20,21199981.69,265987278.02,222145397.16,107066637.59,77929841.15,432792194.68,57551885.13,54888088.00,20159551.00,314470933.00,172987710.00,153632161.00,114117799.78,792329645.69,603857393.26,448465900.22,206996101.93,366544200.28,5156137.61,4334692.33,4071504.10,72293129.76,64604962.09,43312799.01,23001725.79,95383074.81,54533919.62,32336959.25,11914658.48,119704138.24,100973603.21,69674033.88,28430794.87,168124107.70,133027477.33,90961117.77,43534976.33,305562019.59,156056589.43,301467551.31,135868906.79,271416610.46,112997222.24,227547912.34,110485698.64,260076729.16,124940194.84,345265790.00,213792861.00,85605016.00,0.0
2,营业收入,2201133810.88,571651025.21,430130331.17,297814596.25,815133091.69,596770125.76,382740326.00,166655181.91,755990822.26,456787260.51,330569878.69,147439964.24,1644153622.09,1019102376.82,657973225.81,247598647.02,1123764262.98,371613574.79,169320843.07,79298722.15,803219388.38,391547323.05,139869717.13,76532229.94,604881162.44,408715802.92,164284001.77,48427329.95,330603131.50,72841962.72,38565210.67,16830816.87,400567828.46,165409561.74,34014558.20,21199981.69,265987278.02,222145397.16,107066637.59,77929841.15,432792194.68,57551885.13,54888088.00,20159551.00,314470933.00,172987710.00,153632161.00,114117799.78,792329645.69,603857393.26,448465900.22,206996101.93,366546400.28,5156137.61,4334692.33,4071504.10,72157267.53,64457974.71,43241403.38,23000289.89,95285335.48,54484080.29,32287119.92,11914658.48,119386743.95,100900193.19,69568806.89,28423690.60,167892133.17,132948132.29,90910035.98,43534976.33,305573410.40,156026674.92,301466805.25,135866983.81,271392532.69,113025036.24,227510040.08,110430653.17,259965272.90,124795738.02,344952157.00,213503670.00,85430927.00,0.0
3,二、营业总成本,1167565566.90,307349928.86,169987218.50,99388141.17,631365824.24,463750404.92,299627024.28,128416365.96,505160019.09,346311177.58,222267429.05,98446792.27,1008229121.80,747725480.81,471667144.07,210207781.09,939230498.62,332435739.75,132748668.84,71742693.24,698583985.62,337029628.28,111990891.90,68804359.35,569687370.97,394723235.61,156026707.50,46018701.13,315497678.07,69899937.66,36424093.06,15717317.97,391353029.03,144295093.52,32127724.18,20916236.64,266241897.80,236535847.18,104925642.81,76898854.88,418354078.66,57013087.32,54380951.08,19908610.63,225627613.36,126090499.64,106291843.25,77175330.28,607135221.10,454504788.63,349389229.86,159983580.90,257599111.18,9673398.16,5117133.98,2773778.96,64346207.01,60590856.82,38790908.43,11482154.35,-73089144.59,-141096687.23,11408565.62,32333560.65,495057512.67,154869529.72,103129301.43,39407278.89,443411939.59,161380230.18,110548104.18,49628520.99,604060885.01,126089111.31,250861726.55,120660688.01,230310985.59,99999854.17,212566147.08,90179463.30,219928140.06,0,300108653.00,182895026.00,76611365.00,0.0
4,营业成本,501270483.79,10467660.38,3724313.42,0.00,56100399.73,36579238.94,19819725.12,2314840.26,11253830.87,14144616.31,11753558.27,7934291.11,240334039.68,223811834.10,183923847.67,71227597.91,717622925.32,252030723.90,103480152.14,56456237.38,591115853.37,275220335.48,78690915.08,51768483.99,494965407.35,343346562.49,129698145.67,37347768.26,253873344.78,48612653.55,23170773.92,11335037.19,337138188.31,118060244.17,22066052.92,15473118.53,215925686.93,196504075.54,92902463.03,69238374.99,364583606.42,32431265.66,32007205.16,3872869.84,124602769.01,65794826.73,58482276.24,46055192.40,423992813.31,308794649.88,249331759.11,113703849.00,180471395.02,4886043.41,4133906.06,3684681.16,75388461.34,63592927.54,42168935.42,22691149.54,127979325.53,79152499.72,55104371.93,17235684.26,124955908.80,99857639.16,67624471.17,27468920.48,160191370.06,129455621.02,91893783.82,44194071.61,251729628.34,110197624.35,215130062.06,106457361.36,207070298.22,93396073.22,202535129.09,84769803.66,203848345.19,0,265390449.00,165323724.00,68049444.00,0.0
5,营业税金及附加,251398635.17,12013489.76,5592829.26,4726128.26,17187948.95,11341482.41,6768760.52,2271137.18,8962905.12,6421157.63,4638214.77,2659295.88,46848790.68,37600184.96,31914609.40,16520730.19,92605312.34,34208067.44,11346057.01,5146261.07,48212015.93,21988639.19,7868622.46,4290084.04,35981399.24,24464452.32,10718953.52,2752081.64,20030069.98,4589382.75,2563614.96,942595.76,24324001.32,12710238.30,3438838.06,1726998.17,20445422.90,11517473.28,6365405.47,4649032.28,25148150.81,10358043.69,9831848.29,7686723.57,67608474.32,37926740.75,34648507.49,24303598.94,122607051.95,98459353.34,64103881.11,28592533.15,57990066.31,69224.74,68159.29,66973.55,305472.52,158131.91,122221.51,103170.71,758330.14,389384.62,229736.37,80941.43,124190.07,0,0,0,387419.07,483855.97,332977.27,232152.77,1310650.86,856320.97,0,255613.25,2478341.26,1369673.37,1829036.48,763230.03,1148008.90,0,1776849.00,418589.00,254336.00,0.0
6,销售费用,11919285.51,8377085.42,6770334.33,4754657.47,16664572.08,9429013.46,7185792.26,1962463.94,19917075.16,9603303.21,6833979.27,3283556.67,17726491.08,8347472.90,3172271.85,1973540.30,26763201.80,22732460.17,10546112.35,7180208.00,31833867.61,26341602.26,16272614.70,10082746.84,25324097.23,16733562.91,9422164.73,2966902.44,24833021.03,8052153.12,5652512.44,1653527.94,14501633.98,8531110.90,3434076.73,1146173.32,9970722.99,8238761.35,1758779.33,599699.07,16936671.93,8028472.73,6966561.36,5106708.50,21636067.75,12720501.35,7143729.46,4160812.00,50284423.17,36014629.30,27792149.79,14381914.97,10877664.16,1460078.71,996866.68,190954.73,2505388.46,2228336.68,1160857.63,524588.67,4297055.41,2985043.95,2335159.84,89746.91,4989045.11,3557050.34,2334155.88,1074868.49,7338818.33,3486281.47,2528809.19,1109646.19,11719746.92,1190788.03,3479985.61,1553271.36,2991652.94,1813060.81,1296260.75,1694477.44,1667299.67,0,2445955.00,1400916.00,653914.00,0.0
7,管理费用,350201993.14,241655723.30,129481909.34,73513134.45,461629529.10,345994336.42,222848447.73,103015746.03,417656216.18,292610451.12,185400848.93,88843166.78,638013471.47,432024406.76,219901660.97,113034143.98,85068216.22,16293088.69,6876895.32,3055649.22,17704334.34,12845670.16,8614985.66,2795091.37,16612267.43,10689599.45,6631914.38,3007639.75,14648615.64,7258235.95,4567401.59,1623183.53,14547061.59,6358987.94,4453022.25,2703713.37,10048632.96,9267166.84,3917327.16,2437599.91,12885943.48,7811368.51,5559303.63,3195453.77,12646214.97,10401679.49,6488536.52,2938246.05,12161519.22,10372111.13,6885557.88,3407817.63,8252150.20,3256636.50,-82136.62,-1957607.96,-17826627.85,-11010454.68,-8622658.03,-13818345.03,-250263806.77,-265386283.07,-84038507.92,2215764.68,298196513.15,10574768.53,6051520.85,2739870.25,215276749.35,8021164.38,5237638.03,2550782.69,292851280.71,5799283.57,8769433.22,4243107.91,8393558.27,1814116.77,3895053.86,1404831.27,8410978.69,0,12225067.00,11520340.00,5520730.00,0.0
8,财务费用,52775169.29,34835970.00,24417832.15,13529623.03,72642785.62,59109243.90,39791513.28,18121634.99,47907936.74,30430241.89,16737577.90,-1990562.46,57687350.79,44854348.64,31305974.79,7356374.56,14491459.07,6677301.73,1526366.28,1023774.99,4680966.62,295971.11,276306.34,-85232.49,-771551.64,-196335.93,-160692.15,-30091.71,1144675.57,990660.29,72938.15,162973.55,-359802.37,-315132.73,-213910.72,-133766.75,-173308.06,-101361.11,-18332.18,-25851.37,-55344.16,-32360.42,16032.64,46854.95,-428232.08,-753248.68,-471206.46,-282519.11,-890197.42,-609889.10,-323702.41,-102533.85,7835.49,1414.80,338.57,788777.48,3973512.54,5621915.37,3961551.90,1981590.46,44139951.10,41762667.55,37777805.40,12711423.37,66791855.54,40880071.69,27119153.53,8123619.67,60217582.78,19933307.34,10554895.87,1541867.73,46449578.18,8045094.39,23482245.66,8151334.13,9377134.90,1606930.00,3010666.90,1547120.90,4853507.61,0,18270333.00,4231457.00,2132941.00,0.0
