,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,19082092.98,8829861.39,1767190.39,37890471.05,13820032.46,1708071.06,505826.16,14468145.68,4221875.04,2826028.74,2067470.39,17889807.45,7570260.45,5913987.03,5150394.72,11266425.39,8042212.31,6945086.68,5382487.89,11912412.50,5500700.75,3660010.99,1940168.80,11740973.18,7094408.97,5286274.61,2579109.22,13101569.68,8047495.90,4793805.95,3549087.07,13537591.00,9009934.16,5536541.22,2566451.05,202536978.55,26789563.99,19765360.33,11682018.74,110988167.62,25394929.02,17473770.09,6756319.95,33244699.84,5752240.00,3637131.61,1707772.02,10273480.01,4880575.54,3451427.24,1801445.63,35319510.02,1141725.78,617266.35,124881.19,416646487.97,6332949.60,5558699.66,1884262.25,103792059.67,9372924.68,8328787.21,9940785.08,99398495.42,64734816.43,52281375.36,31837845.54,603010462.59,62516234.15,48248711.48,25956489.57,130412184.65,65439565.28,154174076.97,84213050.30,133745861.79,110153447.67,69059175.29,0.0
2,营业收入,19082092.98,8829861.39,1767190.39,37890471.05,13820032.46,1708071.06,505826.16,14468145.68,4221875.04,2826028.74,2067470.39,17889807.45,7570260.45,5913987.03,5150394.72,11266425.39,8042212.31,6945086.68,5382487.89,11912412.50,5500700.75,3660010.99,1940168.80,11740973.18,7094408.97,5286274.61,2579109.22,13101569.68,8047495.90,4793805.95,3549087.07,13537591.00,9009934.16,5536541.22,2566451.05,202536978.55,26789563.99,19765360.33,11682018.74,110988167.62,25394929.02,17473770.09,6756319.95,33244699.84,5752240.00,3637131.61,1707772.02,10273480.01,4880575.54,3451427.24,1801445.63,36260538.80,0,0,0,416551953.83,4673976.22,4443469.14,1109438.08,104230378.04,7534661.91,7331353.15,8987755.43,76398391.10,53634598.29,41202423.64,23431157.18,572181464.28,39574327.14,31019898.37,16463853.93,89777756.74,44822840.41,112300055.15,57646520.37,109355578.09,85910104.62,46487030.22,0.0
3,二、营业总成本,30580991.42,16721033.15,5593285.25,50363053.43,26652030.25,11617282.09,7282677.39,38440579.23,20012746.31,13080764.07,7462695.92,44732383.59,26963561.76,18548182.06,9155269.63,39557971.58,31997493.04,23611677.07,6687326.19,24354054.98,15381361.21,9480375.19,5092261.11,37631925.43,22418669.24,15078540.03,9871231.92,34489233.73,29030581.94,19552361.89,7200830.07,49103809.39,21746023.86,14853514.28,8610208.54,173458410.50,43908683.14,31615254.67,13954807.22,190615160.21,39500992.96,29979475.51,10264785.12,32866486.41,18362547.49,13246546.80,6753945.64,53792935.21,21373570.71,13019862.50,7133891.29,91276927.94,22066361.38,14226608.87,6810728.81,395721531.58,26374213.48,19584039.70,7612677.02,124552403.33,25422577.63,19598256.72,13296800.75,93469757.97,64897293.24,45283611.51,22649414.14,479163133.36,42828197.13,32281606.02,16769851.80,72790998.09,37688404.98,87942188.77,39915441.54,73771475.43,60073258.84,50287087.58,0.0
4,营业成本,17074258.30,8028324.10,1381154.60,30201212.96,11143273.67,789320.16,114017.91,10678536.87,2507605.78,1819053.10,992600.37,10234690.26,2163548.82,1112420.52,607919.89,4928143.14,3038867.56,2185890.85,1143730.36,7720364.94,3740032.73,2375758.35,1466687.22,8074368.77,4959183.07,3767130.64,1984885.53,7427418.02,3151850.14,2415570.38,1570158.13,6299525.94,5320416.51,3550194.64,1696963.40,87280381.94,17024395.51,11364950.49,5450634.80,119617977.70,17269923.20,11383710.22,5569141.33,13578051.32,6193826.89,4134820.75,1827531.81,7194530.85,6243113.98,4065361.97,2239386.59,56248874.63,0,0,0,344025617.78,3974961.76,3477401.63,1341739.39,78311065.55,3439408.27,3137170.47,5338115.58,46255300.83,37748221.99,27879036.34,14116115.22,409921579.58,27496946.74,20632323.91,10356457.92,52188531.07,25317855.71,55523664.95,29068365.03,56461398.93,42226287.86,36979289.48,0.0
5,营业税金及附加,4810.57,4566.62,669.91,32279.00,5562.63,5562.63,4761.09,28051.72,4111.42,2543.43,1800.37,95550.98,73360.00,73360.00,31360.00,419588.00,122830.00,91720.00,36341.00,299710.21,156336.16,112121.16,44833.75,231002.81,159573.90,115144.50,46106.25,384311.86,202868.42,193724.67,152437.68,756891.92,392731.09,239691.03,107556.34,14904025.18,1361179.85,1012413.65,604946.04,7150011.00,1297288.50,896449.90,332791.73,2175457.21,210979.40,129779.70,69631.19,426701.07,166832.23,116719.43,70273.26,2180134.28,0,0,0,24884862.29,171507.06,171507.06,0,5964302.92,260891.07,258575.55,449814.36,3523078.74,1205227.00,948440.22,672046.44,34469863.55,1592614.18,943130.69,406678.86,1721955.68,878183.99,3265411.66,1303394.28,2847061.45,1741219.63,889831.45,0.0
6,销售费用,951946.25,518333.00,136541.00,739227.00,377627.00,0,0,4446.00,4446.00,4446.00,2459.00,19017.70,15816.70,9812.80,1487.35,59171.70,33020.00,14127.00,13008.00,148693.50,42692.50,21103.50,20793.50,104966.11,74000.11,51659.00,1234.00,45630.42,34451.66,24471.66,23233.94,55198.70,33798.18,20485.86,7355.61,164263.92,125117.15,87993.53,50646.37,643003.81,553130.68,468341.12,391146.56,76176.32,170680.80,105619.20,52903.20,75696.11,75696.11,13220.81,0,97974.77,56764.00,56764.00,32656.00,353860.76,63050.37,63050.36,15741.30,2562646.52,1061539.02,1049058.21,877126.11,4006014.24,2732452.90,1544267.19,630054.96,7277296.18,2028350.90,1561226.60,870831.09,2000272.23,775582.28,1884561.49,852418.23,1684531.60,1934368.86,1530271.99,0.0
7,管理费用,12887447.57,8413001.93,4165336.69,16572040.17,12693768.68,8250859.19,4102227.07,14464084.67,9461388.42,6417545.76,3268735.85,19984415.28,15001253.22,10826670.79,5094490.36,22144083.45,18691997.99,15106302.59,3083519.59,15437526.01,12197141.55,6972488.47,3559315.77,21718539.33,17120148.74,11036629.43,7028598.03,21449903.87,20857023.28,12133092.38,5452940.43,24276739.26,14251877.52,9879145.65,5118936.16,32975051.13,13956593.11,11221791.41,5507956.70,39206401.27,18936460.18,16084923.40,3793096.19,13199610.73,10369980.90,7860937.87,4324214.72,24350926.34,9305081.89,5480117.22,3016008.40,22982590.54,13337334.32,8195251.41,4138414.92,12240407.50,13921319.67,9688244.29,4177747.91,25172453.83,12258648.64,9059104.87,5564333.32,29162507.68,16809665.18,10642483.68,6705903.28,28281239.66,13854040.34,10864444.04,5873908.41,16728924.22,10001292.73,26167346.52,8561529.12,12456075.30,13628069.58,10104491.70,0.0
8,财务费用,-337471.27,-243192.50,-90416.95,2333382.33,2431798.27,2571540.11,3061671.32,12725161.12,8035194.69,4837175.78,3197100.33,14514720.82,9765210.12,6582586.88,3471977.34,12848201.57,8995886.44,5093831.17,1901297.94,982162.21,-754841.73,-1096.29,630.87,-12549.33,-9563.07,-7350.03,-1602.62,4564879.66,4596262.76,4597377.12,2059.89,16172506.17,1747200.56,1163997.10,1679397.03,23008793.56,11441397.52,7928105.59,2340623.31,24430963.88,1091666.98,602226.00,178609.31,6022629.94,1328150.25,1015389.28,479664.72,3658273.81,5582846.50,3344443.07,1808223.04,9767353.72,8672263.06,5974593.46,2639657.89,14216783.25,8243374.62,6183836.36,2077448.42,12541934.51,8402090.63,6094347.62,1067411.38,10522856.48,6401726.17,4269384.08,525294.24,-786845.61,-2143755.03,-1719519.22,-738024.48,151314.89,715490.27,1101204.15,129734.88,322408.15,543312.91,783202.96,0.0
