,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,22789922588.51,16614637808.64,9889209611.70,5268142104.49,23858165635.57,18041140025.54,10448955927.54,4730151874.77,22126925198.22,15364560275.81,9732890595.09,4535582649.16,16591206640.08,11281653162.33,7266284855.21,3518214883.13,15240089997.22,10767238459.79,7142296218.94,3472270916.56,15568400216.07,11269544577.53,7035163522.12,3219941438.30,13910203684.82,9851051575.25,6605892204.69,3523850591.40,13508426075.70,9240338568.71,5970619167.93,2788007375.68,13632059997.55,9623898498.37,6083916861.15,2875824483.75,11732957678.08,7488228579.00,4799036093.00,2208151049.00,8117488879.00,5003133503.00,3078575497.00,1110214036.00,9520295784.00,7178468133.00,4317427290.00,1835776926.00,6736805450.00,4127788804.00,2443296506.00,933486391.00,4052868792.00,2184725909.00,1054323481.00,523353076.00,2977498201.00,1858022138.00,1154788764.00,577188240.00,3118698203.00,1735344590.00,971010585.00,542052126.00,2937222378.00,1489518600.00,830194430.00,532857857.00,2241883469.00,960007561.00,633928074.00,509483014.00,2437403043.00,966388982.00,1837868768.00,537709738.00,1486320040.00,498896000.00,1152082000.00,400055000.00,1031334000.00,333326489.00,1017757983.00,253184745.87,808893774.00,361503607.64,326279806.73,0.0
2,营业收入,22789922588.51,16614637808.64,9889209611.70,5268142104.49,23858165635.57,18041140025.54,10448955927.54,4730151874.77,22126925198.22,15364560275.81,9732890595.09,4535582649.16,16591206640.08,11281653162.33,7266284855.21,3518214883.13,15240089997.22,10767238459.79,7142296218.94,3472270916.56,15568400216.07,11269544577.53,7035163522.12,3219941438.30,13910203684.82,9851051575.25,6605892204.69,3523850591.40,13508426075.70,9240338568.71,5970619167.93,2788007375.68,13632059997.55,9623898498.37,6083916861.15,2875824483.75,11732957678.08,7488228579.00,4799036093.00,2208151049.00,8117488879.00,5003133503.00,3078575497.00,1110214036.00,9520295784.00,7178468133.00,4317427290.00,1835776926.00,6736805450.00,4127788804.00,2443296506.00,933486391.00,4002706259.00,2169942512.00,1046123569.00,522304891.00,2939924055.00,1836383971.00,1139527407.00,571259132.00,3097504326.00,1721410717.00,962098118.00,538906330.00,2917197868.00,1476944086.00,823081685.00,524965377.00,2215020454.00,949988977.00,628300428.00,507728962.00,2427947819.00,965184438.00,1821818156.00,529613133.00,1479731279.00,495197000.00,1152384000.00,397698000.00,1028292000.00,333671728.00,1010004955.00,252716890.79,777219347.00,308778590.00,301440733.00,0.0
3,二、营业总成本,20803411743.09,15707204666.01,9345861632.97,5012205853.26,22282433562.45,17007415339.20,9799409223.15,4288525390.34,20723222875.23,14553967411.84,9228582376.77,4285102524.83,15941819065.90,10783933886.88,6994078806.83,3388330882.68,14975131931.24,10274003933.31,6855642634.48,3272804898.78,14888616554.44,10816772276.35,6761321340.58,3017118841.28,13032035550.98,9168805020.37,6192012994.81,3338229158.98,12706043386.35,8633180414.74,5509214992.23,2573898992.97,11977844857.15,8240751654.80,5153411420.60,2430657306.83,10341996360.05,6591155704.00,4210314180.00,1953878354.00,7606907158.00,4848239997.00,3027647292.00,1071555434.00,8742603448.00,6081825232.00,3647161514.00,1611940260.00,6046618692.00,3735684729.00,2223409686.00,823365414.00,3703745839.00,2039901938.00,957863338.00,435575392.00,2734747909.00,1751537719.00,1056947319.00,489427818.00,2876983864.00,1622489692.00,867311435.00,455885649.00,2700183782.00,1377289618.00,739491614.00,448573091.00,2027055461.00,861419930.00,533049506.00,421719629.00,2116595042.00,819788393.00,1544426146.00,434595508.00,1309926714.00,420685000.00,995587000.00,341306000.00,878994000.00,0,804922738.00,0,635513455.00,231646631.06,285225961.69,0.0
4,营业成本,16128170979.05,12289682321.21,7265590596.58,3868176065.36,16765527394.19,13096016114.58,7445879428.65,3102842238.70,16122503123.27,11230820707.08,7165179233.57,3278584606.91,11589129148.59,7898690756.55,5074042519.61,2483025810.29,11178886493.37,7479505601.21,5003716926.88,2354741647.95,10978441243.46,7717990334.03,4864513545.11,2143869099.73,9860603153.83,6904875698.13,4800146907.13,2590273980.43,9645707923.37,6749174966.53,4303223134.14,1989762644.71,9103224142.33,6389616059.69,4018773271.66,1883876143.36,7876267319.42,5134994108.00,3360480008.00,1534315136.00,5998149726.00,3934925751.00,2447777466.00,829723374.00,6337049755.00,4416112940.00,2596735379.00,1136471475.00,4640471327.00,2821740928.00,1628061299.00,545510753.00,2758078155.00,1531144635.00,718576535.00,293245184.00,2049789444.00,1340718786.00,813019246.00,365980480.00,2195588096.00,1267027235.00,652043477.00,355923807.00,2160405279.00,1096698778.00,590550478.00,373860296.00,1616597375.00,694345269.00,430817086.00,351227276.00,1807841599.00,696161100.00,1151975229.00,313826294.00,1049792863.00,326348000.00,755945000.00,251043000.00,638152000.00,0,639137872.00,0,507745671.00,236897397.97,276276382.00,0.0
5,营业税金及附加,489890222.66,475020391.21,256899545.46,137572887.04,690793506.66,485125856.60,335092256.42,159875312.97,430027819.43,324700496.53,205955744.97,103849583.27,336898215.91,176841242.04,145220511.87,72024430.02,292820509.54,221231390.68,156725329.22,86346905.51,360626652.68,265277140.10,178994032.38,68008034.35,304780777.27,198979894.83,140328440.21,71837597.11,298356893.37,203274702.71,125966133.87,50723623.57,349060054.34,270070403.96,173232842.40,54103442.26,330586315.00,212117993.00,146265472.00,42023547.00,125543137.00,78028284.00,55552362.00,34731809.00,595421448.00,519106614.00,301172698.00,97128147.00,186044813.00,102895946.00,60024909.00,16556919.00,41170424.00,13956721.00,3308371.00,2246061.00,6408700.00,3551250.00,2745819.00,2150502.00,6207709.00,3110748.00,2291327.00,1283765.00,8408909.00,3237284.00,2253974.00,996245.00,5103425.00,2379309.00,1812795.00,1044286.00,4015658.00,1682029.00,5001125.00,1604148.00,2661979.00,978000.00,2903000.00,1184000.00,1435000.00,0,0,0,0,34932763.50,16607194.00,0.0
6,销售费用,1705927795.64,1245418600.43,805675155.61,463882979.41,1566270458.52,1197564823.66,787356770.64,463065747.51,1349988800.75,1118662874.94,715011085.01,345402123.23,1061056818.28,861186302.98,577956179.08,297424922.05,929318865.34,855176137.24,571808262.16,299858689.84,932254559.91,903603050.50,516552473.09,250224100.11,819029413.42,754608796.69,434902829.25,236749185.58,724067378.20,608863798.41,383300611.06,204946377.35,908116737.70,627106700.05,367128521.00,193439516.61,747859750.06,432744264.00,226166186.00,156685870.00,485920203.00,266305305.00,185093297.00,98447729.00,539623999.00,454458069.00,299012627.00,178012793.00,543900035.00,341616798.00,239798512.00,122069527.00,364690117.00,185547248.00,107923133.00,70598492.00,254698526.00,170688922.00,106722537.00,56334802.00,306921503.00,148281820.00,103728598.00,54289669.00,289284453.00,129669595.00,84342106.00,45734246.00,240194286.00,91450124.00,69195562.00,49602362.00,190784257.00,79282006.00,187003446.00,71976309.00,143185018.00,43068000.00,104677000.00,37982000.00,120717000.00,0,59419983.00,0,50256077.00,0,986611.25,0.0
7,管理费用,1170252647.03,782033879.62,472726346.84,246900206.07,1163130785.35,714949052.81,485425419.59,238729926.60,1094588134.30,725521364.86,490076030.48,239077400.65,1108131970.70,765051633.63,478202152.77,229573575.46,1068674974.51,770828575.25,480201551.02,229832523.69,1122325425.42,800270113.30,506991517.32,213259133.33,989876058.76,682680006.07,401679363.27,206651081.98,906559569.37,533164670.78,329449403.20,166715529.04,799239016.95,489896620.26,315828800.71,159282304.01,648399457.40,433035138.00,231861732.00,118256733.00,473775012.00,315890333.00,186988406.00,78320322.00,448706469.00,297424544.00,192249106.00,76449891.00,313714565.00,208970701.00,136679136.00,64105542.00,315034517.00,184139765.00,74080258.00,45750974.00,303377607.00,148211978.00,69833326.00,41298103.00,256419769.00,130022209.00,66317535.00,29979901.00,176186259.00,104336094.00,40996048.00,23245800.00,130448552.00,54388906.00,27945661.00,17445260.00,93287918.00,36859004.00,116320229.00,32312577.00,79175281.00,32498000.00,77167000.00,24577000.00,53964000.00,0,38368555.00,0,22662746.00,6326018.62,7403921.08,0.0
8,财务费用,1050868395.72,760699376.05,467435561.01,284931214.78,1449218984.52,1125600103.25,733647019.18,328492743.16,1373073822.94,1119697015.67,685587819.33,322798964.04,1484842186.82,1084034675.80,717019742.12,306282144.86,1315052757.33,941199154.22,637087827.49,302025131.79,1423135553.02,1130131892.40,695007082.01,341758473.76,894789733.98,627675962.92,414970793.22,232717313.88,876523944.81,539606406.14,367880165.58,161750818.30,693674997.61,486845372.45,298327342.82,143122033.55,618768311.51,375684260.00,231115623.00,100582556.00,497476703.00,341819985.00,229414674.00,107012872.00,505276678.00,393341082.00,257784561.00,123870811.00,361977436.00,260460356.00,158845830.00,75122673.00,224772626.00,125113569.00,53975041.00,23734681.00,120473632.00,88366783.00,64626391.00,23663931.00,111846787.00,74047680.00,42930498.00,14408507.00,65898882.00,43347867.00,21349008.00,4736504.00,34711823.00,18856322.00,3278402.00,2400445.00,20665610.00,5804254.00,54431714.00,14876180.00,25108335.00,17793000.00,50567000.00,26520000.00,64726000.00,0,67996328.00,0,54848961.00,-46509549.03,-16048146.64,0.0
