,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2779942961.87,1896974860.26,1180754875.77,534363810.31,2610217314.21,1908137301.89,1236629305.52,591781915.15,2179361017.68,1566894559.63,1020594786.09,510051794.83,1691772821.04,1224087137.90,815104216.32,426794065.81,1316140058.66,1012886916.46,635142241.62,286689403.91,1168229125.99,844345688.29,572923763.24,268165691.04,1256100664.88,910834563.08,558606852.06,255512499.39,1130324752.98,836543575.77,549253786.44,236786119.15,1358225253.80,1161958929.69,807230203.89,312636952.95,1278804577.34,907364602.05,512092965.17,222715882.94,805393864.57,592849092.95,357365490.83,150077881.05,1724582699.09,1383753799.27,892493049.51,394731177.78,1258493964.38,874124060.26,517506141.58,212909815.90,945870578.91,696538832.32,459332687.04,195046213.19,638838464.90,437708274.89,272816015.41,116961870.40,448545040.94,318206036.60,200169685.93,78931663.64,355019486.86,225078898.85,144271498.71,62218952.16,310104904.88,214807170.57,142787592.91,65002676.60,269163739.07,141370742.16,252087863.68,104311976.46,157395566.12,131373051.66,112143276.54,0.0
2,营业收入,2779942961.87,1896974860.26,1180754875.77,534363810.31,2610217314.21,1908137301.89,1236629305.52,591781915.15,2179361017.68,1566894559.63,1020594786.09,510051794.83,1691772821.04,1224087137.90,815104216.32,426794065.81,1316140058.66,1012886916.46,635142241.62,286689403.91,1168229125.99,844345688.29,572923763.24,268165691.04,1256100664.88,910834563.08,558606852.06,255512499.39,1130324752.98,836543575.77,549253786.44,236786119.15,1358225253.80,1161958929.69,807230203.89,312636952.95,1278804577.34,907364602.05,512092965.17,222715882.94,805393864.57,592849092.95,357365490.83,150077881.05,1724582699.09,1383753799.27,892493049.51,394731177.78,1258493964.38,874124060.26,517506141.58,212909815.90,944526271.12,695424668.03,459001708.87,194905056.88,637955319.46,436914389.80,272332625.88,116819581.64,446357157.68,315401122.98,197738424.31,78408222.52,350499919.21,221265563.91,140636819.27,62082768.83,309181447.51,214184374.10,142351283.63,64784647.60,269043679.61,141406816.08,251844919.60,103778709.52,157279073.25,131465337.95,112249375.29,0.0
3,二、营业总成本,2581085463.54,1753025502.88,1073317811.18,474255436.59,2358545992.67,1709599798.81,1098966785.22,526273847.87,2055609067.16,1434378557.78,932287380.07,467368716.96,1632524790.07,1158847017.59,752376169.35,388588866.36,1301454702.40,984801525.00,638871653.50,285319627.86,1234245676.63,858262792.42,575256939.12,270482487.76,1307281374.07,943925290.73,574006323.79,266941670.87,1342470588.78,930001479.26,610397434.97,271046000.76,1403905021.05,1160273394.44,798990536.09,295964525.34,1218144000.20,875481109.28,498360869.89,228315258.37,1123992876.59,734123971.01,462159582.30,202732742.69,1790197391.52,1386244631.77,882715598.47,390492284.93,1217667307.26,793682852.67,470532335.15,193715158.47,865278591.11,627404041.73,411065203.02,178158381.77,603429207.84,391362989.47,239600362.76,106448443.30,386707798.55,273794787.08,168930343.84,67224818.99,284071906.45,188907145.18,121326769.59,54868098.43,253514136.71,178513598.12,119844915.28,54818930.71,207084905.74,99622722.57,200154209.74,80578672.48,128527291.93,107754248.58,92618594.26,0.0
4,营业成本,2103748291.13,1437159257.98,862428485.50,380660009.89,1851272903.36,1386170450.38,889526857.53,431867891.41,1657224184.11,1194139556.55,779899578.40,403897766.48,1321509466.90,964405586.02,633912742.79,338863158.93,1044841506.78,803270777.64,504777889.91,220942657.41,915509689.30,656192062.74,445960814.48,209470496.26,997399980.78,746119829.15,447847235.59,209490979.36,956153038.74,716382319.46,465188378.79,203799574.48,1126474411.86,966937552.70,671518501.75,243911169.87,953019856.96,684120256.95,392415853.00,186832120.01,792682348.90,589526963.95,369599085.97,160714810.37,1576127769.66,1255702028.48,797247722.03,350472264.55,1046990073.90,692592655.69,405189091.75,162287379.76,731467441.04,538062920.57,356676845.60,155121904.92,487767835.34,324443576.14,201380875.28,88285271.43,313108982.49,222411698.58,135674578.79,52259053.57,232696132.62,156002349.80,99898874.97,44669730.75,208684652.37,145306276.66,98461111.57,45043970.27,158942478.98,79560142.40,145529607.85,63358269.60,101248753.97,83010053.71,73543406.38,0.0
5,营业税金及附加,18217193.43,10410706.17,6912369.92,4237247.21,22342994.76,18354677.52,13001100.82,6231822.98,18838257.53,9368237.31,7324455.28,2768525.73,16244455.48,10355271.49,7893905.88,6179538.91,8786824.93,6824749.32,4592189.16,1537416.01,5862155.37,4515891.85,3758809.11,1617653.24,7729622.61,3646852.70,2539745.88,1349202.70,4270314.00,1879126.22,1477914.37,486303.84,2469766.37,1593892.87,1102900.19,307269.20,5509187.96,4525556.21,2472058.95,1064199.48,3293570.53,2144845.63,1226673.22,576937.29,2712743.89,1549043.11,1024639.74,549209.94,3158164.96,1827984.19,1115755.58,416756.83,2565582.74,1835107.12,1428851.46,976645.92,4089190.61,2835503.53,1825874.42,723438.61,2937552.58,1948425.95,1333967.87,503933.92,2159164.14,1149419.98,705944.17,309525.53,2036990.39,1352633.98,922868.23,392059.98,1641188.07,923234.80,4105371.09,1662620.70,2322228.49,1992316.29,1648904.18,0.0
6,销售费用,64202827.79,42400541.45,28443421.73,11490180.78,62192139.97,45714204.45,30131831.02,12924540.19,60756192.01,46679791.96,30038466.30,13384456.94,55766475.10,41988046.93,25480936.78,10909957.57,55711977.47,40599095.86,25503378.98,11203360.81,53627469.34,40952787.58,26145759.69,10893017.66,46953652.86,35866395.86,21847175.97,9635245.00,54828016.58,44170428.12,28788876.46,11905865.10,52784423.59,44650456.67,29402147.73,13074009.71,45403100.18,39000509.61,22916958.82,7530631.93,43858429.10,28902543.35,17297109.17,7745616.54,48979970.27,37656423.85,24749838.70,12204790.13,40094688.45,27965629.92,18321638.61,8591113.47,27749187.68,19794712.19,11728496.52,5043495.70,24788632.24,15917802.53,10377006.64,5439516.39,18930096.18,13461995.00,8834435.73,4513734.45,14633096.75,9314415.17,5884824.01,2127707.79,12125072.86,8820115.89,5818024.77,2676119.76,13514573.54,6682453.22,12445149.44,5869201.76,7703637.37,6546679.72,5104242.50,0.0
7,管理费用,189989768.56,113015199.17,82863783.54,35056637.47,173172039.31,104411206.11,131146807.80,61191920.34,254240361.84,166019271.83,105404442.41,48849787.06,206087872.69,132276178.80,80778930.44,36293817.25,174747360.75,119713439.58,82217207.83,40688612.29,173951078.60,112952666.60,72488040.11,34721136.46,178203643.52,111853351.91,70578668.60,33696052.41,198825986.37,126505137.05,88557564.58,41496828.70,158528323.51,109485858.83,69297329.02,29164646.68,147207681.42,105087671.27,62301816.44,26915715.99,152132540.84,87801256.51,62476183.37,28692184.97,108179729.84,65787893.89,42537752.92,22806033.92,81781866.77,52439976.24,32539859.07,18115632.47,83285347.49,53600632.59,34263366.29,13678651.33,74045526.58,37999883.06,23031856.48,11210988.47,45385775.09,31693183.34,20250579.25,8786212.18,33442540.96,23288225.00,16784608.57,7647401.17,30478298.62,23164671.47,14972329.98,6530345.55,34200816.11,14130179.73,35349398.97,8520627.11,14366578.53,12162336.55,8288391.02,0.0
8,财务费用,41737207.31,30098977.93,19729652.82,9305726.06,29947282.09,19662801.10,13398356.73,6312070.87,12457190.57,9811637.11,7807850.91,2133546.86,-14941709.40,-12652266.01,-11947598.37,-7387041.28,-7642658.00,572251.68,12014329.62,10796960.33,40534010.17,31335107.07,18978636.92,10175087.56,42873103.89,36575919.68,23918415.13,12114702.62,36964249.21,32268762.37,20781627.71,11834203.99,35687441.32,24255321.88,18628776.98,7695284.30,23990461.58,18389426.83,10351143.76,4610653.78,21604197.23,14872036.45,9691042.58,4692169.21,32081744.91,25187051.18,17272923.39,5753453.66,33047756.95,17619841.96,11937412.78,4304275.94,20211032.16,14110669.26,6967643.15,3337683.90,12738023.07,10166224.21,2984749.94,789228.40,6345392.21,4279484.21,2836782.20,1161884.87,1140971.98,-847264.77,-1947482.13,113733.19,189122.47,-130099.88,-329419.27,176435.15,-1214150.96,-1673287.58,2724682.39,1167953.31,2886093.57,4042862.31,4033650.18,0.0
