,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2527340373.83,1741301989.84,1090604889.07,351519068.59,2505072192.00,1767222845.13,1097469736.57,344809456.41,1718356014.06,1139841636.66,802435522.03,316803102.79,2014362018.13,1409665125.87,857001581.68,482186566.92,3116452967.03,2677146670.60,2215556021.93,1137315091.99,6807696939.42,5125173554.84,3062725743.72,1227199712.68,6559221662.23,4805291086.85,2873235601.84,1303289155.36,5823354935.87,4085023609.27,2422949748.91,1099749314.27,5132038885.80,3905238683.83,2494743609.11,1084212479.86,4192030108.83,2857194013.58,1940662881.19,973939197.24,3712571300.81,2700592255.57,1660607398.12,555618152.52,3914682485.50,3163222544.89,2047921727.67,516533761.90,2985425544.09,2205008045.28,1328312600.54,465938690.80,1446031601.26,723589685.71,306419273.57,106507434.28,520372070.63,395662628.89,274045244.83,110738224.84,629437132.26,512365048.97,332035171.45,145032385.85,626365961.12,481889416.20,294731084.82,104059238.55,474626311.53,375182957.09,229878716.24,409394622.71,380861452.61,0.0
2,营业收入,2527340373.83,1741301989.84,1090604889.07,351519068.59,2505072192.00,1767222845.13,1097469736.57,344809456.41,1718356014.06,1139841636.66,802435522.03,316803102.79,2014362018.13,1409665125.87,857001581.68,482186566.92,3116452967.03,2677146670.60,2215556021.93,1137315091.99,6807696939.42,5125173554.84,3062725743.72,1227199712.68,6559221662.23,4805291086.85,2873235601.84,1303289155.36,5823354935.87,4085023609.27,2422949748.91,1099749314.27,5132038885.80,3905238683.83,2494743609.11,1084212479.86,4192030108.83,2857194013.58,1940662881.19,973939197.24,3712571300.81,2700592255.57,1660607398.12,555618152.52,3914682485.50,3163222544.89,2047921727.67,516533761.90,2985425544.09,2205008045.28,1328312600.54,465938690.80,1428903030.36,707694864.11,290701127.10,104288643.56,507013454.81,377818241.34,263962351.91,108900459.42,621206004.50,504936384.74,326544307.34,143314935.15,616667048.49,472969053.02,291373890.82,102718619.53,468306433.86,370212091.93,226960637.08,405469294.37,379322328.97,0.0
3,二、营业总成本,2308955819.73,1591083107.63,1030721678.73,370791480.79,2215488620.54,1607361304.89,1037014935.52,363079369.98,1665652539.86,1127468377.54,798220777.79,333513653.57,1912160427.73,1281234593.02,812049340.44,444512876.49,2944732528.11,2519628514.96,2049065175.96,1141710064.27,6571114152.38,4891890998.60,2901425814.22,1162209069.38,5988847300.71,4451911580.24,2749348782.18,1304040501.29,5686374289.55,3914679467.29,2359943307.73,1062778612.03,4931823248.42,3755809545.43,2408686774.09,1032488655.90,3902513849.66,2727902091.63,1816877624.65,892413195.09,3244801810.04,2299072022.90,1455150678.67,551290656.39,3788482069.78,3013961843.45,1921639947.44,506384254.04,2799628746.54,2056489723.15,1260837561.69,457872751.81,1301260796.98,672727259.44,271883710.63,97437205.62,475411962.47,357967272.57,238978728.95,98343808.60,511961763.02,404353072.88,265213216.38,124751754.55,505236300.68,372359527.19,236511763.61,84835872.77,378830724.68,295876753.34,187788612.46,327808295.05,305564709.47,0.0
4,营业成本,1798268895.75,1233233927.68,803997028.94,256123675.50,1774836699.41,1264127521.54,803724861.46,257206160.57,1202218276.55,753222132.46,552651426.62,219549187.62,1245623965.92,862385684.09,533745434.92,306965786.57,2267331233.06,2016049167.35,1704222148.30,973122961.59,5809269752.22,4397126662.99,2586437229.66,1032667391.95,5357258109.33,3999109814.23,2441607477.00,1157645803.18,4988366995.20,3521268425.95,2103421538.87,957344573.25,4411506819.68,3394315680.96,2174730383.05,934490133.07,3526856985.53,2467958995.23,1626486023.72,820139975.89,2930995330.99,2084929381.58,1318952978.04,495529514.86,3481486432.70,2809016372.28,1791228877.93,459322461.17,2567095304.32,1895287282.46,1158692209.10,417855894.35,1111606387.34,533637494.26,200662044.49,69757137.32,327261003.36,254122485.32,175675336.62,70974749.48,370998926.28,293619812.66,190633308.74,87451691.49,338662863.68,255153781.22,158780184.27,58695985.84,245735194.03,194039756.59,119233594.02,227213882.52,196742871.06,0.0
5,营业税金及附加,20531949.12,12942494.49,7833094.51,2915327.73,23165592.26,18767836.33,11501119.37,4970946.98,18296443.80,12256311.69,9633152.99,5263624.52,14412141.88,7404205.47,6430524.26,5853845.54,22629931.04,16185463.70,10593347.28,3037586.56,41718732.07,28224931.31,16198897.68,5364528.03,24818185.01,18410056.44,10482011.07,3763516.59,30791325.84,12425578.70,6500341.29,2386905.56,18719620.94,12541261.12,4462463.73,947551.68,3551074.98,2342124.65,1631698.16,396795.56,3394108.98,1926055.57,1114094.97,291145.82,2034181.63,1790484.50,1286145.55,619605.74,1883510.64,1180473.47,819038.11,251445.46,1239035.17,1005735.65,638811.19,113456.63,1208809.77,887023.94,655632.16,86780.03,805051.56,776686.90,478962.20,74893.53,560836.70,406911.05,235435.43,28201.21,519369.27,397110.11,315253.45,96226.11,1181081.86,0.0
6,销售费用,250891019.82,166315300.86,111287286.81,47667918.30,217379628.62,155164759.65,100906012.85,47361867.99,200551765.22,140330772.25,92047683.93,44413838.36,210696202.55,140121047.05,97404257.71,45860959.23,201694411.06,132531977.97,89889473.72,39280957.60,207012750.78,141502782.16,92865716.53,44349352.23,225910855.30,144482907.49,104754245.56,45973224.37,248582763.30,158818016.72,103675019.94,42620381.93,211369216.12,136404777.15,94264498.10,32997761.95,157438462.17,116270122.65,76368922.82,29303289.28,146732955.69,102581494.50,66224813.68,28388577.95,150286692.74,114068926.62,79798846.65,25262268.04,128731910.56,91933407.33,53550432.14,20236723.70,113432020.75,73964151.53,49573425.32,18466603.44,104523884.84,66897642.57,43605733.03,16700460.53,106770296.00,78927847.45,54518855.50,25380094.20,116181651.77,85821707.10,58313350.71,17893684.94,75670245.54,54382039.45,37640752.45,63152409.02,66286779.53,0.0
7,管理费用,128210828.51,98119219.96,60617398.25,30274665.71,123071540.39,83788745.92,89513669.81,39343464.71,221323224.39,160066591.06,103198784.99,45417685.51,240982326.90,179786317.03,117461739.49,56380524.58,299884060.33,214606189.65,129929429.92,59731461.91,256318079.99,180102918.55,124662678.36,49446791.33,221750965.78,153228902.57,99255084.25,42651249.10,201695048.08,119383722.85,83204204.17,36160152.40,177928900.38,132120495.54,88992957.36,37976247.92,144567768.58,97022222.35,62385622.82,29925006.53,122828456.82,81538257.13,54068931.08,31282091.45,86830994.16,51191752.56,33165131.99,15494237.09,60522220.26,35033464.99,25711864.21,10869080.73,58278454.76,51290314.56,18816730.09,7838863.99,41427921.11,35841608.97,19639905.28,10182284.65,40457779.57,36602268.44,24834376.28,11910578.89,48772127.47,30153185.57,18377954.49,7719581.27,53897718.86,44740916.25,29069271.53,36060518.89,38458598.31,0.0
8,财务费用,8096570.99,7025373.51,5316352.03,10034674.08,-522791.50,-3141111.43,4156151.32,5784256.18,42059606.29,32866979.01,21393694.99,11463295.96,61275899.11,54809039.00,40305473.84,17378581.54,96996290.78,86494036.63,61625009.60,47774290.05,147168275.91,103157291.05,59553860.12,19029016.13,129523772.78,102348254.41,76509883.48,40753913.55,98722671.38,70112476.86,48681359.33,20312882.25,92173771.26,60855232.69,32774330.01,19588249.92,53557077.41,31791386.51,25007686.24,11287806.34,34568326.18,27298160.80,20787108.09,17583514.47,32805455.52,21359397.17,8695103.12,3966163.72,37398358.93,28255768.68,20051781.79,8415001.53,16704898.96,12829563.44,2192699.54,1261144.24,990343.39,218511.77,-597878.14,399533.91,-7070290.39,-5573542.57,-5252286.34,-65503.56,1058821.06,823942.25,804838.71,498419.51,3008196.98,2316930.94,1529741.01,1285258.51,2895378.71,0.0
