,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,23440496118.31,14888350382.58,5641508153.80,33176537435.18,25695344965.59,15767742388.80,6258259333.88,27029207890.24,20064043469.19,11525944054.64,5488245401.47,22044431512.38,16946064817.98,11480087185.38,4929889453.95,20363453764.70,16675390310.03,11173212111.62,5726175571.36,26851759655.50,20779634300.04,13759042793.79,6444190017.80,26137729974.08,19383435618.45,12120500271.69,4907054387.80,20950989540.59,15899311226.52,11220978772.30,6053829111.57,29768136666.32,25836259819.47,17236451437.81,8579363411.28,28296734218.28,20832799651.66,13491829060.28,5904420025.66,22912973134.99,16736970169.59,10501823189.18,4853476834.80,37113930436.24,30965201127.70,20068237953.44,8816742558.91,25671594749.20,17311888397.03,10455830094.85,4933385837.73,16558324025.42,12052010870.23,7695324895.73,3401046106.67,14615298096.85,11488867920.15,8083036559.46,4516544754.39,12928873016.76,10063087075.75,6711524318.76,3645617105.43,9312988243.37,7172464717.18,4708910912.19,2287263499.94,6734032977.58,5003166405.94,3217701978.92,1468452024.93,5972871649.42,3127387797.14,5291224814.76,4337906551.30,4138708544.43,0.0
2,营业收入,23440496118.31,14888350382.58,5641508153.80,33176537435.18,25695344965.59,15767742388.80,6258259333.88,27029207890.24,20064043469.19,11525944054.64,5488245401.47,22044431512.38,16946064817.98,11480087185.38,4929889453.95,20363453764.70,16675390310.03,11173212111.62,5726175571.36,26851759655.50,20779634300.04,13759042793.79,6444190017.80,26137729974.08,19383435618.45,12120500271.69,4907054387.80,20950989540.59,15899311226.52,11220978772.30,6053829111.57,29768136666.32,25836259819.47,17236451437.81,8579363411.28,28296734218.28,20832799651.66,13491829060.28,5904420025.66,22912973134.99,16736970169.59,10501823189.18,4853476834.80,37113930436.24,30965201127.70,20068237953.44,8816742558.91,25671594749.20,17311888397.03,10455830094.85,4933385837.73,16536875308.98,12041727458.09,7692684335.23,3399944189.76,14598950299.46,11476040384.78,8076917162.03,4512648218.44,12918019886.42,10053786003.83,6704007115.05,3641858102.87,9295753583.03,7155817063.46,4697399734.34,2280495238.12,6717388911.54,4992438850.55,3210365431.67,1464907069.27,5947481443.95,3118186271.93,5264675783.80,4331434687.12,4141352867.92,0.0
3,二、营业总成本,22948367873.69,14585599386.96,5604008162.61,31241380281.90,24116961961.75,14756041653.07,6122232252.50,25372957036.09,19040069270.18,11515285363.01,5695348303.52,21940594660.96,16816966728.51,11394416482.51,5115023674.34,22943706656.14,17977748927.98,11592126143.93,5829048275.33,26842967123.37,20740600861.49,13723365356.70,6411682233.16,26132992476.52,19785523645.21,12712549337.64,5304032866.90,24478251865.58,18378429399.42,12681157569.76,6523476100.49,29420175613.79,25722907387.92,17152668014.95,8550871132.99,28172327934.03,20746945995.70,13424301844.71,5891298912.53,22754093986.30,17040675707.27,10999504697.64,5184379178.44,36966596724.42,29999375415.20,19273454970.78,8493631116.11,24533720671.90,16348042501.09,9819390725.88,4634087998.36,15706757760.68,11408106480.28,7368249738.39,3359855530.58,14049415584.77,10823880645.56,7515206104.40,4172924022.79,11848497807.38,9149511752.15,6000613291.44,3276239884.27,8023261378.37,6227165213.13,4063617458.06,1985693175.28,6015458523.18,4519421038.83,2971008908.93,1398968349.52,5269537633.83,2764057794.52,4531921149.96,3837479308.76,3656752132.07,0.0
4,营业成本,20955885729.69,13271578776.46,5101977954.51,28982835017.51,22446580641.01,13677668006.73,5617362965.67,23166148606.84,17331830315.04,10433606474.74,5141869719.09,19985867102.58,15365231498.06,10381058797.98,4606596865.39,20098638174.67,16422997217.05,10513302121.58,5290283106.27,24723395371.17,19106585744.28,12622665428.96,5885130527.82,24385004578.08,18517511510.03,11922941707.07,4932013870.12,22689990925.81,17158718937.06,11828539463.03,6155858550.15,27810650942.05,24411359803.97,16186733740.81,8072914607.87,26498713706.05,19448606720.11,12550646697.05,5526828056.66,21281891731.22,15969882621.67,10311853918.84,4810814787.11,35088164278.53,28519586715.73,18405882390.97,8125723864.66,23502277105.52,15511003447.54,9280699390.09,4378853836.76,14758194129.72,10698149281.48,6940533473.21,3174043376.16,13407072825.94,10327626469.17,7134474309.56,3965355464.53,11265227098.47,8649275850.01,5719283843.02,3089849165.26,7466393088.94,5556368936.36,3732378549.58,1833429133.68,5576122336.08,4172249182.55,2753506021.08,1297420570.81,4879033484.07,2508229341.60,3989895224.05,3457622988.87,3322485918.74,0.0
5,营业税金及附加,149704004.35,96214110.94,38305320.16,284030920.22,228152231.07,150771786.50,71083972.51,240555078.72,181395101.87,90216292.89,44143010.23,153300248.38,80398740.77,54951811.77,21289308.65,65466333.91,59183338.69,49354222.69,29420160.35,95234017.39,78384801.09,45585837.56,7988255.58,50631060.44,43993579.10,20865976.73,5019752.28,25368158.29,19762244.09,16355376.11,10990273.25,79539693.82,55164293.94,50989883.71,24209347.63,53867154.60,48256759.15,26132673.56,8878024.55,106124058.56,91765761.16,58499727.83,31684766.66,142576585.63,315348034.80,117312874.53,57275560.90,118775541.27,84667872.10,50618619.08,29403540.60,91484806.71,70625836.31,44341198.14,20589165.14,72672547.61,63434980.19,49516886.10,31717370.69,61385372.08,53722246.02,37254267.79,22864082.89,74212547.87,60812088.27,39897420.52,20757294.64,50118702.68,39054743.47,25450521.37,11588060.73,36720088.81,22845574.79,38563507.02,38913642.40,30471797.24,0.0
6,销售费用,226938845.09,134919818.89,59742878.41,284500735.22,227287538.50,138752972.16,57707884.82,257142871.72,201059664.99,133518851.87,58980260.59,248843637.16,192724524.67,144247105.26,70678881.93,240303900.52,169630855.07,121213641.80,64734085.47,225160299.67,168941332.83,108014119.93,45991499.31,205927217.69,151124572.97,93105417.29,30066955.96,170438359.68,131500054.33,99517039.20,52653610.22,230126247.12,181821561.38,116558403.95,53724283.53,331497330.68,258806551.14,159648570.63,65521632.19,268677739.29,196573960.79,128283635.70,53248034.96,473215570.42,338373915.49,209381331.17,83536856.04,219883474.61,148423453.61,93738472.49,41984877.41,132507332.92,85361038.32,52541406.20,24429799.99,106942069.35,79338913.15,54524261.06,24777158.55,96868561.34,68922638.41,42531663.72,17827534.77,68592393.38,59958188.47,40724376.73,14029900.68,70857407.60,52752403.57,35014201.60,15557833.59,64669818.84,32504153.87,58078200.10,42080007.83,27638253.80,0.0
7,管理费用,644855429.52,444188038.79,222207279.37,830033984.13,558380880.78,340595048.87,165668298.96,731330886.56,529859500.76,330206133.98,159807427.44,705423538.07,555165175.81,375443494.58,175826895.56,732434063.22,551379033.64,355684501.47,180317417.36,770403475.74,577991263.39,363852729.45,170947699.76,700108929.99,555657779.67,392241806.39,179348211.57,853551056.81,629028086.17,457060597.61,172237311.90,836341162.37,686419165.66,496849666.61,224993259.88,710863309.11,568016278.41,409073344.34,158905115.00,616209657.30,522656110.96,358286929.97,166615792.41,698702357.18,532785015.62,360966713.19,178633023.15,497892629.41,464510552.44,300368314.00,140364304.30,594581001.98,462569860.60,275626839.63,120006747.97,475448478.17,387244397.20,312969492.77,185166739.73,469231546.90,412362859.25,221460741.41,154092249.11,471209001.02,574845756.32,270742358.90,132422186.03,334792622.41,263238350.97,162657018.03,75905017.27,303302615.52,199834652.65,408099908.09,302880569.52,270804918.83,0.0
8,财务费用,551521009.11,370325182.50,180158323.72,865754400.51,657949941.49,449812379.29,210409130.54,989409963.24,794833653.24,526646575.25,290547886.17,844897354.36,623482921.38,438751405.10,240631722.81,937260213.55,736866614.64,514879787.50,264293505.88,1023197050.55,799088292.97,573637813.87,301624250.69,784415562.94,530616978.78,294952226.66,157584076.97,602415107.10,436746698.99,277011715.03,131736354.97,498161336.72,400005196.84,295169165.34,175029634.08,570173930.95,418340025.09,273880897.33,131166084.13,479380214.72,363040019.76,245823136.52,122015901.43,405145568.73,283220573.78,169850276.14,40237076.88,179020586.80,138769071.93,93297826.75,43481439.29,129990489.35,91400463.57,55206821.21,20786441.32,-12720336.30,-33764114.15,-36278845.09,-34092710.71,-44214771.41,-34771841.54,-19917224.50,-8393147.76,-57145652.84,-24819756.29,-20125247.67,-14945339.75,-16432545.59,-7873641.73,-5618853.15,-1503132.88,-14188373.41,644071.61,37284310.70,-4017899.86,5351243.46,0.0
9,研发费用,419462855.93,268373459.38,1616406.44,2501093.10,2283294.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,-8275868.79,-3672565.88,-1558540.48,0,-11630370.99,1091034.28,1091034.28,0,2262780.41,-36132.18,-36132.18,0,869603970.27,37691868.89,37691868.89,0,5576908.85,9609426.93,9609426.93,0,6905127.38,-13380775.34,-11557796.50,0,136488257.89,2673378.78,2673378.78,0,-34643768.29,-11862633.87,6367154.53,0,7212502.64,4919661.80,4919661.80,0,1810585.21,-103242767.07,-103242651.22,-104.13,158792363.93,10061159.78,10061384.78,8224734.48,15871334.29,668103.47,668103.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,3067986.14,3067986.14,0,-25403578.07,-13828657.43,-13828657.43,0,7977141.93,-4859731.37,-4859731.37,0,-4251506.42,-11195128.76,-11195128.76,0,1676570.40,27076611.96,27076611.96,0,18861417.00,5847039.27,5847039.27,0,5344068.15,-2829212.55,-2829212.55,0,-649671.03,1760398.92,1760398.92,0,-1131685.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-396083.78,0,0,28728562.60,0,0,0,3007080.60,503668.65,0,0,604007.66,-845840.00,-865000.00,-865000.00,-3940704.65,-495080.00,0,0,-226204.91,0,0.00,0,754878.21,104839.36,0.00,0,464526.17,1183460.63,209571.30,0,1775340.74,0,0,0,3177278.62,2627066.08,0,0,1869456.11,0,0,0,1020060.00,60.00,60.00,60.00,2697800.00,2697800.00,0,0,-115310309.61,2093325.48,-25674.52,0,-21755334.66,32144134.07,32144134.07,0,-6479686.68,-13984812.85,-13984812.85,0,-2045921.74,-2205112.59,-2205112.59,0,7165411.87,292304.12,292304.12,0,4487412.90,-3265917.52,4254818.83,553659.32,947802.58,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,2503411.95,0,0,0,1449847.66,0,0,0,-2641824.65,0,0,0,-330990.56,0,0,0,650038.85,0,0,0,-718934.46,0,0,0,790808.52,0,0,0,550120.54,0,0,0,-4519.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
