,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2297144694.28,1523962060.03,592186314.03,3262879215.76,1963072400.53,1360997368.50,532698654.58,2666121404.34,1650577981.61,1080287923.47,442854712.44,2170166186.12,1337422143.17,820579462.61,336986156.39,2225532407.47,1298318188.64,908401971.52,274131827.11,1421839135.12,770888662.24,462670604.63,201703378.06,1210547198.49,645755116.93,421283334.81,171932541.92,1006091548.15,554063303.02,357891106.00,142264798.16,1048193404.23,557557093.46,369695437.82,159666448.98,867227002.43,509935480.22,294768411.94,107958788.44,729711772.40,406526336.81,249478466.23,119590765.07,668681653.38,404074177.91,261044842.43,149521637.99,572428264.87,340901142.12,184767340.32,59250089.56,344607581.25,214690388.79,136973496.78,55510586.52,237006309.02,137459180.18,88467673.32,38782352.94,267631116.07,165885556.63,94231914.59,40313420.70,216266513.21,138276115.57,89955605.91,36910810.09,214858173.72,315270857.34,346307385.91,0.0
2,营业收入,2297144694.28,1523962060.03,592186314.03,3262879215.76,1963072400.53,1360997368.50,532698654.58,2666121404.34,1650577981.61,1080287923.47,442854712.44,2170166186.12,1337422143.17,820579462.61,336986156.39,2225532407.47,1298318188.64,908401971.52,274131827.11,1421839135.12,770888662.24,462670604.63,201703378.06,1210547198.49,645755116.93,421283334.81,171932541.92,1006091548.15,554063303.02,357891106.00,142264798.16,1048193404.23,557557093.46,369695437.82,159666448.98,867227002.43,509935480.22,294768411.94,107958788.44,729711772.40,406526336.81,249478466.23,119590765.07,668681653.38,404074177.91,261044842.43,149521637.99,572428264.87,340901142.12,184767340.32,59250089.56,343586869.78,213293321.15,136114438.19,55113542.29,236739329.65,137024326.97,88243597.00,38615452.69,266943384.18,165401604.72,93774973.30,40103096.48,215381090.15,137477460.95,89515147.81,36617047.93,214775572.34,315270857.34,346307385.91,0.0
3,二、营业总成本,2159660076.63,1399162210.63,634284549.57,3003665319.82,1861956538.21,1231503471.45,599967081.84,2630360315.70,1716164157.14,1070211689.76,477814378.82,2141779852.71,1356860964.95,790270868.98,329377496.35,1959388423.82,1343270304.38,789188071.38,264889984.86,1264561364.03,759479846.11,440565267.69,188440781.84,1026662943.49,578401557.97,378173866.94,149843884.32,951324214.16,544472606.76,345233008.89,135482139.71,858528112.45,487914676.59,323314846.85,128157847.24,719113039.20,409418578.82,252572636.81,86208202.78,581618974.76,312336894.34,198082543.53,101280325.99,557508227.00,338652686.79,221832505.77,124516760.65,514980135.82,308212924.43,175985073.63,55966840.05,336504531.08,209904637.63,142347928.99,59496523.02,242046848.88,143992110.10,90040338.55,41692567.06,259392282.65,168101656.74,96640310.66,42719092.14,191855480.02,126675259.68,81335390.69,34499377.01,186886683.12,285516438.31,318586053.82,0.0
4,营业成本,53701015.60,31353589.14,19012610.27,94458657.55,58973731.20,49273720.99,29498987.38,89757267.86,51809180.45,41270707.63,18786213.33,99498810.71,54881872.38,27868935.85,3661490.85,162774072.05,96783644.31,88452472.18,16069671.10,89823564.61,65461958.83,41607814.23,13185717.19,219820741.04,118145698.30,92261346.88,22329953.94,210677661.59,91657193.47,58923742.73,19600396.90,213700594.01,119357985.66,92571676.09,34647160.24,214173065.51,131898212.06,80630443.51,16040381.67,213989384.55,117222827.36,73604869.43,50361868.89,236190051.09,153500672.97,112369740.95,70882066.50,257684659.80,160910175.12,91612972.24,24807214.17,179403236.05,111342936.79,79405722.82,34172354.11,115217566.18,67315140.62,45054017.78,19903334.63,144573817.64,95157169.94,50611015.05,20860323.19,89457096.24,54904166.80,33968056.33,12902403.69,123075811.07,232211421.14,274615839.64,0.0
5,营业税金及附加,24149539.01,14839690.03,6073931.66,43443945.24,24770781.37,16388663.15,5273130.58,44268732.41,25487338.94,15896969.46,5551995.88,41245158.16,25384937.95,16029307.47,6991584.55,36777247.01,26000047.78,18413787.74,3861307.63,20073057.78,13286174.09,8413965.52,2518657.51,31770454.96,15226121.12,11274136.34,6406253.07,38171833.03,19950625.29,12710880.38,4273692.44,39732922.51,18420497.33,14097840.05,3756104.16,31120349.95,16008750.64,7594320.06,1215867.90,21195382.72,11285822.09,6309943.50,1859347.42,17593451.27,6155178.98,3272737.13,1002260.89,11762279.04,4176102.10,2153744.83,119871.60,5107019.66,1616778.25,846900.21,398390.04,2869031.79,1180511.36,903143.02,147607.00,1517374.21,253583.26,233636.22,338430.63,1221618.15,509457.77,1282202.91,563836.58,891616.03,2041302.82,393643.01,0.0
6,销售费用,718482443.57,499742277.32,182601967.46,882069148.13,614171176.26,428042761.41,177625461.64,749882281.38,559844936.22,345017842.55,158018044.17,663015292.50,445141272.10,244244551.31,116333701.42,581819206.22,405530039.72,238741138.35,87569964.97,357418494.08,217316740.13,112588178.18,47336778.69,212231077.27,114643805.39,66134158.26,32195529.47,190361612.28,116197961.94,72466023.29,31604593.56,174327471.48,103484548.87,62022870.35,28788034.36,144335688.02,92601756.89,60677268.76,25358614.48,131220419.80,79639966.55,52526952.44,22193551.52,103703539.41,77795338.16,43902961.80,21632271.42,91776583.97,69308540.08,38606714.85,14018875.18,54104706.09,40912800.62,25429892.19,13959579.29,41745877.04,29138394.77,14352800.11,5326426.84,45131826.39,30112709.08,17287005.17,9503304.52,42503536.89,33422342.67,20192129.70,10303726.85,35204405.19,22865402.35,29475140.95,0.0
7,管理费用,319439101.19,177651616.91,113710951.42,446014029.81,285687338.05,732234989.94,387596924.20,1734154435.42,1072021973.95,657000622.13,297184640.33,1334839473.36,830094332.78,500281162.94,202672396.03,1057604547.97,810711806.46,438564360.63,158494549.94,801092966.64,465796466.67,277436053.60,125799765.23,573085076.44,337931285.08,215315855.25,98484431.48,506237206.85,312104410.78,196348301.65,82694675.83,421428949.85,241239771.94,149526367.95,60925957.47,326031012.35,166767561.35,101532850.43,44599860.18,214992388.76,102807544.52,62782206.30,25979128.24,200308196.77,98715559.35,60302104.51,30241799.49,146573984.31,69517080.26,39819127.97,16758264.09,98405864.87,56366859.29,37383400.10,11186238.24,82219498.75,46338278.85,30005920.47,16505190.86,68942596.92,43345117.34,29057153.83,12522514.17,57423491.39,37085763.64,25562931.14,10702871.17,27228119.12,27795434.31,13867835.18,0.0
8,财务费用,812955.72,2151865.86,599057.21,1930256.03,2367614.38,1866426.25,402052.54,-1363382.08,-1266511.03,-946706.43,-437461.41,-956801.16,-658846.42,-279719.50,-256884.18,-3580257.15,-3284194.92,-3114498.55,-1105508.78,-9042750.96,-7498901.50,-4598151.73,-400136.78,-4060212.16,-2482345.41,-1748623.28,-62118.10,-3312881.30,-2348257.97,-2125280.06,-2244767.35,1022648.61,712488.89,402708.51,22116.48,-641975.59,-983797.82,-1058310.47,-1037542.50,-2484164.66,-1265833.73,-127842.49,-186735.27,-485455.23,554537.39,230051.04,407327.45,2441059.62,1617422.12,1147008.99,262615.01,-516295.59,-334737.32,-717986.33,-220038.66,-5124.88,19784.50,-275542.83,-189992.27,-773332.51,-766922.88,-548499.61,-505480.37,1249737.35,753528.80,330070.61,26538.72,486731.71,602877.69,233595.04,0.0
