,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20010630,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,5519071797.38,5124579267.90,3485354028.00,1612219526.58,11750627005.21,11280332686.83,6932606160.47,2694190786.23,11522004314.79,9298529413.03,5801108580.72,2831892655.88,13915540332.99,10676496897.14,7132791220.67,3227099566.70,9711599150.17,6864656147.88,4422376083.17,2019351854.84,9672849914.77,7360786927.06,5088853279.84,2904421813.18,10668323052.85,7651833170.25,4938246012.78,2465540541.10,11042238855.92,8244426889.18,5572062678.89,2982939132.10,13185901429.61,10097696664.17,6608059223.02,3083490622.31,10826248844.70,8047390444.92,5336470455.82,2474738195.38,6404677596.32,4246574719.96,2379806707.75,1064661402.26,6471018406.62,5184130631.44,3489491716.41,1567162740.06,5113877719.00,3908824795.99,2854478207.00,1411428648.57,2864999705.00,2100703592.74,1317748432.06,612366817.38,2429645172.81,1845246850.15,1177152140.57,540261917.30,1888797742.27,1130862338.75,590675657.84,197183613.86,709859586.17,507188653.07,318861349.48,144834457.04,583375442.80,424666640.09,267278878.94,529632161.65,244758919.40,455779165.67,215409373.04,0.0
2,营业收入,5519071797.38,5124579267.90,3485354028.00,1612219526.58,11750627005.21,11280332686.83,6932606160.47,2694190786.23,11522004314.79,9298529413.03,5801108580.72,2831892655.88,13915540332.99,10676496897.14,7132791220.67,3227099566.70,9711599150.17,6864656147.88,4422376083.17,2019351854.84,9672849914.77,7360786927.06,5088853279.84,2904421813.18,10668323052.85,7651833170.25,4938246012.78,2465540541.10,11042238855.92,8244426889.18,5572062678.89,2982939132.10,13185901429.61,10097696664.17,6608059223.02,3083490622.31,11546889874.62,8047390444.92,5336470455.82,2474738195.38,6404677596.32,4246574719.96,2379806707.75,1064661402.26,6471018406.62,5184130631.44,3489491716.41,1567162740.06,5113877719.00,3908824795.99,2854478207.00,1411428648.57,2854520438.00,2095965333.34,1315886314.71,611684813.04,2423767735.60,1841507213.77,1176435566.09,541737741.05,1875894748.76,1123954695.69,587146055.39,196244936.38,701668806.40,502513742.68,316721129.66,143647594.36,578530715.93,421402223.66,264819799.79,523811103.64,244338815.17,454844998.26,215312447.14,0.0
3,二、营业总成本,6260999464.85,5544676202.90,3819390300.79,1870606483.94,15301619642.12,12204216919.90,7475044064.31,3062647419.91,12225887222.65,9392696314.08,5878344589.04,2865089798.85,13758049229.97,10437654640.15,6998050549.15,3175072512.42,11012900996.37,7214082162.18,4599382840.73,2131875991.91,10268205906.57,7576443901.35,5345407877.32,3060650999.77,11778987621.29,8023868447.78,5211231067.25,2601368113.45,11354339684.48,8379619932.39,5710775859.59,3144397513.25,13215078858.54,9860337393.14,6571299976.08,3064361253.25,10501762450.50,7759156437.84,5003826915.06,2178068118.43,5970627498.13,3923954794.88,2277865142.06,1057760162.48,6122070548.07,4620473351.60,3060080758.91,1366691964.28,4324893844.00,3256529421.93,2372234218.00,1167949807.93,2604903178.00,1946282979.11,1215359906.12,581050472.83,2340888789.21,1770419337.68,1124798624.64,515278645.29,1765709921.51,1048814560.55,538346529.95,171687372.45,605924098.44,433613541.60,268355635.47,120112772.35,511233987.67,373110082.30,234065931.02,466156808.38,213738157.25,413703280.30,186710876.12,0.0
4,营业成本,4583666375.76,4451633384.58,3067427065.43,1551238439.75,11574164884.31,11067937581.62,6737307854.11,2716875403.12,10537725350.11,8348915530.85,5210617604.12,2569136282.97,12331940283.07,9412794839.96,6323096394.92,2868178458.90,9240979807.20,6361741343.58,4085227169.56,1892445611.77,8848248903.01,6736035879.84,4793759565.42,2756675289.04,10087684382.96,7122486477.21,4656614908.20,2347250124.78,9947879811.70,7547775969.23,5121080178.83,2831440718.52,11991700381.87,9045219154.43,6072176891.39,2849742599.26,10605549972.24,7313247307.50,4724111845.16,2033886693.27,5557224270.94,3712686538.42,2163791630.78,962323567.28,5734173683.10,4424137603.63,2943605915.42,1300330841.60,4090606187.00,3067164427.40,2242176341.00,1116820241.98,2375419809.00,1773190201.72,1107641870.76,534253909.60,2096678824.88,1600892838.71,1004940901.42,453629218.22,1617701273.70,970084208.64,494385486.87,159785164.12,561671542.93,397918563.12,244672928.62,109863469.87,453539737.57,334357162.61,211403980.66,421276761.77,191459848.63,375832110.83,128721842.99,0.0
5,营业税金及附加,91841437.91,64002562.26,32558533.10,14769050.29,100019084.58,68003206.13,41534170.09,16239224.13,68843686.67,50385798.31,29824871.87,13765899.92,72927149.34,26654524.38,14346414.48,5908939.34,19320599.16,13111229.84,8559149.71,4354028.48,26708298.78,21063227.10,14058676.20,7526367.72,29651435.16,21639784.05,15535511.12,6079435.07,17536472.78,11588670.79,7225373.05,4272909.43,37727675.86,28276753.43,13702831.67,5786695.88,16825632.55,12924933.83,12829076.87,6684387.03,12934860.28,3815122.68,443827.76,233329.64,13151016.91,12653585.00,9410579.16,4396413.73,15877180.00,12868497.55,6531729.00,669132.55,58738070.00,56440141.32,32125386.23,11054741.81,72988668.20,54649997.20,37755245.03,18405551.16,2171487.85,1722561.58,1363524.02,631874.25,2828336.62,2598956.44,1198044.45,302890.80,2308747.23,1567986.23,954476.35,3278508.31,1369002.99,1834023.82,894120.52,0.0
6,销售费用,95096335.19,56878449.00,34746989.95,20060955.57,111103559.09,94975511.72,48203933.72,20113327.23,58197277.66,43717725.87,25085353.05,12037225.94,48770986.51,36227395.62,23134404.89,10545446.89,25612512.82,13983329.33,9558070.40,4425712.62,24836161.98,18368522.68,11455798.31,6091243.79,31466268.38,35801611.06,20484623.94,10260268.76,60035925.46,39913239.85,27061166.10,11824935.37,46986743.82,32280077.08,20248817.90,6366797.90,35046306.25,26805785.17,18306086.08,9322670.56,27784377.77,18703566.26,12165186.80,5422046.93,29437266.55,23114918.47,15344666.29,5800704.11,25894639.00,18714544.05,12071909.00,5661411.24,29186464.00,21574942.19,12664279.39,6587306.28,28602228.78,22007203.34,16662438.46,8481511.03,36775758.45,17196929.62,8503038.10,1322807.75,6163233.39,5077234.83,3327387.78,1364659.60,4654829.08,3710179.42,1156847.25,479774.99,36334.20,60962.27,0,0.0
7,管理费用,254973489.25,175747149.74,118685776.04,73281325.30,215920990.62,128418636.43,124045946.88,43892584.60,377598923.89,258159093.34,190023951.22,65463670.86,311892011.68,217796224.27,145733693.61,54610968.06,334507210.20,211346471.95,115429746.46,55923384.19,341529578.27,182024035.56,101292045.26,53640965.13,360448621.49,240959871.20,150423478.24,74238248.60,406967924.85,186837515.69,125749935.29,68706250.05,317983170.46,185359071.92,101026144.89,52420636.65,260689950.74,137394943.56,96827244.25,54609622.03,136536048.33,94677968.00,59536067.85,36775488.30,107597610.60,83170511.87,44661685.75,28378028.45,62082941.00,64667544.34,43554154.00,20681921.98,50226569.00,38874684.72,25314904.85,12566566.51,48524652.00,33177121.46,21943919.45,10682712.29,36340543.93,22668476.31,15154211.83,6718278.99,22828382.28,16752317.96,12181297.28,5453832.41,30523718.43,18658345.21,9760020.67,24030647.79,11739993.80,12745742.55,6314927.95,0.0
8,财务费用,921428180.07,613168978.30,429573010.15,207320986.79,1202412404.09,786916561.73,518264956.96,264303751.57,1007729661.30,679487007.78,414324302.87,206923096.57,960941664.17,736897331.01,484474767.72,235682787.03,893340098.44,575504411.74,368262387.11,173192575.03,966063501.88,581399531.59,387450134.60,208735055.88,971065368.99,601756754.72,364892060.80,162756803.81,910808146.37,589407247.75,422479136.31,230428976.39,790203784.43,562784692.47,357727646.42,150044523.56,530297817.54,266248492.20,149202800.32,73564745.54,141740155.18,98097188.09,45954017.44,53127678.87,112764197.00,97480276.08,67121292.97,27785976.39,109332600.00,83091334.34,57877010.00,24117100.18,91332266.00,56203009.16,37613464.89,16587948.63,94094415.35,59692176.97,43496120.28,24079652.59,72720857.58,37142384.40,18940269.13,3229247.34,12432603.22,11266469.25,6975977.34,3127919.67,20206955.36,14816408.83,10790606.09,17091115.52,9132977.63,23230440.83,50779984.66,0.0
