,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,586551024.72,402196471.59,213843390.68,332099426.08,1044083788.37,834749426.50,595606353.82,3349845874.35,2749268378.25,1729047296.48,758793622.90,1651111128.54,851159860.03,458225589.12,214528942.32,839793869.64,540637505.11,338994537.89,173415435.77,797759962.10,591492284.53,379138489.05,180498699.13,835795431.88,523968699.91,353389917.94,198567886.59,888758527.44,690957525.71,444468294.43,209143855.98,899446823.55,660969408.86,445266208.34,232750586.89,754969537.07,526490687.23,364258527.61,211632261.91,729342006.71,279465113.52,136121586.32,81474410.56,564089046.00,419983603.91,267602611.00,96765161.79,429028469.37,242585319.09,111568416.80,41821372.57,384796780.58,317036511.17,186586151.10,85991755.77,512287494.42,352125878.32,269417756.45,100463913.16,477572860.93,241994098.52,161561321.58,69383430.60,393441808.00,258293349.18,144128124.66,59651045.78,707752354.32,504908702.44,355543748.13,145376533.13,646583604.58,409537359.46,565502359.68,610682348.02,643376107.86,212692330.12,308310629.83,125522620.10,184341330.95,77521136.20,163063964.30,75666886.11,179294254.38,0.0
2,营业收入,586551024.72,402196471.59,213843390.68,332099426.08,1044083788.37,834749426.50,595606353.82,3349845874.35,2749268378.25,1729047296.48,758793622.90,1651111128.54,851159860.03,458225589.12,214528942.32,839793869.64,540637505.11,338994537.89,173415435.77,797759962.10,591492284.53,379138489.05,180498699.13,835795431.88,523968699.91,353389917.94,198567886.59,888758527.44,690957525.71,444468294.43,209143855.98,899446823.55,660969408.86,445266208.34,232750586.89,754969537.07,526490687.23,364258527.61,211632261.91,729342006.71,279465113.52,136121586.32,81474410.56,564089046.00,419983603.91,267602611.00,96765161.79,429028469.37,242585319.09,111568416.80,41821372.57,377117931.84,312351448.73,183597871.88,84769084.66,508187611.35,350252418.09,267931754.81,100104044.31,474540766.01,240004479.16,160440899.80,68705854.82,386360350.15,254861617.67,142529812.16,59188922.29,702459835.49,502907980.09,354375363.52,145718967.39,639061584.30,406780786.72,558762074.89,607411670.11,633709366.67,209686202.67,301353290.00,124791471.78,182844729.75,76789609.69,158286544.61,73740793.93,176465448.50,0.0
3,二、营业总成本,1058413490.08,713356508.11,336505805.44,3812972134.65,1411084567.04,1053035221.06,633656356.26,3111876787.29,2512423996.00,1569623012.84,685212527.70,1687747756.63,948648027.28,536615950.29,243103161.69,872297057.61,587181873.16,374180068.03,194733845.90,803509113.69,611402975.38,398727098.72,186552549.77,814563803.12,513652382.75,351138767.09,200593397.75,860940031.51,670493257.04,431417131.71,206679596.01,858194978.04,634806576.33,439328498.64,229802847.05,727891106.71,513625045.67,354952551.08,210997066.10,670009386.24,281602068.07,138327204.64,81445672.47,620393838.47,437242228.42,279528438.39,104350831.37,449326650.11,246682084.11,116354773.24,41793014.99,352843036.18,292696153.26,172819112.82,84103377.60,491105304.78,337706429.58,260209654.61,98100493.12,457879898.24,233323380.34,157236990.94,68221911.54,373410540.88,242600928.76,133033207.58,55908292.34,685717537.87,478491940.96,334696781.43,144689174.18,597023903.37,377439581.98,493859874.80,568013117.99,568115154.79,172993057.44,216689197.22,93802271.81,124573980.96,0,113088563.43,0,152290196.67,0.0
4,营业成本,325234305.91,228121050.55,122951275.67,218294039.68,675845869.32,559269143.49,394102440.82,2370080458.99,2005531437.74,1233773736.86,522640301.85,1261377812.30,597178098.75,308682263.98,142740337.11,594309687.50,354458921.05,217624990.25,110686257.77,510266044.10,382386003.98,249770593.12,112536670.96,570871337.64,336922886.38,233162058.23,136061397.24,606458733.75,473982092.74,298831468.85,142298363.87,632632988.33,456673290.66,312683301.97,156601011.94,538336347.51,374671244.89,240589846.21,154467818.69,523534459.15,223678377.03,98920088.18,61599798.30,493438038.49,359505519.99,226960137.16,77997095.36,355976714.11,192976752.23,81822523.72,27070127.48,255905179.68,215093640.08,121119343.08,55197770.22,402094884.08,280627970.98,219979098.33,79020207.94,368646422.11,175954681.04,118136033.26,51146990.30,286675626.15,182440757.87,93522589.33,37949511.50,591879339.19,420502000.44,298612734.82,127758378.98,518795035.81,336031172.50,432925816.94,529156455.29,503946357.76,148488195.68,181377764.03,75501793.07,105751720.27,0,105107668.19,0,144968280.26,0.0
5,营业税金及附加,21370490.75,14326074.71,7422572.46,31344797.12,23902168.91,17065147.54,11773110.03,36413529.86,25496561.24,16361184.51,8326013.33,30114037.19,14278125.72,9987700.11,5468361.30,19661878.75,13927359.31,9288634.51,4804295.51,19503957.58,13860260.60,8827456.64,4745102.82,18816148.66,13750590.58,9008702.21,4686516.55,19133736.55,14584524.90,9818770.18,4708356.06,18747445.13,13346999.74,8938177.18,4218831.29,17532337.94,12675408.11,8318851.45,3943271.49,16175219.04,3278372.31,2206765.54,1137892.61,4361401.35,3274170.77,2204496.99,1087946.74,4387228.19,3192494.31,1931280.60,1008533.29,8377630.92,6390199.56,4224411.67,1843818.99,11841819.05,7536587.56,5879128.91,1615077.36,12417841.80,6098785.06,4206674.50,1803361.38,10748053.19,7054949.35,4322478.23,1495853.97,12873666.53,7851028.49,5371065.33,2006084.18,16094508.60,11118005.64,11357963.66,4555507.40,6180416.73,2714480.53,8678063.64,1750630.31,3042709.56,0,0,0,1282461.06,0.0
6,销售费用,137701249.13,84265565.86,46342433.39,163002006.48,157521647.91,106229680.15,62199380.49,218109671.15,170524025.18,110615941.93,58834082.59,168214848.54,150693901.69,98658792.98,55957630.92,125591855.85,117038732.76,76758951.59,44296618.90,127010735.75,111520703.58,69518537.76,35157830.88,114540054.15,85882138.93,60498889.15,35677146.83,132640288.93,104037845.68,70508295.02,35199435.98,108634443.59,95770792.75,72431927.13,35792539.45,81971538.70,61400783.78,61732300.06,33783158.31,73118568.30,10202436.21,6804338.24,3647404.42,19178978.44,12613923.20,8445724.46,3924496.33,15154222.05,12132520.86,7817993.34,3690945.00,30654221.93,30770387.91,21000036.24,11906057.45,24874830.25,19633105.25,13450960.61,6980869.27,26911025.43,21465876.39,14740728.20,6768991.62,29634274.87,22357917.54,14036283.50,6762381.92,29582526.28,19337539.14,10751230.46,5697534.46,23884538.87,11115307.03,24424339.37,15873097.75,30295956.38,11417554.56,9623079.44,4597321.61,10025406.18,0,350064.41,0,413542.05,0.0
7,管理费用,168952556.60,115984035.99,63866768.04,310101031.51,219938581.18,172203277.19,102175966.82,313617022.23,224465424.78,145468645.00,70708182.00,203440429.42,171208059.30,112535423.19,36046258.06,106992947.34,77533740.08,53577609.36,25907057.27,91329761.43,68410298.84,46844868.92,23845256.62,86190213.40,60650495.82,40436257.58,19650579.21,83951240.61,61818108.35,41005601.22,18863708.18,74384155.40,52607852.09,34727980.25,28199427.83,66291631.48,47305819.12,31761108.11,13175966.39,61210112.14,29320743.26,20111154.57,10297996.84,47640800.15,45479420.86,31013828.24,16030512.45,57050664.59,26919617.99,17122338.76,6032103.64,48497287.34,33735244.17,21787587.43,12687771.06,43397669.57,22702354.58,15302102.26,7815667.62,40024708.94,24763084.66,16570886.83,6208219.41,39039319.76,25569198.60,18315908.33,8258350.48,44267061.88,25223354.57,16273764.49,7496161.07,31716162.65,15767844.14,27108963.70,17322940.33,33834846.39,10983621.00,21418610.18,11734593.87,9918480.34,0,6603022.92,0,5176692.25,0.0
8,财务费用,405154887.69,270659781.00,100595941.80,424332529.25,255101152.12,176174366.19,49888131.08,153024096.89,63005469.51,35849959.83,13524272.61,23954631.28,13469706.28,6911566.60,3465704.58,24828909.81,23651875.69,16984644.34,9016412.67,42546778.82,34983526.33,23646519.40,10512726.40,19192485.04,15944928.61,8179815.41,4403247.92,18086944.42,15983788.93,11166100.00,5609731.92,21522981.80,16333700.79,10613325.34,4991036.54,22701385.05,17629094.49,12607749.97,5626851.22,25616594.32,14447670.80,9633030.44,4762580.30,21807390.79,16282378.86,10817436.80,5310780.49,17632269.63,12504665.07,8180928.97,3991305.58,9408716.31,6706681.54,4687734.40,2467959.88,8896101.83,7206411.21,5598364.50,2668670.93,9879899.96,5040953.19,3582668.15,2294348.83,7313266.91,5178105.40,2835948.19,1442194.47,7114943.99,5578018.32,3687986.33,1731015.49,6533657.44,3407252.67,-3067398.10,1105117.22,-6115768.66,-610794.33,-4408320.07,217932.95,-4164335.39,0,1027807.91,0,449221.05,0.0
