,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,4617580066.00,2925717783.00,1334848876.00,7170520140.00,4254932676.00,2782020062.00,1236525497.00,7131134732.00,4200185882.00,2708807183.00,1214602389.00,7734848084.00,4929065560.00,3382288750.00,1561021594.00,7751691683.00,4843254356.00,3161496816.00,1554169160.00,7796331282.00,4926232112.00,3244866859.00,1614198738.00,7452753233.00,4876111757.00,3175005125.00,1431319468.00,6960195011.00,4429586414.00,2800125499.00,1238633698.00,5751249330.00,3665682579.00,2315430285.00,1037954741.00,4937696440.00,3076098648.00,1946062551.00,871480220.00,4166055393.00,2688801533.00,1781415372.00,779887730.00,3711345600.00,2496710326.00,1643128311.00,756740929.00,2895556680.00,1852400815.00,1173761970.00,505651907.00,2753172249.00,1839105096.00,1132947335.00,473683042.00,2461491304.00,1588412822.00,1010595092.00,424644597.00,2269977289.00,1580856495.00,1048872861.00,419344310.00,2025229107.00,1373005963.00,934973273.00,336328164.00,1911841372.00,1337832211.00,892618207.00,262297605.00,1766792222.00,729033566.00,1091762469.00,423485513.53,737714206.33,245227531.98,526129048.42,195611199.46,260347327.02,93483779.10,108158449.13,29880020.64,49796409.65,30060204.72,18603764.68,0.0
2,营业收入,4617580066.00,2925717783.00,1334848876.00,7170520140.00,4254932676.00,2782020062.00,1236525497.00,7131134732.00,4200185882.00,2708807183.00,1214602389.00,7734848084.00,4929065560.00,3382288750.00,1561021594.00,7751691683.00,4843254356.00,3161496816.00,1554169160.00,7796331282.00,4926232112.00,3244866859.00,1614198738.00,7452753233.00,4876111757.00,3175005125.00,1431319468.00,6960195011.00,4429586414.00,2800125499.00,1238633698.00,5751249330.00,3665682579.00,2315430285.00,1037954741.00,4937696440.00,3076098648.00,1946062551.00,871480220.00,4166055393.00,2688801533.00,1781415372.00,779887730.00,3711345600.00,2496710326.00,1643128311.00,756740929.00,2895556680.00,1852400815.00,1173761970.00,505651907.00,2753172249.00,1839105096.00,1132947335.00,473683042.00,2441949742.00,1575133135.00,1001483884.00,422407432.00,2245675877.00,1569156835.00,1041937196.00,416596242.00,2016947717.00,1365945328.00,930287025.00,334369940.00,1907247541.00,1333646595.00,889504419.00,258019784.00,1758647799.00,726527173.00,1089137919.00,422848745.62,734755474.72,243504223.30,524716295.96,195421581.10,258864057.38,91616635.59,104902692.84,27658577.48,47691582.74,28709161.57,18603764.68,0.0
3,二、营业总成本,4635759899.00,2934342593.00,1347144174.00,7215965728.00,4242706529.00,2728635886.00,1233292656.00,7068122344.00,4219049634.00,2715698518.00,1233683189.00,7671191248.00,4967993921.00,3417815631.00,1558870863.00,7641080282.00,4791888274.00,3158319992.00,1544294483.00,7712597793.00,4808178295.00,3175901557.00,1578164991.00,7314647659.00,4684545814.00,3075463744.00,1418665389.00,6677046223.00,4225420868.00,2686118675.00,1235563101.00,5484036286.00,3481961144.00,2194098599.00,1023825702.00,4575632186.00,2863040380.00,1827366524.00,855909069.00,3615779017.00,2373875817.00,1581106273.00,739380203.00,3234629584.00,2179188932.00,1428273443.00,705089947.00,2686423846.00,1691433908.00,1070820522.00,476175005.00,2684718928.00,1791590415.00,1107345728.00,474167696.00,2368472457.00,1544724955.00,995679605.00,424016156.00,2236707323.00,1562869494.00,1031030994.00,425259836.00,1968917841.00,1324828118.00,907208973.00,347669169.00,1837593596.00,1272143564.00,838312325.00,261345463.00,1622330393.00,631984643.00,911965873.60,333266601.85,604869673.86,182666161.90,422375528.98,147626961.78,195255705.65,0,76340118.84,0,38647651.67,23770579.76,15414341.59,0.0
4,营业成本,3113590017.00,1895576020.00,841437169.00,5019617232.00,2762778337.00,1795895430.00,788058481.00,4875381229.00,2747646752.00,1779949383.00,806167776.00,5370495535.00,3272908622.00,2225547886.00,1019023469.00,5319684468.00,3193335396.00,2090197911.00,1029461371.00,5562705127.00,3339429074.00,2212689302.00,1089246963.00,5308680595.00,3361603824.00,2202829993.00,1013096902.00,4729720928.00,2980555587.00,1894125344.00,862031765.00,4004998405.00,2537584618.00,1585577755.00,721352808.00,3383628845.00,2083837434.00,1328880076.00,608787032.00,2711973065.00,1749096142.00,1150897406.00,495754934.00,2355303276.00,1566339778.00,1012715203.00,509877099.00,2086452601.00,1265242482.00,783902087.00,334005058.00,2138868234.00,1401242975.00,847534842.00,340946703.00,1862355889.00,1195967095.00,758332348.00,304832377.00,1710242737.00,1168506222.00,768291090.00,297351062.00,1457268940.00,982070370.00,676822104.00,228390261.00,1358510619.00,932007085.00,615954638.00,173746498.00,1247616329.00,482323393.00,728044125.00,255241510.88,494968307.42,137912385.72,337859243.52,112615225.34,153524565.76,0,58895864.22,0,27142549.80,19777841.24,13609620.75,0.0
5,营业税金及附加,40380297.00,29509071.00,10608590.00,71028606.00,42525519.00,30523893.00,11764373.00,68739657.00,38102770.00,25578885.00,9909654.00,66413140.00,23693238.00,17736523.00,8583424.00,43755624.00,21569454.00,14708107.00,7479610.00,35963851.00,22801471.00,12702911.00,4852661.00,67218955.00,50552991.00,40329897.00,13315952.00,111108386.00,69319400.00,41591490.00,17990428.00,96105687.00,59359048.00,36627470.00,17823113.00,81195180.00,47782887.00,27748084.00,11640092.00,54114018.00,34813277.00,22625626.00,10230768.00,45460075.00,30239563.00,20089937.00,9174977.00,32775815.00,20176832.00,12829238.00,5314313.00,26223297.00,16666758.00,9693808.00,4052831.00,12437552.00,6226923.00,8875084.00,3080997.00,13807831.00,14892849.00,9497631.00,3485583.00,11841173.00,4719245.00,3025750.00,3872753.00,17076397.00,13369490.00,9116430.00,2223298.00,12767232.00,6931157.00,8670750.00,6373656.26,8150476.97,3199375.78,4986507.00,2149464.10,3778347.17,0,1639670.24,0,864169.60,443430.75,650765.72,0.0
6,销售费用,390442367.00,267204088.00,137804474.00,595944914.00,410667470.00,262002898.00,125802418.00,612043389.00,430194900.00,270963596.00,125932641.00,690886154.00,532498041.00,373915991.00,171021005.00,734348132.00,525068481.00,351287424.00,173462043.00,663808375.00,431953750.00,281980594.00,138737489.00,657573048.00,454924386.00,302555901.00,149702107.00,635074786.00,422026486.00,271303386.00,131204699.00,497920161.00,317005786.00,206836661.00,97941142.00,391904135.00,255098866.00,166244625.00,81936590.00,284584529.00,194223264.00,134618084.00,68735598.00,287493149.00,193150972.00,132667518.00,67623334.00,257813250.00,177485281.00,120018943.00,64450560.00,232101942.00,170695346.00,118272442.00,67955079.00,216426781.00,163585608.00,110773627.00,58285880.00,228294824.00,182492059.00,122491291.00,63638865.00,216615764.00,160215762.00,106297249.00,55472798.00,194219308.00,139158600.00,88236314.00,40367049.00,147443213.00,71786082.00,82466107.00,36442989.16,42165472.16,19545086.19,39409624.31,16343814.36,17582829.38,0,8157122.09,0,4656422.19,0,0,0.0
7,管理费用,475110134.00,313602773.00,152438790.00,594795547.00,427707026.00,637966869.00,301000908.00,1438442360.00,953469506.00,608623863.00,280955680.00,1481239422.00,1101761481.00,774697863.00,346230074.00,1440315413.00,1022050504.00,677957156.00,329973046.00,1370860905.00,972261373.00,650893452.00,346226682.00,1173997714.00,771799810.00,490290333.00,220533794.00,985944947.00,683932919.00,434295570.00,207940199.00,819957825.00,550835073.00,359315258.00,184631073.00,713916675.00,484326852.00,312619314.00,158197486.00,534807495.00,365277150.00,243396271.00,131324545.00,517098197.00,348762288.00,234579872.00,120683545.00,294033753.00,225441626.00,147371132.00,69346622.00,282162545.00,192866205.00,125825717.00,57546521.00,252983525.00,159547059.00,106985031.00,53284054.00,258358736.00,174300757.00,115521671.00,53804044.00,258577017.00,160137812.00,107147414.00,53354393.00,248035976.00,174055769.00,115291911.00,43732365.00,207701647.00,71541134.00,97861059.00,39697138.91,53938898.15,21237639.62,37628797.35,16062929.25,17232347.95,0,6937795.25,0,4471437.85,2458911.75,1072099.29,0.0
8,财务费用,36785209.00,21326144.00,6791025.00,1107082.00,889955.00,-794294.00,7107695.00,52913499.00,48421084.00,30412087.00,11511737.00,16767784.00,16331474.00,16425456.00,10066546.00,23827806.00,10576644.00,10217204.00,2646346.00,41538604.00,30212870.00,13349000.00,-6364290.00,39185293.00,20519547.00,24310976.00,19010667.00,78565067.00,44012380.00,32117161.00,15095813.00,23649196.00,10208225.00,504181.00,2981890.00,-356749.00,622175.00,-5901123.00,-1019667.00,17522498.00,11454688.00,13389318.00,18669779.00,4500257.00,10681324.00,-1786471.00,-3055942.00,4351976.00,4896610.00,7333551.00,3058452.00,14839202.00,11849449.00,7842130.00,3666562.00,24268710.00,19398270.00,10713515.00,4532848.00,26003195.00,22677607.00,15229311.00,6980282.00,24614947.00,17684929.00,13916456.00,6578964.00,19751296.00,13552620.00,9713032.00,1276253.00,6801972.00,-597123.00,-5205047.00,-4600088.61,5009212.09,771674.59,2491356.80,455528.73,3137615.39,0,709667.04,0,1513072.23,1090396.02,81855.83,0.0
9,研发费用,579451875.00,407124497.00,191904479.00,910148512.00,587816598.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,669254.00,23323835.00,10321624.00,3041090.00,-441219.00,20602210.00,1214622.00,170704.00,-794299.00,45389213.00,20801065.00,9491912.00,3946345.00,79148839.00,19287795.00,13952190.00,1272067.00,37720931.00,11519757.00,4286298.00,5465486.00,67992054.00,25145256.00,15146644.00,3005967.00,136632109.00,25574096.00,12685724.00,1300197.00,41405012.00,6968394.00,5237274.00,-904324.00,5344100.00,-8627834.00,-2224452.00,-3632464.00,12777412.00,19011296.00,16179568.00,14664579.00,24774630.00,30015007.00,30007384.00,786934.00,10996451.00,-1808923.00,-634429.00,0,-9476292.00,-1730318.00,-1823211.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128879.60,111395.25,637307.07,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,-11234007.00,-11778319.00,-6604952.00,0,0,0,0,9275607.00,6648702.00,4816369.00,3320734.00,-8439787.00,-7767212.00,-6359604.00,-5178510.00,-6549450.00,-4679616.00,2820377.00,-785759.00,-26536283.00,-25234217.00,-35327660.00,-29827564.00,17332730.00,4987197.00,13302912.00,9174238.00,14224580.00,-7974359.00,-9958198.00,1344361.00,950557.00,-393659.00,295068.00,1760379.00,-694314.00,-3391577.00,-804247.00,6100519.00,9196499.00,9721389.00,11525140.00,14839944.00,-8760139.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-193228055.00,-120121125.00,-70190418.00,-219670179.00,-118343627.00,-86111791.00,-32755613.00,748457640.00,-12735882.00,-975715.00,-2531067.00,1602589239.00,1953109570.00,-4442044.00,-798205.00,33054387.00,24567871.00,19423588.00,6494736.00,40401646.00,25922459.00,27758248.00,12338954.00,85929224.00,47616169.00,36290985.00,18980597.00,112124066.00,87783140.00,71961899.00,61007763.00,42136578.00,22073625.00,10045689.00,3233559.00,46121940.00,19411004.00,11012092.00,6025754.00,112214666.00,93936384.00,55541506.00,10084722.00,34640063.00,21954545.00,9259728.00,5237153.00,30108860.00,9185944.00,8918292.00,-3035912.00,11309432.00,7267905.00,7567624.00,-4783699.00,-24033901.00,-1321191.00,482616.00,-6971084.00,-3545796.00,-10070304.00,-489836.00,-3911675.00,3001881.00,-10068583.00,-171885.00,-2283835.00,-816332.00,1982601.00,4997857.00,-1409921.00,7404691.00,445569.00,-1586329.00,0,3466166.19,86166.19,0,0,-59514.45,-63702.45,6571.34,6571.34,223650.00,54659.84,0,0.0
13,其中:对联营企业和合营企业的投资收益,-197395018.00,-121428546.00,-70283824.00,-214015209.00,-128094496.00,-94182578.00,-38911637.00,-46549649.00,-33768693.00,-20413386.00,-8502138.00,-30549914.00,-17826724.00,-704398.00,-1014580.00,3133511.00,1271220.00,3656389.00,-2086911.00,-3938444.00,-5050825.00,142917.00,-2409311.00,33813510.00,26745445.00,19206437.00,3904569.00,39038402.00,18674160.00,8300960.00,3005887.00,39714198.00,20732125.00,10045689.00,3233559.00,46038503.00,19362129.00,11026127.00,6049358.00,37615099.00,19319744.00,14787042.00,10092820.00,32421110.00,19634808.00,8010761.00,4923697.00,30034998.00,8960479.00,8692826.00,-3068612.00,4588041.00,546514.00,4225112.00,-8126211.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,-73484791.00,-54904318.00,-38490867.00,-60086157.00,-42875750.00,18883549.00,-6381803.00,946003813.00,32099027.00,36505084.00,-18291133.00,1657806288.00,1906413997.00,-46328529.00,-3825984.00,137116338.00,71254337.00,25420789.00,15583654.00,97598852.00,118742059.00,61395890.00,18545137.00,241367528.00,244169309.00,149135278.00,40808914.00,409497434.00,283974327.00,176010525.00,65422721.00,310300179.00,205401401.00,131672443.00,19122977.00,407491880.00,229077695.00,128903872.00,27697424.00,671687541.00,418583489.00,267375745.00,65432193.00,502595940.00,339475939.00,224114596.00,56888135.00,239241694.00,170152851.00,111859740.00,26440990.00,79762753.00,54782586.00,33169231.00,-5268353.00,78069689.00,48507565.00,21532438.00,-6342643.00,50291100.00,10017183.00,18762589.00,-9291565.00,85529963.00,43570851.00,32376286.00,-12996121.00,108498039.00,88204438.00,69958997.00,-457779.00,162280202.00,100364625.00,178339146.00,97201227.73,144273208.21,62647536.27,104902647.23,47984237.68,65032106.92,26737586.21,31824901.63,12689159.86,11363935.08,4508198.79,1904437.35,0.0
16,加:营业外收入,9887249.00,8348802.00,7170155.00,13998850.00,90534448.00,59497710.00,18375040.00,93203805.00,60890478.00,43718372.00,36878945.00,243824088.00,156996240.00,109482059.00,56074318.00,260198330.00,104683846.00,85419036.00,18167748.00,234223135.00,166561972.00,124835862.00,27481933.00,207129411.00,99706495.00,76697144.00,23202595.00,139552127.00,53684356.00,40271368.00,11584703.00,188085954.00,95975865.00,66524298.00,22403324.00,160821056.00,131000238.00,89321703.00,15749868.00,67342297.00,42183298.00,11871821.00,4997893.00,68612511.00,50616336.00,27062598.00,6022327.00,26982975.00,3630038.00,2909485.00,699816.00,30861079.00,17595917.00,8682183.00,8254524.00,14767372.00,521803.00,277460.00,143747.00,481013853.00,480143621.00,526384.00,165349.00,581692.00,331724.00,195792.00,106160.00,552274.00,183842.00,126102.00,19569.00,397869.00,623804.00,383103.00,16481.00,36262.08,7150.00,3032.80,800.00,652351.20,0,3907966.68,0,18361.72,37291.86,0,0.0
