,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19931231,19921231,19911231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,11738605397.79,7152446793.74,2894308732.04,17511560177.85,12648115118.74,8167013791.31,3416152301.70,17260237626.63,12580108217.87,7870848939.21,2797825164.45,12242764616.49,8729342300.76,5649095014.17,2242853198.21,11710997672.40,8333718310.60,5196401855.98,2019288623.90,11351763974.94,7992150203.28,4798578670.75,1828674936.61,11574361404.87,8349222513.45,5230305575.70,2198684396.16,9880294017.95,6984611080.42,4531791184.21,1951602736.82,10995403777.17,8205576052.55,4983090710.26,1886127488.44,9459970875.41,6620268167.68,118121432.12,57950657.80,212073102.86,150865019.31,99764150.34,49037635.86,207777439.65,158938200.59,107432843.34,55491422.90,176203079.55,118269661.42,78797107.56,38191885.90,165855565.14,104994560.90,63601244.17,23179555.34,156025777.53,90872925.14,60604432.98,27090811.36,140893014.44,70079357.89,46317167.71,21807059.28,115498560.39,77789953.42,49690566.54,26365979.33,93822158.79,69926957.48,43913083.65,21418403.85,119327845.62,64292944.15,122456478.54,55820454.51,113085639.49,56538078.12,108423300.85,58306558.05,94044581.38,55922188.86,100050569.84,58784588.80,93983705.32,41457026.42,81419170.00,88719981.00,82276511.00,69607796.00,0.0
2,营业收入,11738605397.79,7152446793.74,2894308732.04,17511560177.85,12648115118.74,8167013791.31,3416152301.70,17260237626.63,12580108217.87,7870848939.21,2797825164.45,12242764616.49,8729342300.76,5649095014.17,2242853198.21,11710997672.40,8333718310.60,5196401855.98,2019288623.90,11351763974.94,7992150203.28,4798578670.75,1828674936.61,11574361404.87,8349222513.45,5230305575.70,2198684396.16,9880294017.95,6984611080.42,4531791184.21,1951602736.82,10995403777.17,8205576052.55,4983090710.26,1886127488.44,9459970875.41,6620268167.68,118121432.12,57950657.80,212073102.86,150865019.31,99764150.34,49037635.86,207777439.65,158938200.59,107432843.34,55491422.90,176203079.55,118269661.42,78797107.56,38191885.90,163600577.93,103517342.87,62708592.98,22902586.08,149615584.95,89907331.39,60091437.26,27112077.96,140768857.08,69974667.79,46213345.76,21696978.34,115493520.57,77803793.11,49706397.72,26387122.24,93685863.07,69915750.91,43901767.86,21418236.15,118147115.97,64319563.11,120999021.50,55785735.76,112682745.57,56499952.59,107828142.78,57718954.66,94038821.54,55922148.59,100048925.63,58784588.80,93960302.65,41436858.16,81269410.00,88675440.00,82255152.00,69578779.00,0.0
3,二、营业总成本,11281095186.90,6890563757.54,2832832154.43,17429789798.22,12338651978.86,7935030601.79,3352061974.19,17314264027.05,12480873216.12,7805906697.97,2808171660.13,11975721558.36,8430711672.35,5423188836.16,2148173776.72,11406198606.30,8094544027.51,5070428090.69,1982248530.57,11213036993.08,7813592929.58,4708310848.60,1805722994.23,11472574228.48,8161948194.39,5126296579.78,2178150689.65,9646965354.13,6748057028.82,4364230504.43,1883958803.80,10641693105.51,7833438641.27,4739183002.28,1825740820.48,9156735289.93,6382257599.94,115617316.50,56553780.06,237874950.17,168904607.12,113808256.62,52408170.41,240167329.64,146090996.06,97796892.24,53864300.42,175785455.28,113012099.06,74942113.92,36371096.35,155969538.04,95872482.02,58665355.77,21392231.00,144701399.44,82292527.31,56408586.28,24063044.00,131932579.81,86457735.52,59308308.57,21403325.89,122889882.02,81177406.50,54865271.62,30342550.52,166878624.49,89154880.86,60650767.09,25078229.63,121032913.74,61381179.19,111857498.54,58374515.25,107598066.84,54239230.42,108712485.42,57121987.20,95491140.18,0,94892426.14,0,87850491.65,0,0,84048627.00,77411341.00,65842112.00,0.0
4,营业成本,9733774814.81,5916830644.29,2339113077.34,14805761322.02,10764503545.46,6935872549.10,2922035481.73,15040677622.83,10983607722.78,6871306417.51,2398553448.74,10120859831.92,7202364165.95,4633668255.23,1777557950.30,9447649632.39,6820057247.43,4235731963.01,1638311348.46,9477752542.13,6642740885.29,3949117133.07,1537029765.72,9651399748.68,6937179749.50,4363162469.73,1885754178.86,8210592016.10,5802394416.52,3763436096.13,1625838681.28,9202626178.36,6966830769.45,4224567306.53,1541486582.10,7858294715.74,5544048485.98,72333565.96,38680071.00,133948144.09,101026806.22,66669349.70,35203583.14,142661553.77,111709248.64,74780880.77,40119668.45,127083563.86,90256932.75,61760444.97,29422647.92,117637147.35,69699772.01,42618714.49,14185974.35,100492909.19,59753505.48,42249991.26,15920373.32,78706216.41,47609352.17,32222029.49,13632266.78,73111443.53,50993104.66,32310738.79,20566421.77,67035873.50,46184637.75,29484681.23,14702342.59,77295954.56,44347753.89,78336649.31,39006129.88,75196937.10,40409452.76,74628201.74,42739814.02,68138276.70,0,79420351.09,0,70002926.35,0,0,71895001.00,68314225.00,57868318.00,0.0
5,营业税金及附加,55106553.14,35653175.81,15485922.07,80797577.10,54900429.27,37084712.17,15593788.27,70370213.61,51569633.86,35300665.37,15765294.28,57006238.62,29231785.91,18608730.98,8294172.40,40276446.29,20593167.07,14595892.52,7840715.60,32467467.65,21099010.57,11699829.64,3401247.77,35881126.48,25224244.59,16730133.18,6077667.97,29293566.26,24425501.94,14816060.15,5762972.42,27899976.02,16057488.58,9399342.44,4195355.44,22137535.11,13871287.19,1103420.50,485654.55,-1757150.17,390443.99,-11884.16,-512716.05,1957524.59,1438412.41,821820.09,411830.13,1295219.44,307591.55,107668.24,94467.85,152225.78,715486.06,453969.77,159344.54,82698.20,589607.95,366889.60,174561.78,1103905.15,336170.78,239907.83,53524.15,778922.50,444367.31,311978.32,159530.40,557621.19,424800.75,262613.56,136474.21,860755.67,366052.62,776803.71,300834.74,853042.59,396090.49,516904.18,140699.43,260117.78,0,434902.32,0,348789.21,0,0,2818710.00,2232292.00,2003338.00,0.0
6,销售费用,778490108.28,473371423.32,253738242.24,1148928239.76,752901553.67,474251524.31,214138880.32,1221472237.95,833932736.05,525110728.29,234886058.54,979482132.69,683093051.52,434407129.82,215362895.63,967357759.56,664967990.26,415046638.76,154198740.64,970372335.87,718071640.44,446420763.66,151781692.17,1151569754.55,825979998.78,482884727.74,170798965.04,836079601.49,611987391.13,396382702.49,153861779.77,874353666.45,535727921.16,315942984.69,195725811.10,856168329.13,564615456.71,25990442.57,13273827.83,69782394.40,47217923.29,31985227.50,13057653.71,58659343.03,18059309.83,12307697.40,8626326.73,24726905.56,9236304.58,4604621.29,2402306.03,20389290.36,12527671.70,5963185.49,2239743.93,23651392.00,12063711.84,8593573.31,3469189.14,28070756.21,18244140.36,11034987.76,3382868.72,26981912.47,15422970.28,12065367.63,3846625.32,52124447.59,21130501.59,14050124.43,6246742.44,24580732.62,9122911.21,19125357.17,9615599.13,19752874.90,7896856.33,20040120.81,7494263.93,10786938.54,0,5553940.04,0,8762049.76,0,0,1448387.00,1575505.00,1219373.00,0.0
7,管理费用,295568694.76,192590282.03,93767210.20,429288373.68,294932517.26,293175178.32,129133441.75,569683390.99,377533869.36,233410660.95,103279959.11,460292797.56,328496267.86,214315894.16,98473143.00,430571548.20,293317067.94,199687576.27,82734124.94,352174216.74,222012307.19,149902885.21,54867469.50,331365516.71,212809126.01,142883999.98,55813217.54,248340263.04,127806555.64,80679510.90,38432639.38,223199485.35,115809516.67,72367534.97,29522476.38,203929150.75,115715621.46,13150011.57,3022123.16,16400054.70,11797446.72,8195048.91,3290785.10,15779922.09,9613475.21,6861239.22,3150568.41,10364521.90,8549301.94,5537460.95,2909404.89,11684266.27,8725520.93,6652888.91,3324437.82,12876608.20,4819248.30,1370747.31,2490428.46,16993886.31,12817740.55,10524817.63,1899720.75,11629382.46,6556786.41,5075889.88,3213839.51,39148639.46,15854314.40,14215106.88,2435090.04,12882838.64,4551342.70,10314536.99,6579414.37,9868348.54,4089051.49,9194596.78,4996736.44,11844673.20,0,6757386.31,0,5819292.84,0,0,6695890.00,3915224.00,3584594.00,0.0
8,财务费用,210683270.19,137765651.04,64936088.03,348534947.99,235213281.00,145841181.26,67420243.11,267489317.58,155651333.99,87250009.40,43849217.43,172239189.71,117111965.46,72125714.34,35132793.09,311281891.46,240791428.86,154217215.16,88468265.91,236247776.62,165905159.43,119105090.54,46532361.72,162655252.38,128642418.27,96766019.05,50940870.19,211383306.18,160432774.96,99154579.47,51062730.95,263997357.52,197459851.09,119396744.28,53701506.09,156807502.77,111101215.76,2080549.94,1092103.52,7256803.04,4621413.70,3119941.47,1368864.51,6721813.64,5836048.20,3590752.99,1555906.70,7231527.16,4661968.24,2931918.47,1542269.66,6106608.28,4204031.32,2976597.11,1482730.36,7597791.85,5066453.74,3827384.80,2008491.30,7057815.73,7450331.66,5286565.86,2434945.49,10388221.06,7760177.84,5101297.00,2556133.52,8012042.75,5560626.37,2638240.99,1557580.35,5412632.25,2993118.77,3646504.44,2872537.13,1926863.71,1447779.35,4332661.91,1750473.38,4461133.96,0,2725846.38,0,2917433.49,0,0,1190639.00,1374095.00,1166489.00,0.0
