,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1122178798.47,720848128.58,362720822.49,1453720417.48,1102748080.14,703498012.68,353323145.31,1360558933.25,1004330940.34,620775343.64,300309779.06,1370995900.08,1027196252.45,679171550.48,340233655.66,1343812355.13,1012660888.14,565868719.31,299685557.14,1100242977.76,798076656.48,504106528.35,258947370.34,1026673081.47,461865482.32,295289336.59,140493474.64,969423555.57,420198545.92,262977277.72,136073740.39,521449628.25,382908972.30,253530797.01,132184324.55,505418313.03,374751362.74,243959460.87,131222254.33,526872775.18,389038730.94,251138672.52,132594079.35,615489834.29,463909035.12,297916486.36,143668295.32,515901828.61,371192177.95,237700148.63,122365390.08,473150599.68,333248911.60,202490460.55,110873464.98,402212504.73,298978720.21,214385481.15,121949098.84,440894238.31,310294545.12,198871703.33,105324949.78,358501044.03,256636672.00,164247663.91,280074768.13,292311094.65,0.0
2,营业收入,1122178798.47,720848128.58,362720822.49,1453720417.48,1102748080.14,703498012.68,353323145.31,1360558933.25,1004330940.34,620775343.64,300309779.06,1370995900.08,1027196252.45,679171550.48,340233655.66,1343812355.13,1012660888.14,565868719.31,299685557.14,1100242977.76,798076656.48,504106528.35,258947370.34,1026673081.47,461865482.32,295289336.59,140493474.64,969423555.57,420198545.92,262977277.72,136073740.39,521449628.25,382908972.30,253530797.01,132184324.55,505418313.03,374751362.74,243959460.87,131222254.33,526872775.18,389038730.94,251138672.52,132594079.35,615489834.29,463909035.12,297916486.36,143668295.32,515901828.61,371192177.95,237700148.63,122365390.08,471970623.32,332324612.36,201900472.37,110545049.77,400339028.37,297248569.49,213000880.67,121256798.60,438013522.53,309089373.89,198068255.84,105324949.78,356969047.05,256025920.42,163636912.33,280074768.13,292311094.65,0.0
3,二、营业总成本,951112743.05,611499085.46,316539948.75,1233898348.80,921124193.67,594795669.97,306661414.04,1154758530.48,856202864.14,540884002.42,272343051.14,1152297140.94,869932189.15,568429809.23,290910382.81,1140285376.58,843863876.49,516035924.96,272808333.21,1012922087.53,743098058.46,473577831.35,240737011.93,932274651.78,438341720.61,278640120.39,134932963.45,907262241.28,410133118.86,260839740.51,135904280.59,509805189.55,372688609.30,246916757.69,130381589.65,508778147.89,376065762.20,248763831.49,131025218.89,519444115.97,387961819.61,255214608.30,134181610.54,597272929.79,444075182.80,284239950.69,135502442.77,496251729.83,356538541.79,231721624.35,119910472.19,453028064.94,318863718.43,193442995.46,105801718.61,389469304.67,287210569.98,206008557.51,112983555.98,400327779.12,279020939.35,178707951.09,94385761.40,311661192.79,222178251.47,142875053.27,235826631.91,250915308.78,0.0
4,营业成本,743402104.10,469214000.53,242165502.90,951977889.14,716454376.13,461696266.97,239698804.54,862982346.48,634987985.81,391492987.29,194930602.11,823240789.05,621385923.13,406443573.63,208572844.03,794018812.02,588283417.22,356577576.90,186872383.48,691694144.16,509317119.58,320287450.74,163603045.31,652025351.87,391769985.00,248818832.82,120762290.39,628322196.37,369204302.39,234290912.33,122190616.22,456870776.89,333978029.45,221126693.11,116365151.54,458667371.77,340244233.11,225341942.83,119194228.18,475679417.11,354456258.06,232223584.46,122508734.40,539190865.41,403480035.41,257996957.17,122609009.41,443512999.52,320091867.73,209846251.34,109538907.02,418502264.22,295386345.52,178885156.05,98271158.18,361323567.75,266528258.61,191041264.28,105256888.15,371576733.26,259573395.08,165954663.55,87940019.56,291759528.13,208679403.39,134303624.16,217288674.60,229826476.24,0.0
5,营业税金及附加,6500626.97,4173399.17,2327011.56,8463627.43,0,3962380.84,2275995.65,8048210.33,6348849.37,3839128.97,2278269.16,16457136.15,13265992.43,12288286.27,8298368.38,36349898.23,27995395.79,13711662.08,7485548.14,28168303.51,19898533.40,12631298.40,6760552.14,25116849.96,1528068.51,904989.89,257231.86,24291703.61,1173296.39,710891.81,345509.03,1032498.75,784942.79,473592.51,276351.36,77349.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822634.75,2192664.12,0.0
6,销售费用,153358077.87,103261441.29,51250627.39,206644218.28,7004626.27,99606096.63,48798274.34,219970761.16,165898720.65,112225395.66,56225530.38,227702100.30,168876439.11,114953054.18,58167342.44,247930393.22,182397459.42,116671395.41,62759276.01,238644562.74,175035548.99,115980114.37,58253120.54,211884400.09,24084979.58,14393571.39,6880250.77,210263457.96,19576163.11,12501313.73,6414919.71,25807564.46,19056862.47,12811044.96,7397384.88,28421539.21,19481325.59,12103060.06,5872889.87,23257435.38,16956394.66,11838164.77,6118781.41,31959729.38,24700228.15,15882103.87,7108978.54,26284378.32,18510850.40,12347357.21,5778705.65,18154271.34,12082435.26,7668121.92,3960446.72,17301928.74,13134205.47,9758580.13,5381148.89,16763032.95,10754006.98,7553973.19,3986156.17,10598154.00,7778821.88,4627172.94,8577912.03,8048725.74,0.0
7,管理费用,47901496.68,34177867.68,20143149.42,58484361.96,151077539.46,29153503.64,15977074.71,58740744.12,43801934.53,29446461.62,15375107.57,58296009.79,45413987.66,30111740.10,15949763.47,55779451.02,42448268.19,25431724.39,13769606.70,45833711.92,33055607.21,21067582.03,10218344.45,35090717.52,15724684.22,10725054.97,5230663.20,32867116.57,15032431.94,9962104.45,5149276.95,19395286.47,14259470.08,9710053.03,4982471.92,16521517.97,12894575.63,8987727.55,4747785.85,16388894.65,12271750.68,7317306.77,4181964.51,19044839.68,11147804.83,6843430.66,3899658.79,16377506.92,12853494.79,5993376.39,2760016.82,10710322.89,7393156.54,4557160.11,2540880.68,8131418.56,5781546.61,3952030.52,1944196.47,9817654.83,7044415.77,4231354.21,2429733.46,7395103.91,4265344.45,2998436.85,7175311.52,9390561.96,0.0
8,财务费用,-49562.57,672376.79,653657.48,-549293.90,2116368.62,-489247.02,-88735.20,6797598.88,7476214.75,6188510.62,3533541.92,11106573.96,8207692.27,3583438.41,-77935.51,4766993.64,2808118.91,3704853.52,1919435.43,7568874.88,5554503.63,3324572.29,1763032.57,7958246.31,5131385.70,3476347.47,1802527.23,9930497.44,5146925.03,3374518.19,1803958.68,6293134.41,4609304.51,2795374.08,1360229.95,4787899.13,3445627.87,2331101.05,1210314.99,4111254.71,4334177.86,3041752.15,1428891.87,6122049.98,4485079.60,3255424.18,1622761.22,6874561.71,5082328.87,3534639.41,1832842.70,5661206.49,4001781.11,2332557.38,1029233.03,2712389.62,1766559.29,1256682.58,401322.47,2170358.08,1649121.52,967960.14,29852.21,1908406.75,1454681.75,945819.32,1962099.01,1456880.72,0.0
