,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,10000693807.87,6583257398.22,3108362823.97,12741389910.39,9412512589.84,6170367597.12,3078385994.98,11058777569.46,7763367370.33,5131401706.67,2452753009.66,8508946951.38,6032860272.47,4184192677.93,2003174565.76,7967467448.72,5771814308.31,3863733493.17,1875298030.36,9530873495.52,7105413576.92,4624397777.04,2188642707.25,8574549940.63,6216023106.36,4071100724.97,1862234829.10,8967881710.66,6738317553.44,4226767080.20,1976371012.70,8112452908.66,5767069218.25,3747714841.95,1827619469.98,6558891569.54,4655363368.88,3108114849.44,1501990269.92,3864197633.88,2652613128.26,1821057775.50,969804534.49,4514615367.60,5679557554.60,6630392082.85,0.0
2,营业收入,10000693807.87,6583257398.22,3108362823.97,12741389910.39,9412512589.84,6170367597.12,3078385994.98,11058777569.46,7763367370.33,5131401706.67,2452753009.66,8508946951.38,6032860272.47,4184192677.93,2003174565.76,7967467448.72,5771814308.31,3863733493.17,1875298030.36,9530873495.52,7105413576.92,4624397777.04,2188642707.25,8574549940.63,6216023106.36,4071100724.97,1862234829.10,8967881710.66,6738317553.44,4226767080.20,1976371012.70,8112452908.66,5767069218.25,3747714841.95,1827619469.98,6558891569.54,4655363368.88,3108114849.44,1501990269.92,3864197633.88,2652613128.26,1821057775.50,969804534.49,4514615367.60,5679557554.60,6630392082.85,0.0
3,二、营业总成本,9022881033.64,6005951082.00,2823309398.49,11639066035.07,8414049707.76,5455040724.36,2742428841.67,10042483687.43,6840622066.53,4506411867.27,2153333079.70,7644221846.92,5200624774.73,3614768484.88,1720974872.07,7288997658.10,5296078459.53,3536560624.80,1714340756.28,8754023003.98,6495322743.92,4184224333.49,1990930912.24,7872936969.93,5670378274.60,3652451422.76,1681017016.38,8429525893.84,6270011769.84,3878585012.16,1779808986.67,7716624764.62,5443183865.84,3504125806.83,1671271168.31,6285219769.87,4454701177.79,2957873682.65,1387322536.31,3591672104.02,2462646111.21,1699522534.04,874008726.32,4300278004.01,5467565853.14,6447229482.51,0.0
4,营业成本,7834178629.24,5240752598.25,2475903564.26,10071444032.60,7447228859.25,4829755624.50,2460652725.08,8766735650.53,5991390392.26,3947398628.47,1855805077.52,6343443987.63,4331757963.17,3038575035.54,1452255822.38,6097039772.47,4456480319.56,2973676484.69,1434410022.29,7692879166.78,5684033409.44,3701562404.55,1746748014.93,6854100247.43,4935906932.56,3145537180.53,1469562343.19,7463997192.65,5586320578.08,3426920407.43,1569253155.11,6827249281.12,4825787804.29,3081771006.45,1474600490.22,5497030263.31,3907815511.84,2601214345.47,1210576027.89,2828263740.75,1914839964.09,1294496788.93,695227659.48,3659567903.58,4887337518.99,5942907388.25,0.0
5,营业税金及附加,62194927.73,43248011.45,15666966.95,58256725.07,32371304.60,20741698.29,10137219.31,57209747.39,38573714.26,25980414.91,10739314.65,54539628.32,26949052.67,22538983.38,14483572.28,59655644.51,40663125.30,26081958.86,12897242.35,54602497.49,39901152.71,26641127.31,11406371.00,53560801.64,35076356.50,20509819.71,8534781.45,36711076.72,25939017.66,16238301.48,6166533.55,33853285.50,23648059.47,15940707.51,7922284.92,17413773.23,11735264.57,7824477.10,3839082.86,14542659.89,10084815.70,5540608.46,2797669.56,9581335.15,9606164.02,12688289.95,0.0
6,销售费用,712581745.95,465761667.13,213117203.85,957233000.38,692704736.35,449751775.23,225130804.53,938278805.09,621323456.52,409653316.52,226889480.20,961487626.64,649526244.76,424927008.89,197814987.44,878303932.30,603721175.74,418155726.18,202056715.12,770063858.83,606469156.81,343116457.36,176714846.48,724006305.48,519563218.92,362284723.61,145020480.94,708753717.39,486251909.99,322974615.28,147582870.40,660361191.44,461426102.44,322995559.41,149947168.80,617522871.98,424654828.75,278157765.75,132807726.27,587416589.05,420204015.47,308566901.53,141530460.17,504127582.39,462522008.20,373788335.10,0.0
7,管理费用,113988851.85,76289869.17,34710010.08,172621056.23,120157910.80,78491063.47,40656855.66,165032140.36,110091219.95,68307656.76,33182601.69,144945268.35,88679370.43,59360710.34,29997244.11,112609102.66,90959568.85,58280518.26,28370233.74,145816490.12,106043156.58,68777205.30,32650859.29,154088361.73,118221370.58,81182100.24,35451500.01,135823006.99,96492652.18,61075071.06,30509480.20,120329331.84,86286467.02,54333352.80,25492199.28,118271857.20,82899247.06,51449204.52,27582293.99,102414561.94,72982160.62,57930394.38,20124479.38,96597320.45,99362930.54,95821221.87,0.0
8,财务费用,150616135.52,99408242.49,44269430.12,160844808.77,122432833.85,76965952.71,6176926.61,104836549.99,78716698.66,54540877.12,27329605.48,138344536.63,104593512.00,70306186.39,26429935.10,131202567.94,103400168.74,59459956.74,36000305.35,75502336.78,59184841.13,44277536.70,23556546.42,83575688.07,61141764.03,42576773.24,22291906.40,82609898.59,74609858.41,50920609.74,26196950.85,73171602.81,45785434.20,28843658.50,13248848.75,34353321.54,28090327.80,19662212.95,12387404.97,54024125.20,41321665.45,27953558.87,14328499.93,30413630.59,6495471.22,14062079.98,0.0
9,研发费用,149320743.35,80490693.51,39614246.68,219223271.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,27976.55,-556859.17,-845937.09,-665389.84,-325689.52,10390794.07,526584.88,530973.49,-612999.84,1460799.35,-881368.30,-939439.66,-6689.24,10186638.22,854101.34,905980.07,606237.43,15158653.98,-308972.75,-150397.73,-145725.88,3605565.58,468632.01,360825.43,156004.39,1631001.50,397753.52,456007.17,99996.56,1660071.91,249998.42,241522.16,60176.34,627682.61,-494002.23,-434323.14,130000.33,5010427.19,3213489.88,5034281.87,-42.20,-9768.15,2241760.17,7962167.36,0.0
