,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090630,20090331,20081231,20080630,20071231,20070630,20061231,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040630,20031231,20030630,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业收入,24863012026.33,17749900364.96,11106722614.55,6247768951.11,16108262271.57,12519243640.36,8216136681.72,4289557776.25,21108534070.71,12778187982.90,8116591839.03,3784422746.27,16917019401.49,12216017845.11,7355772624.15,3389450897.53,26261939871.49,19882270021.48,14644251806.44,4908690788.45,12062303844.09,7180150192.89,4319731665.21,2140649203.92,7166536335.63,5417639938.57,3635898430.55,1789822420.16,5883199398.61,4512502271.91,3394593061.36,1574431733.53,6230343087.31,4341811673.32,3394839304.62,1906349391.67,8899978593.27,5725215685.62,3588680568.97,1942864244.16,9563219249.20,2534902646.63,1777510361.85,6281376000.18,2513102039.86,13360160542.89,3739364959.00,2500489002.61,760403560.65,219844200.00,281250866.52,167748600.00,-1045045.27,-49282700.00,229282455.85,202906589.39,284778549.61,168583481.63,368790587.59,639251889.33,0.0
2,手续费及佣金净收入,9287627847.86,6866593312.58,4462750511.51,2140767407.49,8062137439.48,5801824045.29,3896642955.91,1984356709.01,8682157968.25,6313208405.23,3901053668.74,2048036245.17,8848252723.04,5919703791.81,3977792106.30,2121535288.68,14524816131.53,11324653114.89,7969997167.12,2577208741.31,6477278197.87,3808130387.10,2357671496.16,1249973755.17,4825067780.04,3511574857.28,2169323054.91,1209557663.09,3524319111.01,2648864128.58,1852149540.12,915220815.85,4532910922.33,3622929085.69,2649935404.17,1515206897.32,7118586847.59,4598346776.65,3181334858.86,1511299042.37,8122857825.27,2092048758.64,1516075514.53,5695382516.45,2114415579.71,8817877255.67,2665677033.90,1409423065.69,294015188.50,0,153089381.45,0,22244162.29,0,53382169.68,165902879.49,150331723.03,132125822.91,249934662.02,461636838.99,0.0
3,代理买卖证券业务净收入,4107905502.65,3217104454.49,2242527648.60,1124281762.33,3385952290.90,2639771626.99,1860099334.84,985797707.36,4210027179.30,3240902842.48,2029011222.09,1059489349.26,5428776834.37,4206462738.42,2889515027.10,1499239047.17,12641285518.47,10091615521.56,7128400815.29,2309079893.63,4995726506.28,2835780166.67,1569410242.97,904233447.68,3815331384.64,2832754963.47,1714429564.03,905760013.06,2694372214.82,2099853548.18,1478442722.62,747237277.89,3590939149.10,2862114507.23,2029484614.97,1078081241.27,5515785178.17,3637363871.15,2417523941.34,1254717608.59,7439513585.37,2007096198.69,1477675769.57,5256698562.08,1903917932.48,8144899296.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,证券承销业务净收入,1947276668.86,1200397710.43,603932093.74,247997199.09,1948658255.01,1255367467.15,807689380.84,407287808.60,2038511617.52,1277895357.47,672901395.80,390711731.22,2097047867.74,1353129724.03,834559750.94,496083655.05,1551108952.77,883938694.58,612749245.08,196889189.75,1180358645.84,714222013.72,437828713.82,198867533.55,577548371.04,247105960.65,184756314.33,177720505.33,480522348.70,487443654.42,335857645.45,145507189.01,849098717.68,694133194.53,578686479.56,419706062.09,1474518547.87,881427232.07,710295138.94,229803480.58,534815521.42,18496332.10,8422479.01,253321009.61,59118796.59,325017423.85,41806360.00,55220908.27,1600000.00,0,26570961.02,0,19310111.02,0,12916678.38,193814.12,45154476.60,15354143.27,46575870.61,20079809.00,0.0
5,受托客户资产管理业务净收入,2772083017.37,2188081059.52,1399378640.84,712218565.37,2473253245.78,1841632652.96,1178912903.89,565753074.83,2305835374.52,1715909195.95,1139306488.01,570035422.59,1040336523.18,253243390.96,46554394.94,59608049.31,138209988.81,238602282.80,130418528.77,26882780.18,196562785.62,187946091.59,305181784.88,136161758.50,314345408.41,212927840.00,134243513.41,60891628.70,86702730.60,61566925.98,37849172.05,22476348.94,92873055.55,66681383.93,41764309.64,17419593.96,128283121.55,79555673.43,53515778.58,26777953.20,148528718.48,66456227.85,29977265.95,185362944.76,126803648.71,224962693.79,76397325.29,40366413.00,0,0,-85809102.63,0,-85787807.94,0,-227199386.10,0,-98600336.02,0,-56471130.95,-29423352.06,0.0
6,利息净收入,2121674093.89,1655280854.97,1267936419.69,502615392.06,3015397982.04,1996692349.16,1309574358.47,697575292.56,3599823799.09,2436488233.36,1721777147.97,673726630.48,3484458370.56,2463879990.18,1547841531.48,652863863.61,4081490601.66,3671272939.97,2769331690.69,1061295236.31,2384809745.78,1551090838.03,658657926.99,333184626.11,1325752706.39,996097631.76,638945600.23,289131629.09,1144477496.41,844174344.98,544839539.45,263919624.44,1254418121.69,933975012.74,560226809.06,271769516.01,971491751.17,691189349.17,443389573.54,200535875.21,678648013.36,139833036.74,114973727.06,708030245.04,236821066.51,428231993.47,103973291.51,-76855560.42,32617477.01,0,51106912.68,0,20773513.59,0,52635093.08,26944646.87,79822215.33,40654957.71,123164170.47,119054525.15,0.0
7,其中:利息收入,8682693270.21,6401282028.33,4216609014.78,1880822678.54,9482368354.50,7075839330.42,4839700578.79,0,9348923130.18,0,4429960764.89,0,8877945629.77,0,4482460093.30,0,11893681582.42,0,6452646444.65,0,4850805110.59,0,1544861941.49,0,2335219488.75,0,938387750.73,0,1561176072.23,0,800497077.20,0,1692623768.34,0,759952902.74,0,1383150005.25,0,670281055.98,0,1050127649.73,0,0,1112761044.70,0,790950397.67,177802144.20,203151771.35,50642559.68,0,76129607.20,0,33498699.17,0,87280477.62,45325370.31,120351232.60,62034638.96,183298715.39,234807081.47,0.0
8,利息支出,6561019176.32,4746001173.36,2948672595.09,1378207286.48,6466970372.46,5079146981.27,3530126220.32,0,5749099331.09,0,2708183616.92,0,5393487259.21,0,2934618561.82,0,7812190980.76,0,3683314753.96,0,2465995364.81,0,886204014.50,0,1009466782.36,0,299442150.50,0,416698575.82,0,255657537.75,0,438205646.65,0,199726093.68,0,411658254.08,0,226891482.44,0,371479636.37,0,0,404730799.66,0,362718404.20,73828852.69,102253157.13,31076464.00,0,40993140.30,0,14709881.36,0,41059993.43,21765812.33,43871648.36,22327527.21,60306152.40,113259453.99,0.0
