,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,25721416835.39,18909940788.06,12724469794.26,6353938114.62,26011729865.64,19136931762.22,12720498610.35,2504653374.15,7547671228.34,5348288626.82,3261292305.69,857636198.77,3628529680.71,2754336250.34,1768018359.44,981009195.18,4510857762.07,3548845274.02,2313714808.55,1222459210.19,6124456871.53,4618130373.50,3182574533.38,1697044619.90,8055310629.98,5811729966.55,3777635504.72,1989739078.91,10212853801.93,7306590417.47,4723607166.02,2186777889.66,8060082432.91,6089649385.51,3750673579.73,1791248411.25,6752100518.90,4639702118.91,3155762015.33,1456337018.30,5160282594.12,4091370991.17,2454365579.35,3722335730.95,2358140231.89,0.0
2,营业收入,25721227169.72,18909940788.06,12724469794.26,6353938114.62,26011729865.64,19136931762.22,12720498610.35,2504653374.15,7547671228.34,5348288626.82,3261292305.69,857636198.77,3628529680.71,2754336250.34,1768018359.44,981009195.18,4510857762.07,3548845274.02,2313714808.55,1222459210.19,6124456871.53,4618130373.50,3182574533.38,1697044619.90,8055310629.98,5811729966.55,3777635504.72,1989739078.91,10212853801.93,7306590417.47,4723607166.02,2186777889.66,8060082432.91,6089649385.51,3750673579.73,1791248411.25,6752100518.90,4639702118.91,3155762015.33,1456337018.30,5160282594.12,4091370991.17,2454365579.35,3722335730.95,2358140231.89,0.0
3,二、营业总成本,24056025947.72,17630521163.54,11811525359.28,5851716704.98,24759669180.89,18184650078.66,12110735773.70,2294344253.56,7233525796.96,4964488306.37,3066242401.60,786167214.62,3641455396.00,2680347644.66,1787922959.91,986975059.58,4575907042.80,3589408429.77,2307588906.04,1203266346.09,5966166230.38,4364781612.80,2918582968.45,1518306684.25,7074075183.27,5003118785.96,3151854558.14,1534769059.47,8360149709.06,5893118584.49,3781197269.00,1694676823.35,6685295660.21,4971704745.39,3025578747.15,1410011285.77,5719299859.42,3922866756.92,2633527045.45,1223929809.80,4401569861.93,3489466704.24,2119441412.82,3292193683.54,2009978601.26,0.0
4,营业成本,20710536148.37,15087080098.00,10165172719.01,5083209193.93,21101038934.04,15540943252.46,10206935008.18,1852486819.37,5871898001.22,4198085802.13,2556113336.05,683914553.18,2891600522.73,2223172897.08,1415110464.70,761940865.06,3621734505.03,2966786112.22,1937762225.59,1024092185.13,5047676150.30,3769102115.55,2556973114.19,1352611964.57,6190122441.60,4421314072.51,2801201622.55,1430414708.78,7468212380.12,5308531159.22,3365581478.50,1523261789.50,6069407759.84,4580276995.36,2671719862.95,1267948765.61,5084869084.65,3549471387.62,2400107739.36,1122577058.36,3885633493.66,3144116572.03,1959633926.43,2972273448.40,1774041192.43,0.0
5,营业税金及附加,121309099.95,84633346.34,62754901.93,31440396.55,103379572.51,70680322.47,49762978.90,18018593.92,70366299.48,45873641.55,30820545.74,8865736.05,41410761.31,18912219.53,13960578.75,11521276.62,32098123.73,25387319.95,22528851.78,13849253.97,22790288.45,16266873.31,12477950.39,10045578.02,42992199.64,29669996.95,22731294.85,18917571.03,61024417.48,40033794.44,23091296.73,9525770.13,38624031.96,29219011.30,20243977.92,12147683.89,32684056.12,23187408.04,15275211.75,10678456.61,25899583.61,19367602.40,8605384.75,11117853.80,7017785.53,0.0
6,销售费用,1013290287.62,743893612.90,445369788.40,235511495.30,1024481859.80,736944145.57,473654262.26,118290921.42,403014819.04,256031143.28,159102672.69,32804316.63,187963822.14,110353653.58,73854975.83,36260783.92,214899539.15,136733227.65,79897348.61,38354786.71,216272824.35,152832918.52,96689305.64,37197131.49,257851051.07,182554436.79,123293138.59,55383567.70,332255847.78,225374945.12,176411262.84,66322360.13,223725411.55,148429916.26,90461430.23,42002832.05,131594488.96,96156596.43,57286659.71,24491623.82,138746289.29,92144885.55,53909074.04,93778701.42,69197318.84,0.0
7,管理费用,1069676041.25,842176612.37,575107848.95,240084335.84,1221080264.42,861485990.64,1073364790.32,191514961.22,878741610.81,459800052.13,282490223.31,78646378.64,384119603.23,261360585.92,174392612.75,84194423.69,398853916.78,283474079.97,186530870.16,108795288.92,379633468.57,268768745.75,189440683.60,97973177.22,478368421.50,330676557.37,223481094.52,95483875.67,472189793.46,331139682.30,201952436.07,94373609.53,360442637.28,230199913.23,237808632.37,92099626.78,405811598.89,209320086.31,139141670.38,63622913.09,307655888.09,206963369.23,95711098.32,200678503.84,136609942.63,0.0
8,财务费用,147295552.14,66889034.71,61519554.66,19620949.01,225372991.44,167690345.37,116896614.05,71791120.25,135351805.75,64999565.01,33119522.45,766802.75,-101322461.57,-54936194.34,-45970656.71,-7550110.79,-80997100.66,-40590081.19,-10294184.80,-790473.79,-50276935.21,-47553048.07,-34089272.80,-33598277.37,-37280632.45,-39994715.51,-24571631.45,2520988.89,-98742714.73,-65701805.39,-41127744.92,-11634421.85,-62841492.33,-41791404.08,-7720711.50,-4214048.80,5116814.84,6356623.25,6856704.56,2559757.92,6686898.85,3958146.66,2975962.04,12835552.64,-761956.39,0.0
9,研发费用,993918818.39,805848459.22,501600546.33,286642867.55,1033444358.07,725413530.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,-28493513.43,97918628.21,-590243.01,190122119.99,42241837.38,-125846739.34,-60301897.73,4596101.36,-18830572.63,237683148.16,121484482.89,156574984.59,100607821.08,389318058.77,217617771.17,91163794.70,18965305.15,350070433.92,205364007.74,97091187.43,54077110.32,142021701.91,78898437.85,5719039.08,-67951652.60,125209984.95,53740808.80,55288539.78,12827715.91,55937311.91,25370313.32,13065555.18,26426.24,59223815.96,38374655.27,14859059.69,0,36947708.43,22916128.37,-1394032.76,1509623.44,23874318.22,0.0
11,公允价值变动收益,40923283.12,4896014.64,20773795.82,9418897.71,-41860557.02,-18809614.75,23691754.80,0,0,0,0,0,0,25548689.25,25548689.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-22009436.63,-41754299.74,-18399200.68,-34245592.34,-20132803.20,84245880.78,59493561.25,12755375.52,81410034.68,45773701.73,21739390.86,11305601.90,40178041.67,30176530.70,24650776.89,14825304.44,79018517.46,66049026.92,44254479.89,18878051.35,57639087.77,42443232.14,20354261.22,3487366.74,2555237.82,6463063.99,3883064.97,262195.19,29161740.97,30654021.08,25864431.86,6814573.12,12340974.12,8101295.14,3749020.71,437079.12,9045587.73,2909161.23,2909161.23,0,1141524.25,692055.22,658071.21,791481.99,-2937.68,0.0
13,其中:对联营企业和合营企业的投资收益,41729247.24,60529928.52,47073262.28,15274389.82,-44701348.87,26411035.29,13600455.50,8474989.90,28984295.13,12275328.25,-503373.08,2093228.84,-3106373.53,871273.05,1231845.52,3513086.15,12361103.72,20472020.11,18718827.83,1767608.76,18220582.25,14603333.29,6898807.03,2297769.72,-11649087.66,6118598.38,3883064.97,262195.19,11906396.30,12926107.99,7961497.65,2984650.66,12340974.12,0,0,437079.12,9045587.73,2909161.23,0,0,449469.03,692055.22,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,1529372456.70,1393423434.42,987820502.14,501293693.22,1236126539.44,1040102865.86,704785750.05,223205324.28,421920406.40,437088228.71,222365535.15,82774586.05,27252326.38,129713825.63,30294865.67,8859440.04,13969236.73,25485871.17,50380382.40,38070915.45,215929728.92,295791992.84,284345826.15,182225302.39,983790684.53,815074244.58,629664011.55,455232214.63,1881865833.84,1444125854.06,968274328.88,498915639.43,1387127746.82,1126045935.26,728843853.29,381674204.60,1041846247.21,719744523.22,525144131.11,232407208.50,759854256.44,602596342.15,335582237.74,430933529.40,348158692.95,0.0
16,加:营业外收入,25775795.51,17116871.34,8540900.57,10951396.59,70520021.52,33530122.77,2686754.66,1157091.09,13625676.69,6605746.60,4042631.60,1130808.71,15548032.26,10569445.15,5386185.78,1976309.72,18234891.60,8639580.64,6642553.50,1829083.87,19607673.69,10007523.19,6339191.50,830959.17,24393115.75,12610277.05,6334211.08,1957620.72,34218454.80,21544826.24,19209444.06,973498.28,42086969.74,12485090.47,1340542.74,632129.18,29557071.51,23071407.97,13796652.45,505493.48,16102399.29,2068812.33,1604778.07,149304586.09,7773347.48,0.0
17,减：营业外支出,25071918.58,2502878.51,952656.20,870424.35,17909812.14,7092077.23,3274940.53,1488269.06,12520217.39,13176004.83,9310845.94,1543030.73,5416476.07,4817142.54,2439027.17,1496872.97,1839104.46,1042882.19,880134.20,280883.73,2954163.18,2457204.96,1491765.84,713313.47,4514219.21,3702896.87,2058348.54,1704674.26,5156092.98,10597473.95,2143509.78,409445.91,8187383.46,376197.16,254827.88,32950.66,7044491.04,1560861.51,1047730.62,109617.81,2736580.20,296804.64,265093.90,551832.64,1862949.98,0.0
