,报表日期,20191231,20190930,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,
1,一、营业总收入,32942166554.60,25001916500.00,31158421600.00,29555409400.00,26257617200.00,0.0
2,营业收入,32942166554.60,25001916500.00,31158421600.00,29555409400.00,26257617200.00,0.0
3,二、营业总成本,17129587443.06,12412549700.00,17563660300.00,17369350400.00,17204584700.00,0.0
4,营业成本,16103160941.95,11855715000.00,16299183000.00,15935264200.00,15143667300.00,0.0
5,营业税金及附加,100529934.48,57138400.00,20156100.00,142607500.00,120260100.00,0.0
6,销售费用,0,0,0,0,0,0.0
7,管理费用,269179120.89,55281800.00,68077700.00,63508600.00,67306100.00,0.0
8,财务费用,639044801.48,432885000.00,1167861700.00,1220818200.00,1866576500.00,0.0
9,研发费用,17672644.26,11529500.00,8381700.00,7151900.00,6774600.00,0.0
10,资产减值损失,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0.0
12,投资收益,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0.0
15,三、营业利润,15916755560.45,12693543300.00,13663163800.00,12071328500.00,9024388700.00,0.0
16,加:营业外收入,752457.41,730800.00,1048100.00,152800.00,224700.00,0.0
17,减：营业外支出,934036.17,921500.00,14800.00,50000.00,265900.00,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0.0
19,四、利润总额,15916573981.69,12693352600.00,13664197200.00,12071431300.00,9024347500.00,0.0
20,减：所得税费用,3979324202.48,3173387600.00,3416222600.00,3017989100.00,1121159500.00,0.0
21,五、净利润,11937249779.21,9519965000.00,10247974600.00,9053442200.00,7903188000.00,0.0
22,归属于母公司所有者的净利润,11937249779.21,9519965000.00,10247974600.00,9053442200.00,7903188000.00,0.0
23,少数股东损益,0,0,0,0,0,0.0
24,六、每股收益,,,,,,
25,基本每股收益(元/股),0.290000,0.240000,0.260000,0.230000,0.200000,0.0
26,稀释每股收益(元/股),0.290000,0.240000,0.260000,0.230000,0.200000,0.0
27,七、其他综合收益,0,0,0,0,0,0.0
28,八、综合收益总额,11937249779.21,9519965000.00,10247974600.00,9053442200.00,7903188000.00,0.0
29,归属于母公司所有者的综合收益总额,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,0,0,0,0,0,0.0
