,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20141231,20131231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3242231574.63,2392145222.96,1635215286.43,603279259.57,2545462581.48,1864625099.71,1194753001.96,429962103.47,1817825972.35,1320707202.01,828306572.40,339140720.08,1401053258.75,953147117.69,641242793.95,245362059.81,1200198283.50,1338751943.08,1098138229.87,0.0
2,营业收入,3242231574.63,2392145222.96,1635215286.43,603279259.57,2545462581.48,1864625099.71,1194753001.96,429962103.47,1817825972.35,1320707202.01,828306572.40,339140720.08,1401053258.75,953147117.69,641242793.95,245362059.81,1200198283.50,1338751943.08,1098138229.87,0.0
3,二、营业总成本,3063107355.06,2233966056.40,1517692811.39,588323516.23,2414343917.64,1769773024.36,1121961174.02,422260027.22,1732407792.82,1239271008.05,768884146.71,313873792.21,1315056265.77,889960761.45,596696075.35,228260640.00,1152174224.09,1239173869.17,1061293243.92,0.0
4,营业成本,2196868154.36,1651872695.57,1123298987.70,430610379.10,1768058987.24,1347772895.95,853073178.66,324577152.50,1224106505.69,884336175.79,546478641.39,218817472.47,937438113.21,664548205.11,440010886.41,167998956.68,854676640.76,990873771.16,832597728.40,0.0
5,营业税金及附加,77148146.02,56795981.63,37659337.45,16166679.40,48856403.57,37310566.06,22934053.95,8960958.22,53231672.82,40121194.22,27359805.96,11117263.62,38893971.75,22585227.35,12648780.12,5046292.92,20323853.32,14913996.25,5266061.94,0.0
6,销售费用,456573697.45,314672146.01,206037549.89,64690580.22,334304688.93,211414800.14,129905477.91,41318462.39,219621834.24,151377531.40,92355538.44,38256740.15,155523005.06,77749118.86,59678925.16,20326669.75,116108793.65,98409496.72,92250861.83,0.0
7,管理费用,163155830.77,102619064.75,68503828.20,31746620.77,113262951.19,81700296.43,122632152.18,37861958.75,209860053.85,149112960.47,96165479.00,46000031.84,189195733.49,120524714.42,84416829.06,31900606.41,150496370.07,121134750.73,105731918.13,0.0
8,财务费用,-13345280.44,-25950436.46,-4377409.36,7246137.00,-28755749.38,-30463640.14,-9857345.66,8661218.42,14894826.95,13530285.79,5442184.51,1727585.68,-12983320.56,-2911506.89,-2596188.07,3419161.87,5099359.70,9950026.60,23095814.57,0.0
9,研发费用,182706806.90,133956604.90,86570517.51,35917521.41,162626421.00,114743368.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,1945598.33,15990215.09,7294737.29,3273656.98,880276.94,10692899.27,792860.38,1082497.41,-2045301.55,6988762.82,7465002.60,2536842.67,-431047.63,5469206.59,3891827.71,2350859.05,0.0
11,公允价值变动收益,2227884.00,-2580526.00,-2932896.00,-500016.00,1535026.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-1242595.24,7036203.00,4985553.53,5853905.43,-24298566.46,11860974.03,6775163.08,4166917.79,3368966.99,0,0,0,83298.57,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,175036683.90,156976875.56,113800031.05,23614245.12,114489496.04,107999268.90,80301470.64,13035633.86,102222605.72,94573973.37,63322685.29,25266927.87,86080291.55,63186356.24,44546718.60,17101419.81,48024059.41,99578073.91,36844985.95,0.0
16,加:营业外收入,4860615.26,1350019.62,1061361.09,255820.41,3834065.75,5078633.02,4277314.38,3069379.00,3548579.19,232116.78,5687821.74,7741261.34,13276963.71,11193952.04,4951830.95,955817.40,28622847.13,8068060.95,6335750.46,0.0
17,减：营业外支出,2463923.11,340213.77,339942.86,401886.50,110430.09,409736.73,274262.22,44253.81,406853.00,191150.39,276875.54,109010.86,3371057.92,2505092.59,488527.45,230365.20,6485067.63,9351051.34,1274961.28,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,126980.51,57063.48,1418831.08,0,12725.38,2111.94,224037.49,2629849.18,83088.04,0.0
19,四、利润总额,177433376.05,157986681.41,114521449.28,23468179.03,118213131.70,112668165.19,84304522.80,16060759.05,105364331.91,94614939.76,68733631.49,32899178.35,95986197.34,71875215.69,49010022.10,17826872.01,70161838.91,98295083.52,41905775.13,0.0
20,减：所得税费用,3464248.41,21030965.70,13826186.75,3264213.31,-576143.80,15611228.28,12210866.69,554185.45,7959226.43,10163097.02,8081854.41,3251507.87,7718430.32,9440676.76,8553511.12,2076075.49,10876881.70,7396121.27,-997082.57,0.0
21,五、净利润,173969127.64,136955715.71,100695262.53,20203965.72,118789275.50,97056936.91,72093656.11,15506573.60,97405105.48,84451842.74,60651777.08,29647670.48,88267767.02,62434538.93,40456510.98,15750796.52,59284957.21,90898962.25,42902857.70,0.0
22,归属于母公司所有者的净利润,181056640.47,141253536.61,103861636.23,21437702.43,120250079.56,97196438.51,72093656.11,15506573.60,97405105.48,84451842.74,60651777.08,29647670.48,88267767.02,62434538.93,40456510.98,15750796.52,59284957.21,90898962.25,42902857.70,0.0
23,少数股东损益,-7087512.83,-4297820.90,-3166373.70,-1233736.71,-1460804.06,-139501.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),1.370000,1.050000,0.770000,0.160000,0.900000,0.720000,0.530000,0.120000,0.880000,0.790000,0.610000,0.300000,0.880000,0.620000,0.400000,0.160000,0.710000,1.140000,0.540000,0.0
26,稀释每股收益(元/股),1.350000,1.050000,0.770000,0.160000,0.900000,0.720000,0.530000,0.120000,0.880000,0.790000,0.610000,0.300000,0.880000,0.620000,0.400000,0.160000,0.710000,1.140000,0.540000,0.0
27,七、其他综合收益,-4601733.55,-12166275.98,-12555636.07,569601.91,-21981796.20,-29093344.81,-27322652.64,3520213.39,-6990542.80,-8830423.39,2912995.01,-13531345.23,-14206744.44,-9632947.88,-2428064.85,-5810863.25,-6382587.82,-654686.78,-377981.05,0.0
28,八、综合收益总额,169367394.09,124789439.73,88139626.46,20773567.63,96807479.30,67963592.10,44771003.47,19026786.99,90414562.68,75621419.35,63564772.09,16116325.25,74061022.58,52801591.05,38028446.13,9939933.27,52902369.39,90244275.47,42524876.65,0.0
29,归属于母公司所有者的综合收益总额,176454906.92,129087260.63,91306000.16,22007304.34,98268283.36,68103093.70,44771003.47,19026786.99,90414562.68,75621419.35,63564772.09,16116325.25,74061022.58,52801591.05,38028446.13,9939933.27,52902369.39,90244275.47,42524876.65,0.0
30,归属于少数股东的综合收益总额,-7087512.83,-4297820.90,-3166373.70,-1233736.71,-1460804.06,-139501.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
