,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20121231,20120630,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1514774256.12,1071131740.79,755107084.36,383343468.63,1404809777.12,1063038064.69,781170941.25,379230586.68,1333530289.80,969406012.91,684625359.44,337377996.03,1024170993.93,715021959.89,507949033.38,250620662.32,933195576.92,704330441.56,504882520.36,239275831.61,1201556235.03,922146392.79,643816856.86,301684321.95,1229172396.34,884217611.87,1105085124.40,612184366.45,1400251762.04,1329393368.30,949763609.91,0.0
2,营业收入,1514774256.12,1071131740.79,755107084.36,383343468.63,1404809777.12,1063038064.69,781170941.25,379230586.68,1333530289.80,969406012.91,684625359.44,337377996.03,1024170993.93,715021959.89,507949033.38,250620662.32,933195576.92,704330441.56,504882520.36,239275831.61,1201556235.03,922146392.79,643816856.86,301684321.95,1229172396.34,884217611.87,1105085124.40,612184366.45,1400251762.04,1329393368.30,949763609.91,0.0
3,二、营业总成本,1400094728.56,1004244002.92,694319333.10,348624069.16,1322331316.76,996427924.28,722535099.82,344542281.16,1248802842.10,898332423.11,632039605.22,304423375.66,954552552.78,672262707.69,480161274.79,245496405.72,918582600.16,684503835.99,486228900.15,235668234.13,1103869741.70,849614139.11,589868358.98,288821919.40,1087629759.49,791662658.32,985788304.99,543522721.63,1221851973.29,1170436613.84,883416268.13,0.0
4,营业成本,1147920120.97,823793052.16,573699152.32,287937637.69,1087866717.98,826296096.30,599996343.48,284363200.77,1004431178.71,729834103.16,517962098.93,247364285.52,750879618.98,521883098.31,372196685.78,189033302.10,705889379.93,527634458.11,378673460.01,181821273.74,854038900.83,652633801.29,451540810.96,216275758.27,851149767.65,618550127.60,782921508.20,435507781.25,1014107969.27,970890594.09,734241138.53,0.0
5,营业税金及附加,11601514.31,9059477.43,5997648.94,3122444.08,11480844.67,8700250.89,6688134.81,3446102.24,14432150.80,11045059.65,6814105.43,2210819.98,8099788.24,2539854.66,1924438.77,1138668.67,3267662.11,2203849.93,1669302.94,352923.82,3627840.04,2976254.64,2106443.36,1009537.87,6261621.58,4844351.86,5098454.70,2647766.41,3094122.19,5888554.16,2857096.37,0.0
6,销售费用,70351725.17,42677719.31,28501932.56,11121876.79,64215120.41,39158772.32,25794265.47,12538207.03,75593953.74,46153275.48,34073067.10,18339015.39,48009749.55,32323802.13,23072569.14,10274307.01,36185430.86,27448241.00,19575309.56,9679406.49,45573239.06,36937991.81,25150964.02,14262988.65,47264285.75,35840228.27,42226363.57,25478673.16,56452856.67,67647859.26,49084215.85,0.0
7,管理费用,63149221.43,51095392.68,35842965.17,19477055.36,61706897.13,52876441.41,71774143.28,36105490.91,126390759.55,94030324.30,60359158.16,29896984.52,115402365.36,89279882.26,60928792.22,34370291.33,112394877.03,77345020.02,53452318.16,26916276.22,113352650.30,81836031.96,59417323.95,31396739.41,113177025.10,80928515.70,92962687.08,42254983.56,91120666.14,82802257.71,59714201.81,0.0
8,财务费用,29507441.72,23468125.67,15755839.55,7041960.82,29757320.50,25266616.10,18034251.89,7317223.95,23936546.24,18327537.94,11651617.91,5623753.91,27793550.24,26207395.94,18782932.75,7902368.47,60527346.33,49075811.89,31880228.94,14670274.39,85117558.43,70318461.05,49175876.95,22908474.64,67899298.72,47075648.35,59011803.59,32686919.18,57327628.11,44163889.21,28904393.89,0.0
9,研发费用,77564704.96,54150235.67,34521794.56,16824290.64,68431136.38,49840824.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,3098803.78,-1126720.31,-5711076.77,247960.89,772056.26,4018253.06,-1057877.42,1179557.69,988516.34,4367480.41,28674.39,3255856.13,2777468.14,317903.90,796455.04,978280.54,2228079.47,2159553.04,4911598.36,2476939.74,2968420.56,1877760.69,4423786.54,3567487.85,4946598.07,-251269.09,-956540.59,8615221.68,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34002.29,34002.29,8202.08,0.0
12,投资收益,-1192812.69,-3069020.06,-2149748.56,-930417.71,-739758.58,623343.05,612986.89,523134.84,31305246.14,30493273.57,29741314.70,1823446.06,9281293.86,6896710.95,3945144.91,1433728.67,0,0,0,0,0,0,0,0,0,0,0,0,23592.87,-6684.15,100022.99,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,153727891.54,99297206.21,82438095.12,52260443.74,117528718.09,88194581.59,74494670.96,42567363.56,144485244.37,101566863.37,82327068.92,34778066.43,78899735.01,49655963.15,31732903.50,6557985.27,14612976.76,19826605.57,18653620.21,3607597.48,97686493.33,72532253.68,53948497.88,12862402.55,141542636.85,92554953.55,119296819.41,68661644.82,178389379.33,158984072.60,66455566.85,0.0
16,加:营业外收入,79074.24,73970.00,73970.00,200.00,34693.13,436885.35,249096.70,30000.00,246582.49,18670355.02,12325162.57,6106750.72,34085471.15,18850155.34,12729380.84,6079033.02,38293804.78,20198239.72,16423175.20,4259106.47,27185953.78,16641912.18,11663912.16,3485815.97,17104528.42,10457736.15,27217582.50,16389527.89,21542839.55,12296831.22,23408788.29,0.0
17,减：营业外支出,46457.24,37537.30,10595.14,953.21,107493.38,980312.46,957041.40,355.82,615262.07,579277.75,394794.69,22284.37,4688.10,4220.70,4220.70,0,491575.51,460618.76,374272.34,374268.02,191709.74,194563.09,188725.00,1328.82,1934312.39,1028152.63,192252.24,74189.35,2409294.04,1975998.68,153092.85,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,10882.80,10194.76,596.46,1688.10,1220.70,1220.70,0,371509.10,369075.42,365184.02,365184.02,188725.00,0,188725.00,0,25401.42,0,45653.85,39687.15,1480242.96,1627295.07,126938.54,0.0
