,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20151231,20141231,20131231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3125403348.97,2163689519.22,953246121.08,4100862740.87,3060082898.94,1893299917.47,755041305.85,3244249333.51,2429152992.54,1432876061.01,541605178.77,956915545.82,555995711.56,359743886.70,626667807.59,593445092.07,212022928.45,0.0
2,营业收入,3125403348.97,2163689519.22,953246121.08,4100862740.87,3060082898.94,1893299917.47,755041305.85,3244249333.51,2429152992.54,1432876061.01,541605178.77,956915545.82,555995711.56,359743886.70,626667807.59,593445092.07,212022928.45,0.0
3,二、营业总成本,2813587773.81,1971136858.81,874044900.77,3799158088.75,2808123105.39,1731617240.66,687282437.29,2997385042.43,2221399859.38,1295911541.26,480218661.22,782244340.22,418553524.94,266657785.46,497568573.19,517675485.91,174424142.90,0.0
4,营业成本,2768030463.90,1936030071.09,855346503.49,3743623075.98,2776069181.03,1708908653.72,672703195.54,2938350154.35,2182526515.74,1270997601.38,468179540.47,746128141.55,392653316.06,249544548.88,454796352.13,482664150.89,139905635.35,0.0
5,营业税金及附加,13680991.47,9855058.70,3498465.98,12811334.48,9332869.31,5840367.74,759415.44,8786078.71,7692706.11,4578030.86,932871.89,2521894.34,1953250.49,317835.07,784090.11,696345.06,1676915.91,0.0
6,销售费用,2810961.51,1967752.76,979819.96,4105673.80,2356726.90,2032066.22,1010199.62,3634523.38,1936773.67,1039908.90,286392.68,3432896.08,2819375.83,1946845.95,3303863.92,6183592.95,4986308.08,0.0
7,管理费用,30079980.76,21013440.14,9918060.79,37171027.00,24305846.30,19699718.79,9868403.11,42834252.17,26804073.31,18053175.76,10695884.84,34265011.70,22916813.44,15398042.13,32570029.97,29101379.42,24831749.72,0.0
8,财务费用,-9333175.46,-3062962.70,1838532.97,-15185230.59,-12690300.39,-4902851.32,3135576.91,2774014.59,1898322.63,920132.41,123971.34,-2639165.06,-645396.30,-407716.27,-633707.71,-656111.70,3049391.43,0.0
9,研发费用,8318551.63,5333498.82,2404539.38,15308111.39,8338039.32,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,58978.20,1324096.69,410742.92,39285.51,-194353.33,1006019.23,541467.92,322691.95,0,-1464438.39,-1143834.58,-141770.30,6747944.77,-313870.71,-25857.59,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,18252431.49,15200805.84,5453818.39,24264396.03,16393683.30,7355496.21,1246429.81,1299761.32,187144.39,177616.71,54508.86,1230137.07,882155.88,687388.77,561651.31,2367772.41,1535971.23,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0.00,0,3886.94,3886.94,3886.94,0,29571.53,-38.02,-38.02,-131896.24,221461.90,1013313.45,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
