,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603095,越剑智能,,,39.95,12.87,7.73,9672.4,,,04-04
1,002950,奥美医疗,,,,19.25,0.61,15698.0,-20.89,,02-19
2,603681,永冠新材,0.63,50.0,3.89,17.54,0.47,6584.54,50.48,,02-12
3,002949,华阳国际,0.49,-86.93,,22.82,0.74,3504.06,-37.89,10派2,01-29
4,603956,威派格,0.27,-80.66,6.31,33.63,1.24,9206.67,31.88,,01-28
5,300761,立华股份,1.24,23.97,4.59,33.36,2.12,43778.75,24.5,,01-22
6,601865,福莱特,0.31,6.9,1.43,23.0,0.33,43048.04,9.82,,01-21
7,603351,威尔药业,2.09,35.71,,22.72,1.62,6067.13,35.34,,01-14
8,002947,恒铭达,0.76,-28.97,2.83,32.67,1.34,6118.52,-24.54,,01-14
9,300758,七彩化学,0.49,122.73,4.54,12.33,0.4,3882.6,113.62,,01-09
10,002946,新乳业,0.63,425.0,1.23,52.0,0.46,30240.28,411.58,,01-08
11,300759,康龙化成,,,,26.77,,7384.64,251.73,,01-07
12,603700,宁水集团,0.81,-55.25,6.05,40.45,1.62,9508.99,11.8,10派10送15,01-02
13,002976,瑞玛工业,,,,30.02,,3569.06,,,12-28
14,300757,罗博特科,,,2.47,83.69,-0.12,2139.74,-514.91,,12-24
15,603332,苏州龙杰,1.97,217.74,6.29,35.27,2.83,17611.3,216.43,,12-24
16,603739,蔚蓝生物,0.61,32.61,,15.74,0.64,7026.58,31.99,,12-24
17,603221,爱丽家居,,,2.13,27.25,0.81,11899.73,,,12-21
18,300756,中山金马,3.33,48.66,7.72,55.21,3.54,10001.48,48.99,,12-17
19,300755,华致酒行,0.15,-121.43,6.21,2.47,1.71,2502.33,-121.78,,12-17
20,002975,博杰股份,0.48,,3.09,20.4,-0.08,2414.98,,,12-14
21,603185,上机数控,0.12,46.34,3.05,4.01,0.07,1133.25,45.63,,12-10
22,603629,利通电子,,,3.47,69.66,0.12,6902.2,80.59,,12-03
23,603121,华培动力,,,5.71,27.55,2.24,6155.2,-30.03,,11-27
24,300753,爱朋医疗,,,,33.34,,2889.89,-7.92,,11-26
25,300752,隆利科技,0.39,-68.29,1.69,23.03,0.6,969.37,-13.88,,11-19
26,300812,易天股份,,,,65.21,,2789.43,,,11-16
27,002979,雷赛智能,0.51,,4.01,27.71,1.14,7153.45,,,11-16
28,300821,东岳硅材,-0.04,,0.6,-6.33,0.14,-3533.95,,,11-16
29,300820,英杰电气,0.44,,5.73,7.62,0.82,2101.6,,,11-16
30,603187,海容冷链,2.03,99.02,6.37,39.93,1.85,11801.8,126.3,10派5,11-15
31,002943,宇晶股份,0.19,-58.83,2.5,8.1,0.19,1457.05,-57.9,,11-12
32,300826,测绘股份,1.15,,5.71,22.31,2.1,6175.12,,,11-09
33,002980,华盛昌,0.9,,1.89,36.81,0.65,9042.49,,,11-02
34,300751,迈为股份,,,2.82,41.15,0.57,2292.6,18604.9,,10-29
35,603220,中贝通信,0.3,,2.08,17.73,-0.12,6557.57,31.53,,10-29
36,002942,新农股份,0.42,-82.86,4.02,16.33,0.4,3758.66,-74.45,10派3送5,10-23
37,603948,建业股份,0.25,,2.58,9.99,0.12,2943.3,,,10-19
38,002941,新疆交建,0.1,,,5.71,0.23,4938.27,-19.59,,10-17
39,300674,宇信科技,0.21,,2.2,10.61,0.45,7404.93,103.62,,10-16
40,300816,艾可蓝,0.15,,3.43,23.25,1.35,919.83,,,10-12
41,002977,天箭科技,,,,26.68,,1889.6,,,10-12
42,603290,斯达半导,0.11,,2.25,4.89,-0.09,1291.54,,,10-12
43,603195,公牛集团,,,,75.4,13.27,99974.22,,,09-28
44,002940,昂利康,0.95,28.38,,29.96,2.05,6402.73,27.73,,09-26
45,002971,和远气体,0.2,,2.99,6.93,0.26,2003.33,,,09-21
46,300694,蠡湖股份,0.09,-325.0,2.58,3.71,0.15,1407.15,-345.62,,09-17
47,300809,华辰装备,,,4.96,9.85,0.29,5480.8,,,09-14
48,300760,迈瑞医疗,0.98,-33.33,18.21,10.0,5.78,90987.96,-33.08,,09-14
49,300749,顶固集创,0.22,340.0,2.74,8.54,1.27,1887.62,342.47,,09-04
50,603810,丰山集团,1.25,-8.09,6.39,21.44,1.77,7479.58,6.25,,09-04
51,002937,兴瑞科技,0.3,30.43,2.01,15.2,0.67,4085.1,28.32,,09-03
52,300748,金力永磁,0.34,-20.93,1.1,34.34,0.32,10330.38,114.08,10派2,08-29
53,002938,鹏鼎控股,0.9,,6.11,16.46,1.73,152602.38,7.91,,08-28
54,688006,杭可科技,1.14,,,71.94,1.18,5678.3,,,08-24
55,603790,雅运股份,0.64,-7.25,,16.92,0.76,7213.5,-16.14,,08-22
56,603297,永新光学,0.79,-18.56,5.34,14.38,1.29,4997.03,-18.19,,08-21
57,002935,天奥电子,1.05,17.88,5.73,20.14,0.07,8395.1,17.88,,08-14
58,603583,捷昌驱动,1.18,18.0,,56.6,1.49,9939.27,142.83,10派10,08-13
59,002933,新兴装备,1.2,,6.8,18.99,1.38,10578.72,,,08-07
60,603590,康辰药业,1.63,10.88,5.69,33.34,1.6,19525.06,11.0,,08-06
61,300724,捷佳伟创,0.17,54.55,2.5,6.92,0.24,4013.69,49.73,10派1.67,07-23
62,603192,汇得科技,,,4.52,7.89,1.64,2887.17,-38.62,,07-18
63,601606,长城军工,0.2,33.33,2.45,8.64,0.42,11575.81,29.88,,07-17
64,603657,春光科技,,,,32.47,3.23,6732.14,42.18,,07-10
65,603610,麒盛科技,,,2.8,57.48,2.02,5635.18,,,07-06
66,601869,长飞光纤,0.88,-12.0,5.2,18.63,0.81,56326.11,15.41,,07-02
67,300802,矩子科技,0.57,,2.83,20.77,0.46,4242.74,,,06-29
68,603489,八方股份,1.38,,3.08,57.47,1.42,4146.83,,,06-29
