,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19960331,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,39162953.29,21814377.76,18515956.22,70037680.40,162385437.67,249191283.40,320894726.33,537492049.40,206303101.46,167539322.45,695068776.55,1181440704.24,239235270.99,288688370.17,324511621.40,95135966.98,51936782.50,12260340.34,75899934.20,97294116.59,737308712.28,750709231.22,724422851.65,812648179.10,37736317.42,40644486.45,44973249.87,28349670.83,50247005.08,126696243.62,198869380.70,263272215.70,136445272.46,115236652.45,77200343.98,113012578.57,108500951.24,99899376.00,90148655.30,122119500.12,94443036.80,46412175.74,23186127.22,46437867.33,79027897.58,35874293.04,35968884.55,49335542.45,77686979.45,65574927.31,44359189.25,79442086.27,223207710.13,204480288.31,207594895.84,216122078.43,170810328.90,165898398.85,184554633.75,239032870.97,367725688.52,245161376.15,342068571.79,330197672.50,190620437.59,163273889.63,183159733.41,229612232.80,45109181.07,151112585.37,0,231052769.40,211540426.54,124326908.27,137843298.77,52316599.57,72424308.25,12776938.53,34414976.79,10323066.84,0,28403746.72,0,0,0,0,0,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378525.00,101900.00,0,112350.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4515266.00,4515266.00,6515266.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407000.00,1407000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,88360792.09,86380592.71,98761639.58,147665136.47,62600884.18,136093702.25,146821122.55,120443898.18,0,0,54332773.99,74470017.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,2300000.00,0,4300000.00,58724910.45,100000.00,118000000.00,144800000.00,118686600.91,86893824.00,107800000.00,37300000.00,73300000.00,206702874.55,163637154.55,117679514.00,32000000.00,87106695.90,24427000.00,64085300.00,41029620.76,89041852.76,18146167.00,27000000.00,3000000.00,20900000.00,3000000.00,0,3000000.00,30898879.09,30000000.00,0,749445.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000.00,0,335324.00,658500.00,2797700.00,1348000.00,22703.00,205400.00,500000.00,500000.00,0,0,0,1500000.00,150000.00,1100000.00,717991.00,700000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522010.00,0,749352.37,0,0,0,0,0,0.0
7,应收账款,86060792.09,86380592.71,94461639.58,88940226.02,62500884.18,18093702.25,2021122.55,1757297.27,32313216.83,10625560.95,17032773.99,1170017.26,46578380.66,38012327.96,28113182.28,116459402.14,97232228.33,78082230.13,40658652.22,54337939.46,47836355.68,42706285.16,40407595.59,31251271.27,179627.41,16142256.93,9875642.11,20520234.72,24109232.85,25693509.98,42967678.47,24968992.21,80020727.51,173411345.63,185956369.23,151613175.15,109106846.30,171022783.26,170118567.17,137222677.73,130739326.16,167008590.09,186848658.80,137667776.61,122918538.43,184747286.90,193008034.67,161285190.16,126712872.31,179534047.98,178041400.87,145274831.26,119968013.26,141930637.99,164987715.91,79895802.14,66136511.59,138750577.44,135222451.81,72045709.21,42039580.81,41008749.99,41563295.77,29160062.69,179446298.55,180592153.73,197806662.90,172129932.36,145976672.35,158567161.80,0,137963589.57,97305562.53,89316732.14,124084104.73,110217851.63,111310089.59,82733522.26,81665027.70,40367751.57,0,35111317.89,0,54623860.00,0,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,4853739.28,4784091.96,5980363.08,5909524.17,9669453.51,7776597.63,6195870.48,6540753.59,6895803.55,7176299.95,62487319.28,2986640.49,40426482.52,40509747.58,40225678.50,41445551.89,12933929.04,22159724.28,26034812.96,51599072.99,70674491.39,53346020.97,28455748.98,6205053.78,50540085.95,51338898.88,51347968.61,62615229.36,86808131.34,86213174.91,36976150.49,33839365.85,99987734.12,57355491.16,104737508.00,93307462.14,109227160.25,46575178.46,96023157.77,105820410.99,87139216.92,39914991.91,87961629.97,99391826.75,173340526.87,186330702.78,177360594.83,165955107.74,170020046.53,158206200.83,184264948.36,174776156.28,160249508.73,136945516.72,126965798.29,121408426.83,426431806.36,435795631.86,219090542.22,192420971.22,329752031.00,224202508.61,262900283.45,216890528.94,148108865.13,115222890.98,61029126.14,72307650.54,35167900.71,33956768.29,0,40310229.87,53566091.57,12826082.08,11620396.45,8808601.21,16894208.50,2321453.29,4628633.21,639555.08,0,2378857.06,0,0,0,0,0,0.0
10,其他应收款(合计),156719573.71,157880879.37,157564298.60,141936588.69,133864792.56,102749804.56,8835420.89,8072371.54,0,0,9524519.91,8132922.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,10385.01,0,19260.65,189616.70,0,127339.63,75316.01,67029.31,3284.54,3273.52,24798.02,4693.07,118974.98,305565.75,776000.00,176995.84,0,0,0,209000.00,3515036.06,1936152.90,685180.78,675277.78,0,0,0,0,0,0.00,2890659.03,2522638.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,3840932.00,3840932.00,440932.00,9120932.00,0,12840932.00,440932.00,440932.00,440932.00,440932.00,0,0,400847.00,400847.00,0,0,0,6400000.00,0,0,0,8657625.00,0,0,1749150.00,15749150.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5832538.13,-81411.81,0,0,6863887.67,6957705.82,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,154039947.37,0,132626039.99,133864792.56,89781532.93,8319172.88,7564410.23,9190190.71,10220244.10,9499721.89,8128229.65,2378958.02,2671320.03,31276825.51,31572385.97,3345030.88,3469479.95,3010785.90,3528833.96,49781590.54,49400573.36,118884809.04,5291433.86,5691956.26,6858424.51,6514271.87,6760976.66,6822989.86,7215365.54,6447445.25,5676636.39,178348880.44,149753247.97,135566851.97,118004402.72,122354629.93,128256488.04,103982265.77,113857208.06,119414366.39,136357113.31,57969669.82,59667282.09,45395612.81,49137369.37,47805214.75,40088081.21,57052950.48,71491293.24,56314710.89,49372266.59,137547049.41,121008808.14,125921905.67,129431810.94,271533361.24,188486154.34,179669425.06,188509637.92,116721826.51,65460742.48,83668114.30,95285475.73,127376275.96,101386074.21,142809493.47,136728865.57,72631017.61,125732866.76,0,91446581.73,66280997.04,51535823.25,46198336.99,97903093.47,175685230.19,123369690.69,101767703.04,69900437.81,0,43007234.00,0,27331230.00,0,0,0,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,214265251.42,229353746.19,263060463.28,262209556.58,222098582.06,201753685.79,189847963.80,198440833.45,191573007.80,238138764.42,240075446.08,238637235.54,199044666.49,223996197.07,222148794.87,217467272.54,235141200.67,270255588.69,380808189.72,279905355.68,232419975.22,276464772.71,208217264.96,264297357.87,265086892.99,237293127.31,259089744.68,256734284.89,205997437.95,177310020.01,169758573.87,182669032.38,38867030.39,25411498.24,24538458.06,30623183.92,21733352.74,17817675.97,26306417.38,29607386.57,21204226.48,22157043.35,25646968.97,32090125.48,57661761.34,55240551.84,58033590.97,62176756.91,126535562.81,135946489.95,169029362.96,174379985.07,191480128.20,139169472.66,123902532.80,120816089.79,644234341.90,560234741.95,532711769.24,595976963.78,1251426014.21,1194729434.54,1119607586.20,1183286607.02,13868871.97,18728907.45,9397572.43,19037716.59,8870964.43,8860153.88,0,14154562.84,14630790.53,13297717.54,14815354.78,22837931.08,50001661.24,22882086.15,18849942.29,13193121.93,0,9396712.91,0,5236110.00,0,0,0,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11167219.99,6145374.49,4985224.12,5402035.86,25873859.35,19656470.20,19568529.48,26080065.09,20335346.95,19604415.11,17292134.49,18096143.62,1857259.18,1661645.34,700807.85,1772850.17,530990.33,1014675.61,0,1514502.87,308563.62,109666.98,320744.57,158830.94,325836.96,220348.85,549932.32,703449.43,0,1293720.98,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20006.78,287849.38,173528.65,44528.38,107518.99,0,0,0,0,0,0,0,0.0
20,其他流动资产,94591717.56,100155761.12,95289067.84,79832377.62,66907105.45,62654290.73,56632410.77,50159876.75,51758040.08,62768941.43,78097538.44,79023044.46,57504850.16,57143467.31,56271788.48,49235317.52,48026999.09,50163941.46,71993942.64,42303513.21,46386302.58,70023474.89,5428488.73,282581.20,1796040.00,3592080.00,5428488.73,282581.20,1796040.00,3592080.00,5388120.00,0,833447.63,580935.34,1142259.18,0,1377583.10,0,1883026.81,0,2495078.47,0,1951022.77,0,1502403.21,0,0,0,735138.98,479243.77,867261.88,0,4500000.00,4500000.00,0,0,0,0,0,0,0,0,0,0,0,2439.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,597954027.35,600369449.11,639171788.60,707590863.93,657526255.43,760219364.36,729227514.82,921149782.91,585371400.97,604713338.82,1139586374.25,1584690564.71,792391305.37,815364997.42,821003405.04,583492892.88,535722866.41,467218304.85,662870142.64,570309352.65,1276964316.51,1271502653.21,1153501939.73,1123651154.86,383680070.03,374618424.08,377229365.87,378262977.66,406679716.17,456720394.06,463298007.81,513698326.94,534503092.55,521749170.79,529141790.42,506560802.50,472300523.56,463571501.73,488462090.20,508627183.47,455435251.22,411849914.40,383564077.55,375254878.26,479846740.24,511330203.93,512196319.77,478840678.47,559078874.56,616425969.08,640189840.21,631108591.47,848142332.72,754385498.31,754858072.63,673576243.99,1605020209.34,1509631267.56,1271626644.48,1316375511.11,2128959780.92,1792076519.80,1874538870.66,1873616490.50,694000310.45,600594552.76,603801127.20,632996248.03,317071269.25,499066346.71,479050000.00,516442236.28,466975693.86,291331518.45,333179411.87,290181705.23,433584395.32,251226597.78,241851488.05,135674048.12,146700624.03,120276805.87,99771310.00,90386860.00,71574240.00,54658940.00,27184880.00,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,106097429.42,106097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
