,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,557168512.39,495666232.11,662196984.69,488126501.99,924870016.78,675664075.75,997708704.36,1179183577.83,1014438663.43,602618963.22,167840121.26,145198515.20,246504351.39,146427107.46,143110210.79,210749120.08,205762131.54,245541989.78,136016986.29,136951582.15,97404192.62,63448042.16,78992211.94,111022578.43,62362242.69,58787853.56,55812269.33,60009445.53,65762871.33,150341686.11,64075389.48,40816244.61,52507843.73,50613725.88,71686794.91,95187454.39,136376851.19,58282061.85,238917598.63,155484738.72,291787132.78,352247898.36,67965850.02,42724658.29,36655536.17,22574416.57,56132142.51,101707881.79,110933403.84,47700226.30,58757200.75,20746251.15,25357015.49,19639491.51,16289977.03,37552392.48,27790429.68,12811736.58,53740541.87,26000565.41,16757939.58,47759165.62,35683962.01,42792648.59,58692058.53,0,16196322.12,9496707.91,15242717.24,6563016.36,8280017.00,0,31584100.48,29150681.17,66902306.01,11723672.93,33829694.53,14306837.31,28169720.74,52781824.28,58659533.18,0,75421704.13,0,102821080.46,0,87495504.42,0,72937684.09,38904522.45,26774958.21,11948885.68,0.0
3,交易性金融资产,161300000.00,0,0,0,0,122746473.30,151016163.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21636846.80,0,26399330.98,0,0,0,0,0,0,0,0.0
4,衍生金融资产,88792254.00,49872120.50,58421469.00,61508961.00,71260414.60,0,0,116348822.10,176699298.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,80743986.81,95540151.58,92400224.12,96916812.55,97775710.11,145203498.55,124688536.30,84252359.08,75165127.11,0,20229593.44,0,16084139.32,0,24294222.61,0,0,0,0,0,0,12191496.14,0,0,0,17370512.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,410429.54,0,0,0,200610.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850000.00,0,0,0,0,0,11218.89,0,0,0,36858176.49,0,0.0
7,应收账款,80743986.81,95540151.58,92400224.12,96506383.01,97775710.11,0,124688536.30,84051748.93,75165127.11,203373667.83,20229593.44,13783788.48,16084139.32,26338352.39,24294222.61,21565339.62,17161981.62,14275779.54,14168842.98,17916635.34,12378292.44,12191496.14,13383521.91,12614705.30,13143175.36,17370512.29,17279796.94,13318225.83,9889336.96,11853741.98,10524260.83,10684969.84,7047354.39,7211436.78,6175555.95,5978418.82,3627245.66,4716925.35,4132441.94,3798137.29,2645699.47,3625454.11,2366493.75,2966424.31,4129361.34,2388594.92,3234128.69,3219483.54,2574234.70,2660377.30,2247048.78,2199045.74,1975529.17,2160647.32,2063191.70,2355001.56,2630749.18,3019166.24,2897639.35,2730985.50,3314142.26,8031450.72,8753092.88,8907226.58,13583454.84,0,47730571.40,37492070.49,38387099.81,36399503.14,36594963.15,0,33600260.53,59763517.73,33448559.61,60117701.98,62083037.87,73470628.95,75503383.97,131316711.14,125826712.27,0,144613486.14,0,224405836.58,0,262522492.67,0,40902290.74,21157522.80,11673291.79,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
