,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,8001176028.49,8855408402.78,7217560162.67,7767982705.34,7327423299.28,8587927272.41,6651958470.64,6404038913.24,7451251991.32,7415782198.83,6983093776.66,6803987863.10,3037844939.21,2061923004.89,2659622939.39,905540384.83,871981608.50,798295283.74,690923730.03,823127422.02,801190606.53,715705603.80,898949224.42,757155363.13,1115608739.96,761044135.54,1057071437.94,1453195273.58,1172682903.95,1221332802.40,1315919065.91,899777682.73,1147721744.10,1447743555.70,1211120184.72,1272470125.35,998807642.51,863931857.59,727362880.54,718866978.38,697634104.90,588531959.19,572990991.36,490059937.90,550054274.85,540183900.36,459605279.47,462971079.90,380624248.66,282663137.40,374333459.53,293587908.77,301719767.12,283852487.10,131960564.89,179968101.95,120413981.27,129498761.63,145521526.15,138770270.26,202691667.60,303474731.77,296051763.21,482336826.92,186111861.55,424072106.29,262421464.87,260516738.58,319563868.92,295276726.93,279732458.81,242364320.34,247828644.63,232803179.28,157398834.85,110022836.02,108247306.53,152526153.98,60596306.91,44938707.32,55038105.91,76341289.80,0,89023848.73,0,37113692.37,0,50885869.66,0,51434217.83,0,0,0,0.0
3,交易性金融资产,10800883.08,17191861.74,15835055.68,15560367.70,19699201.68,15934738.20,20525317.22,20776009.48,20896102.34,8732443.07,8825167.79,6587883.16,7223962.45,6019067.02,5910632.02,6284607.37,6430279.99,6589225.34,5349394.58,7024741.35,6734949.87,6423571.77,9562427.38,10565247.12,10864233.15,11335125.54,9164160.31,11477809.46,13881715.22,59319616.94,48122396.36,45284347.96,48758923.10,44343013.65,40472609.62,56611074.14,58816034.04,57865790.18,52956220.31,46303091.82,52214745.33,48888580.51,50214469.75,62172102.94,38497549.91,121777817.15,165486322.65,248527647.20,402793956.94,448101008.02,442962560.14,318610163.17,208080753.90,137111675.25,287952375.16,284842661.13,109186143.61,70500464.83,71588154.68,73961049.53,49396624.72,115107681.33,58785850.07,59538095.98,61344953.65,60464335.30,20574569.85,21622072.70,20086682.72,16877575.28,13955482.87,14999007.86,15955482.87,15955482.87,10700000.00,10700000.00,0,0,0,0,0,0,0,1300672.67,0,5674739.60,0,11175592.00,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,2678199006.91,2425384131.23,2589927548.60,2692623331.19,2673057414.63,2411077498.72,2637201974.54,2676930069.45,2575134284.34,2508356328.84,0,2599200416.52,0,1977352956.10,0,2050050307.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,1064449344.82,952945194.97,793900131.83,934010378.50,981585721.63,1029370542.77,0,0,1072134116.27,1151583176.39,912280209.93,868254813.90,759050168.39,512986726.32,414355996.81,447397071.95,451847236.09,343042435.08,281065143.80,319929380.23,333804416.27,305315241.79,317253090.60,260608434.90,303714815.98,271431749.11,181942920.98,157099114.13,144304435.99,112482782.18,124344121.86,78683228.59,88113442.56,171033783.72,182302220.78,217196133.04,241005908.99,232945814.77,204378437.00,172287447.02,221927044.26,404747523.90,216181711.70,178270619.98,129841393.51,200743296.63,128639152.51,146876197.62,121830114.93,125126670.90,81191849.99,48356057.34,70096404.56,60961151.58,25721325.10,28090455.10,55629211.03,57360285.35,30577271.40,68290360.03,58069902.13,47328577.69,38368865.49,29738502.22,24925613.81,27458613.56,20890647.30,15685503.21,12434370.60,17773368.58,7572785.11,2954756.72,8594226.84,7305369.84,3119750.00,8346830.00,459000.00,3620000.00,2140000.00,5848000.00,50000.00,2181250.00,0,1445000.00,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,1613749662.09,1472438936.26,1796027416.77,1758612952.69,1691471693.00,1381706955.95,0,0,1503000168.07,1356773152.45,1775383748.27,1730945602.62,1455184528.01,1464366229.78,1577901787.67,1602653235.14,1218456864.02,1256094264.14,1348219562.33,1238462008.85,1166007884.55,1072890517.48,1193446022.34,1108496012.11,969009235.06,1053350426.59,912010559.51,935673153.07,828617562.39,774021470.88,742315684.79,726944998.04,647634823.68,562146013.18,571203101.26,516641668.76,511264546.23,438763726.58,462965894.37,443671270.90,418574026.70,372643326.56,503862399.36,479769176.58,424556271.51,343386691.32,436466570.05,418725170.14,410003015.43,319992271.78,287739870.73,320180917.18,290837908.40,261873138.69,286900160.25,283636032.49,277138940.06,231929490.27,307752753.71,290746072.60,316129179.45,270648916.05,281752601.25,278513615.98,292177926.42,265017252.78,319457180.97,323275812.55,296291671.59,288558328.61,317050833.02,317857730.60,288126132.38,252156075.65,294330666.49,284072411.79,377981964.03,381583220.74,366917970.09,355086140.03,358258859.12,332105764.29,0,299721464.51,0,246921563.69,0,227383041.63,0,252243001.84,0,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
