,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,285095317.48,265882966.21,270909562.89,257641276.09,270566297.93,210714167.23,263720228.79,311309730.95,474448395.12,86560431.48,326956627.32,74099235.55,383377053.23,100825103.55,72606791.85,138173939.30,124248724.31,102165734.55,158886817.11,71819100.42,92843547.67,68386461.87,80945681.14,62586694.81,104025286.82,64698388.66,77546964.34,130703056.16,219541115.69,70160400.86,98044218.32,74985714.71,76506717.32,94891481.24,104010375.28,145432413.95,374481256.50,127219957.03,171015012.50,182109971.75,256926019.35,83549522.80,83358363.11,73360379.88,96091742.38,108387354.71,156304441.43,160072166.91,138427046.47,190780590.34,309042803.27,275175977.89,173962918.71,118553096.10,106814600.22,130540667.85,137577135.68,114153435.00,103534366.27,101828114.56,123774537.48,107265596.62,115637213.92,124605103.72,132305711.48,128334664.92,125984367.32,98734429.03,123638366.88,93796930.25,102920250.82,102474171.08,108178021.15,100503127.54,107130269.45,144720903.36,63925591.53,59584040.04,65064815.78,43723461.75,44049225.43,0,52385812.15,0,35794659.72,0,37065922.11,0,14408550.98,0.0
3,交易性金融资产,0,0,0,0,0,0,500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000.00,36000.00,36000.00,36000.00,0,0,0,0,30396075.55,24263550.00,0,0,0,0,0,0,0,0,0,5224199.06,0,3370815.00,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,128346090.15,188156262.07,202906608.55,208615472.88,200343491.20,261046864.42,243407541.20,219065268.26,223448859.78,0,247525654.49,0,247521804.24,0,240718553.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,15848981.57,20675129.86,58126402.60,69353389.36,102799730.08,67634048.39,74347079.73,78101663.51,123484092.94,95193280.99,83856676.36,97453458.63,122378960.19,87651572.39,94600696.18,83423118.52,118832670.29,87451357.87,93883730.91,101624407.18,158705851.20,105539617.85,97223747.60,115009025.31,156769672.99,118546007.23,92968199.96,186560186.82,193106466.72,186738373.12,161983314.21,159631808.38,125981566.15,89380538.34,86329176.48,53676093.24,73445068.37,48801897.86,35096799.42,46797871.89,45007677.16,25308437.25,28905838.03,42458267.10,72453818.78,43773467.92,38188119.76,41562119.38,62369253.12,33112134.26,25091029.56,24058496.97,38068867.65,10706199.74,10084005.50,33476941.09,44348087.15,7644991.50,18332728.81,12000113.65,34275208.42,5430371.61,38105175.85,13391579.00,39216331.00,18122200.00,35280878.66,10126900.00,27895879.87,24034210.18,34075000.00,10434967.90,23566631.11,26216000.00,24392727.80,32077100.00,17670400.00,28841692.81,29928130.20,13250000.00,9016120.00,0,10070000.00,0,0,0,0,0,0,0.0
7,应收账款,112497108.58,167481132.21,144780205.95,139262083.52,97543761.12,193412816.03,169060461.47,140963604.75,99964766.84,183207676.55,163668978.13,242450674.81,125142844.05,230947699.35,146117856.97,131402952.96,101794107.34,199796522.21,189636887.10,154051479.79,70771936.89,183848077.91,171413660.70,121560477.46,99237945.68,167564184.54,165186214.20,65528893.35,49548086.46,119150381.00,99208591.77,77041679.30,49465943.88,86425198.58,84703432.09,71986377.61,49624646.87,92521928.37,88272226.52,65465364.30,50429635.77,84723836.35,87231193.94,63070138.78,50962186.18,97503868.09,88057687.43,80915322.41,51192455.99,98002503.40,88832803.81,87986035.15,56560607.76,82884898.88,80033026.60,91601611.43,60036342.64,122329340.51,113401443.07,105601572.73,58628505.44,125258037.20,95076702.53,109381897.24,72292934.94,118550844.72,95588445.49,107265393.76,71560825.55,102150360.04,85971157.36,107639892.15,74999615.82,74692350.60,68736349.32,98861059.73,91776299.88,119688765.04,93252202.73,98370809.09,75974537.03,0,47938555.06,0,47141114.73,0,61753415.06,0,47614507.91,0.0
8,应收款项融资,63610304.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
