,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,48537145034.00,47191670697.00,49875146641.00,51481539711.00,53087082081.00,50581910423.00,54077391428.00,57128659576.00,53519407759.00,50760400727.00,51228997839.00,58152817223.00,41018466851.00,44519079579.00,47770767906.00,38866861836.00,34825388176.00,35265302750.00,36572785233.00,40172401999.00,40661271821.00,44591345895.00,50531922101.00,20464553422.00,23365935107.00,28542101405.00,16540286439.00,15211851133.00,14039248421.00,15575508881.00,15956853365.00,20325469116.00,19684537758.00,22317926668.00,20830639175.00,23997831673.00,16503919807.00,17427462074.00,16281329810.00,15836411922.00,13283122033.00,14078586689.00,4100971349.00,3903740704.00,2984353149.00,1620166213.00,1633981977.00,1704436404.00,2119100548.00,1920791106.00,1887177195.00,1809217235.00,2395946480.00,1510409463.00,1894571073.00,2080680420.00,3677332912.00,4793160032.00,1704577066.00,1834288334.00,3656404811.31,2790569226.09,3462370529.12,2251459425.00,1747470380.95,1812508377.89,2079395236.02,2294225705.00,1161267124.49,1007925671.23,1214123990.80,1182597735.00,1273594641.91,1405962761.00,461243462.00,329471420.00,365063684.09,333875000.00,324860877.75,412086000.00,0,47734000.00,41349000.00,27882000.00,0.0
3,交易性金融资产,3868390729.00,3932990942.00,5165010209.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,35872347.00,0,0,0.00,0.00,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,67794013.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.00,0,0,0,0,0,0,0,0,0,20425293.57,0,79861691.02,0,0,0,0,0,0,5000000.00,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,20572930384.00,19408597185.00,18291151255.00,20537462095.00,19694977483.00,17896184677.00,14853408821.00,16347031379.00,0,18126837303.00,0,17561628267.00,0,11795611088.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,178506526.00,140924135.00,249576484.00,656781577.00,533324430.00,540151648.00,784406924.00,833268127.00,1266574627.00,1263302564.00,1084692803.00,1369836650.00,1219908043.00,1065793439.00,629524293.00,362053092.00,244458507.00,218474506.00,356189850.00,501172383.00,529719139.00,441895086.00,530085147.00,565423076.00,760409630.00,728155809.00,899584110.00,860883384.00,620834911.00,551484685.00,558795142.00,340293997.00,468059649.00,353407224.00,428420157.00,378937778.00,332634775.00,330368454.00,286939451.00,331898229.00,312526528.00,240688147.00,191595441.00,305340503.00,192781562.00,140211664.00,182991495.00,175783058.00,341667556.00,112054545.00,100860667.00,57068391.00,168392735.00,135650187.00,123163661.00,101237757.00,148119509.00,194903981.00,191014648.00,200318607.00,172552766.40,209846266.68,194742248.43,154184396.00,153524748.94,147811200.53,128550634.76,83253450.00,0,159180368.99,127220357.21,107294474.00,39032584.00,34396338.00,41740636.00,17245281.00,19712112.59,19828000.00,17709506.44,14533000.00,0,9583000.00,884000.00,256000.00,0.0
7,应收账款,20394423858.00,19267673050.00,18041574771.00,19880680518.00,19161653053.00,17356033029.00,14069001897.00,15513763252.00,15052229887.00,16863534739.00,15250839378.00,16191791617.00,13672569024.00,10729817649.00,7626082142.00,8192514361.00,8417046247.00,7394263585.00,7596364487.00,6615762122.00,6178352533.00,5122439581.00,4557280210.00,4855938522.00,5329676563.00,5367401093.00,5670483982.00,5196041164.00,5205471791.00,3386388813.00,2846814720.00,2560795545.00,2083599248.00,1800092683.00,1460472955.00,1263204267.00,1243364291.00,1414740896.00,1293535466.00,1195729431.00,1024790621.00,909783165.00,534513350.00,485918608.00,1008582068.00,1602580544.00,1640182824.00,1793612342.00,1550597946.00,1623382251.00,1254576404.00,1117873492.00,1074601933.00,1268056626.00,1367317953.00,1775056323.00,3087139691.00,2135585996.00,1683989481.00,1842106801.00,2590511829.45,2217458947.10,2460940774.03,1867071902.00,1842354752.51,1576389486.51,1511875874.66,1058741716.00,1148305949.54,869599204.12,811629222.86,466255952.00,513320715.93,561781193.00,526750197.00,364144681.00,90514462.39,90562000.00,51812208.34,46852000.00,0,39596000.00,32657000.00,34882000.00,0.0
8,应收款项融资,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
