,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,589616840.97,533591243.25,645480243.84,520547688.27,346069354.07,469961164.91,349034614.77,419989243.25,384227009.13,409346570.32,296040247.01,491199946.18,459739937.37,796805068.30,954136206.84,1344908512.18,337057778.26,352655859.44,531325336.82,632282795.19,929742731.73,793836922.15,611714718.40,718754506.35,843693368.82,868013739.61,707755914.97,592422040.97,507470557.30,445671147.49,593493159.41,414471426.54,605559413.49,713250779.51,699830855.10,760640231.36,241069537.65,337536750.01,341997676.62,203022075.04,339812038.39,288476271.23,88762677.79,97999953.10,94556509.76,107774588.49,64830176.73,71413702.25,73969680.98,89968787.46,63740367.03,52515096.25,58431850.99,27594332.23,65852746.14,62077238.31,67372523.64,80583920.91,107767997.61,98770359.47,79711619.53,87068932.90,29693649.85,33788095.88,33327839.99,23341819.56,30204587.49,16743456.06,20517285.23,27574071.41,33143185.02,59078772.53,0,18500838.49,11970579.32,21805622.05,21805622.05,7275036.92,32106048.82,18737897.96,101876751.48,0,24795221.84,30557602.51,14700371.56,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,745357.08,-572054.33,225223.57,116834.43,408527.10,228048.98,81853.82,0,0,0,0,225720.00,1278753.58,0,0,0,37813.53,130509.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,986059712.84,967643224.92,808110028.13,985936819.79,1053853112.79,957248747.54,1084624472.06,998200745.90,0,0,967156360.68,862115126.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,50989294.80,33509727.17,35565869.20,34159247.28,51155982.78,44491545.00,47644252.29,41178406.78,32629310.67,25424968.22,24315120.72,31798552.33,16709224.34,15134135.23,34210449.70,41852442.03,32883507.52,16375505.57,27305886.34,46445814.81,32113145.45,35143212.37,25835448.31,48716945.77,42917271.60,69716277.66,62304067.76,81491449.68,65765231.66,45372094.78,49550344.12,60190246.34,66261975.55,80295875.82,53054106.24,40472848.96,11816895.48,28481381.57,17925431.87,14699707.35,8721330.60,3440784.72,7251250.51,7265488.07,5019641.94,4575100.14,11496738.11,10344130.40,7305656.61,9272842.59,8989952.87,7871636.98,890008.00,1237855.85,4017281.67,4687360.20,8014889.74,4980718.74,6747561.36,6850726.00,7704258.18,5384439.50,328591.00,1798359.21,1054538.00,473080.00,2827378.86,0,1107620.00,2048000.00,1360000.00,1471380.00,0,1064250.00,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,935070418.04,934133497.75,772544158.93,951777572.51,1002697130.01,912757202.54,1036980219.77,957022339.12,961675707.93,826463567.96,942841239.96,830316574.57,895854408.70,825633899.10,765404344.80,729180056.87,885259715.84,698317815.78,670244342.10,708240144.89,847821025.03,767898112.36,754291135.72,668784267.49,831269529.98,654621753.05,735327396.89,589416047.90,626055712.34,586714122.68,542945261.09,474653234.61,511385993.12,193240964.82,211492821.52,424832463.82,186768879.87,159854805.61,131459092.30,101795689.69,138950300.28,127734621.70,64076952.66,64767928.54,81946228.04,74221454.49,100398803.26,73899196.41,98408558.29,97963257.80,113269898.58,86266003.81,145159925.31,158864263.88,162255262.61,120233530.66,145349386.72,137063800.69,151920763.89,117454371.37,128987895.15,150055017.36,165300190.30,141314757.76,254747236.24,232112161.08,226119462.59,213304566.74,224022737.19,275538578.75,231298088.49,212595549.03,0,240849433.23,222790844.57,255812082.92,255812082.92,349322380.64,280794760.28,224923977.34,219572533.31,0,119357114.36,106272978.14,85498566.76,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
