,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1682163634.97,1500137729.61,2733984547.37,1699554457.17,2110251786.71,2060668220.80,1466378977.63,1608356097.52,1514198566.65,1726766310.71,1642798482.52,1315494333.90,1696392927.84,1906231955.81,1277018464.61,1274485426.49,593341411.51,563798899.11,509668690.30,372472443.44,401123514.02,373884167.60,387732040.91,379959114.16,339502798.59,366737690.98,361097938.41,521832936.78,248662078.63,222273236.71,275901937.68,233303184.60,272423547.25,292444624.18,345056162.70,108655037.44,122281175.39,179540048.89,198020222.96,124180943.19,158282203.30,110777435.69,79848167.25,80785043.98,143773329.48,54164997.88,29738877.60,49483189.95,58357103.34,79168332.07,12153691.66,38943206.89,12525350.01,1256074.43,65808334.34,135791211.46,1067216.26,1373085.01,41292691.44,99762174.98,391271999.38,489121000.08,497714751.83,418887975.61,514094092.17,409559862.57,534395288.25,521039843.42,468632723.37,476517045.91,535648453.87,471257490.62,653265654.91,122399794.01,123529860.07,150808643.18,165574329.06,223844281.28,7126936.61,8172825.35,7009338.95,0.0
3,交易性金融资产,1407205982.09,1638108667.51,15442513.51,16119325.70,14959969.80,14288450.89,14376598.64,14570055.59,5528721.26,5476637.52,5632284.40,5354219.40,7710672.15,6624980.86,7233439.25,8018026.55,6640197.02,3501645.12,6244657.07,12755274.14,6320060.31,5641331.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000.00,600000.00,600000.00,200000.00,200000.00,258906.68,258906.68,258906.68,0,0,0,0,0,0,59250000.00,24250000.00,14250000.00,0,0,0,0,0.0
4,衍生金融资产,433785.95,437321.67,398712.61,413826.42,2044387.46,1952619.57,2962930.91,2987629.02,2321371.51,3308446.45,1452303.70,1858197.35,0,0,97680.91,94536.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,3160829526.83,3205249310.53,3342918370.98,3476293360.72,3282014406.59,3299682614.03,3341488812.11,3095139423.52,0,0,2914298937.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,414991428.82,440403635.23,488753766.29,529255203.22,482000010.47,486138266.20,498532742.40,503858582.48,639139760.38,660185019.24,520652787.51,433499949.06,487485494.33,455932282.79,306378319.50,314394986.17,313317633.81,317761259.30,260227640.58,257287494.39,0,216883237.37,209543036.94,243452903.51,275820854.20,224017429.76,169698630.91,176102525.12,163105240.08,170410729.78,160228634.30,141704683.72,123194132.13,87195934.80,94514978.81,69803813.26,66449436.09,69104659.08,78581763.04,89878022.88,65654493.46,52506701.83,26870852.71,18529813.71,10290016.78,15986491.08,3820026.41,7617902.62,12110810.63,6889302.97,2092590.00,5507474.00,1106520.00,0,150000.00,0,0,0,0,0,100000.00,10700000.00,5866490.00,5960200.00,1961550.00,6918560.00,16360476.00,9643008.00,23998241.98,22111474.00,14898532.00,8294584.72,44404166.54,8746560.00,7442100.00,6025600.00,17883900.00,18221160.85,3788325.00,8628926.00,5936641.00,0.0
7,应收账款,2745838098.01,2764845675.30,2854164604.69,2947038157.50,2800014396.12,2813544347.83,2842956069.71,2591280841.04,2320833316.76,2116128582.10,2393646150.32,1985813827.94,1613207191.53,1551486364.39,1588468480.15,1438374147.14,1502476134.61,1560617197.14,1340299275.36,1230119795.25,269730371.54,1416290463.58,1077778448.32,995372844.58,996034435.92,1108370830.97,898248036.03,845377880.18,927307307.88,850924063.80,758696487.60,743588778.43,754252275.04,748651780.61,696770352.19,661705956.09,593415787.38,594317833.83,535070763.78,428898205.79,362533201.31,311620299.30,279033629.56,276900955.79,218336372.94,168434049.84,149026632.09,140985044.36,146462734.77,149092511.90,107594877.40,122763091.53,62097049.22,53116361.67,54827762.76,55172414.34,82720667.08,83839954.47,80841998.43,104061001.24,343202207.23,376877964.92,369760050.83,252149970.03,336569570.00,346550288.57,337813281.93,303913163.56,342948782.89,304872580.66,345993328.54,309157195.64,346520492.06,334816904.57,398592542.21,377628033.20,314845638.62,275776431.71,192383658.59,124548246.97,104918933.14,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
