,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1185765419.47,950474636.15,1241698483.70,1142169826.57,922508950.26,702486645.80,1053881449.50,878528787.39,1774889682.19,910391271.53,1481385990.05,1220515341.55,1808977669.80,985498506.21,949032489.69,435134127.02,839003482.70,379484300.48,416968766.64,402907070.45,458499679.82,563238191.26,411730253.84,516454370.01,338958633.09,549163447.09,446079080.22,499655857.92,466628303.40,582124263.57,733152025.97,452720186.60,648312311.88,759132828.79,694846324.82,669239718.30,759267357.50,748957220.20,470519300.51,582671425.03,382331020.02,419134847.70,614438235.85,556366137.25,512074757.32,357625097.30,588707492.25,533292519.73,626445250.81,640091452.38,533460540.11,408926191.12,405461762.16,348234619.66,460373156.95,398665938.10,450308370.13,560850250.39,627472042.74,485391421.06,431317562.50,372904275.14,387556218.67,167552401.49,318878402.86,101564535.94,107884755.56,104492618.82,102072961.11,75350185.86,64916073.89,126461431.70,121248915.22,235798269.78,209043696.74,245470128.94,33244612.99,16412515.34,20229491.19,2350145.45,0.0
3,交易性金融资产,5570720256.07,4869323672.44,3904452112.42,401006723.06,261696372.77,283545311.39,168682462.74,208587259.97,144701639.02,152684286.70,183737220.90,211327357.22,187242643.27,39162907.47,32193601.78,19009479.76,8364738.46,2747690.00,4899826.74,7363445.01,9297514.46,8039885.89,7960268.51,8203211.00,8946695.44,8256941.48,24413383.28,9255006.42,12207859.19,23198246.66,44576753.28,8259891.20,13379702.07,11410273.21,22933912.27,14802616.45,24720596.93,26010255.59,34702042.91,20706717.81,35806920.47,37128715.54,58722356.55,24075220.85,0,14925000.84,7789138.30,3872576.32,784400.00,844000.00,956000.00,730796.00,670297.00,639000.00,465153.50,459758.40,476503.00,439730.00,470736.00,617300.00,665754.00,779895.51,872260.00,744360.00,840400.00,840400.00,840400.00,840400.00,826000.00,826000.00,836000.00,836000.00,836000.00,868000.00,40868000.00,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,506766935.99,521810578.43,559323094.62,692795557.18,597764312.61,523085757.73,508013752.93,563421056.64,0,576465320.39,0,553032524.96,0,478904838.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,209895489.37,190370159.23,182520256.95,324930985.51,270386851.76,257400661.44,219975894.75,253220639.16,255867534.44,248731155.17,254424106.06,299666397.05,256441646.78,220312284.18,207191351.13,253447376.33,272426390.39,296841496.68,301537391.35,323502828.23,353094081.47,361987547.16,320809100.05,386064594.36,342343042.72,328992404.23,289529090.87,395032143.03,464768002.88,402396988.84,358316768.28,400709551.45,385288664.80,260798428.29,205908881.31,301211842.81,399536101.79,303028147.53,246952963.84,355321463.44,295366756.68,334973968.35,285230827.21,400443907.31,522889437.40,495423827.09,360320170.92,462932161.05,598869492.33,588091221.46,488423871.49,483706872.50,609906585.08,508678179.57,444804203.34,509046581.00,376927735.75,306377632.82,124720625.47,368960903.84,331147485.49,185119056.04,52298917.21,71657668.09,44300911.84,27330740.17,36281025.07,14675542.76,31944377.83,28178401.63,29629684.30,18068699.20,19936126.80,6058000.00,1664000.00,1450000.00,300000.00,200000.00,0,0,0.0
7,应收账款,296871446.62,331440419.20,376802837.67,367864571.67,327377460.85,265685096.29,288037858.18,310200417.48,286321249.25,327734165.22,345936319.98,253366127.91,252061061.07,258592554.60,191613552.47,162526236.68,189679890.16,215758770.63,197003402.50,174690411.19,182351815.79,161488240.27,125729599.11,72416605.37,120699788.72,163975234.68,129615447.70,79372078.71,90384985.82,124757608.89,126349235.12,84043554.96,114015435.48,102418009.69,148726864.59,130120211.21,108004746.93,121318869.67,75886414.26,92145485.29,181737776.44,129731351.94,119711782.37,95035551.79,177973452.71,147731476.77,168577464.98,129038691.15,212555352.37,180273070.59,145480618.02,100034616.01,70155064.02,75279476.34,74695490.04,57578976.96,99961532.73,101651903.19,111088648.15,87592848.36,97455069.35,89714625.41,67806312.93,62010987.68,59197064.49,53536258.98,33200025.20,50439026.15,48173400.56,65822955.91,46583678.97,48816441.11,49903482.37,43584349.41,32255850.57,47837297.16,39972827.28,37177578.24,11360371.56,26188683.78,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
