,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,305078226.25,432093220.84,287547968.69,282818768.62,395848696.76,501791659.44,287241621.13,186592348.22,249542298.13,297321450.30,367854287.06,125312068.28,81126865.69,66507566.49,39685278.81,113302138.04,78374664.66,94379374.40,94739304.57,103894540.30,106675104.20,119121524.85,110837785.41,144355978.77,125942607.77,155464195.64,147020176.65,184438218.15,177238338.16,222558011.45,177131205.12,235414925.57,28466838.26,59817629.77,88557654.71,48413281.98,54547821.44,66029981.30,31081723.01,22560007.23,17794911.93,35523693.17,16842062.52,34435155.58,28862475.52,45527467.14,82458917.09,82512147.68,61841238.27,111188634.72,97304132.40,107549644.28,121115763.42,143503022.98,155162138.82,29894746.84,35039229.84,36970164.85,14994401.66,0.0
3,交易性金融资产,0,0,0,0,281630.13,1005504.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,496744170.72,504807260.24,602011307.79,550334986.03,513970691.06,440366176.75,507336684.71,504966382.78,425812369.92,386156436.78,0,397551274.13,199821803.03,186781531.87,0,187442965.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,43574451.29,36175982.70,151840026.47,127976234.21,103665377.07,106511003.77,140477045.46,169224021.38,99629088.79,92042020.82,116138035.13,89912495.61,48284390.81,53180149.23,60488927.07,47535931.92,46804732.20,50890688.89,44839881.79,40037205.95,37303111.99,46164743.78,33527125.86,30165671.89,39490858.07,40177868.07,48275482.17,37686023.62,49144685.65,43158689.66,62499208.98,36357772.29,30809913.46,25261064.77,39796238.17,44311219.80,29098948.94,40267039.34,21333415.74,23353814.32,19682173.05,23469888.14,31377647.36,19601767.74,19381316.18,8966541.03,12589626.99,11061836.60,25346280.00,23071314.21,11041273.15,10054195.32,6664530.97,6550689.54,9657506.98,9294519.36,10178744.42,5331268.54,8645000.00,0.0
7,应收账款,453169719.43,468631277.54,450171281.32,422358751.82,410305313.99,333855172.98,366859639.25,335742361.40,326183281.13,294114415.96,317708242.76,307638778.52,151537412.22,133601382.64,128834648.04,139907033.86,129670277.53,131563576.33,130617622.49,130083139.84,131816258.57,135578110.59,135257860.92,133404446.95,120757626.51,119228390.63,116034003.20,121424795.69,113452360.79,122597373.70,120866475.17,126975337.12,114940425.42,107681015.78,105700541.83,109615506.76,100144441.27,103504521.20,115072898.30,106318978.35,92104219.41,89974032.93,78933860.33,83977630.62,79273620.67,76776225.76,80029332.57,89285721.01,80784345.14,69058820.65,69927983.92,63929067.64,61496243.57,56291816.61,62835791.54,54263929.82,42868029.74,33234890.86,25114917.07,0.0
8,应收款项融资,128401748.21,104679182.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
