,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1556575372.45,1576626993.82,1414206803.91,2008226791.55,1956089124.33,1555777293.05,2193259520.93,2605589068.44,2977919039.84,2352944201.06,2064521081.13,3006964118.26,2819497029.08,2484140263.31,1453962163.48,901461432.96,727922893.89,346998922.66,151510151.54,320130644.60,362222225.61,208395962.64,253774175.87,181600586.82,167935929.10,229730925.45,226732496.23,186590746.42,194603078.01,185192830.91,144798869.91,139584363.67,157661636.64,145905620.23,175833531.11,122168573.10,129102627.27,181047315.21,109636452.86,139134937.10,123423935.32,118150381.87,154060727.55,217728949.88,131667525.40,97215076.95,111021592.20,131963004.57,181973506.58,160148078.32,183092428.14,211468097.73,302212132.16,112117121.17,122706093.49,63708249.01,54932864.55,41511628.85,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,80121500.00,119750.00,98600.00,0,0,0,0,0,0,0,223223.36,0.00,684080.00,561040.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584500.00,500000.00,800000.00,0,800000.00,576316.54,4671426.87,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,459781564.19,646162110.92,716773406.13,692414566.74,586937258.10,620128235.69,717816565.58,617178239.47,606455027.43,0,620716175.22,0,477773904.00,0,527756435.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,107025977.69,148406325.17,126451717.01,107399476.04,142355515.03,217639115.69,118456870.67,127539832.12,115304506.28,141465781.44,152905166.17,43734903.82,120512394.09,139951681.37,114928931.10,50288694.60,63419857.64,125810691.82,110634967.42,39446958.89,13803058.88,13027000.00,6613845.00,14094657.49,7491029.37,7614750.00,10196911.53,6534922.00,5271775.00,27521814.26,4899766.96,27398362.50,12916335.90,29528106.00,28219948.30,24326888.14,19219545.00,19213126.59,19512969.20,32188437.92,22152394.89,11028140.89,20417162.80,14268610.00,9544135.83,28801300.00,14399084.00,21606418.18,4023000.00,14189094.42,12341100.00,3618429.20,872000.00,560000.00,953000.00,650000.00,2006500.00,0.0
7,应收账款,459781564.19,539136133.23,568367080.96,565962849.73,479537782.06,477772720.66,500177449.89,498721368.80,478915195.31,411779790.96,479250393.78,448411152.64,434039000.18,453742567.45,387804754.59,399365244.94,344639326.18,365434214.49,309745339.47,285373119.71,279613312.44,203189342.25,212791024.49,215356787.96,219115780.26,178192902.84,225483371.02,218974969.64,188494404.32,180059327.13,163083107.46,231023543.16,172356674.67,198532315.59,192506160.55,192635131.97,159833783.76,161942734.86,173836638.34,191473720.72,187518668.68,160007351.52,159909900.63,157984979.29,161654472.28,155332493.71,196931042.24,166334572.02,155044148.13,168322635.22,187037069.60,137262837.59,89414307.95,130139095.72,120342183.90,104501949.14,67641729.71,70757931.40,0.0
8,应收款项融资,74531666.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
