,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,179264208.26,198987793.32,205347876.09,232746058.71,164101784.81,177692101.67,234723684.17,234018593.30,195732248.18,203398113.79,220346621.78,227534327.80,248179806.47,244709406.78,266552977.01,254291459.42,218324732.97,162804459.21,174799020.22,117710271.78,135319909.36,169684656.37,154740753.03,183298285.46,243104600.25,159749354.85,130955382.43,162694600.43,138575075.10,121565975.75,182732680.95,155312780.17,168355601.57,214468183.77,171500355.28,191022939.88,144620914.89,199142150.33,271113309.95,278162013.75,127795447.65,80810440.14,90415679.80,105349696.95,95859361.87,124202331.26,168668250.37,80783474.19,78501931.01,67614640.52,59634993.79,37915109.36,64113066.31,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21211.36,21211.36,21211.36,27293.98,27293.98,27293.98,27293.98,36239.00,36239.00,36239.00,41189.00,48614.00,300000.00,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,383443507.02,425284257.94,440194947.55,434657894.14,444883923.55,416838765.19,456383440.38,454189810.32,0,426876554.17,0,426859886.08,0,415043336.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,1861000.00,1383654.73,3012941.91,10195748.42,19862111.05,5346323.95,5420500.00,10388738.80,24173265.00,31566710.00,33224401.00,23520000.00,10660000.00,9114000.00,22904000.00,16552500.00,9546846.00,31070950.00,39393411.50,22117691.09,46729003.35,32247007.00,37765597.00,58246927.00,31628280.00,19214500.00,12796586.00,29530236.00,18890000.00,25607250.00,28144074.12,11370000.00,12575920.00,17173799.89,13552199.89,23001333.70,28558758.00,9117282.17,4597900.00,4861300.00,3494000.00,10128229.95,9971184.00,6020000.00,309500.00,1859105.00,3762145.00,1753040.00,0,945164.84,0,0,0,0.0
7,应收账款,381582507.02,423900603.21,437182005.64,424462145.72,425021812.50,411492441.24,450962940.38,443801071.52,419735575.37,395309844.17,376454650.30,403339886.08,410869058.11,405929336.23,390443731.91,364902050.23,365572498.14,390149936.73,421722664.24,362631634.11,318979996.40,322527367.77,345550040.42,324017137.87,292985168.10,285341722.92,312784714.31,254458368.97,286204370.39,271569210.30,232363981.13,191526513.90,209116460.77,177405629.22,207494779.62,188454808.45,174179485.13,158876550.85,145475899.06,143133246.78,167153293.34,152475489.67,142339494.44,127494594.74,143235324.91,131003054.19,101233647.43,100612124.45,105145656.85,112405838.00,113815110.35,128304416.50,106863508.77,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,34547674.71,33086176.70,31523848.04,16695495.84,28821575.58,29738741.49,46028996.27,40845008.98,36311195.20,37014186.29,48489309.06,37771711.76,37416975.56,24197228.75,18341958.74,33764803.28,31967493.51,25611204.72,20419339.93,24521330.18,19497600.65,30068430.62,33638534.85,22059118.11,46317634.73,35458664.16,31467950.12,20979742.08,23196864.37,16272200.94,15725445.84,26805745.25,18302108.19,21772537.50,14076111.04,14247365.88,17043204.99,18815417.62,20990772.17,17815709.24,18188576.57,18853750.37,30716339.27,25737916.13,38941457.20,29959050.51,22450223.61,24750709.17,27389935.09,23868522.98,18733795.80,15869634.49,49319345.28,0.0
10,其他应收款(合计),6581175.39,7201904.31,5458351.01,6330496.96,16268206.11,14885065.19,14377836.42,22942582.59,0,6829500.02,0,18636925.95,0,5633293.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,7201904.31,0,6330496.96,16268206.11,14885065.19,14377836.42,22942582.59,9578850.45,6829500.02,6213394.62,18636925.95,8469864.30,5633293.56,5861334.74,14584339.05,7344301.53,7125035.62,9187904.91,8236821.92,10226395.48,10226579.18,7640972.26,6945344.21,10612255.06,9525084.47,11592569.48,6596519.18,6120902.61,4313991.52,5629781.21,5698769.19,5574024.44,4448927.51,5012971.40,4144424.50,5292677.50,5323120.23,5181391.55,3807935.32,6430582.42,5204858.10,2951292.68,7810342.37,4447667.54,4779799.06,4490499.66,6074822.19,5098990.86,6660857.64,6994434.91,9807924.00,7052234.68,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,416237481.17,361405361.15,294972365.76,292705981.46,330260634.11,329014516.02,367692667.98,409055741.61,405852326.04,418306135.76,389486051.05,399117143.82,362489194.91,330058465.29,339574661.92,368745265.98,383803489.23,358916232.44,352002217.21,383147380.88,454965591.39,484805590.24,516077741.44,458123780.35,457594656.36,426157323.19,400304537.85,356752922.86,309407721.82,290871777.07,297696787.15,276319519.61,247968564.79,258889720.31,285531901.44,257597064.35,240963967.54,224937748.04,190135547.56,170017138.95,161228923.72,196699430.18,208317603.96,214702772.98,211570416.06,207463256.99,199875414.68,169191679.28,151568527.75,142726235.25,139857282.93,95856661.46,90887270.43,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,7544968.19,10345423.93,7417284.40,9237722.36,5067701.71,7057408.61,5508132.04,6213013.34,10473700.60,13560154.78,8841269.26,9389344.78,9329754.37,10153811.19,10160546.63,10218814.91,6420898.24,7454514.46,8422477.40,9174272.30,6356264.13,6395073.22,6021815.38,6920828.60,122667.59,928365.04,2276363.55,3142014.95,3825925.42,4838682.18,1440600.17,1534723.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49010.00,0,0,0,0,0.0
