,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,837447451.67,1228831508.78,1475496612.66,928863323.79,885743714.27,957991876.64,916988371.44,926496254.99,445711902.90,293762003.44,246879344.39,294488516.71,809415515.04,152578226.21,258401854.64,140586352.33,65494098.84,187764774.51,548469718.55,241050748.89,232954273.86,482255149.44,323723577.67,332639638.34,255281917.87,414291194.26,817937531.99,906975271.83,882119817.33,856914216.29,928530973.52,895148366.04,895398002.30,908162849.86,1078108462.27,1053634735.24,1058341502.99,1024551432.00,1078265695.24,1108895868.20,47585475.81,49109857.23,49633372.64,45176681.39,49693744.73,0.0
3,交易性金融资产,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1105845074.71,1152626245.38,1029673742.51,924112641.23,810937999.59,940833134.49,943182061.90,832507324.55,0,855021296.94,0,754149439.58,0,641084604.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,454931942.56,520629874.10,471246693.07,444408285.18,318919030.17,420481331.06,401247224.36,470848730.89,347776452.27,342003064.03,358656571.46,430084476.45,366121560.91,369799699.39,469264373.47,502540668.93,204083514.03,249242123.18,289831954.13,290596497.04,265345047.30,217529755.08,175246801.19,231711353.98,204869739.34,200148248.34,152276608.61,154910991.32,126028396.15,132106287.91,125353303.84,119995063.41,67292180.05,81979926.28,64294275.38,73427195.60,47187928.73,44900469.67,32070659.57,37741397.15,34813191.33,33961474.55,18172236.00,9226500.00,2000000.00,0.0
7,应收账款,650913132.15,631996371.28,558427049.44,479704356.05,492018969.42,520351803.43,541934837.54,361658593.66,411606276.88,513018232.91,417990681.68,324064963.13,306190361.79,271284905.27,281058378.97,256463282.38,316452856.13,354167739.73,297895052.62,271967306.01,261968640.02,266316669.89,213500824.84,182348889.54,177678704.26,148774741.63,141867209.11,114790909.06,111387435.13,98219366.92,88012242.35,82993267.22,84005683.86,74590187.22,61602100.29,56582535.49,69417358.71,64973460.37,54535790.16,50099150.48,58117364.38,66470860.89,45844314.60,38351770.06,26958658.61,0.0
8,应收款项融资,54878898.46,10706321.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
