,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,572759638.93,639688433.04,512152918.21,495397715.03,468303393.85,479309460.11,738969520.63,816630572.54,247822777.36,211599733.22,241854557.44,341405357.88,141304790.88,135000034.95,128009478.03,270535304.42,157549757.73,186862734.37,309509307.18,397607731.10,210788709.75,237671925.49,238983371.32,352973975.09,187774875.68,191784426.51,269383538.97,341389919.13,230697549.15,286046511.73,336005844.93,425824956.43,314263580.57,365300520.40,348630360.58,473811377.95,495940670.71,675272401.21,141058334.07,161094056.87,155920093.93,76696709.47,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208365.22,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,389914640.45,408696616.14,389126670.55,422214476.18,383042162.94,397752066.34,416636344.25,424456664.67,0,452176685.40,0,407432823.02,0,353589359.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,2513778.80,4867928.32,2975670.00,3847886.16,6090958.88,1882263.03,1002273.03,740000.00,476000.00,114353.31,600000.00,1381654.00,801654.00,2626664.02,2158536.00,3385704.91,1220029.00,3182966.20,4496605.41,1050000.00,251000.00,3766000.00,1600000.00,999969.00,1900000.00,1700000.00,100000.00,0,750000.00,2650000.00,4227975.00,7784000.00,300000.00,100000.00,0,0,0,2962644.00,0,300000.00,2450000.00,0,0.0
7,应收账款,387400861.65,403828687.82,386151000.55,418366590.02,376951204.06,395869803.31,415634071.22,423716664.67,466558487.56,452062332.09,344383663.32,406051169.02,358461175.98,350962695.96,371457343.01,395059730.94,267897030.62,259190996.24,215947714.56,243795289.81,201179823.55,261853833.93,150424202.55,149200510.25,178713547.66,206623221.76,142408503.93,98620575.40,135511174.87,168375864.55,132526486.32,121918772.11,125101610.67,93338851.75,109590676.48,54369682.49,46295795.40,38488793.04,36344271.73,32124809.98,35182641.36,18208095.43,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,97637027.09,118946279.45,68440168.64,80177287.07,115087702.18,122945880.84,86339298.55,57933319.45,101046466.84,91373360.15,71694879.99,69450181.10,76600067.67,65828404.37,64214802.33,29491061.89,67735185.83,40038415.62,33470775.07,24034635.57,45210173.33,34936517.22,41095125.93,28357302.78,90274264.65,88356013.56,48764563.68,41740509.38,94385536.48,87366627.64,87265455.27,56432232.36,83800765.18,54309718.93,79475371.82,58017219.57,24049504.57,22701791.18,20206453.83,14383674.03,12424554.59,16886874.47,0.0
10,其他应收款(合计),142650938.38,137724027.85,70210553.76,61185894.65,171356627.74,183039890.94,101597387.63,71847315.86,0,148697194.30,0,59099481.77,0,128297366.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492971.88,1538109.59,522328.77,3155174.25,1295670.83,0,0,0,252013.89,0,871150.00,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,137724027.85,0,61185894.65,171356627.74,183039890.94,101597387.63,71847315.86,177873988.49,148697194.30,88035247.57,59099481.77,137532956.13,128297366.72,87971832.28,56191875.85,93530667.70,107538626.77,68740011.02,59300836.38,59825201.03,53190772.37,78873471.91,48392098.70,42820055.26,42449863.16,50089711.68,54800828.93,82196882.53,68882982.92,76108225.70,44747905.92,75229268.38,52299014.05,45785389.17,21080773.39,30464224.96,23187492.68,23226836.17,18904905.91,10566048.11,8116865.89,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,784672582.67,764284940.57,773746191.60,785350953.85,899227528.42,783684602.58,751990345.70,712647255.58,796078530.79,673827658.35,643289820.78,599924794.45,618586230.71,588742357.00,508743727.23,455924666.93,521742515.62,482614313.92,476479326.80,464431558.61,564299698.70,456212189.64,494239424.16,539030029.70,585334577.08,470661723.89,467944079.13,487984231.00,527663459.61,436989735.66,404982677.64,383738709.91,417409277.40,411650521.29,347360526.61,365376368.71,326535918.95,248043836.40,211355437.26,186604854.79,146808636.10,142467036.54,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,9532417.88,9563393.03,16916644.69,20156064.28,3430175.11,3430175.11,8741413.89,11590400.99,437317.70,0,483594.05,2596145.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,1997167245.40,2078903690.08,1830593147.45,1864482391.06,2040447590.24,1970162075.92,2104274310.65,2095105529.09,1790293568.74,1577674631.42,1390341763.15,1479908784.03,1333286875.37,1271457523.02,1162555718.88,1210588344.94,1109675186.50,1079428053.12,1108643740.04,1190220051.47,1081554606.36,1047631238.65,1005215595.87,1118953885.52,1086817320.33,1001575248.88,978690397.39,1026029035.72,1072742712.23,1050834051.27,1044271839.11,1041742247.56,1016104502.20,976998626.42,930842324.66,972907436.00,923286114.59,1011528108.51,432191333.06,413412301.58,363560339.31,262375581.80,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,7231231.23,7231231.23,7231231.23,7231231.23,24500000.00,24500000.00,24500000.00,24500000.00,24500000.00,24500000.00,24500000.00,24500000.00,4500000.00,4500000.00,4500000.00,4500000.00,4500000.00,4500000.00,4500000.00,4500000.00,4500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,80000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500000.00,4500000.00,4500000.00,4500000.00,4500000.00,4500000.00,4500000.00,4500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),137108708.01,142812691.40,135447351.17,134014766.97,97790467.00,97365208.06,97161783.97,95542538.70,0,36136191.17,0,33359716.49,0,8990074.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,142812691.40,0,134014766.97,97790467.00,97365208.06,97161783.97,95542538.70,37222740.53,36136191.17,54998233.57,33359716.49,9111805.99,8990074.93,8904731.53,8290510.79,41098245.95,41098245.95,41436411.90,31098245.95,13820267.93,4179242.29,0,0,52647964.30,52660902.91,32654894.91,32654894.91,49860686.91,49860686.91,32860686.91,32859979.91,11667524.00,11334720.00,10775643.00,9000000.00,8064431.00,1000000.00,91003414.33,81866935.06,48739371.18,9124384.63,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),919997625.72,927274831.92,942652168.39,939277363.61,719893371.73,723278276.26,731637280.92,719989891.68,0,656418524.92,0,661452560.83,0,587350460.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,927274831.92,0,939277363.61,719893371.73,723278276.26,731637280.92,719989891.68,696832813.51,656418524.92,666091215.20,661452560.83,582023871.02,587350460.23,590779897.87,591995104.41,537033338.95,503664870.12,502565531.35,507658826.93,500269612.61,501422506.97,498058427.70,503742233.49,471605016.26,476787428.74,482843556.37,485889471.32,431338751.11,434420564.16,437364024.97,441414149.84,402682771.25,403950201.59,363442648.77,342084347.06,304533334.04,300731898.86,134324055.83,134153538.89,124629130.82,103547773.13,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,138010066.03,139495937.25,140843654.40,142524690.59,111360432.34,108863501.09,111906968.05,112170239.61,100651588.77,102325403.18,104416509.62,106729461.44,64762365.31,65299270.59,65362639.59,65711639.26,68967360.93,38510044.34,35713911.17,36598273.70,35855708.10,36242247.83,36671840.01,37720500.14,40065959.20,39148896.31,40097535.42,40862454.04,41107540.36,39278079.24,35504727.65,36178299.92,34640207.88,34777090.90,30052181.51,25282174.73,25577649.94,25740002.73,25115911.15,26062250.17,33940380.43,35055263.99,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,71321531.75,71321531.75,71321531.75,71321531.75,75000365.75,75000365.75,75000365.75,75000365.75,75000365.75,75000365.75,75000365.75,75000365.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3036731.81,3036731.81,3036731.81,3036731.81,0,0,0,0,0,0,0.0
42,长期待摊费用,178249160.54,183833318.70,189019280.69,178579057.43,131551652.62,141291428.48,89415553.31,106021300.28,87417544.36,79257457.05,70543612.43,54902720.77,29676410.63,34183897.41,34759468.82,29889432.83,19963390.43,23042804.15,23737984.93,23864878.07,26559033.00,26573747.00,23795154.28,24160278.37,18374831.30,19709503.00,16926908.66,10733276.50,20540464.64,13352038.70,9702033.21,7614084.09,6628102.76,7210291.67,5641631.38,7880000.00,499700.00,0,0,0,0,0,0.0
43,递延所得税资产,21537091.59,20420652.12,19950927.11,20348381.26,24946473.53,23140689.93,23275329.66,17758681.04,20889475.61,12198425.28,15694595.40,16295454.55,12665766.22,12560655.08,11754631.22,12178095.98,10323920.50,9568874.15,11713669.47,9891858.36,6730470.74,6184216.55,7906523.42,8478671.88,8174473.19,9014459.14,5747233.44,8106219.42,5989468.47,5522306.49,5467422.06,4837968.15,7757163.98,6541665.30,6487887.18,4699017.36,4036276.71,3604650.27,2924957.47,2756921.86,1979339.87,1299409.17,0.0
44,其他非流动资产,94299543.58,80315601.45,35001764.09,32116618.59,235677022.83,196155389.91,53966845.06,54399407.70,78005663.18,85645663.18,58897520.50,42837520.50,88022222.09,71256560.93,75456340.68,53885100.93,42500000.00,72474000.00,72474000.00,72474000.00,87019561.02,69440815.02,66066513.29,47142320.87,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,1647754958.45,1572705795.82,1541467908.83,1525413641.43,1420719785.80,1389594859.48,1206864126.72,1205382424.76,1120520191.71,1071482030.53,1070142052.47,1015077800.33,790762441.26,784140919.17,791517709.71,766449884.20,724386256.76,692858838.71,692141508.82,686086083.01,674754653.40,648542775.66,636998458.70,625744004.75,595368244.25,601821190.10,582770128.80,582746316.19,553336911.49,542433675.50,520898894.80,522904481.91,466412501.68,466850701.27,419436723.65,391982270.96,342711391.69,331076551.86,253368338.78,244839645.98,209288222.30,149026830.92,0.0
46,资产总计,3644922203.85,3651609485.90,3372061056.28,3389896032.49,3461167376.04,3359756935.40,3311138437.37,3300487953.85,2910813760.45,2649156661.95,2460483815.62,2494986584.36,2124049316.63,2055598442.19,1954073428.59,1977038229.14,1834061443.26,1772286891.83,1800785248.86,1876306134.48,1756309259.76,1696174014.31,1642214054.57,1744697890.27,1682185564.58,1603396438.98,1561460526.19,1608775351.91,1626079623.72,1593267726.77,1565170733.91,1564646729.47,1482517003.88,1443849327.69,1350279048.31,1364889706.96,1265997506.28,1342604660.37,685559671.84,658251947.56,572848561.61,411402412.72,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,短期借款,701000000.00,547666734.56,445300000.00,445303254.74,433076372.97,431172466.76,414705706.51,440506083.49,468595309.11,436792593.38,283931602.77,240798000.00,199450831.00,104942237.00,65000000.00,65000000.00,95000000.00,60000000.00,80000000.00,80000000.00,110000000.00,110000000.00,80000000.00,116000000.00,146000000.00,130000000.00,150000000.00,150000000.00,170000000.00,170000000.00,134000000.00,120000000.00,150000000.00,110000000.00,30000000.00,30000000.00,0,76900000.00,184700000.00,184700000.00,185100000.00,71600000.00,0.0
