,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,439279545.93,299486995.81,287038164.63,531783579.94,607445080.38,494029055.98,422992239.39,456152337.86,877301791.44,528466123.50,492371427.05,668956641.44,603829587.87,779370899.20,782674913.79,876189714.07,306825185.55,215465093.44,206374018.96,289533950.01,391732152.07,192065685.84,253269053.41,211296630.16,326830924.55,262211784.97,385464712.39,275995997.15,408393758.35,280622081.25,328404597.62,345100558.92,404749469.42,300551756.51,362942074.92,601227002.57,778805442.50,675357795.02,1161291352.56,45333582.40,187077589.34,143098536.66,87369786.11,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1356801061.34,2595454823.53,2600701321.90,2941946916.40,2467540495.45,2609249126.16,2446778162.28,2127016286.87,2228027510.76,0,0,0,1959467010.46,0,0,0,0,0,0,1799979323.79,1904940474.34,0,0,1885975850.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,305844395.70,701641403.67,789657575.12,1100130720.24,1480422436.93,781020735.33,714661054.46,761838844.83,1276836961.76,689555367.02,679752949.94,754167452.86,992445149.21,484878343.11,497493969.53,692271544.49,936074241.56,522475241.24,533444619.14,508162005.44,967424051.60,502389521.29,510198214.44,770428441.72,1028213106.49,558439949.57,406834439.82,461944077.40,774850333.30,493427124.21,439853497.96,489617830.60,754639763.98,377574218.17,359264902.39,322516573.12,566791563.33,255520460.61,111485253.09,82816604.80,167734060.00,129112948.06,112517283.38,0.0
7,应收账款,1050956665.64,1893813419.86,1811043746.78,1841816196.16,987118058.52,1828228390.83,1732117107.82,1365177442.04,951190549.00,1595489050.28,1463850869.31,1243841597.09,967021861.25,1489192506.12,1320013273.58,1102332461.64,934746916.06,1581439081.71,1510252024.61,1291817318.35,937516422.74,1563297167.46,1474006753.60,1115547409.10,803532888.41,1214605296.51,1148280290.24,974813945.13,675191939.76,1022192524.01,940839769.99,732290322.08,468312727.80,915740702.04,771274257.96,572691388.58,309707701.99,581706375.29,496196880.54,377087324.32,201919622.25,140979806.22,102490581.91,0.0
8,应收款项融资,1054587867.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
