,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20091231,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,189736376.03,187753396.52,151180016.69,172445638.60,169317888.26,174101667.53,136957589.43,246366803.52,136953660.85,217505900.71,201267376.30,282990916.08,239712524.78,372766644.22,303332973.11,342661502.05,294192983.39,307703904.97,305932654.94,455715583.97,574443228.39,608509809.21,707348717.85,409671644.94,622714409.50,177467652.13,189580090.25,261935437.02,412165519.92,407476723.66,422078452.79,453351867.91,417029253.98,536012402.99,94814135.59,114892668.89,72524255.63,98773942.99,22617131.69,19832543.89,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,149271585.74,142316642.77,169662887.47,172494517.93,211157124.68,208810010.40,214979391.08,205901574.72,0,235619663.14,0,269650725.45,0,283335995.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,4280278.26,3555241.68,4887750.00,3776000.00,4659000.00,3351681.93,2150000.00,4152896.00,16669420.35,11407250.00,8434008.60,16689725.82,15554844.02,12968429.99,13285355.47,18778759.44,13350961.14,7620690.99,13397349.56,18137501.96,13311229.82,10412797.09,19215735.78,43858597.58,63366738.41,58707847.84,39354306.51,41050542.33,22911813.44,25151415.96,26554183.56,37966441.48,16888783.81,8443345.21,4595349.80,11487301.09,4495562.92,7896678.62,2640000.00,0,0.0
7,应收账款,144991307.48,138761401.09,164775137.47,168718517.93,206498124.68,205458328.47,212829391.08,201748678.72,210679576.93,224212413.14,228240572.60,252960999.63,268220905.36,270367565.97,240024103.64,255319853.82,267863855.26,274639044.35,277130523.37,268626753.92,301006295.87,295327350.56,268350385.38,249085300.60,208369893.30,201205585.64,160362811.67,155313649.42,144353917.37,98961731.07,63044157.17,55340080.39,67766966.56,52267145.01,36501782.88,30936074.63,39914284.61,25710161.80,23632790.17,15909338.42,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,13699493.42,13594186.42,6598112.19,10575299.50,22123426.11,17387552.12,20591722.34,14919982.79,20115493.62,12542452.36,9343793.34,7677984.11,19055763.90,15155899.44,13028780.94,11640362.24,45708699.34,30535263.82,30815990.65,25388119.41,126511677.87,96426395.90,105053744.34,81947529.75,124549988.84,142220082.86,154612351.12,174867865.18,141315499.62,121411182.00,110305293.36,84117119.89,149328131.75,118721462.44,52405031.98,45225673.89,58298101.68,17341933.37,13807674.91,10740983.71,0.0
10,其他应收款(合计),3395712.65,9938297.94,9377111.11,8023589.13,8088643.18,9827730.42,11375767.78,14530015.52,0,15688084.63,0,23315393.85,0,31545042.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,1815965.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,9938297.94,0,8023589.13,8088643.18,9827730.42,11375767.78,14530015.52,15260075.28,15688084.63,19770351.66,21499428.14,26855837.54,31545042.86,46400924.43,47829891.20,2929641.86,3910142.91,2904629.75,3260546.23,5616228.78,6762938.70,7655043.96,6598594.54,21791949.13,4352627.88,3341958.09,5393554.10,1234897.05,1201942.85,840673.89,738323.46,50780516.45,718480.85,14040328.45,4325782.78,4698486.67,1185645.25,89366.00,1676000.00,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.0
15,存货,326280290.81,318907133.67,312255407.05,272913835.09,281832852.22,259281015.79,253375912.71,241742067.09,253177230.31,265924050.45,281167446.80,249380063.65,273162212.93,271384006.91,276131054.01,276721934.69,343943162.18,311632523.47,287551283.17,266134521.60,280659159.40,286796181.37,256315695.89,222282239.35,258068898.48,245340646.54,237100878.56,194129550.12,172257495.48,135387564.48,137168100.11,141060406.73,133850097.11,125425955.34,114576210.35,93821540.45,89390676.99,74732547.44,81871516.42,70127838.75,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,200000.00,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
