,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20101231,20100630,20091231,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,180239847.86,129844402.79,104804184.84,148157551.36,58584232.81,67922339.81,108931559.04,84707440.61,69739919.37,62821226.79,92094128.03,115768933.43,89704482.47,67337647.45,56033855.29,102029250.93,102455023.64,64696810.77,44096930.87,34426496.32,54021702.41,37290219.76,149051439.66,169092772.47,177995973.75,132697688.31,143155790.22,164644061.32,169342607.42,176871297.26,208043896.87,227009469.14,372729469.05,31876390.34,48842635.41,35027010.65,23595301.64,34536965.40,15927077.34,0.0
3,交易性金融资产,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,401430761.50,439510705.15,399810962.66,396472300.68,463349562.66,459812655.70,467441957.37,507916002.36,0,0,0,393265674.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,13751164.49,14843165.74,21892413.12,32508353.06,16152757.97,3665442.00,10270725.75,21494275.44,4395953.20,10652486.20,14648834.75,23385723.65,18663654.00,15549400.00,10818488.00,17154959.40,17206873.30,13102092.00,19745642.40,9466566.00,8830000.00,14291694.44,10519757.50,38972795.02,3540000.00,3992748.20,10784560.00,12091119.92,3296545.50,3510000.00,5934147.00,17580650.00,13263180.00,9300000.00,3599600.00,5418706.00,0,2900000.00,5700000.00,0.0
7,应收账款,387679597.01,424667539.41,377918549.54,363963947.62,447196804.69,456147213.70,457171231.62,486421726.92,460508603.43,446686253.60,381960885.48,369879951.33,372172542.27,377572308.62,375837248.33,330629507.38,334550199.01,314148324.82,284706372.92,383092336.02,342372469.00,355319792.71,302202015.53,333695374.99,335721251.87,341938251.29,336121955.91,349807204.11,300301426.96,288548710.84,257922490.67,286761697.99,217753987.64,217884552.71,225928697.86,211726366.69,173342402.05,136000649.85,110810584.96,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,24718422.94,21041881.61,19737993.10,16292257.40,31518609.95,30013794.71,7484793.98,7702690.39,14500523.67,5162460.71,12191738.86,5729590.72,13411359.99,11088129.96,14258403.10,11428956.61,38720259.54,31821606.19,38618783.57,15839527.34,54690105.49,55316022.30,46421290.67,10372976.91,28809926.92,31541865.58,25383890.02,14811911.35,36088834.95,29449737.81,22438865.78,40921752.02,57526296.21,47157287.21,38334006.92,38644946.00,7043667.23,6153695.38,7696275.54,0.0
10,其他应收款(合计),5675702.14,6681496.98,8814585.52,12486790.90,7394084.65,8411646.13,6686249.74,7578495.87,0,0,0,9566336.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,4308.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556864.31,1197906.25,1026100.00,584380.31,665917.81,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,1228325.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,6681496.98,0,11254156.81,7394084.65,8411646.13,6686249.74,7578495.87,8063143.08,4738757.25,9147128.53,9566336.17,10072119.16,7785963.65,12494623.25,8069288.40,10804547.13,10812823.42,10568736.75,8567004.61,7367134.91,7675224.49,8384289.50,4355244.60,5374125.04,5100242.81,7524664.45,6740950.13,13204714.00,10812088.34,12552880.03,10053796.84,6164429.21,7716794.27,4887384.38,5187538.35,134419147.59,43232868.47,33091552.73,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
