,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20151231,20150630,20141231,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,
2,货币资金,79776482.00,96517694.26,121749636.17,150931639.62,150817304.59,146342104.45,121775610.26,245999334.64,117264050.76,72184389.08,183094790.22,188855375.73,277111113.28,134788289.86,181557859.89,86788755.68,164348185.03,169824790.23,169528535.79,132329317.75,0.0
3,交易性金融资产,10154082.19,10154082.19,10000000.00,0,0,0,0,0,29000000.00,55000000.00,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,336839222.97,343799230.13,383193264.32,408953517.90,327460047.05,380528917.87,420068863.37,388155890.40,0,356347263.34,0,249610870.59,0,195573441.42,0,0,0,0,0,0,0.0
6,应收票据,76303398.04,111505011.38,111954260.13,108876404.17,4224357.41,24365916.90,53830232.12,77761552.47,77385128.71,54315253.00,31928366.00,22085965.88,7293837.00,34813863.70,12101910.00,22148958.38,24493885.25,27946700.00,12275000.00,24880000.00,0.0
7,应收账款,260535824.93,232294218.75,271239004.19,300077113.73,323235689.64,356163000.97,366238631.25,310394337.93,292948231.43,302032010.34,275510183.95,227524904.71,223767156.96,160759577.72,111985209.35,153161182.05,72388962.37,59148941.02,40952072.19,29637314.89,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,14618338.60,21027850.02,17317106.82,20053805.20,20280698.11,25841348.06,26882740.39,18437829.45,19852711.29,16554183.21,15772878.45,11060235.97,25739734.76,12062052.23,11290389.11,15542201.46,12253996.17,14614307.74,11385295.56,2246418.98,0.0
10,其他应收款(合计),173047909.19,153883073.66,197627940.86,276592131.00,20772886.86,14239042.20,18105873.86,15999553.33,0,12450696.76,0,11437711.18,0,10673646.56,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,153883073.66,0,276592131.00,20772886.86,14239042.20,18105873.86,15999553.33,14142224.76,12450696.76,15179393.56,11437711.18,11729674.28,10673646.56,9081443.34,8810685.54,12369866.23,7156415.51,14207490.94,2933413.08,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,383931295.55,347244392.63,325894859.48,334480520.06,490324609.31,471515941.85,445656778.76,409498946.07,296220422.59,223660756.73,250979246.84,267178601.26,196909096.97,196119085.40,164324110.24,193254492.18,197952455.40,169416401.99,148447549.61,143585624.07,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,638683.42,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,2811669.99,3076922.43,996162.90,907886.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,24637107.95,32484146.40,27203334.86,37787142.66,41003363.75,39244114.71,31632099.45,21011903.92,10048515.33,2699675.30,5860560.58,11337129.12,1050.00,1899.27,4352329.86,1510.00,2535548.67,1326043.31,0,167039.50,0.0
21,流动资产合计,1025816108.44,1008187391.72,1083982305.41,1229706642.74,1050658909.67,1077711469.14,1064121966.09,1099742141.23,856861284.87,738896964.42,778325419.60,739479923.85,742551663.25,549218414.74,494693251.79,479707785.29,486342899.12,449433599.80,396795944.09,335779128.27,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,5000000.00,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,9805900.30,6990227.26,7085116.95,7452855.28,6679238.13,5873265.71,6565275.47,7026219.67,7448371.62,5627909.64,5825949.97,0,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,70856982.27,71335619.28,71814256.29,72292893.30,193067388.92,194390764.03,195714139.14,197037514.24,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),0,27905549.49,21792411.19,15275000.00,4258943.79,4258943.79,4258943.79,4172528.70,0,4172528.70,0,33162970.32,0,26150841.18,0,0,0,0,0,0,0.0
30,在建工程,0,27905549.49,0,15275000.00,4258943.79,4258943.79,4258943.79,4172528.70,4172528.70,4172528.70,40560427.85,33162970.32,28034201.96,26150841.18,20769836.06,8849536.51,194075670.36,48029213.47,38370020.40,999400.00,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),236410125.91,183299210.10,187066140.58,190706622.08,202824238.99,205538631.50,205511631.35,206586967.20,0,401625556.44,0,365439132.76,0,371510261.25,0,0,0,0,0,0,0.0
33,固定资产净额,0,183299210.10,0,190706622.08,202824238.99,205538631.50,205511631.35,206586967.20,399007076.11,401625556.44,366664605.59,365439132.76,367696793.86,371510261.25,373596564.98,372144041.80,187762729.29,123089839.20,39388557.08,31059794.47,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,594879.30,846388.05,1097896.80,1349405.55,27233012.69,27793404.30,27897324.96,28503725.90,29020613.64,29697374.53,29487007.04,29363940.40,29059352.24,29576931.32,30654408.57,29573444.23,29155984.56,26260033.46,27105850.46,434210.02,0.0
40,开发支出,27243147.35,25963813.08,32595720.29,28782129.89,36013293.35,27255699.65,15075518.66,9671846.62,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,29364522.56,33134325.64,26421408.81,25403531.33,41961680.23,32436734.58,31683904.64,18163230.23,10341441.31,10052041.94,10000664.31,8167076.53,8755091.69,9376779.58,9602337.19,10560893.34,4544656.63,4251252.89,2569715.87,2475267.90,0.0
43,递延所得税资产,63927204.27,63413011.16,53554308.83,50984950.86,38020818.72,36931235.89,37814887.98,38286245.07,38357569.00,38371917.46,38211865.32,38208787.51,37377965.47,37332900.80,34319002.01,31571459.50,28789993.62,20153059.34,14134488.50,2965598.30,0.0
44,其他非流动资产,1439646.94,27076479.62,23177058.62,8569365.26,2946766.44,8027039.45,9126081.75,11346385.06,4284814.34,2976538.69,2227613.74,5043889.84,9128879.94,2729815.04,1082424.36,1877933.37,2611083.87,208870399.17,2203405.49,22352296.24,0.0
45,非流动资产合计,439642408.90,439964623.68,424604318.36,400816753.55,553005381.26,542505718.90,533647707.74,520794662.69,492632414.72,492523867.40,492978133.82,484385797.36,480052285.16,476677529.17,470024573.17,454577308.75,446940118.33,430653797.53,123772037.80,60286566.93,0.0
46,资产总计,1465458517.34,1448152015.40,1508586623.77,1630523396.29,1603664290.93,1620217188.04,1597769673.83,1620536803.92,1349493699.59,1231420831.82,1271303553.42,1223865721.21,1222603948.41,1025895943.91,964717824.96,934285094.04,933283017.45,880087397.33,520567981.89,396065695.20,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,
48,短期借款,329034398.04,270466011.38,348165877.72,502057337.92,400038632.00,418013986.00,453612776.00,450301162.87,310000000.00,200000000.00,200000000.00,140000000.00,170000000.00,132500000.00,127500000.00,90000000.00,99000000.00,145300000.00,0,5000000.00,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,427289695.11,452973146.31,411019976.44,349472470.07,505360379.71,474397100.63,378654509.31,393330716.87,0,259693195.98,0,289890799.37,0,262642046.27,0,0,0,0,0,0,0.0
51,应付票据,73600255.34,104222600.51,0,14513737.12,0,154394386.69,65588161.37,42080724.19,37547093.13,23615427.34,22980013.31,18325991.44,5500000.00,0,0,0,0,0,0,0,0.0
52,应付账款,353689439.77,348750545.80,0,334958732.95,0,320002713.94,313066347.94,351249992.68,250508063.23,236077768.64,245457401.62,271564807.93,234593327.85,262642046.27,211533908.30,214773227.41,210667040.61,191587845.92,117098606.03,93331711.23,0.0
53,预收款项,59464848.77,50382390.76,37906018.59,26760111.07,25185987.00,23256649.96,19117276.47,17766366.59,22274455.66,21136264.93,26601458.01,27130840.96,26347458.27,23680753.94,35915001.03,31913685.15,49195272.00,64967780.68,70527482.95,101929445.54,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,7917312.43,9793467.22,10340985.95,9848338.31,11053328.38,11163471.93,12102773.64,11787777.59,11818390.86,10282481.75,9607998.33,9697316.64,9554652.28,9952807.46,12019225.02,12664369.26,19669071.91,18881589.97,22062390.43,12770954.81,0.0
56,应交税费,6762380.56,5896954.69,11179515.61,20171797.76,3146873.65,-760209.93,6492825.18,12586263.96,1861389.11,11832253.91,7548980.43,4248600.32,8143454.20,5277867.12,9756348.71,16127137.00,12117377.58,-9854747.58,4618489.50,-1870079.24,0.0
57,其他应付款(合计),31725108.56,32375627.27,27706998.27,37603255.60,17060569.56,27212978.78,27801891.45,32043671.20,0,15560115.80,0,13803266.08,0,15900032.87,0,0,0,0,0,0,0.0
58,应付利息,0,0,0,195846.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
59,应付股利,0,3600000.00,0,0,0,7080000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60,其他应付款,0,28775627.27,0,37407408.66,17060569.56,20132978.78,27801891.45,32043671.20,16305262.16,15560115.80,14969133.55,13803266.08,25008859.68,15900032.87,14201829.66,16237173.10,14658373.00,10619230.59,10806128.95,15990241.62,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,5340000.00,10440000.00,15540000.00,20400000.00,20400000.00,20400000.00,20400000.00,20400000.00,20400000.00,20400000.00,20400000.00,20400000.00,20400000.00,0,0,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,862193743.47,821887597.63,846319372.58,945913310.73,961845770.30,958623977.37,908222052.05,933355959.08,670714654.15,538904312.37,547564985.25,505170823.37,499547752.28,470353507.66,431326312.72,402115591.92,425707135.10,441901699.58,225113097.86,227152273.96,0.0
67,非流动负债,,,,,,,,,,,,,,,,,,,,,
68,长期借款,0,0,0,0,0,0,0,0,240000.00,5340000.00,10440000.00,15540000.00,20640000.00,25740000.00,35940000.00,46140000.00,56340000.00,76740000.00,0,0,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,3987710.49,4202218.97,5088847.37,6252772.01,5533035.31,7017444.02,8651783.36,10485720.82,15779891.92,20126425.47,21298012.01,20938846.40,21948983.66,22021784.29,20398389.91,19915532.17,17745857.76,12227106.05,6505654.26,2533749.33,0.0
76,递延所得税负债,0,0,0,0,10482114.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
77,长期递延收益,11516887.58,12045999.06,10276330.20,9950278.22,0,11932657.55,12871289.20,15158992.10,15805887.26,16478723.50,16675938.32,18724295.39,19224860.84,25127998.61,21134274.15,23015410.47,23767051.44,22504000.00,0,0,0.0
