,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,77450696.78,124477081.10,274323770.97,98424454.10,102131267.51,85138099.11,64067245.26,54382367.99,26349299.05,23202332.50,112854693.13,142181239.36,135127540.18,184725838.93,225536020.75,254904076.16,8059188.80,47841117.99,47033776.69,50286195.65,51359173.37,60760926.34,71187999.58,91723197.01,102421424.48,117171006.90,120988006.73,121779616.84,122941484.62,68606466.35,90300604.40,113601100.17,129848658.92,172117767.51,10258168.12,8276806.83,6593037.41,5074268.50,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,142115894.85,153266275.98,146862661.65,135588365.26,111939551.22,130345205.44,107906827.39,94292876.45,0,71740367.15,0,81804422.14,0,110888941.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,36330852.60,50806195.30,30696736.59,38061493.68,21916408.57,43192640.86,29486109.96,25365136.57,12909140.47,18733310.31,36309386.11,37380126.69,26550399.88,50079848.30,46629213.26,26060303.93,37934636.49,54795857.47,46780723.98,42224601.12,40954142.06,29681226.26,40172533.09,28150444.54,37778371.67,35520661.54,34765168.89,27230717.24,27324153.88,28997767.27,19457263.02,22063473.06,15216520.72,14043400.96,15551385.48,18087408.65,3272453.18,2995658.54,0.0
7,应收账款,105785042.25,102460080.68,116165925.06,97526871.58,90023142.65,87152564.58,78420717.43,68927739.88,55878017.74,53007056.84,54843309.17,44424295.45,58471369.06,60809093.49,53383408.59,53320557.01,50554298.57,40717563.77,41683006.74,39102930.87,41689234.66,46924109.26,49488271.23,48941303.86,21402367.35,11407932.31,8789925.58,8449368.02,9790064.14,12709093.68,19941163.31,10316416.82,17992033.42,19882478.49,14705919.29,9740461.47,7207597.75,6443549.88,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
